Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Edwards,Shared Games with Austin Rivers,Shared Games with Bryn Forbes,Shared Games with D'Angelo Russell,Shared Games with Jaden McDaniels,Shared Games with Jaylen Nowell,Shared Games with Jordan McLaughlin,Shared Games with Josh Minott,Shared Games with Karl-Anthony Towns,Shared Games with Kyle Anderson,Shared Games with Nathan Knight,Shared Games with Naz Reid,Shared Games with Rudy Gobert,Shared Games with Taurean Prince,Shared Games with Wendell Moore Jr.,A.J. Lawson,Anthony Edwards,Austin Rivers,Bryn Forbes,D'Angelo Russell,Jaden McDaniels,Jaylen Nowell,Jordan McLaughlin,Josh Minott,Karl-Anthony Towns,Kyle Anderson,Nathan Knight,Naz Reid,Rudy Gobert,Taurean Prince,Wendell Moore Jr.,co_inf with A.J. Lawson,co_inf with Anthony Edwards,co_inf with Austin Rivers,co_inf with Bryn Forbes,co_inf with D'Angelo Russell,co_inf with Jaden McDaniels,co_inf with Jaylen Nowell,co_inf with Jordan McLaughlin,co_inf with Josh Minott,co_inf with Karl-Anthony Towns,co_inf with Kyle Anderson,co_inf with Nathan Knight,co_inf with Naz Reid,co_inf with Rudy Gobert,co_inf with Taurean Prince,co_inf with Wendell Moore Jr.,Shared Games with Matt Ryan,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Matt Ryan,Mike Conley,Nickeil Alexander-Walker,Vit Krejci,co_inf with Matt Ryan,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Vit Krejci,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-19,23-296,MIN,OKC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,27,20,8,18,28,22,10,13,3,24,22,22,19,18,18,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,38.0,68.0,70.0,54.0,29.0,0.0,0.3417721518987341,0.3846153846153846,0.32,0.2535211267605634,0.3544303797468354,0.3384615384615385,0.2325581395348837,0.8666666666666667,0.1034482758620689,0.3478260869565217,0.5789473684210527,0.3235294117647059,0.2714285714285714,0.3333333333333333,0.6206896551724138,10,8,7,34.0,67.0,59.0,29.0,0.2941176470588235,0.1194029850746268,0.1186440677966101,0.0,18,,73.0,4.055555555555555,0.0,85.1,4.727777777777778,23.0,1.1,-0.4,2.2,-2.6,0.0190646724246892,0.652,0.336,0.448,0.1,0.9,W (+7),W (+7)
2.0,,2022-10-21,23-298,MIN,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,27,20,8,18,28,22,10,13,3,24,22,22,19,18,18,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,38.0,68.0,70.0,54.0,29.0,0.0,0.3417721518987341,0.3846153846153846,0.32,0.2535211267605634,0.3544303797468354,0.3384615384615385,0.2325581395348837,0.8666666666666667,0.1034482758620689,0.3478260869565217,0.5789473684210527,0.3235294117647059,0.2714285714285714,0.3333333333333333,0.6206896551724138,10,8,7,34.0,67.0,59.0,29.0,0.2941176470588235,0.1194029850746268,0.1186440677966101,0.0,18,,66.0,3.6666666666666665,0.0,77.0,4.277777777777778,23.0,1.1,-0.4,2.2,-2.6,0.0190646724246892,0.652,0.336,0.448,0.1,0.9,L (-6),L (-6)
3.0,,2022-10-23,23-300,MIN,OKC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,27,20,8,18,28,22,10,13,3,24,22,22,19,18,18,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,38.0,68.0,70.0,54.0,29.0,0.0,0.3417721518987341,0.3846153846153846,0.32,0.2535211267605634,0.3544303797468354,0.3384615384615385,0.2325581395348837,0.8666666666666667,0.1034482758620689,0.3478260869565217,0.5789473684210527,0.3235294117647059,0.2714285714285714,0.3333333333333333,0.6206896551724138,10,8,7,34.0,67.0,59.0,29.0,0.2941176470588235,0.1194029850746268,0.1186440677966101,0.0,18,,81.0,4.5,0.0,90.4,5.022222222222222,23.0,1.1,-0.4,2.2,-2.6,0.0190646724246892,0.652,0.336,0.448,0.1,0.9,W (+10),W (+10)
4.0,,2022-10-24,23-301,MIN,SAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,27,20,8,18,28,22,10,13,3,24,22,22,19,18,18,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,38.0,68.0,70.0,54.0,29.0,0.0,0.3417721518987341,0.3846153846153846,0.32,0.2535211267605634,0.3544303797468354,0.3384615384615385,0.2325581395348837,0.8666666666666667,0.1034482758620689,0.3478260869565217,0.5789473684210527,0.3235294117647059,0.2714285714285714,0.3333333333333333,0.6206896551724138,10,8,7,34.0,67.0,59.0,29.0,0.2941176470588235,0.1194029850746268,0.1186440677966101,0.0,18,,65.0,3.611111111111111,0.0,67.89999999999998,3.772222222222221,23.0,1.1,-0.4,2.2,-2.6,0.0190646724246892,0.652,0.336,0.448,0.1,0.9,L (-9),L (-9)
5.0,,2022-10-26,23-303,MIN,SAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,27,20,8,18,28,22,10,13,3,24,22,22,19,18,18,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,38.0,68.0,70.0,54.0,29.0,0.0,0.3417721518987341,0.3846153846153846,0.32,0.2535211267605634,0.3544303797468354,0.3384615384615385,0.2325581395348837,0.8666666666666667,0.1034482758620689,0.3478260869565217,0.5789473684210527,0.3235294117647059,0.2714285714285714,0.3333333333333333,0.6206896551724138,10,8,7,34.0,67.0,59.0,29.0,0.2941176470588235,0.1194029850746268,0.1186440677966101,0.0,18,,102.0,5.666666666666667,0.0,114.0,6.333333333333333,23.0,1.1,-0.4,2.2,-2.6,0.0190646724246892,0.652,0.336,0.448,0.1,0.9,W (+12),W (+12)
6.0,,2022-10-28,23-305,MIN,LAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,27,20,8,18,28,22,10,13,3,24,22,22,19,18,18,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,38.0,68.0,70.0,54.0,29.0,0.0,0.3417721518987341,0.3846153846153846,0.32,0.2535211267605634,0.3544303797468354,0.3384615384615385,0.2325581395348837,0.8666666666666667,0.1034482758620689,0.3478260869565217,0.5789473684210527,0.3235294117647059,0.2714285714285714,0.3333333333333333,0.6206896551724138,10,8,7,34.0,67.0,59.0,29.0,0.2941176470588235,0.1194029850746268,0.1186440677966101,0.0,18,,84.0,4.666666666666667,0.0,100.4,5.577777777777778,23.0,1.1,-0.4,2.2,-2.6,0.0190646724246892,0.652,0.336,0.448,0.1,0.9,W (+9),W (+9)
7.0,,2022-10-30,23-307,MIN,SAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,27,20,8,18,28,22,10,13,3,24,22,22,19,18,18,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,38.0,68.0,70.0,54.0,29.0,0.0,0.3417721518987341,0.3846153846153846,0.32,0.2535211267605634,0.3544303797468354,0.3384615384615385,0.2325581395348837,0.8666666666666667,0.1034482758620689,0.3478260869565217,0.5789473684210527,0.3235294117647059,0.2714285714285714,0.3333333333333333,0.6206896551724138,10,8,7,34.0,67.0,59.0,29.0,0.2941176470588235,0.1194029850746268,0.1186440677966101,0.0,18,,64.0,3.555555555555556,0.0,78.89999999999999,4.383333333333333,23.0,1.1,-0.4,2.2,-2.6,0.0190646724246892,0.652,0.336,0.448,0.1,0.9,L (-9),L (-9)
8.0,,2022-11-01,23-309,MIN,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,27,20,8,18,28,22,10,13,3,24,22,22,19,18,18,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,38.0,68.0,70.0,54.0,29.0,0.0,0.3417721518987341,0.3846153846153846,0.32,0.2535211267605634,0.3544303797468354,0.3384615384615385,0.2325581395348837,0.8666666666666667,0.1034482758620689,0.3478260869565217,0.5789473684210527,0.3235294117647059,0.2714285714285714,0.3333333333333333,0.6206896551724138,10,8,7,34.0,67.0,59.0,29.0,0.2941176470588235,0.1194029850746268,0.1186440677966101,0.0,18,,71.0,3.9444444444444446,0.0,83.9,4.661111111111111,23.0,1.1,-0.4,2.2,-2.6,0.0190646724246892,0.652,0.336,0.448,0.1,0.9,L (-9),L (-9)
9.0,,2022-11-04,23-312,MIN,MIL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,27,20,8,18,28,22,10,13,3,24,22,22,19,18,18,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,38.0,68.0,70.0,54.0,29.0,0.0,0.3417721518987341,0.3846153846153846,0.32,0.2535211267605634,0.3544303797468354,0.3384615384615385,0.2325581395348837,0.8666666666666667,0.1034482758620689,0.3478260869565217,0.5789473684210527,0.3235294117647059,0.2714285714285714,0.3333333333333333,0.6206896551724138,10,8,7,34.0,67.0,59.0,29.0,0.2941176470588235,0.1194029850746268,0.1186440677966101,0.0,18,,65.0,3.611111111111111,0.0,71.4,3.966666666666667,23.0,1.1,-0.4,2.2,-2.6,0.0190646724246892,0.652,0.336,0.448,0.1,0.9,L (-13),L (-13)
10.0,,2022-11-05,23-313,MIN,HOU,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,27,20,8,18,28,22,10,13,3,24,22,22,19,18,18,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,38.0,68.0,70.0,54.0,29.0,0.0,0.3417721518987341,0.3846153846153846,0.32,0.2535211267605634,0.3544303797468354,0.3384615384615385,0.2325581395348837,0.8666666666666667,0.1034482758620689,0.3478260869565217,0.5789473684210527,0.3235294117647059,0.2714285714285714,0.3333333333333333,0.6206896551724138,10,8,7,34.0,67.0,59.0,29.0,0.2941176470588235,0.1194029850746268,0.1186440677966101,0.0,18,,99.0,5.5,0.0,112.09999999999998,6.227777777777777,23.0,1.1,-0.4,2.2,-2.6,0.0190646724246892,0.652,0.336,0.448,0.1,0.9,W (+12),W (+12)
