Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bryce McGowens,Shared Games with Dennis Smith Jr.,Shared Games with Gordon Hayward,Shared Games with Jalen McDaniels,Shared Games with James Bouknight,Shared Games with JT Thor,Shared Games with Kai Jones,Shared Games with Kelly Oubre Jr.,Shared Games with Kobi Simmons,Shared Games with LaMelo Ball,Shared Games with Mark Williams,Shared Games with Mason Plumlee,Shared Games with Nick Richards,Shared Games with P.J. Washington,Shared Games with Terry Rozier,Shared Games with Théo Maledon,Bryce McGowens,Dennis Smith Jr.,Gordon Hayward,Jalen McDaniels,James Bouknight,JT Thor,Kai Jones,Kelly Oubre Jr.,Kobi Simmons,LaMelo Ball,Mark Williams,Mason Plumlee,Nick Richards,P.J. Washington,Terry Rozier,Théo Maledon,Xavier Sneed,co_inf with Bryce McGowens,co_inf with Dennis Smith Jr.,co_inf with Gordon Hayward,co_inf with Jalen McDaniels,co_inf with James Bouknight,co_inf with JT Thor,co_inf with Kai Jones,co_inf with Kelly Oubre Jr.,co_inf with Kobi Simmons,co_inf with LaMelo Ball,co_inf with Mark Williams,co_inf with Mason Plumlee,co_inf with Nick Richards,co_inf with P.J. Washington,co_inf with Terry Rozier,co_inf with Théo Maledon,co_inf with Xavier Sneed,Shared Games with Reggie Jackson,De'Andre Hunter,Svi Mykhailiuk,co_inf with De'Andre Hunter,co_inf with Svi Mykhailiuk,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,27-021,CHO,@,SAS,W (+27),0,0:56,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6,0.0,0.0,,5,7,1,7,2,7,3,1,1,6,6,7,5,7,7,1,46.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.108695652173913,0.1296296296296296,0.02,0.0875,0.0588235294117647,0.1014492753623188,0.0652173913043478,0.0208333333333333,0.2,0.1666666666666666,0.1395348837209302,0.0886075949367088,0.0769230769230769,0.0958904109589041,0.1111111111111111,0.0227272727272727,0.0,3,67.0,32.0,0.0,0.0,17,0.0,81.0,4.764705882352941,0.0,101.3,5.958823529411765
1,2,,2022-10-21,27-023,CHO,,NOP,L (-12),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,7,1,7,2,7,3,1,1,6,6,7,5,7,7,1,46.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.108695652173913,0.1296296296296296,0.02,0.0875,0.0588235294117647,0.1014492753623188,0.0652173913043478,0.0208333333333333,0.2,0.1666666666666666,0.1395348837209302,0.0886075949367088,0.0769230769230769,0.0958904109589041,0.1111111111111111,0.0227272727272727,0.0,3,67.0,32.0,0.0,0.0,17,,52.0,3.0588235294117645,0.0,70.7,4.158823529411765
2,3,,2022-10-23,27-025,CHO,@,ATL,W (+17),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,7,1,7,2,7,3,1,1,6,6,7,5,7,7,1,46.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.108695652173913,0.1296296296296296,0.02,0.0875,0.0588235294117647,0.1014492753623188,0.0652173913043478,0.0208333333333333,0.2,0.1666666666666666,0.1395348837209302,0.0886075949367088,0.0769230769230769,0.0958904109589041,0.1111111111111111,0.0227272727272727,0.0,3,67.0,32.0,0.0,0.0,17,,84.0,4.941176470588236,0.0,102.1,6.0058823529411764
3,4,,2022-10-26,27-028,CHO,@,NYK,L (-3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,7,1,7,2,7,3,1,1,6,6,7,5,7,7,1,46.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.108695652173913,0.1296296296296296,0.02,0.0875,0.0588235294117647,0.1014492753623188,0.0652173913043478,0.0208333333333333,0.2,0.1666666666666666,0.1395348837209302,0.0886075949367088,0.0769230769230769,0.0958904109589041,0.1111111111111111,0.0227272727272727,0.0,3,67.0,32.0,0.0,0.0,17,,59.0,3.4705882352941178,0.0,83.19999999999999,4.894117647058823
4,5,,2022-10-28,27-030,CHO,@,ORL,L (-20),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,7,1,7,2,7,3,1,1,6,6,7,5,7,7,1,46.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.108695652173913,0.1296296296296296,0.02,0.0875,0.0588235294117647,0.1014492753623188,0.0652173913043478,0.0208333333333333,0.2,0.1666666666666666,0.1395348837209302,0.0886075949367088,0.0769230769230769,0.0958904109589041,0.1111111111111111,0.0227272727272727,0.0,3,67.0,32.0,0.0,0.0,17,,43.0,2.5294117647058822,0.0,57.6,3.388235294117647
5,6,,2022-10-29,27-031,CHO,,GSW,W (+7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,7,1,7,2,7,3,1,1,6,6,7,5,7,7,1,46.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.108695652173913,0.1296296296296296,0.02,0.0875,0.0588235294117647,0.1014492753623188,0.0652173913043478,0.0208333333333333,0.2,0.1666666666666666,0.1395348837209302,0.0886075949367088,0.0769230769230769,0.0958904109589041,0.1111111111111111,0.0227272727272727,0.0,3,67.0,32.0,0.0,0.0,17,,49.0,2.8823529411764706,0.0,74.3,4.370588235294117
6,7,,2022-10-31,27-033,CHO,,SAC,L (-7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,7,1,7,2,7,3,1,1,6,6,7,5,7,7,1,46.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.108695652173913,0.1296296296296296,0.02,0.0875,0.0588235294117647,0.1014492753623188,0.0652173913043478,0.0208333333333333,0.2,0.1666666666666666,0.1395348837209302,0.0886075949367088,0.0769230769230769,0.0958904109589041,0.1111111111111111,0.0227272727272727,0.0,3,67.0,32.0,0.0,0.0,17,,59.0,3.4705882352941178,0.0,65.8,3.8705882352941177
7,8,,2022-11-02,27-035,CHO,@,CHI,L (-18),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,7,1,7,2,7,3,1,1,6,6,7,5,7,7,1,46.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.108695652173913,0.1296296296296296,0.02,0.0875,0.0588235294117647,0.1014492753623188,0.0652173913043478,0.0208333333333333,0.2,0.1666666666666666,0.1395348837209302,0.0886075949367088,0.0769230769230769,0.0958904109589041,0.1111111111111111,0.0227272727272727,0.0,3,67.0,32.0,0.0,0.0,17,,41.0,2.411764705882353,0.0,57.10000000000001,3.358823529411765
8,9,,2022-11-04,27-037,CHO,@,MEM,L (-31),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,7,1,7,2,7,3,1,1,6,6,7,5,7,7,1,46.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.108695652173913,0.1296296296296296,0.02,0.0875,0.0588235294117647,0.1014492753623188,0.0652173913043478,0.0208333333333333,0.2,0.1666666666666666,0.1395348837209302,0.0886075949367088,0.0769230769230769,0.0958904109589041,0.1111111111111111,0.0227272727272727,0.0,3,67.0,32.0,0.0,0.0,17,,42.0,2.4705882352941178,0.0,62.6,3.682352941176471
9,10,,2022-11-05,27-038,CHO,,BRK,L (-4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,7,1,7,2,7,3,1,1,6,6,7,5,7,7,1,46.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.108695652173913,0.1296296296296296,0.02,0.0875,0.0588235294117647,0.1014492753623188,0.0652173913043478,0.0208333333333333,0.2,0.1666666666666666,0.1395348837209302,0.0886075949367088,0.0769230769230769,0.0958904109589041,0.1111111111111111,0.0227272727272727,0.0,3,67.0,32.0,0.0,0.0,17,,30.0,1.7647058823529411,0.0,44.000000000000014,2.588235294117648
