Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alec Burks,Shared Games with Bojan Bogdanović,Shared Games with Braxton Key,Shared Games with Buddy Boeheim,Shared Games with Cade Cunningham,Shared Games with Cory Joseph,Shared Games with Hamidou Diallo,Shared Games with Isaiah Livers,Shared Games with Isaiah Stewart,Shared Games with Jaden Ivey,Shared Games with Jalen Duren,Shared Games with Jared Rhoden,Shared Games with Kevin Knox,Shared Games with Killian Hayes,Shared Games with Marvin Bagley III,Shared Games with Nerlens Noel,Shared Games with Saddiq Bey,Alec Burks,Bojan Bogdanović,Braxton Key,Buddy Boeheim,Cade Cunningham,Cory Joseph,Hamidou Diallo,Isaiah Livers,Isaiah Stewart,Jaden Ivey,Jalen Duren,Jared Rhoden,Kevin Knox,Killian Hayes,Marvin Bagley III,Nerlens Noel,Saddiq Bey,Stanley Umude,co_inf with Alec Burks,co_inf with Bojan Bogdanović,co_inf with Braxton Key,co_inf with Buddy Boeheim,co_inf with Cade Cunningham,co_inf with Cory Joseph,co_inf with Hamidou Diallo,co_inf with Isaiah Livers,co_inf with Isaiah Stewart,co_inf with Jaden Ivey,co_inf with Jalen Duren,co_inf with Jared Rhoden,co_inf with Kevin Knox,co_inf with Killian Hayes,co_inf with Marvin Bagley III,co_inf with Nerlens Noel,co_inf with Saddiq Bey,co_inf with Stanley Umude,Shared Games with James Wiseman,Shared Games with Eugene Omoruyi,Shared Games with R.J. Hampton,Eugene Omoruyi,Frank Kaminsky,James Wiseman,R.J. Hampton,co_inf with James Wiseman,co_inf with Eugene Omoruyi,co_inf with Frank Kaminsky,co_inf with R.J. Hampton,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,,2022-11-07,31-101,DET,OKC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,18,19,3,7,5,28,22,17,16,25,22,8,17,27,17,8,19,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,77.0,1.0,0.3529411764705882,0.3220338983050847,1.0,0.7,0.4166666666666667,0.4516129032258064,0.3928571428571428,0.3269230769230769,0.32,0.3378378378378378,0.3283582089552239,0.5714285714285714,0.2698412698412698,0.3552631578947368,0.4047619047619047,0.4705882352941176,0.2467532467532467,0.0,11,11,11,40.0,36.0,45.0,47.0,0.2444444444444444,0.275,0.0,0.2340425531914893,20,,59.0,2.95,0.0,63.19999999999999,3.16,10.7,0.7,-1.5,-0.8,-0.7,0.0202321724709784,0.566,0.638,0.145,0.1,0.5,W (+9),W (+9)
12.0,5.0,2022-11-09,31-103,DET,BOS,0,5.6,0.0,1.0,.000,0.0,0.0,,2,2.0,1.000,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,+8,1.0,0.0,0.0,18,19,3,7,5,28,22,17,16,25,22,8,17,27,17,8,19,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,77.0,1.0,0.3529411764705882,0.3220338983050847,1.0,0.7,0.4166666666666667,0.4516129032258064,0.3928571428571428,0.3269230769230769,0.32,0.3378378378378378,0.3283582089552239,0.5714285714285714,0.2698412698412698,0.3552631578947368,0.4047619047619047,0.4705882352941176,0.2467532467532467,0.0,11,11,11,40.0,36.0,45.0,47.0,0.2444444444444444,0.275,0.0,0.2340425531914893,20,0.0,61.0,3.05,1.2,79.1,3.955,10.7,0.7,-1.5,-0.8,-0.7,0.0202321724709784,0.566,0.638,0.145,0.1,0.5,L (-16),L (-16)
13.0,,2022-11-11,31-105,DET,NYK,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,18,19,3,7,5,28,22,17,16,25,22,8,17,27,17,8,19,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,77.0,1.0,0.3529411764705882,0.3220338983050847,1.0,0.7,0.4166666666666667,0.4516129032258064,0.3928571428571428,0.3269230769230769,0.32,0.3378378378378378,0.3283582089552239,0.5714285714285714,0.2698412698412698,0.3552631578947368,0.4047619047619047,0.4705882352941176,0.2467532467532467,0.0,11,11,11,40.0,36.0,45.0,47.0,0.2444444444444444,0.275,0.0,0.2340425531914893,20,,64.0,3.2,0.0,80.8,4.04,10.7,0.7,-1.5,-0.8,-0.7,0.0202321724709784,0.566,0.638,0.145,0.1,0.5,L (-9),L (-9)
14.0,,2022-11-12,31-106,DET,BOS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,18,19,3,7,5,28,22,17,16,25,22,8,17,27,17,8,19,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,77.0,1.0,0.3529411764705882,0.3220338983050847,1.0,0.7,0.4166666666666667,0.4516129032258064,0.3928571428571428,0.3269230769230769,0.32,0.3378378378378378,0.3283582089552239,0.5714285714285714,0.2698412698412698,0.3552631578947368,0.4047619047619047,0.4705882352941176,0.2467532467532467,0.0,11,11,11,40.0,36.0,45.0,47.0,0.2444444444444444,0.275,0.0,0.2340425531914893,20,,68.0,3.4,0.0,75.89999999999998,3.794999999999999,10.7,0.7,-1.5,-0.8,-0.7,0.0202321724709784,0.566,0.638,0.145,0.1,0.5,L (-9),L (-9)
15.0,,2022-11-14,31-108,DET,TOR,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,18,19,3,7,5,28,22,17,16,25,22,8,17,27,17,8,19,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,77.0,1.0,0.3529411764705882,0.3220338983050847,1.0,0.7,0.4166666666666667,0.4516129032258064,0.3928571428571428,0.3269230769230769,0.32,0.3378378378378378,0.3283582089552239,0.5714285714285714,0.2698412698412698,0.3552631578947368,0.4047619047619047,0.4705882352941176,0.2467532467532467,0.0,11,11,11,40.0,36.0,45.0,47.0,0.2444444444444444,0.275,0.0,0.2340425531914893,20,,41.0,2.05,0.0,65.2,3.26,10.7,0.7,-1.5,-0.8,-0.7,0.0202321724709784,0.566,0.638,0.145,0.1,0.5,L (-4),L (-4)
16.0,,2022-11-17,31-111,DET,LAC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,18,19,3,7,5,28,22,17,16,25,22,8,17,27,17,8,19,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,77.0,1.0,0.3529411764705882,0.3220338983050847,1.0,0.7,0.4166666666666667,0.4516129032258064,0.3928571428571428,0.3269230769230769,0.32,0.3378378378378378,0.3283582089552239,0.5714285714285714,0.2698412698412698,0.3552631578947368,0.4047619047619047,0.4705882352941176,0.2467532467532467,0.0,11,11,11,40.0,36.0,45.0,47.0,0.2444444444444444,0.275,0.0,0.2340425531914893,20,,28.0,1.4,0.0,40.0,2.0,10.7,0.7,-1.5,-0.8,-0.7,0.0202321724709784,0.566,0.638,0.145,0.1,0.5,L (-5),L (-5)
17.0,,2022-11-18,31-112,DET,LAL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,18,19,3,7,5,28,22,17,16,25,22,8,17,27,17,8,19,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,77.0,1.0,0.3529411764705882,0.3220338983050847,1.0,0.7,0.4166666666666667,0.4516129032258064,0.3928571428571428,0.3269230769230769,0.32,0.3378378378378378,0.3283582089552239,0.5714285714285714,0.2698412698412698,0.3552631578947368,0.4047619047619047,0.4705882352941176,0.2467532467532467,0.0,11,11,11,40.0,36.0,45.0,47.0,0.2444444444444444,0.275,0.0,0.2340425531914893,20,,60.0,3.0,0.0,91.1,4.555,10.7,0.7,-1.5,-0.8,-0.7,0.0202321724709784,0.566,0.638,0.145,0.1,0.5,L (-7),L (-7)
18.0,,2022-11-20,31-114,DET,SAC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,18,19,3,7,5,28,22,17,16,25,22,8,17,27,17,8,19,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,77.0,1.0,0.3529411764705882,0.3220338983050847,1.0,0.7,0.4166666666666667,0.4516129032258064,0.3928571428571428,0.3269230769230769,0.32,0.3378378378378378,0.3283582089552239,0.5714285714285714,0.2698412698412698,0.3552631578947368,0.4047619047619047,0.4705882352941176,0.2467532467532467,0.0,11,11,11,40.0,36.0,45.0,47.0,0.2444444444444444,0.275,0.0,0.2340425531914893,20,,61.0,3.05,0.0,85.39999999999998,4.269999999999999,10.7,0.7,-1.5,-0.8,-0.7,0.0202321724709784,0.566,0.638,0.145,0.1,0.5,L (-8),L (-8)
19.0,,2022-11-22,31-116,DET,DEN,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,18,19,3,7,5,28,22,17,16,25,22,8,17,27,17,8,19,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,77.0,1.0,0.3529411764705882,0.3220338983050847,1.0,0.7,0.4166666666666667,0.4516129032258064,0.3928571428571428,0.3269230769230769,0.32,0.3378378378378378,0.3283582089552239,0.5714285714285714,0.2698412698412698,0.3552631578947368,0.4047619047619047,0.4705882352941176,0.2467532467532467,0.0,11,11,11,40.0,36.0,45.0,47.0,0.2444444444444444,0.275,0.0,0.2340425531914893,20,,61.0,3.05,0.0,73.30000000000001,3.665000000000001,10.7,0.7,-1.5,-0.8,-0.7,0.0202321724709784,0.566,0.638,0.145,0.1,0.5,W (+2),W (+2)
20.0,,2022-11-23,31-117,DET,UTA,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,18,19,3,7,5,28,22,17,16,25,22,8,17,27,17,8,19,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,77.0,1.0,0.3529411764705882,0.3220338983050847,1.0,0.7,0.4166666666666667,0.4516129032258064,0.3928571428571428,0.3269230769230769,0.32,0.3378378378378378,0.3283582089552239,0.5714285714285714,0.2698412698412698,0.3552631578947368,0.4047619047619047,0.4705882352941176,0.2467532467532467,0.0,11,11,11,40.0,36.0,45.0,47.0,0.2444444444444444,0.275,0.0,0.2340425531914893,20,,74.0,3.7,0.0,92.99999999999996,4.649999999999998,10.7,0.7,-1.5,-0.8,-0.7,0.0202321724709784,0.566,0.638,0.145,0.1,0.5,W (+9),W (+9)
21.0,6.0,2022-11-25,31-119,DET,PHO,1,19.95,3.0,7.0,.429,2.0,6.0,.333,0,0.0,,3.0,3.0,6.0,2.0,0.0,0.0,0.0,0.0,8.0,8.7,-12,1.0,1.0,1.0,18,19,3,7,5,28,22,17,16,25,22,8,17,27,17,8,19,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,77.0,1.0,0.3529411764705882,0.3220338983050847,1.0,0.7,0.4166666666666667,0.4516129032258064,0.3928571428571428,0.3269230769230769,0.32,0.3378378378378378,0.3283582089552239,0.5714285714285714,0.2698412698412698,0.3552631578947368,0.4047619047619047,0.4705882352941176,0.2467532467532467,0.0,11,11,11,40.0,36.0,45.0,47.0,0.2444444444444444,0.275,0.0,0.2340425531914893,20,9.0,38.0,1.9,8.7,49.1,2.455,10.7,0.7,-1.5,-0.8,-0.7,0.0202321724709784,0.566,0.638,0.145,0.1,0.5,,
22.0,7.0,2022-11-27,31-121,DET,CLE,1,18.35,1.0,4.0,.250,0.0,3.0,.000,0,0.0,,1.0,2.0,3.0,3.0,0.0,0.0,1.0,1.0,2.0,1.6,+14,1.0,1.0,1.0,18,19,3,7,5,28,22,17,16,25,22,8,17,27,17,8,19,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,77.0,1.0,0.3529411764705882,0.3220338983050847,1.0,0.7,0.4166666666666667,0.4516129032258064,0.3928571428571428,0.3269230769230769,0.32,0.3378378378378378,0.3283582089552239,0.5714285714285714,0.2698412698412698,0.3552631578947368,0.4047619047619047,0.4705882352941176,0.2467532467532467,0.0,11,11,11,40.0,36.0,45.0,47.0,0.2444444444444444,0.275,0.0,0.2340425531914893,20,3.0,36.0,1.8,1.5999999999999992,48.30000000000001,2.4150000000000005,10.7,0.7,-1.5,-0.8,-0.7,0.0202321724709784,0.566,0.638,0.145,0.1,0.5,L (-6),L (-6)
23.0,8.0,2022-11-29,31-123,DET,NYK,0,8.316666666666666,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,-1.7,-1,0.0,0.0,,18,19,3,7,5,28,22,17,16,25,22,8,17,27,17,8,19,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,77.0,1.0,0.3529411764705882,0.3220338983050847,1.0,0.7,0.4166666666666667,0.4516129032258064,0.3928571428571428,0.3269230769230769,0.32,0.3378378378378378,0.3283582089552239,0.5714285714285714,0.2698412698412698,0.3552631578947368,0.4047619047619047,0.4705882352941176,0.2467532467532467,0.0,11,11,11,40.0,36.0,45.0,47.0,0.2444444444444444,0.275,0.0,0.2340425531914893,20,-1.0,59.0,2.95,-1.7,72.3,3.615,10.7,0.7,-1.5,-0.8,-0.7,0.0202321724709784,0.566,0.638,0.145,0.1,0.5,L (-8),L (-8)
