Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bojan Bogdanović,Shared Games with Braxton Key,Shared Games with Cade Cunningham,Shared Games with Cory Joseph,Shared Games with Hamidou Diallo,Shared Games with Isaiah Livers,Shared Games with Isaiah Stewart,Shared Games with Jaden Ivey,Shared Games with Jalen Duren,Shared Games with Kevin Knox,Shared Games with Killian Hayes,Shared Games with Marvin Bagley III,Shared Games with Rodney McGruder,Shared Games with Saddiq Bey,Alec Burks,Bojan Bogdanović,Braxton Key,Cade Cunningham,Cory Joseph,Hamidou Diallo,Isaiah Livers,Isaiah Stewart,Jaden Ivey,Jalen Duren,Jared Rhoden,Kevin Knox,Killian Hayes,Marvin Bagley III,Nerlens Noel,Rodney McGruder,Saddiq Bey,Stanley Umude,co_inf with Alec Burks,co_inf with Bojan Bogdanović,co_inf with Braxton Key,co_inf with Cade Cunningham,co_inf with Cory Joseph,co_inf with Hamidou Diallo,co_inf with Isaiah Livers,co_inf with Isaiah Stewart,co_inf with Jaden Ivey,co_inf with Jalen Duren,co_inf with Jared Rhoden,co_inf with Kevin Knox,co_inf with Killian Hayes,co_inf with Marvin Bagley III,co_inf with Nerlens Noel,co_inf with Rodney McGruder,co_inf with Saddiq Bey,co_inf with Stanley Umude,Shared Games with James Wiseman,Shared Games with Eugene Omoruyi,Shared Games with R.J. Hampton,Eugene Omoruyi,Frank Kaminsky,James Wiseman,R.J. Hampton,co_inf with James Wiseman,co_inf with Eugene Omoruyi,co_inf with Frank Kaminsky,co_inf with R.J. Hampton,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-19,22-342,DET,ORL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,1,1,10,2,3,1,8,8,1,10,6,7,1,51.0,59.0,3.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0,0.0169491525423728,0.3333333333333333,0.0833333333333333,0.1612903225806451,0.0357142857142857,0.0576923076923076,0.02,0.1081081081081081,0.1194029850746268,0.0,0.0158730158730158,0.131578947368421,0.1428571428571428,0.0,0.21875,0.0129870129870129,0.0,8,6,6,40.0,36.0,45.0,47.0,0.1777777777777777,0.15,0.0,0.1276595744680851,17,,80.0,4.705882352941177,0.0,94.8,5.576470588235294,0.5,-0.2,-9.5,-7.5,-2.0,0.0017689331122166,0.287,0.926,0.074,-0.2,-0.2,W (+4),W (+4)
2.0,1.0,2022-10-21,22-344,DET,NYK,0,0.95,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+2,0.0,0.0,,1,1,1,10,2,3,1,8,8,1,10,6,7,1,51.0,59.0,3.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0,0.0169491525423728,0.3333333333333333,0.0833333333333333,0.1612903225806451,0.0357142857142857,0.0576923076923076,0.02,0.1081081081081081,0.1194029850746268,0.0,0.0158730158730158,0.131578947368421,0.1428571428571428,0.0,0.21875,0.0129870129870129,0.0,8,6,6,40.0,36.0,45.0,47.0,0.1777777777777777,0.15,0.0,0.1276595744680851,17,0.0,48.0,2.823529411764706,0.0,57.1,3.3588235294117648,0.5,-0.2,-9.5,-7.5,-2.0,0.0017689331122166,0.287,0.926,0.074,-0.2,-0.2,L (-24),L (-24)
3.0,,2022-10-22,22-345,DET,IND,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,1,1,10,2,3,1,8,8,1,10,6,7,1,51.0,59.0,3.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0,0.0169491525423728,0.3333333333333333,0.0833333333333333,0.1612903225806451,0.0357142857142857,0.0576923076923076,0.02,0.1081081081081081,0.1194029850746268,0.0,0.0158730158730158,0.131578947368421,0.1428571428571428,0.0,0.21875,0.0129870129870129,0.0,8,6,6,40.0,36.0,45.0,47.0,0.1777777777777777,0.15,0.0,0.1276595744680851,17,,70.0,4.117647058823529,0.0,86.60000000000001,5.094117647058824,0.5,-0.2,-9.5,-7.5,-2.0,0.0017689331122166,0.287,0.926,0.074,-0.2,-0.2,L (-9),L (-9)
4.0,,2022-10-25,22-348,DET,WAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,10,2,3,1,8,8,1,10,6,7,1,51.0,59.0,3.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0,0.0169491525423728,0.3333333333333333,0.0833333333333333,0.1612903225806451,0.0357142857142857,0.0576923076923076,0.02,0.1081081081081081,0.1194029850746268,0.0,0.0158730158730158,0.131578947368421,0.1428571428571428,0.0,0.21875,0.0129870129870129,0.0,8,6,6,40.0,36.0,45.0,47.0,0.1777777777777777,0.15,0.0,0.1276595744680851,17,,35.0,2.0588235294117645,0.0,54.7,3.217647058823529,0.5,-0.2,-9.5,-7.5,-2.0,0.0017689331122166,0.287,0.926,0.074,-0.2,-0.2,L (-21),L (-21)
5.0,,2022-10-26,22-349,DET,ATL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,10,2,3,1,8,8,1,10,6,7,1,51.0,59.0,3.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0,0.0169491525423728,0.3333333333333333,0.0833333333333333,0.1612903225806451,0.0357142857142857,0.0576923076923076,0.02,0.1081081081081081,0.1194029850746268,0.0,0.0158730158730158,0.131578947368421,0.1428571428571428,0.0,0.21875,0.0129870129870129,0.0,8,6,6,40.0,36.0,45.0,47.0,0.1777777777777777,0.15,0.0,0.1276595744680851,17,,66.0,3.882352941176471,0.0,73.69999999999999,4.3352941176470585,0.5,-0.2,-9.5,-7.5,-2.0,0.0017689331122166,0.287,0.926,0.074,-0.2,-0.2,L (-5),L (-5)
6.0,,2022-10-28,22-351,DET,ATL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,10,2,3,1,8,8,1,10,6,7,1,51.0,59.0,3.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0,0.0169491525423728,0.3333333333333333,0.0833333333333333,0.1612903225806451,0.0357142857142857,0.0576923076923076,0.02,0.1081081081081081,0.1194029850746268,0.0,0.0158730158730158,0.131578947368421,0.1428571428571428,0.0,0.21875,0.0129870129870129,0.0,8,6,6,40.0,36.0,45.0,47.0,0.1777777777777777,0.15,0.0,0.1276595744680851,17,,50.0,2.9411764705882355,0.0,73.4,4.31764705882353,0.5,-0.2,-9.5,-7.5,-2.0,0.0017689331122166,0.287,0.926,0.074,-0.2,-0.2,L (-24),L (-24)
7.0,,2022-10-30,22-353,DET,GSW,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,10,2,3,1,8,8,1,10,6,7,1,51.0,59.0,3.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0,0.0169491525423728,0.3333333333333333,0.0833333333333333,0.1612903225806451,0.0357142857142857,0.0576923076923076,0.02,0.1081081081081081,0.1194029850746268,0.0,0.0158730158730158,0.131578947368421,0.1428571428571428,0.0,0.21875,0.0129870129870129,0.0,8,6,6,40.0,36.0,45.0,47.0,0.1777777777777777,0.15,0.0,0.1276595744680851,17,,77.0,4.529411764705882,0.0,91.5,5.382352941176471,0.5,-0.2,-9.5,-7.5,-2.0,0.0017689331122166,0.287,0.926,0.074,-0.2,-0.2,W (+14),W (+14)
8.0,,2022-10-31,22-354,DET,MIL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,10,2,3,1,8,8,1,10,6,7,1,51.0,59.0,3.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0,0.0169491525423728,0.3333333333333333,0.0833333333333333,0.1612903225806451,0.0357142857142857,0.0576923076923076,0.02,0.1081081081081081,0.1194029850746268,0.0,0.0158730158730158,0.131578947368421,0.1428571428571428,0.0,0.21875,0.0129870129870129,0.0,8,6,6,40.0,36.0,45.0,47.0,0.1777777777777777,0.15,0.0,0.1276595744680851,17,,52.0,3.0588235294117645,0.0,69.3,4.076470588235294,0.5,-0.2,-9.5,-7.5,-2.0,0.0017689331122166,0.287,0.926,0.074,-0.2,-0.2,L (-2),L (-2)
9.0,,2022-11-02,22-356,DET,MIL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,10,2,3,1,8,8,1,10,6,7,1,51.0,59.0,3.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0,0.0169491525423728,0.3333333333333333,0.0833333333333333,0.1612903225806451,0.0357142857142857,0.0576923076923076,0.02,0.1081081081081081,0.1194029850746268,0.0,0.0158730158730158,0.131578947368421,0.1428571428571428,0.0,0.21875,0.0129870129870129,0.0,8,6,6,40.0,36.0,45.0,47.0,0.1777777777777777,0.15,0.0,0.1276595744680851,17,,39.0,2.294117647058824,0.0,38.89999999999999,2.2882352941176465,0.5,-0.2,-9.5,-7.5,-2.0,0.0017689331122166,0.287,0.926,0.074,-0.2,-0.2,L (-25),L (-25)
10.0,,2022-11-04,22-358,DET,CLE,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,10,2,3,1,8,8,1,10,6,7,1,51.0,59.0,3.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0,0.0169491525423728,0.3333333333333333,0.0833333333333333,0.1612903225806451,0.0357142857142857,0.0576923076923076,0.02,0.1081081081081081,0.1194029850746268,0.0,0.0158730158730158,0.131578947368421,0.1428571428571428,0.0,0.21875,0.0129870129870129,0.0,8,6,6,40.0,36.0,45.0,47.0,0.1777777777777777,0.15,0.0,0.1276595744680851,17,,27.0,1.588235294117647,0.0,36.3,2.135294117647059,0.5,-0.2,-9.5,-7.5,-2.0,0.0017689331122166,0.287,0.926,0.074,-0.2,-0.2,L (-24),L (-24)
