Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alec Burks,Shared Games with Braxton Key,Shared Games with Buddy Boeheim,Shared Games with Cade Cunningham,Shared Games with Cory Joseph,Shared Games with Hamidou Diallo,Shared Games with Isaiah Livers,Shared Games with Isaiah Stewart,Shared Games with Jaden Ivey,Shared Games with Jalen Duren,Shared Games with Jared Rhoden,Shared Games with Kevin Knox,Shared Games with Killian Hayes,Shared Games with Marvin Bagley III,Shared Games with Nerlens Noel,Shared Games with Rodney McGruder,Shared Games with Saddiq Bey,Alec Burks,Braxton Key,Buddy Boeheim,Cade Cunningham,Cory Joseph,Hamidou Diallo,Isaiah Livers,Isaiah Stewart,Jaden Ivey,Jalen Duren,Jared Rhoden,Kevin Knox,Killian Hayes,Marvin Bagley III,Nerlens Noel,Rodney McGruder,Saddiq Bey,Stanley Umude,co_inf with Alec Burks,co_inf with Braxton Key,co_inf with Buddy Boeheim,co_inf with Cade Cunningham,co_inf with Cory Joseph,co_inf with Hamidou Diallo,co_inf with Isaiah Livers,co_inf with Isaiah Stewart,co_inf with Jaden Ivey,co_inf with Jalen Duren,co_inf with Jared Rhoden,co_inf with Kevin Knox,co_inf with Killian Hayes,co_inf with Marvin Bagley III,co_inf with Nerlens Noel,co_inf with Rodney McGruder,co_inf with Saddiq Bey,co_inf with Stanley Umude,Shared Games with James Wiseman,Shared Games with Eugene Omoruyi,Shared Games with R.J. Hampton,Eugene Omoruyi,Frank Kaminsky,James Wiseman,R.J. Hampton,co_inf with James Wiseman,co_inf with Eugene Omoruyi,co_inf with Frank Kaminsky,co_inf with R.J. Hampton,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,33-184,DET,ORL,1.0,34.833333333333336,8.0,16.0,0.5,6.0,10.0,0.6,2.0,2.0,1.0,1.0,4.0,5.0,2.0,1.0,0.0,1.0,3.0,24.0,18.1,6.0,6.0,2.0,0.3333333333333333,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,13.0,67.0,3.35,17.299999999999997,77.50000000000001,3.875000000000001,17.4,3.5,0.8,2.6,-1.8,0.1407407407407407,0.627,0.4,0.344,1.4,3.1,W (+4),W (+4)
2.0,2.0,2022-10-21,33-186,DET,NYK,1.0,26.03333333333333,7.0,9.0,0.778,1.0,2.0,0.5,3.0,4.0,0.75,0.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,18.0,15.0,-6.0,7.0,6.0,0.8571428571428571,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,9.0,39.0,1.95,13.8,43.29999999999999,2.165,17.4,3.5,0.8,2.6,-1.8,0.1407407407407407,0.627,0.4,0.344,1.4,3.1,L (-24),L (-24)
3.0,3.0,2022-10-22,33-187,DET,IND,1.0,32.483333333333334,5.0,16.0,0.313,4.0,10.0,0.4,2.0,2.0,1.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,1.0,16.0,11.2,-4.0,6.0,1.0,0.1666666666666666,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,6.0,64.0,3.2,10.4,76.2,3.81,17.4,3.5,0.8,2.6,-1.8,0.1407407407407407,0.627,0.4,0.344,1.4,3.1,L (-9),L (-9)
4.0,4.0,2022-10-25,33-190,DET,WAS,1.0,29.3,8.0,13.0,0.615,4.0,7.0,0.571,5.0,5.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,2.0,25.0,18.3,-11.0,6.0,4.0,0.6666666666666666,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,9.0,26.0,1.3,16.3,38.399999999999984,1.92,17.4,3.5,0.8,2.6,-1.8,0.1407407407407407,0.627,0.4,0.344,1.4,3.1,L (-21),L (-21)
5.0,5.0,2022-10-26,33-191,DET,ATL,1.0,33.68333333333333,12.0,21.0,0.571,6.0,12.0,0.5,3.0,4.0,0.75,0.0,2.0,2.0,3.0,0.0,0.0,2.0,5.0,33.0,21.4,-3.0,9.0,6.0,0.6666666666666666,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,11.0,55.0,2.75,20.2,53.5,2.675,17.4,3.5,0.8,2.6,-1.8,0.1407407407407407,0.627,0.4,0.344,1.4,3.1,L (-5),L (-5)
6.0,6.0,2022-10-28,33-193,DET,ATL,1.0,30.383333333333333,5.0,12.0,0.417,3.0,6.0,0.5,9.0,9.0,1.0,1.0,3.0,4.0,0.0,1.0,0.0,1.0,2.0,22.0,16.4,-21.0,6.0,2.0,0.3333333333333333,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,5.0,45.0,2.25,12.8,60.6,3.03,17.4,3.5,0.8,2.6,-1.8,0.1407407407407407,0.627,0.4,0.344,1.4,3.1,L (-24),L (-24)
7.0,7.0,2022-10-30,33-195,DET,GSW,1.0,34.8,5.0,8.0,0.625,3.0,6.0,0.5,8.0,8.0,1.0,0.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,21.0,19.0,4.0,2.0,2.0,1.0,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,10.0,67.0,3.35,15.8,75.69999999999999,3.7849999999999993,17.4,3.5,0.8,2.6,-1.8,0.1407407407407407,0.627,0.4,0.344,1.4,3.1,W (+14),W (+14)
8.0,8.0,2022-10-31,33-196,DET,MIL,1.0,35.083333333333336,9.0,16.0,0.563,3.0,6.0,0.5,2.0,2.0,1.0,1.0,3.0,4.0,2.0,2.0,0.0,1.0,2.0,23.0,18.6,-5.0,10.0,6.0,0.6,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,12.0,40.0,2.0,17.799999999999997,51.5,2.575,17.4,3.5,0.8,2.6,-1.8,0.1407407407407407,0.627,0.4,0.344,1.4,3.1,L (-2),L (-2)
9.0,9.0,2022-11-02,33-198,DET,MIL,1.0,27.8,5.0,12.0,0.417,3.0,7.0,0.429,1.0,1.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,7.0,3.0,14.0,1.7,-24.0,5.0,2.0,0.4,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,-1.0,40.0,2.0,1.2999999999999972,37.6,1.88,17.4,3.5,0.8,2.6,-1.8,0.1407407407407407,0.627,0.4,0.344,1.4,3.1,L (-25),L (-25)
10.0,10.0,2022-11-04,33-200,DET,CLE,1.0,26.7,2.0,9.0,0.222,1.0,4.0,0.25,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,3.0,6.0,-0.7,-4.0,5.0,1.0,0.2,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,-3.0,30.0,1.5,-1.0999999999999992,37.4,1.87,17.4,3.5,0.8,2.6,-1.8,0.1407407407407407,0.627,0.4,0.344,1.4,3.1,L (-24),L (-24)
11.0,11.0,2022-11-07,33-203,DET,OKC,1.0,30.066666666666663,3.0,11.0,0.273,2.0,7.0,0.286,4.0,4.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,6.1,15.0,4.0,1.0,0.25,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,-1.0,60.0,3.0,4.5,58.69999999999999,2.935,17.4,3.5,0.8,2.6,-1.8,0.1407407407407407,0.627,0.4,0.344,1.4,3.1,W (+9),W (+9)
12.0,12.0,2022-11-09,33-205,DET,BOS,1.0,26.183333333333334,6.0,11.0,0.545,1.0,4.0,0.25,4.0,6.0,0.667,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,17.0,11.2,-19.0,7.0,5.0,0.7142857142857143,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,2.0,59.0,2.95,9.6,70.69999999999999,3.535,17.4,3.5,0.8,2.6,-1.8,0.1407407407407407,0.627,0.4,0.344,1.4,3.1,L (-16),L (-16)
13.0,13.0,2022-11-11,33-207,DET,NYK,1.0,34.28333333333333,9.0,15.0,0.6,0.0,5.0,0.0,7.0,7.0,1.0,0.0,5.0,5.0,3.0,0.0,0.0,2.0,3.0,25.0,18.5,-11.0,10.0,9.0,0.9,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,9.0,55.0,2.75,15.700000000000005,65.1,3.255,17.4,3.5,0.8,2.6,-1.8,0.1407407407407407,0.627,0.4,0.344,1.4,3.1,L (-9),L (-9)
14.0,14.0,2022-11-12,33-208,DET,BOS,1.0,32.983333333333334,9.0,15.0,0.6,3.0,7.0,0.429,7.0,8.0,0.875,0.0,6.0,6.0,4.0,0.0,0.0,4.0,3.0,28.0,20.1,-2.0,8.0,6.0,0.75,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,11.0,57.0,2.85,17.299999999999997,58.6,2.93,17.4,3.5,0.8,2.6,-1.8,0.1407407407407407,0.627,0.4,0.344,1.4,3.1,L (-9),L (-9)
