Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Gill,Shared Games with Bradley Beal,Shared Games with Corey Kispert,Shared Games with Daniel Gafford,Shared Games with Delon Wright,Shared Games with Deni Avdija,Shared Games with Devon Dotson,Shared Games with Isaiah Todd,Shared Games with Jay Huff,Shared Games with Jordan Goodwin,Shared Games with Kristaps Porziņģis,Shared Games with Kyle Kuzma,Shared Games with Monte Morris,Shared Games with Rui Hachimura,Shared Games with Taj Gibson,Shared Games with Vernon Carey Jr.,Shared Games with Will Barton,Anthony Gill,Bradley Beal,Corey Kispert,Daniel Gafford,Delon Wright,Deni Avdija,Devon Dotson,Isaiah Todd,Jay Huff,Jordan Goodwin,Jordan Schakel,Kristaps Porziņģis,Kyle Kuzma,Monte Morris,Quenton Jackson,Rui Hachimura,Taj Gibson,Vernon Carey Jr.,Will Barton,Xavier Cooks,co_inf with Anthony Gill,co_inf with Bradley Beal,co_inf with Corey Kispert,co_inf with Daniel Gafford,co_inf with Delon Wright,co_inf with Deni Avdija,co_inf with Devon Dotson,co_inf with Isaiah Todd,co_inf with Jay Huff,co_inf with Jordan Goodwin,co_inf with Jordan Schakel,co_inf with Kristaps Porziņģis,co_inf with Kyle Kuzma,co_inf with Monte Morris,co_inf with Quenton Jackson,co_inf with Rui Hachimura,co_inf with Taj Gibson,co_inf with Vernon Carey Jr.,co_inf with Will Barton,co_inf with Xavier Cooks,A.J. Green,A.J. Lawson,Aaron Gordon,Aaron Holiday,Aaron Nesmith,Aaron Wiggins,Admiral Schofield,AJ Griffin,Al Horford,Alec Burks,Aleksej Pokusevski,Alex Caruso,Alex Len,Alize Johnson,Alondes Williams,Alperen Şengün,Amir Coffey,Andre Drummond,Andre Iguodala,Andrew Nembhard,Andrew Wiggins,Anfernee Simons,Marcus Smart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-19,20-234,WAS,@,IND,W (+7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,27,15,24,26,17,23,3,6,2,24,20,14,20,7,18,5,10,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.4576271186440678,0.3,0.3243243243243243,0.3333333333333333,0.34,0.3026315789473684,0.5,1.0,0.2857142857142857,0.3870967741935484,0.0,0.3076923076923077,0.21875,0.3225806451612903,0.0,0.1111111111111111,0.3673469387755102,0.4545454545454545,0.1785714285714285,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,,72.0,4.235294117647059,0.0,81.39999999999998,4.788235294117646
1,2,,2022-10-21,20-236,WAS,,CHI,W (+2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,27,15,24,26,17,23,3,6,2,24,20,14,20,7,18,5,10,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.4576271186440678,0.3,0.3243243243243243,0.3333333333333333,0.34,0.3026315789473684,0.5,1.0,0.2857142857142857,0.3870967741935484,0.0,0.3076923076923077,0.21875,0.3225806451612903,0.0,0.1111111111111111,0.3673469387755102,0.4545454545454545,0.1785714285714285,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,,77.0,4.529411764705882,0.0,78.69999999999999,4.629411764705882
2,3,,2022-10-23,20-238,WAS,@,CLE,L (-10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,27,15,24,26,17,23,3,6,2,24,20,14,20,7,18,5,10,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.4576271186440678,0.3,0.3243243243243243,0.3333333333333333,0.34,0.3026315789473684,0.5,1.0,0.2857142857142857,0.3870967741935484,0.0,0.3076923076923077,0.21875,0.3225806451612903,0.0,0.1111111111111111,0.3673469387755102,0.4545454545454545,0.1785714285714285,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,,64.0,3.764705882352941,0.0,71.10000000000001,4.182352941176471
3,4,1,2022-10-25,20-240,WAS,,DET,W (+21),0,2:54,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,+1,1.0,0.0,0.0,27,15,24,26,17,23,3,6,2,24,20,14,20,7,18,5,10,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.4576271186440678,0.3,0.3243243243243243,0.3333333333333333,0.34,0.3026315789473684,0.5,1.0,0.2857142857142857,0.3870967741935484,0.0,0.3076923076923077,0.21875,0.3225806451612903,0.0,0.1111111111111111,0.3673469387755102,0.4545454545454545,0.1785714285714285,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,-1.0,91.0,5.352941176470588,-1.1,99.39999999999998,5.8470588235294105
4,5,2,2022-10-28,20-243,WAS,,IND,L (-10),0,7:17,1.0,2.0,.500,0.0,0.0,,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.9,-13,2.0,1.0,0.5,27,15,24,26,17,23,3,6,2,24,20,14,20,7,18,5,10,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.4576271186440678,0.3,0.3243243243243243,0.3333333333333333,0.34,0.3026315789473684,0.5,1.0,0.2857142857142857,0.3870967741935484,0.0,0.3076923076923077,0.21875,0.3225806451612903,0.0,0.1111111111111111,0.3673469387755102,0.4545454545454545,0.1785714285714285,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,1.0,61.0,3.588235294117647,0.8999999999999997,77.8,4.576470588235294
5,6,3,2022-10-30,20-245,WAS,@,BOS,L (-18),0,8:17,1.0,3.0,.333,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,-1.0,+3,3.0,1.0,0.3333333333333333,27,15,24,26,17,23,3,6,2,24,20,14,20,7,18,5,10,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.4576271186440678,0.3,0.3243243243243243,0.3333333333333333,0.34,0.3026315789473684,0.5,1.0,0.2857142857142857,0.3870967741935484,0.0,0.3076923076923077,0.21875,0.3225806451612903,0.0,0.1111111111111111,0.3673469387755102,0.4545454545454545,0.1785714285714285,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,0.0,56.0,3.294117647058824,-1.0,61.80000000000001,3.6352941176470597
6,7,4,2022-10-31,20-246,WAS,,PHI,L (-7),0,4:15,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0,0.0,0.0,,27,15,24,26,17,23,3,6,2,24,20,14,20,7,18,5,10,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.4576271186440678,0.3,0.3243243243243243,0.3333333333333333,0.34,0.3026315789473684,0.5,1.0,0.2857142857142857,0.3870967741935484,0.0,0.3076923076923077,0.21875,0.3225806451612903,0.0,0.1111111111111111,0.3673469387755102,0.4545454545454545,0.1785714285714285,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,1.0,65.0,3.823529411764706,0.7,78.29999999999998,4.605882352941175
7,8,,2022-11-02,20-248,WAS,@,PHI,W (+10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,27,15,24,26,17,23,3,6,2,24,20,14,20,7,18,5,10,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.4576271186440678,0.3,0.3243243243243243,0.3333333333333333,0.34,0.3026315789473684,0.5,1.0,0.2857142857142857,0.3870967741935484,0.0,0.3076923076923077,0.21875,0.3225806451612903,0.0,0.1111111111111111,0.3673469387755102,0.4545454545454545,0.1785714285714285,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,,88.0,5.176470588235294,0.0,99.9,5.876470588235295
8,9,5,2022-11-04,20-250,WAS,,BRK,L (-42),0,7:43,0.0,0.0,,0.0,0.0,,2,2.0,1.000,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,1.2,-5,0.0,0.0,,27,15,24,26,17,23,3,6,2,24,20,14,20,7,18,5,10,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.4576271186440678,0.3,0.3243243243243243,0.3333333333333333,0.34,0.3026315789473684,0.5,1.0,0.2857142857142857,0.3870967741935484,0.0,0.3076923076923077,0.21875,0.3225806451612903,0.0,0.1111111111111111,0.3673469387755102,0.4545454545454545,0.1785714285714285,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,1.0,35.0,2.0588235294117645,0.4000000000000001,44.89999999999999,2.641176470588235
9,10,,2022-11-06,20-252,WAS,@,MEM,L (-6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,27,15,24,26,17,23,3,6,2,24,20,14,20,7,18,5,10,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.4576271186440678,0.3,0.3243243243243243,0.3333333333333333,0.34,0.3026315789473684,0.5,1.0,0.2857142857142857,0.3870967741935484,0.0,0.3076923076923077,0.21875,0.3225806451612903,0.0,0.1111111111111111,0.3673469387755102,0.4545454545454545,0.1785714285714285,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,,78.0,4.588235294117647,0.0,74.89999999999999,4.405882352941176
