Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Danuel House Jr.,Shared Games with De'Anthony Melton,Shared Games with Furkan Korkmaz,Shared Games with Georges Niang,Shared Games with Matisse Thybulle,Shared Games with Montrezl Harrell,Shared Games with P.J. Tucker,Shared Games with Paul Reed,Shared Games with Shake Milton,Shared Games with Tobias Harris,Danuel House Jr.,De'Anthony Melton,Furkan Korkmaz,Georges Niang,Jaden Springer,James Harden,Joel Embiid,Louis King,Mac McClung,Matisse Thybulle,Michael Foster Jr.,Montrezl Harrell,P.J. Tucker,Paul Reed,Saben Lee,Shake Milton,Tobias Harris,Tyrese Maxey,co_inf with Danuel House Jr.,co_inf with De'Anthony Melton,co_inf with Furkan Korkmaz,co_inf with Georges Niang,co_inf with Jaden Springer,co_inf with James Harden,co_inf with Joel Embiid,co_inf with Louis King,co_inf with Mac McClung,co_inf with Matisse Thybulle,co_inf with Michael Foster Jr.,co_inf with Montrezl Harrell,co_inf with P.J. Tucker,co_inf with Paul Reed,co_inf with Saben Lee,co_inf with Shake Milton,co_inf with Tobias Harris,co_inf with Tyrese Maxey,Shared Games with Jalen McDaniels,Shared Games with Blake Wesley,Shared Games with Charles Bassey,Shared Games with Devin Vassell,Shared Games with Devonte' Graham,Shared Games with Dominick Barlow,Shared Games with Doug McDermott,Shared Games with Gorgui Dieng,Shared Games with Jeremy Sochan,Shared Games with Keita Bates-Diop,Shared Games with Keldon Johnson,Shared Games with Malaki Branham,Shared Games with Romeo Langford,Shared Games with Sandro Mamukelashvili,Shared Games with Tre Jones,Shared Games with Zach Collins,Alize Johnson,Blake Wesley,Charles Bassey,Devin Vassell,Devonte' Graham,Dominick Barlow,Doug McDermott,Gorgui Dieng,Jeremy Sochan,Jordan Hall,Joshua Primo,Justin Jackson,Keita Bates-Diop,Keldon Johnson,Khem Birch,Malaki Branham,Romeo Langford,Sandro Mamukelashvili,Stanley Johnson,Tre Jones,Zach Collins,co_inf with Alize Johnson,co_inf with Blake Wesley,co_inf with Charles Bassey,co_inf with Devin Vassell,co_inf with Devonte' Graham,co_inf with Dominick Barlow,co_inf with Doug McDermott,co_inf with Gorgui Dieng,co_inf with Jeremy Sochan,co_inf with Jordan Hall,co_inf with Joshua Primo,co_inf with Justin Jackson,co_inf with Keita Bates-Diop,co_inf with Keldon Johnson,co_inf with Khem Birch,co_inf with Malaki Branham,co_inf with Romeo Langford,co_inf with Sandro Mamukelashvili,co_inf with Stanley Johnson,co_inf with Tre Jones,co_inf with Zach Collins,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-18,21-111,PHI,@,BOS,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,2,2,1,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.054054054054054,0.0256410256410256,0.0,0.0,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,8,15,3,6,12,12,9,7,5,14,8,14,6,14,10,9,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.4054054054054054,0.0857142857142857,0.1578947368421052,0.1643835616438356,0.4285714285714285,0.140625,0.2258064516129032,0.0892857142857142,0.0,0.0,0.0,0.208955223880597,0.1269841269841269,0.0,0.2121212121212121,0.1395348837209302,0.3255813953488372,0.0,0.1470588235294117,0.1428571428571428,26,,42.0,1.6153846153846154,0.0,48.899999999999984,1.88076923076923
1,2,,2022-10-20,21-113,PHI,,MIL,L (-2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,2,2,1,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.054054054054054,0.0256410256410256,0.0,0.0,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,8,15,3,6,12,12,9,7,5,14,8,14,6,14,10,9,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.4054054054054054,0.0857142857142857,0.1578947368421052,0.1643835616438356,0.4285714285714285,0.140625,0.2258064516129032,0.0892857142857142,0.0,0.0,0.0,0.208955223880597,0.1269841269841269,0.0,0.2121212121212121,0.1395348837209302,0.3255813953488372,0.0,0.1470588235294117,0.1428571428571428,26,,61.0,2.3461538461538463,0.0,67.1,2.5807692307692305
2,3,,2022-10-22,21-115,PHI,,SAS,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,2,2,1,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.054054054054054,0.0256410256410256,0.0,0.0,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,8,15,3,6,12,12,9,7,5,14,8,14,6,14,10,9,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.4054054054054054,0.0857142857142857,0.1578947368421052,0.1643835616438356,0.4285714285714285,0.140625,0.2258064516129032,0.0892857142857142,0.0,0.0,0.0,0.208955223880597,0.1269841269841269,0.0,0.2121212121212121,0.1395348837209302,0.3255813953488372,0.0,0.1470588235294117,0.1428571428571428,26,,63.0,2.423076923076923,0.0,61.3,2.3576923076923078
3,4,,2022-10-24,21-117,PHI,,IND,W (+14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,2,2,1,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.054054054054054,0.0256410256410256,0.0,0.0,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,8,15,3,6,12,12,9,7,5,14,8,14,6,14,10,9,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.4054054054054054,0.0857142857142857,0.1578947368421052,0.1643835616438356,0.4285714285714285,0.140625,0.2258064516129032,0.0892857142857142,0.0,0.0,0.0,0.208955223880597,0.1269841269841269,0.0,0.2121212121212121,0.1395348837209302,0.3255813953488372,0.0,0.1470588235294117,0.1428571428571428,26,,72.0,2.769230769230769,0.0,64.49999999999999,2.4807692307692304
4,5,,2022-10-26,21-119,PHI,@,TOR,L (-10),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,2,2,1,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.054054054054054,0.0256410256410256,0.0,0.0,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,8,15,3,6,12,12,9,7,5,14,8,14,6,14,10,9,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.4054054054054054,0.0857142857142857,0.1578947368421052,0.1643835616438356,0.4285714285714285,0.140625,0.2258064516129032,0.0892857142857142,0.0,0.0,0.0,0.208955223880597,0.1269841269841269,0.0,0.2121212121212121,0.1395348837209302,0.3255813953488372,0.0,0.1470588235294117,0.1428571428571428,26,,68.0,2.6153846153846154,0.0,78.1,3.003846153846154
5,6,,2022-10-28,21-121,PHI,@,TOR,W (+22),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,2,2,1,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.054054054054054,0.0256410256410256,0.0,0.0,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,8,15,3,6,12,12,9,7,5,14,8,14,6,14,10,9,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.4054054054054054,0.0857142857142857,0.1578947368421052,0.1643835616438356,0.4285714285714285,0.140625,0.2258064516129032,0.0892857142857142,0.0,0.0,0.0,0.208955223880597,0.1269841269841269,0.0,0.2121212121212121,0.1395348837209302,0.3255813953488372,0.0,0.1470588235294117,0.1428571428571428,26,,67.0,2.576923076923077,0.0,79.5,3.0576923076923075
6,7,,2022-10-29,21-122,PHI,@,CHI,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,2,2,1,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.054054054054054,0.0256410256410256,0.0,0.0,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,8,15,3,6,12,12,9,7,5,14,8,14,6,14,10,9,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.4054054054054054,0.0857142857142857,0.1578947368421052,0.1643835616438356,0.4285714285714285,0.140625,0.2258064516129032,0.0892857142857142,0.0,0.0,0.0,0.208955223880597,0.1269841269841269,0.0,0.2121212121212121,0.1395348837209302,0.3255813953488372,0.0,0.1470588235294117,0.1428571428571428,26,,57.0,2.1923076923076925,0.0,65.1,2.503846153846154
7,8,,2022-10-31,21-124,PHI,@,WAS,W (+7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,2,2,1,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.054054054054054,0.0256410256410256,0.0,0.0,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,8,15,3,6,12,12,9,7,5,14,8,14,6,14,10,9,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.4054054054054054,0.0857142857142857,0.1578947368421052,0.1643835616438356,0.4285714285714285,0.140625,0.2258064516129032,0.0892857142857142,0.0,0.0,0.0,0.208955223880597,0.1269841269841269,0.0,0.2121212121212121,0.1395348837209302,0.3255813953488372,0.0,0.1470588235294117,0.1428571428571428,26,,63.0,2.423076923076923,0.0,49.59999999999999,1.9076923076923071
8,9,,2022-11-02,21-126,PHI,,WAS,L (-10),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,2,2,1,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.054054054054054,0.0256410256410256,0.0,0.0,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,8,15,3,6,12,12,9,7,5,14,8,14,6,14,10,9,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.4054054054054054,0.0857142857142857,0.1578947368421052,0.1643835616438356,0.4285714285714285,0.140625,0.2258064516129032,0.0892857142857142,0.0,0.0,0.0,0.208955223880597,0.1269841269841269,0.0,0.2121212121212121,0.1395348837209302,0.3255813953488372,0.0,0.1470588235294117,0.1428571428571428,26,,65.0,2.5,0.0,77.89999999999999,2.9961538461538457
9,10,,2022-11-04,21-128,PHI,,NYK,L (-2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,2,2,1,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.054054054054054,0.0256410256410256,0.0,0.0,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,8,15,3,6,12,12,9,7,5,14,8,14,6,14,10,9,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.4054054054054054,0.0857142857142857,0.1578947368421052,0.1643835616438356,0.4285714285714285,0.140625,0.2258064516129032,0.0892857142857142,0.0,0.0,0.0,0.208955223880597,0.1269841269841269,0.0,0.2121212121212121,0.1395348837209302,0.3255813953488372,0.0,0.1470588235294117,0.1428571428571428,26,,66.0,2.5384615384615383,0.0,73.3,2.819230769230769
10,11,,2022-11-07,21-131,PHI,,PHO,W (+12),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,2,2,1,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.054054054054054,0.0256410256410256,0.0,0.0,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,8,15,3,6,12,12,9,7,5,14,8,14,6,14,10,9,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.4054054054054054,0.0857142857142857,0.1578947368421052,0.1643835616438356,0.4285714285714285,0.140625,0.2258064516129032,0.0892857142857142,0.0,0.0,0.0,0.208955223880597,0.1269841269841269,0.0,0.2121212121212121,0.1395348837209302,0.3255813953488372,0.0,0.1470588235294117,0.1428571428571428,26,,70.0,2.6923076923076925,0.0,70.5,2.7115384615384617
11,12,,2022-11-10,21-134,PHI,@,ATL,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,2,2,1,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.054054054054054,0.0256410256410256,0.0,0.0,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,8,15,3,6,12,12,9,7,5,14,8,14,6,14,10,9,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.4054054054054054,0.0857142857142857,0.1578947368421052,0.1643835616438356,0.4285714285714285,0.140625,0.2258064516129032,0.0892857142857142,0.0,0.0,0.0,0.208955223880597,0.1269841269841269,0.0,0.2121212121212121,0.1395348837209302,0.3255813953488372,0.0,0.1470588235294117,0.1428571428571428,26,,55.0,2.1153846153846154,0.0,56.80000000000001,2.184615384615385
12,13,,2022-11-12,21-136,PHI,,ATL,W (+12),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,2,2,1,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.054054054054054,0.0256410256410256,0.0,0.0,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,8,15,3,6,12,12,9,7,5,14,8,14,6,14,10,9,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.4054054054054054,0.0857142857142857,0.1578947368421052,0.1643835616438356,0.4285714285714285,0.140625,0.2258064516129032,0.0892857142857142,0.0,0.0,0.0,0.208955223880597,0.1269841269841269,0.0,0.2121212121212121,0.1395348837209302,0.3255813953488372,0.0,0.1470588235294117,0.1428571428571428,26,,62.0,2.3846153846153846,0.0,65.6,2.523076923076923
13,14,,2022-11-13,21-137,PHI,,UTA,W (+7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,2,2,1,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.054054054054054,0.0256410256410256,0.0,0.0,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,8,15,3,6,12,12,9,7,5,14,8,14,6,14,10,9,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.4054054054054054,0.0857142857142857,0.1578947368421052,0.1643835616438356,0.4285714285714285,0.140625,0.2258064516129032,0.0892857142857142,0.0,0.0,0.0,0.208955223880597,0.1269841269841269,0.0,0.2121212121212121,0.1395348837209302,0.3255813953488372,0.0,0.1470588235294117,0.1428571428571428,26,,17.0,0.6538461538461539,0.0,33.2,1.276923076923077
14,15,,2022-11-18,21-142,PHI,,MIL,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,2,2,2,2,1,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.054054054054054,0.0256410256410256,0.0,0.0,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,8,15,3,6,12,12,9,7,5,14,8,14,6,14,10,9,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.4054054054054054,0.0857142857142857,0.1578947368421052,0.1643835616438356,0.4285714285714285,0.140625,0.2258064516129032,0.0892857142857142,0.0,0.0,0.0,0.208955223880597,0.1269841269841269,0.0,0.2121212121212121,0.1395348837209302,0.3255813953488372,0.0,0.1470588235294117,0.1428571428571428,26,,63.0,2.423076923076923,0.0,63.900000000000006,2.457692307692308
15,16,,2022-11-19,21-143,PHI,,MIN,L (-3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,2,2,2,2,1,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.054054054054054,0.0256410256410256,0.0,0.0,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,8,15,3,6,12,12,9,7,5,14,8,14,6,14,10,9,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.4054054054054054,0.0857142857142857,0.1578947368421052,0.1643835616438356,0.4285714285714285,0.140625,0.2258064516129032,0.0892857142857142,0.0,0.0,0.0,0.208955223880597,0.1269841269841269,0.0,0.2121212121212121,0.1395348837209302,0.3255813953488372,0.0,0.1470588235294117,0.1428571428571428,26,,57.0,2.1923076923076925,0.0,60.3,2.319230769230769
16,17,1,2022-11-22,21-146,PHI,,BRK,W (+9),0,1:23,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-5,1.0,0.0,0.0,2,2,2,2,1,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0357142857142857,0.0259740259740259,0.054054054054054,0.0256410256410256,0.0,0.0,0.0,0.0,0.0,0.0140845070422535,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,8,15,3,6,12,12,9,7,5,14,8,14,6,14,10,9,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,23.0,67.0,63.0,20.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.4054054054054054,0.0857142857142857,0.1578947368421052,0.1643835616438356,0.4285714285714285,0.140625,0.2258064516129032,0.0892857142857142,0.0,0.0,0.0,0.208955223880597,0.1269841269841269,0.0,0.2121212121212121,0.1395348837209302,0.3255813953488372,0.0,0.1470588235294117,0.1428571428571428,26,-1.0,51.0,1.9615384615384608,-0.7,51.900000000000006,1.9961538461538464
