Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Chris Boucher,Shared Games with Christian Koloko,Shared Games with Dalano Banton,Shared Games with Fred VanVleet,Shared Games with Gary Trent Jr.,Shared Games with Jeff Dowtin,Shared Games with Joe Wieskamp,Shared Games with Juancho Hernangómez,Shared Games with Justin Champagnie,Shared Games with Malachi Flynn,Shared Games with OG Anunoby,Shared Games with Otto Porter Jr.,Shared Games with Pascal Siakam,Shared Games with Precious Achiuwa,Shared Games with Ron Harper Jr.,Shared Games with Scottie Barnes,Shared Games with Thaddeus Young,Chris Boucher,Christian Koloko,Dalano Banton,Fred VanVleet,Gary Trent Jr.,Jeff Dowtin,Joe Wieskamp,Juancho Hernangómez,Justin Champagnie,Malachi Flynn,OG Anunoby,Otto Porter Jr.,Pascal Siakam,Precious Achiuwa,Ron Harper Jr.,Scottie Barnes,Thaddeus Young,co_inf with Chris Boucher,co_inf with Christian Koloko,co_inf with Dalano Banton,co_inf with Fred VanVleet,co_inf with Gary Trent Jr.,co_inf with Jeff Dowtin,co_inf with Joe Wieskamp,co_inf with Juancho Hernangómez,co_inf with Justin Champagnie,co_inf with Malachi Flynn,co_inf with OG Anunoby,co_inf with Otto Porter Jr.,co_inf with Pascal Siakam,co_inf with Precious Achiuwa,co_inf with Ron Harper Jr.,co_inf with Scottie Barnes,co_inf with Thaddeus Young,Alize Johnson,Blake Wesley,Charles Bassey,Devin Vassell,Devonte' Graham,Dominick Barlow,Doug McDermott,Gorgui Dieng,Jeremy Sochan,Jordan Hall,Joshua Primo,Julian Champagnie,Justin Jackson,Keita Bates-Diop,Keldon Johnson,Malaki Branham,Romeo Langford,Sandro Mamukelashvili,Stanley Johnson,Tre Jones,Zach Collins,co_inf with Alize Johnson,co_inf with Blake Wesley,co_inf with Charles Bassey,co_inf with Devin Vassell,co_inf with Devonte' Graham,co_inf with Dominick Barlow,co_inf with Doug McDermott,co_inf with Gorgui Dieng,co_inf with Jeremy Sochan,co_inf with Jordan Hall,co_inf with Joshua Primo,co_inf with Julian Champagnie,co_inf with Justin Jackson,co_inf with Keita Bates-Diop,co_inf with Keldon Johnson,co_inf with Malaki Branham,co_inf with Romeo Langford,co_inf with Sandro Mamukelashvili,co_inf with Stanley Johnson,co_inf with Tre Jones,co_inf with Zach Collins,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-07,30-040,TOR,@,CHI,L (-14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,19,19,12,15,15,9,6,16,1,14,17,2,15,4,2,17,16,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.25,0.3275862068965517,0.3870967741935484,0.217391304347826,0.2272727272727272,0.36,0.6666666666666666,0.3809523809523809,0.2,0.2641509433962264,0.2537313432835821,0.25,0.2112676056338028,0.0727272727272727,0.2222222222222222,0.2207792207792207,0.2962962962962963,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,,70.0,4.117647058823529,0.0,0,0.0
11,12,,2022-11-09,30-042,TOR,,HOU,W (+7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,19,19,12,15,15,9,6,16,1,14,17,2,15,4,2,17,16,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.25,0.3275862068965517,0.3870967741935484,0.217391304347826,0.2272727272727272,0.36,0.6666666666666666,0.3809523809523809,0.2,0.2641509433962264,0.2537313432835821,0.25,0.2112676056338028,0.0727272727272727,0.2222222222222222,0.2207792207792207,0.2962962962962963,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,,55.0,3.235294117647059,0.0,0,0.0
12,13,,2022-11-11,30-044,TOR,@,OKC,L (-19),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,19,19,12,15,15,9,6,16,1,14,17,2,15,4,2,17,16,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.25,0.3275862068965517,0.3870967741935484,0.217391304347826,0.2272727272727272,0.36,0.6666666666666666,0.3809523809523809,0.2,0.2641509433962264,0.2537313432835821,0.25,0.2112676056338028,0.0727272727272727,0.2222222222222222,0.2207792207792207,0.2962962962962963,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,,62.0,3.647058823529412,0.0,0,0.0
13,14,,2022-11-12,30-045,TOR,@,IND,L (-14),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,19,19,12,15,15,9,6,16,1,14,17,2,15,4,2,17,16,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.25,0.3275862068965517,0.3870967741935484,0.217391304347826,0.2272727272727272,0.36,0.6666666666666666,0.3809523809523809,0.2,0.2641509433962264,0.2537313432835821,0.25,0.2112676056338028,0.0727272727272727,0.2222222222222222,0.2207792207792207,0.2962962962962963,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,,17.0,1.0,0.0,0,0.0
14,15,5,2022-11-14,30-047,TOR,@,DET,W (+4),0,3:55,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.6,-3,1.0,1.0,1.0,19,19,12,15,15,9,6,16,1,14,17,2,15,4,2,17,16,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.25,0.3275862068965517,0.3870967741935484,0.217391304347826,0.2272727272727272,0.36,0.6666666666666666,0.3809523809523809,0.2,0.2641509433962264,0.2537313432835821,0.25,0.2112676056338028,0.0727272727272727,0.2222222222222222,0.2207792207792207,0.2962962962962963,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,1.0,62.0,3.647058823529412,0.5999999999999994,0,0.0
15,16,6,2022-11-16,30-049,TOR,,MIA,W (+8),0,7:09,1.0,2.0,.500,0.0,0.0,,0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.6,+2,2.0,1.0,0.5,19,19,12,15,15,9,6,16,1,14,17,2,15,4,2,17,16,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.25,0.3275862068965517,0.3870967741935484,0.217391304347826,0.2272727272727272,0.36,0.6666666666666666,0.3809523809523809,0.2,0.2641509433962264,0.2537313432835821,0.25,0.2112676056338028,0.0727272727272727,0.2222222222222222,0.2207792207792207,0.2962962962962963,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,3.0,54.0,3.176470588235294,2.6,0,0.0
16,17,7,2022-11-19,30-052,TOR,@,ATL,L (-2),0,3:36,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,+1,0.0,0.0,,19,19,12,15,15,9,6,16,1,14,17,2,15,4,2,17,16,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.25,0.3275862068965517,0.3870967741935484,0.217391304347826,0.2272727272727272,0.36,0.6666666666666666,0.3809523809523809,0.2,0.2641509433962264,0.2537313432835821,0.25,0.2112676056338028,0.0727272727272727,0.2222222222222222,0.2207792207792207,0.2962962962962963,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,1.0,49.0,2.8823529411764706,0.3,0,0.0
17,18,8,2022-11-23,30-056,TOR,,BRK,L (-14),0,10:40,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,2.2,+2,1.0,1.0,1.0,19,19,12,15,15,9,6,16,1,14,17,2,15,4,2,17,16,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.25,0.3275862068965517,0.3870967741935484,0.217391304347826,0.2272727272727272,0.36,0.6666666666666666,0.3809523809523809,0.2,0.2641509433962264,0.2537313432835821,0.25,0.2112676056338028,0.0727272727272727,0.2222222222222222,0.2207792207792207,0.2962962962962963,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,4.0,33.0,1.9411764705882355,2.2,0,0.0
18,19,9,2022-11-26,30-059,TOR,,DAL,W (+5),0,12:41,3.0,5.0,.600,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,2.9,-3,5.0,3.0,0.6,19,19,12,15,15,9,6,16,1,14,17,2,15,4,2,17,16,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.25,0.3275862068965517,0.3870967741935484,0.217391304347826,0.2272727272727272,0.36,0.6666666666666666,0.3809523809523809,0.2,0.2641509433962264,0.2537313432835821,0.25,0.2112676056338028,0.0727272727272727,0.2222222222222222,0.2207792207792207,0.2962962962962963,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,1.0,47.0,2.764705882352941,2.9000000000000004,0,0.0
19,20,10,2022-11-28,30-061,TOR,,CLE,W (+12),0,4:29,0.0,2.0,.000,0.0,0.0,,0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,-2,2.0,0.0,0.0,19,19,12,15,15,9,6,16,1,14,17,2,15,4,2,17,16,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.25,0.3275862068965517,0.3870967741935484,0.217391304347826,0.2272727272727272,0.36,0.6666666666666666,0.3809523809523809,0.2,0.2641509433962264,0.2537313432835821,0.25,0.2112676056338028,0.0727272727272727,0.2222222222222222,0.2207792207792207,0.2962962962962963,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,1.0,55.0,3.235294117647059,0.3,0,0.0
