Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Amir Coffey,Shared Games with Brandon Boston Jr.,Shared Games with Ivica Zubac,Shared Games with Jason Preston,Shared Games with John Wall,Shared Games with Luke Kennard,Shared Games with Marcus Morris,Shared Games with Moses Brown,Shared Games with Moussa Diabaté,Shared Games with Nicolas Batum,Shared Games with Norman Powell,Shared Games with Paul George,Shared Games with Reggie Jackson,Shared Games with Robert Covington,Shared Games with Terance Mann,Amir Coffey,Brandon Boston Jr.,Ivica Zubac,Jason Preston,John Wall,Luke Kennard,Marcus Morris,Moses Brown,Moussa Diabaté,Nicolas Batum,Norman Powell,Paul George,Reggie Jackson,Robert Covington,Terance Mann,Xavier Moon,co_inf with Amir Coffey,co_inf with Brandon Boston Jr.,co_inf with Ivica Zubac,co_inf with Jason Preston,co_inf with John Wall,co_inf with Luke Kennard,co_inf with Marcus Morris,co_inf with Moses Brown,co_inf with Moussa Diabaté,co_inf with Nicolas Batum,co_inf with Norman Powell,co_inf with Paul George,co_inf with Reggie Jackson,co_inf with Robert Covington,co_inf with Terance Mann,co_inf with Xavier Moon,Shared Games with Mason Plumlee,Shared Games with Bones Hyland,Shared Games with Eric Gordon,Shared Games with Russell Westbrook,Bones Hyland,Eric Gordon,Justin Holiday,Mason Plumlee,Russell Westbrook,co_inf with Mason Plumlee,co_inf with Bones Hyland,co_inf with Eric Gordon,co_inf with Justin Holiday,co_inf with Russell Westbrook,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-20,31-113,LAC,@,LAL,W (+6),0,21:17,6.0,12.0,.500,1.0,4.0,.250,1,2.0,.500,1.0,6.0,7.0,2.0,1.0,0.0,2.0,3.0,14.0,9.3,+5,8.0,5.0,0.625,25,10,48,6,15,18,40,16,13,50,36,38,28,28,52,50.0,22.0,76.0,14.0,34.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.5,0.4545454545454545,0.631578947368421,0.4285714285714285,0.4411764705882353,0.3050847457627119,0.6153846153846154,0.4444444444444444,0.5909090909090909,0.6410256410256411,0.6,0.6785714285714286,0.4117647058823529,0.5833333333333334,0.6419753086419753,0.0,19,12,18,18,56.0,69.0,46.0,79.0,73.0,0.240506329113924,0.2142857142857142,0.2608695652173913,0.0,0.2465753424657534,19,8.0,76.0,4.0,8.899999999999999,73.1,3.8473684210526313
1,2,,2022-10-22,31-115,LAC,@,SAC,W (+2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,25,10,48,6,15,18,40,16,13,50,36,38,28,28,52,50.0,22.0,76.0,14.0,34.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.5,0.4545454545454545,0.631578947368421,0.4285714285714285,0.4411764705882353,0.3050847457627119,0.6153846153846154,0.4444444444444444,0.5909090909090909,0.6410256410256411,0.6,0.6785714285714286,0.4117647058823529,0.5833333333333334,0.6419753086419753,0.0,19,12,18,18,56.0,69.0,46.0,79.0,73.0,0.240506329113924,0.2142857142857142,0.2608695652173913,0.0,0.2465753424657534,19,,78.0,4.105263157894737,0.0,85.89999999999998,4.5210526315789465
2,3,2,2022-10-23,31-116,LAC,,PHO,L (-17),0,20:42,2.0,6.0,.333,0.0,2.0,.000,7,7.0,1.000,3.0,3.0,6.0,2.0,2.0,0.0,2.0,2.0,11.0,11.2,+1,4.0,2.0,0.5,25,10,48,6,15,18,40,16,13,50,36,38,28,28,52,50.0,22.0,76.0,14.0,34.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.5,0.4545454545454545,0.631578947368421,0.4285714285714285,0.4411764705882353,0.3050847457627119,0.6153846153846154,0.4444444444444444,0.5909090909090909,0.6410256410256411,0.6,0.6785714285714286,0.4117647058823529,0.5833333333333334,0.6419753086419753,0.0,19,12,18,18,56.0,69.0,46.0,79.0,73.0,0.240506329113924,0.2142857142857142,0.2608695652173913,0.0,0.2465753424657534,19,6.0,44.0,2.3157894736842106,8.399999999999999,52.3,2.7526315789473683
3,4,,2022-10-25,31-118,LAC,@,OKC,L (-14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,25,10,48,6,15,18,40,16,13,50,36,38,28,28,52,50.0,22.0,76.0,14.0,34.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.5,0.4545454545454545,0.631578947368421,0.4285714285714285,0.4411764705882353,0.3050847457627119,0.6153846153846154,0.4444444444444444,0.5909090909090909,0.6410256410256411,0.6,0.6785714285714286,0.4117647058823529,0.5833333333333334,0.6419753086419753,0.0,19,12,18,18,56.0,69.0,46.0,79.0,73.0,0.240506329113924,0.2142857142857142,0.2608695652173913,0.0,0.2465753424657534,19,,73.0,3.842105263157895,0.0,71.19999999999999,3.747368421052631
4,5,,2022-10-27,31-120,LAC,@,OKC,L (-8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,25,10,48,6,15,18,40,16,13,50,36,38,28,28,52,50.0,22.0,76.0,14.0,34.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.5,0.4545454545454545,0.631578947368421,0.4285714285714285,0.4411764705882353,0.3050847457627119,0.6153846153846154,0.4444444444444444,0.5909090909090909,0.6410256410256411,0.6,0.6785714285714286,0.4117647058823529,0.5833333333333334,0.6419753086419753,0.0,19,12,18,18,56.0,69.0,46.0,79.0,73.0,0.240506329113924,0.2142857142857142,0.2608695652173913,0.0,0.2465753424657534,19,,53.0,2.789473684210526,0.0,62.0,3.263157894736842
5,6,,2022-10-30,31-123,LAC,,NOP,L (-21),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,25,10,48,6,15,18,40,16,13,50,36,38,28,28,52,50.0,22.0,76.0,14.0,34.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.5,0.4545454545454545,0.631578947368421,0.4285714285714285,0.4411764705882353,0.3050847457627119,0.6153846153846154,0.4444444444444444,0.5909090909090909,0.6410256410256411,0.6,0.6785714285714286,0.4117647058823529,0.5833333333333334,0.6419753086419753,0.0,19,12,18,18,56.0,69.0,46.0,79.0,73.0,0.240506329113924,0.2142857142857142,0.2608695652173913,0.0,0.2465753424657534,19,,83.0,4.368421052631579,0.0,93.8,4.936842105263158
6,7,,2022-10-31,31-124,LAC,,HOU,W (+2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,25,10,48,6,15,18,40,16,13,50,36,38,28,28,52,50.0,22.0,76.0,14.0,34.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.5,0.4545454545454545,0.631578947368421,0.4285714285714285,0.4411764705882353,0.3050847457627119,0.6153846153846154,0.4444444444444444,0.5909090909090909,0.6410256410256411,0.6,0.6785714285714286,0.4117647058823529,0.5833333333333334,0.6419753086419753,0.0,19,12,18,18,56.0,69.0,46.0,79.0,73.0,0.240506329113924,0.2142857142857142,0.2608695652173913,0.0,0.2465753424657534,19,,86.0,4.526315789473684,0.0,82.89999999999999,4.363157894736841
7,8,,2022-11-02,31-126,LAC,@,HOU,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,25,10,48,6,15,18,40,16,13,50,36,38,28,28,52,50.0,22.0,76.0,14.0,34.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.5,0.4545454545454545,0.631578947368421,0.4285714285714285,0.4411764705882353,0.3050847457627119,0.6153846153846154,0.4444444444444444,0.5909090909090909,0.6410256410256411,0.6,0.6785714285714286,0.4117647058823529,0.5833333333333334,0.6419753086419753,0.0,19,12,18,18,56.0,69.0,46.0,79.0,73.0,0.240506329113924,0.2142857142857142,0.2608695652173913,0.0,0.2465753424657534,19,,87.0,4.578947368421052,0.0,93.8,4.936842105263158
8,9,,2022-11-04,31-128,LAC,@,SAS,W (+7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,25,10,48,6,15,18,40,16,13,50,36,38,28,28,52,50.0,22.0,76.0,14.0,34.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.5,0.4545454545454545,0.631578947368421,0.4285714285714285,0.4411764705882353,0.3050847457627119,0.6153846153846154,0.4444444444444444,0.5909090909090909,0.6410256410256411,0.6,0.6785714285714286,0.4117647058823529,0.5833333333333334,0.6419753086419753,0.0,19,12,18,18,56.0,69.0,46.0,79.0,73.0,0.240506329113924,0.2142857142857142,0.2608695652173913,0.0,0.2465753424657534,19,,103.0,5.421052631578948,0.0,105.89999999999998,5.573684210526315
9,10,,2022-11-06,31-130,LAC,,UTA,L (-8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,25,10,48,6,15,18,40,16,13,50,36,38,28,28,52,50.0,22.0,76.0,14.0,34.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.5,0.4545454545454545,0.631578947368421,0.4285714285714285,0.4411764705882353,0.3050847457627119,0.6153846153846154,0.4444444444444444,0.5909090909090909,0.6410256410256411,0.6,0.6785714285714286,0.4117647058823529,0.5833333333333334,0.6419753086419753,0.0,19,12,18,18,56.0,69.0,46.0,79.0,73.0,0.240506329113924,0.2142857142857142,0.2608695652173913,0.0,0.2465753424657534,19,,87.0,4.578947368421052,0.0,97.3,5.121052631578947
