Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Caruso,Shared Games with Andre Drummond,Shared Games with Ayo Dosunmu,Shared Games with Carlik Jones,Shared Games with Coby White,Shared Games with Dalen Terry,Shared Games with DeMar DeRozan,Shared Games with Goran Dragić,Shared Games with Javonte Green,Shared Games with Malcolm Hill,Shared Games with Marko Simonovic,Shared Games with Nikola Vučević,Shared Games with Patrick Williams,Shared Games with Tony Bradley,Shared Games with Zach LaVine,Alex Caruso,Andre Drummond,Ayo Dosunmu,Carlik Jones,Coby White,Dalen Terry,DeMar DeRozan,Goran Dragić,Javonte Green,Kostas Antetokounmpo,Lonzo Ball,Malcolm Hill,Marko Simonovic,Nikola Vučević,Patrick Williams,Tony Bradley,Zach LaVine,co_inf with Alex Caruso,co_inf with Andre Drummond,co_inf with Ayo Dosunmu,co_inf with Carlik Jones,co_inf with Coby White,co_inf with Dalen Terry,co_inf with DeMar DeRozan,co_inf with Goran Dragić,co_inf with Javonte Green,co_inf with Kostas Antetokounmpo,co_inf with Lonzo Ball,co_inf with Malcolm Hill,co_inf with Marko Simonovic,co_inf with Nikola Vučević,co_inf with Patrick Williams,co_inf with Tony Bradley,co_inf with Zach LaVine,Shared Games with Terry Taylor,Shared Games with Patrick Beverley,Clint Capela,Patrick Beverley,Robert Williams,Terry Taylor,co_inf with Terry Taylor,co_inf with Clint Capela,co_inf with Patrick Beverley,co_inf with Robert Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,,2022-10-19,25-246,CHI,MIA,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,,81.0,4.764705882352941,0.0,84.19999999999999,4.952941176470588,0.034389823199655,W (+8),W (+8)
2.0,,2022-10-21,25-248,CHI,WAS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,,61.0,3.588235294117647,0.0,68.8,4.047058823529412,0.034389823199655,L (-2),L (-2)
3.0,1.0,2022-10-22,25-249,CHI,CLE,0,16.933333333333334,2.0,3.0,.667,1.0,1.0,1.000,3,4.0,.750,1.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,8.0,8.6,-12,2.0,1.0,0.5,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,5.0,67.0,3.941176470588236,7.4,75.29999999999998,4.429411764705882,0.034389823199655,L (-32),L (-32)
4.0,2.0,2022-10-24,25-251,CHI,BOS,0,14.75,2.0,4.0,.500,0.0,1.0,.000,6,6.0,1.000,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,10.0,8.9,+16,3.0,2.0,0.6666666666666666,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,3.0,108.0,6.352941176470588,6.499999999999999,98.8,5.811764705882353,0.034389823199655,W (+18),W (+18)
5.0,3.0,2022-10-26,25-253,CHI,IND,0,9.966666666666669,0.0,3.0,.000,0.0,1.0,.000,0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.5,+16,2.0,0.0,0.0,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,-1.0,100.0,5.882352941176471,-1.4999999999999996,91.09999999999998,5.358823529411763,0.034389823199655,W (+15),W (+15)
6.0,4.0,2022-10-28,25-255,CHI,SAS,0,16.4,1.0,3.0,.333,0.0,0.0,,4,4.0,1.000,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,6.0,7.3,+1,3.0,1.0,0.3333333333333333,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,4.0,76.0,4.470588235294118,5.699999999999999,76.9,4.523529411764706,0.034389823199655,L (-5),L (-5)
7.0,5.0,2022-10-29,25-256,CHI,PHI,0,11.633333333333333,2.0,4.0,.500,0.0,1.0,.000,2,3.0,.667,1.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,6.0,5.9,-3,3.0,2.0,0.6666666666666666,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,4.0,62.0,3.647058823529412,5.099999999999998,77.09999999999998,4.535294117647058,0.034389823199655,L (-5),L (-5)
8.0,6.0,2022-11-01,25-259,CHI,BRK,0,16.066666666666666,1.0,4.0,.250,0.0,1.0,.000,2,2.0,1.000,3.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,4.0,5.4,+4,3.0,1.0,0.3333333333333333,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,4.0,73.0,4.294117647058823,4.6,80.30000000000001,4.723529411764707,0.034389823199655,W (+9),W (+9)
9.0,7.0,2022-11-02,25-260,CHI,CHO,0,16.433333333333334,2.0,6.0,.333,2.0,2.0,1.000,4,4.0,1.000,3.0,2.0,5.0,3.0,0.0,1.0,0.0,3.0,10.0,10.9,+22,4.0,0.0,0.0,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,9.0,85.0,5.0,9.3,80.6,4.741176470588235,0.034389823199655,W (+18),W (+18)
10.0,8.0,2022-11-04,25-262,CHI,BOS,0,14.75,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.2,-15,0.0,0.0,,54,49,62,5,56,31,58,43,24,4,5,64,64,11,61,67.0,67.0,80.0,7.0,74.0,38.0,74.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8059701492537313,0.7313432835820896,0.775,0.7142857142857143,0.7567567567567568,0.8157894736842105,0.7837837837837838,0.7413793103448276,0.75,,,0.8,0.7142857142857143,0.7804878048780488,0.7804878048780488,0.9166666666666666,0.7922077922077922,3,15,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2238805970149253,0.0,17,2.0,73.0,4.294117647058823,0.2000000000000001,81.79999999999998,4.811764705882352,0.034389823199655,L (-4),L (-4)
