Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Cam Reddish,Shared Games with Derrick Rose,Shared Games with Evan Fournier,Shared Games with Immanuel Quickley,Shared Games with Isaiah Hartenstein,Shared Games with Jalen Brunson,Shared Games with Jericho Sims,Shared Games with Julius Randle,Shared Games with Miles McBride,Shared Games with Mitchell Robinson,Shared Games with Obi Toppin,Shared Games with Quentin Grimes,Shared Games with RJ Barrett,Shared Games with Ryan Arcidiacono,Shared Games with Svi Mykhailiuk,Cam Reddish,DaQuan Jeffries,Derrick Rose,Evan Fournier,Feron Hunt,Immanuel Quickley,Isaiah Hartenstein,Jalen Brunson,Jericho Sims,Julius Randle,Miles McBride,Mitchell Robinson,Obi Toppin,Quentin Grimes,RJ Barrett,Ryan Arcidiacono,Svi Mykhailiuk,co_inf with Cam Reddish,co_inf with DaQuan Jeffries,co_inf with Derrick Rose,co_inf with Evan Fournier,co_inf with Feron Hunt,co_inf with Immanuel Quickley,co_inf with Isaiah Hartenstein,co_inf with Jalen Brunson,co_inf with Jericho Sims,co_inf with Julius Randle,co_inf with Miles McBride,co_inf with Mitchell Robinson,co_inf with Obi Toppin,co_inf with Quentin Grimes,co_inf with RJ Barrett,co_inf with Ryan Arcidiacono,co_inf with Svi Mykhailiuk,Shared Games with Josh Hart,Blake Griffin,Duane Washington Jr.,Isaiah Roby,Josh Hart,co_inf with Blake Griffin,co_inf with Duane Washington Jr.,co_inf with Isaiah Roby,co_inf with Josh Hart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-19,19-054,NYK,@,MEM,L (-3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,3,3,3,2,3,2,3,3,2,3,1,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,0.025,,0.037037037037037,0.037037037037037,,0.037037037037037,0.0365853658536585,0.0441176470588235,0.0384615384615384,0.0389610389610389,0.03125,0.0508474576271186,0.044776119402985,0.028169014084507,0.0410958904109589,0.05,0.03125,2,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0263157894736842,16,,79.0,4.9375,0.0,76.4,4.775
1,2,1,2022-10-21,19-056,NYK,,DET,W (+24),0,0:57,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-2,0.0,0.0,,1,1,1,3,3,3,2,3,2,3,3,2,3,1,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,0.025,,0.037037037037037,0.037037037037037,,0.037037037037037,0.0365853658536585,0.0441176470588235,0.0384615384615384,0.0389610389610389,0.03125,0.0508474576271186,0.044776119402985,0.028169014084507,0.0410958904109589,0.05,0.03125,2,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0263157894736842,16,0.0,94.0,5.875,-0.3999999999999999,106.6,6.6625
2,3,,2022-10-24,19-059,NYK,,ORL,W (+13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,3,3,3,2,3,2,3,3,2,3,1,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,0.025,,0.037037037037037,0.037037037037037,,0.037037037037037,0.0365853658536585,0.0441176470588235,0.0384615384615384,0.0389610389610389,0.03125,0.0508474576271186,0.044776119402985,0.028169014084507,0.0410958904109589,0.05,0.03125,2,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0263157894736842,16,,92.0,5.75,0.0,90.2,5.6375
3,4,,2022-10-26,19-061,NYK,,CHO,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,3,3,3,2,3,2,3,3,2,3,1,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,0.025,,0.037037037037037,0.037037037037037,,0.037037037037037,0.0365853658536585,0.0441176470588235,0.0384615384615384,0.0389610389610389,0.03125,0.0508474576271186,0.044776119402985,0.028169014084507,0.0410958904109589,0.05,0.03125,2,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0263157894736842,16,,102.0,6.375,0.0,107.59999999999998,6.724999999999999
4,5,,2022-10-28,19-063,NYK,@,MIL,L (-11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,3,3,3,2,3,2,3,3,2,3,1,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,0.025,,0.037037037037037,0.037037037037037,,0.037037037037037,0.0365853658536585,0.0441176470588235,0.0384615384615384,0.0389610389610389,0.03125,0.0508474576271186,0.044776119402985,0.028169014084507,0.0410958904109589,0.05,0.03125,2,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0263157894736842,16,,75.0,4.6875,0.0,84.19999999999999,5.262499999999999
5,6,,2022-10-30,19-065,NYK,@,CLE,L (-13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,3,3,3,2,3,2,3,3,2,3,1,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,0.025,,0.037037037037037,0.037037037037037,,0.037037037037037,0.0365853658536585,0.0441176470588235,0.0384615384615384,0.0389610389610389,0.03125,0.0508474576271186,0.044776119402985,0.028169014084507,0.0410958904109589,0.05,0.03125,2,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0263157894736842,16,,75.0,4.6875,0.0,81.09999999999998,5.068749999999999
6,7,,2022-11-02,19-068,NYK,,ATL,L (-13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,3,3,3,2,3,2,3,3,2,3,1,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,0.025,,0.037037037037037,0.037037037037037,,0.037037037037037,0.0365853658536585,0.0441176470588235,0.0384615384615384,0.0389610389610389,0.03125,0.0508474576271186,0.044776119402985,0.028169014084507,0.0410958904109589,0.05,0.03125,2,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0263157894736842,16,,65.0,4.0625,0.0,64.9,4.05625
7,8,,2022-11-04,19-070,NYK,@,PHI,W (+2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,3,3,3,2,3,2,3,3,2,3,1,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,0.025,,0.037037037037037,0.037037037037037,,0.037037037037037,0.0365853658536585,0.0441176470588235,0.0384615384615384,0.0389610389610389,0.03125,0.0508474576271186,0.044776119402985,0.028169014084507,0.0410958904109589,0.05,0.03125,2,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0263157894736842,16,,67.0,4.1875,0.0,65.79999999999998,4.112499999999999
8,9,,2022-11-05,19-071,NYK,,BOS,L (-15),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,3,3,3,2,3,2,3,3,2,3,1,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,0.025,,0.037037037037037,0.037037037037037,,0.037037037037037,0.0365853658536585,0.0441176470588235,0.0384615384615384,0.0389610389610389,0.03125,0.0508474576271186,0.044776119402985,0.028169014084507,0.0410958904109589,0.05,0.03125,2,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0263157894736842,16,,86.0,5.375,0.0,95.79999999999998,5.987499999999999
9,10,,2022-11-07,19-073,NYK,@,MIN,W (+13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,1,1,3,3,3,2,3,2,3,3,2,3,1,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,0.025,,0.037037037037037,0.037037037037037,,0.037037037037037,0.0365853658536585,0.0441176470588235,0.0384615384615384,0.0389610389610389,0.03125,0.0508474576271186,0.044776119402985,0.028169014084507,0.0410958904109589,0.05,0.03125,2,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0263157894736842,16,,93.0,5.8125,0.0,95.9,5.99375
