Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Collin Sexton,Shared Games with Jarred Vanderbilt,Shared Games with Jordan Clarkson,Shared Games with Kelly Olynyk,Shared Games with Kris Dunn,Shared Games with Lauri Markkanen,Shared Games with Leandro Bolmaro,Shared Games with Luka Šamanić,Shared Games with Micah Potter,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Shared Games with Ochai Agbaji,Shared Games with Rudy Gay,Shared Games with Simone Fontecchio,Shared Games with Talen Horton-Tucker,Shared Games with Udoka Azubuike,Shared Games with Walker Kessler,Collin Sexton,Frank Jackson,Jarred Vanderbilt,Jarrell Brantley,Johnny Juzang,Jordan Clarkson,Kelly Olynyk,Kris Dunn,Lauri Markkanen,Leandro Bolmaro,Luka Šamanić,Micah Potter,Mike Conley,Nickeil Alexander-Walker,Ochai Agbaji,Rudy Gay,Simone Fontecchio,Talen Horton-Tucker,Udoka Azubuike,Walker Kessler,co_inf with Collin Sexton,co_inf with Frank Jackson,co_inf with Jarred Vanderbilt,co_inf with Jarrell Brantley,co_inf with Johnny Juzang,co_inf with Jordan Clarkson,co_inf with Kelly Olynyk,co_inf with Kris Dunn,co_inf with Lauri Markkanen,co_inf with Leandro Bolmaro,co_inf with Luka Šamanić,co_inf with Micah Potter,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Ochai Agbaji,co_inf with Rudy Gay,co_inf with Simone Fontecchio,co_inf with Talen Horton-Tucker,co_inf with Udoka Azubuike,co_inf with Walker Kessler,Shared Games with Damian Jones,Shared Games with Juan Toscano-Anderson,Shared Games with Anthony Davis,Shared Games with Austin Reaves,Shared Games with Cole Swider,Shared Games with D'Angelo Russell,Shared Games with Davon Reed,Shared Games with Dennis Schröder,Shared Games with LeBron James,Shared Games with Lonnie Walker IV,Shared Games with Max Christie,Shared Games with Mo Bamba,Shared Games with Troy Brown Jr.,Shared Games with Wenyen Gabriel,Anthony Davis,Austin Reaves,Cole Swider,D'Angelo Russell,Davon Reed,Dennis Schröder,Kendrick Nunn,LeBron James,Lonnie Walker IV,Max Christie,Mo Bamba,Onyeka Okongwu,Scotty Pippen Jr.,Shaquille Harrison,Sterling Brown,Tristan Thompson,Troy Brown Jr.,Wenyen Gabriel,co_inf with Anthony Davis,co_inf with Austin Reaves,co_inf with Cole Swider,co_inf with D'Angelo Russell,co_inf with Davon Reed,co_inf with Dennis Schröder,co_inf with Kendrick Nunn,co_inf with LeBron James,co_inf with Lonnie Walker IV,co_inf with Max Christie,co_inf with Mo Bamba,co_inf with Onyeka Okongwu,co_inf with Scotty Pippen Jr.,co_inf with Shaquille Harrison,co_inf with Sterling Brown,co_inf with Tristan Thompson,co_inf with Troy Brown Jr.,co_inf with Wenyen Gabriel,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,25-327,UTA,DEN,0.0,24.933333333333334,5.0,13.0,0.385,3.0,9.0,0.333,2.0,2.0,1.0,2.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,15.0,11.9,20.0,4.0,2.0,0.5,42,78,54,43,22,50,13,7,3,43,36,32,40,26,41,19,52,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.875,0.0,1.0,0.0,0.0,0.8852459016393442,0.6323529411764706,1.0,0.7575757575757576,0.9285714285714286,1.0,0.4285714285714285,0.6417910447761194,0.6101694915254238,0.5423728813559322,0.7142857142857143,0.5,0.6307692307692307,0.5277777777777778,0.7027027027027027,21,30,23,25,1,15,8,23,11,16,7,9,25,24,56.0,64.0,7.0,71.0,43.0,66.0,70.0,55.0,56.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.4107142857142857,0.390625,0.1428571428571428,0.2112676056338028,0.1860465116279069,0.3484848484848485,0.0,0.2,0.2857142857142857,0.1707317073170731,0.1836734693877551,0.0,0.0,0.0,0.0,,0.3289473684210526,0.3529411764705882,31,7.0,71.0,2.290322580645161,11.099999999999996,56.3,1.8161290322580643,10.9,1.4,-2.0,-0.9,-1.0,0.0766666666666666,0.531,0.702,0.069,0.0,-0.2,W (+21),W (+21)
2.0,2.0,2022-10-21,25-329,UTA,MIN,0.0,29.95,6.0,16.0,0.375,3.0,9.0,0.333,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,15.0,7.8,-1.0,7.0,3.0,0.4285714285714285,42,78,54,43,22,50,13,7,3,43,36,32,40,26,41,19,52,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.875,0.0,1.0,0.0,0.0,0.8852459016393442,0.6323529411764706,1.0,0.7575757575757576,0.9285714285714286,1.0,0.4285714285714285,0.6417910447761194,0.6101694915254238,0.5423728813559322,0.7142857142857143,0.5,0.6307692307692307,0.5277777777777778,0.7027027027027027,21,30,23,25,1,15,8,23,11,16,7,9,25,24,56.0,64.0,7.0,71.0,43.0,66.0,70.0,55.0,56.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.4107142857142857,0.390625,0.1428571428571428,0.2112676056338028,0.1860465116279069,0.3484848484848485,0.0,0.2,0.2857142857142857,0.1707317073170731,0.1836734693877551,0.0,0.0,0.0,0.0,,0.3289473684210526,0.3529411764705882,31,3.0,82.0,2.6451612903225805,7.799999999999997,86.7,2.796774193548387,10.9,1.4,-2.0,-0.9,-1.0,0.0766666666666666,0.531,0.702,0.069,0.0,-0.2,W (+6),W (+6)
3.0,3.0,2022-10-23,25-331,UTA,NOP,0.0,20.966666666666665,2.0,5.0,0.4,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,4.0,1.2,2.0,3.0,2.0,0.6666666666666666,42,78,54,43,22,50,13,7,3,43,36,32,40,26,41,19,52,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.875,0.0,1.0,0.0,0.0,0.8852459016393442,0.6323529411764706,1.0,0.7575757575757576,0.9285714285714286,1.0,0.4285714285714285,0.6417910447761194,0.6101694915254238,0.5423728813559322,0.7142857142857143,0.5,0.6307692307692307,0.5277777777777778,0.7027027027027027,21,30,23,25,1,15,8,23,11,16,7,9,25,24,56.0,64.0,7.0,71.0,43.0,66.0,70.0,55.0,56.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.4107142857142857,0.390625,0.1428571428571428,0.2112676056338028,0.1860465116279069,0.3484848484848485,0.0,0.2,0.2857142857142857,0.1707317073170731,0.1836734693877551,0.0,0.0,0.0,0.0,,0.3289473684210526,0.3529411764705882,31,0.0,82.0,2.6451612903225805,1.2000000000000002,83.00000000000001,2.67741935483871,10.9,1.4,-2.0,-0.9,-1.0,0.0766666666666666,0.531,0.702,0.069,0.0,-0.2,W (+1),W (+1)
4.0,4.0,2022-10-24,25-332,UTA,HOU,0.0,19.816666666666663,5.0,9.0,0.556,2.0,4.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,12.0,10.0,-7.0,5.0,3.0,0.6,42,78,54,43,22,50,13,7,3,43,36,32,40,26,41,19,52,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.875,0.0,1.0,0.0,0.0,0.8852459016393442,0.6323529411764706,1.0,0.7575757575757576,0.9285714285714286,1.0,0.4285714285714285,0.6417910447761194,0.6101694915254238,0.5423728813559322,0.7142857142857143,0.5,0.6307692307692307,0.5277777777777778,0.7027027027027027,21,30,23,25,1,15,8,23,11,16,7,9,25,24,56.0,64.0,7.0,71.0,43.0,66.0,70.0,55.0,56.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.4107142857142857,0.390625,0.1428571428571428,0.2112676056338028,0.1860465116279069,0.3484848484848485,0.0,0.2,0.2857142857142857,0.1707317073170731,0.1836734693877551,0.0,0.0,0.0,0.0,,0.3289473684210526,0.3529411764705882,31,6.0,96.0,3.096774193548387,9.999999999999998,86.9,2.803225806451613,10.9,1.4,-2.0,-0.9,-1.0,0.0766666666666666,0.531,0.702,0.069,0.0,-0.2,L (-6),L (-6)
5.0,5.0,2022-10-26,25-334,UTA,HOU,0.0,29.65,5.0,12.0,0.417,2.0,7.0,0.286,2.0,2.0,1.0,2.0,2.0,4.0,1.0,4.0,1.0,1.0,0.0,14.0,14.0,-4.0,5.0,3.0,0.6,42,78,54,43,22,50,13,7,3,43,36,32,40,26,41,19,52,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.875,0.0,1.0,0.0,0.0,0.8852459016393442,0.6323529411764706,1.0,0.7575757575757576,0.9285714285714286,1.0,0.4285714285714285,0.6417910447761194,0.6101694915254238,0.5423728813559322,0.7142857142857143,0.5,0.6307692307692307,0.5277777777777778,0.7027027027027027,21,30,23,25,1,15,8,23,11,16,7,9,25,24,56.0,64.0,7.0,71.0,43.0,66.0,70.0,55.0,56.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.4107142857142857,0.390625,0.1428571428571428,0.2112676056338028,0.1860465116279069,0.3484848484848485,0.0,0.2,0.2857142857142857,0.1707317073170731,0.1836734693877551,0.0,0.0,0.0,0.0,,0.3289473684210526,0.3529411764705882,31,9.0,90.0,2.903225806451613,13.2,56.9,1.835483870967742,10.9,1.4,-2.0,-0.9,-1.0,0.0766666666666666,0.531,0.702,0.069,0.0,-0.2,W (+8),W (+8)
6.0,6.0,2022-10-28,25-336,UTA,DEN,0.0,22.08333333333333,1.0,7.0,0.143,0.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.1,-32.0,5.0,1.0,0.2,42,78,54,43,22,50,13,7,3,43,36,32,40,26,41,19,52,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.875,0.0,1.0,0.0,0.0,0.8852459016393442,0.6323529411764706,1.0,0.7575757575757576,0.9285714285714286,1.0,0.4285714285714285,0.6417910447761194,0.6101694915254238,0.5423728813559322,0.7142857142857143,0.5,0.6307692307692307,0.5277777777777778,0.7027027027027027,21,30,23,25,1,15,8,23,11,16,7,9,25,24,56.0,64.0,7.0,71.0,43.0,66.0,70.0,55.0,56.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.4107142857142857,0.390625,0.1428571428571428,0.2112676056338028,0.1860465116279069,0.3484848484848485,0.0,0.2,0.2857142857142857,0.1707317073170731,0.1836734693877551,0.0,0.0,0.0,0.0,,0.3289473684210526,0.3529411764705882,31,-5.0,98.0,3.161290322580645,-1.0999999999999992,102.8,3.3161290322580643,10.9,1.4,-2.0,-0.9,-1.0,0.0766666666666666,0.531,0.702,0.069,0.0,-0.2,L (-16),L (-16)
7.0,7.0,2022-10-29,25-337,UTA,MEM,0.0,31.566666666666663,4.0,7.0,0.571,4.0,6.0,0.667,0.0,0.0,,0.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,12.0,10.2,-4.0,1.0,0.0,0.0,42,78,54,43,22,50,13,7,3,43,36,32,40,26,41,19,52,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.875,0.0,1.0,0.0,0.0,0.8852459016393442,0.6323529411764706,1.0,0.7575757575757576,0.9285714285714286,1.0,0.4285714285714285,0.6417910447761194,0.6101694915254238,0.5423728813559322,0.7142857142857143,0.5,0.6307692307692307,0.5277777777777778,0.7027027027027027,21,30,23,25,1,15,8,23,11,16,7,9,25,24,56.0,64.0,7.0,71.0,43.0,66.0,70.0,55.0,56.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.4107142857142857,0.390625,0.1428571428571428,0.2112676056338028,0.1860465116279069,0.3484848484848485,0.0,0.2,0.2857142857142857,0.1707317073170731,0.1836734693877551,0.0,0.0,0.0,0.0,,0.3289473684210526,0.3529411764705882,31,9.0,93.0,3.0,10.2,88.4,2.851612903225807,10.9,1.4,-2.0,-0.9,-1.0,0.0766666666666666,0.531,0.702,0.069,0.0,-0.2,W (+1),W (+1)
8.0,8.0,2022-10-31,25-339,UTA,MEM,0.0,26.35,7.0,12.0,0.583,4.0,9.0,0.444,0.0,0.0,,0.0,4.0,4.0,4.0,0.0,0.0,2.0,1.0,18.0,14.0,14.0,3.0,3.0,1.0,42,78,54,43,22,50,13,7,3,43,36,32,40,26,41,19,52,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.875,0.0,1.0,0.0,0.0,0.8852459016393442,0.6323529411764706,1.0,0.7575757575757576,0.9285714285714286,1.0,0.4285714285714285,0.6417910447761194,0.6101694915254238,0.5423728813559322,0.7142857142857143,0.5,0.6307692307692307,0.5277777777777778,0.7027027027027027,21,30,23,25,1,15,8,23,11,16,7,9,25,24,56.0,64.0,7.0,71.0,43.0,66.0,70.0,55.0,56.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.4107142857142857,0.390625,0.1428571428571428,0.2112676056338028,0.1860465116279069,0.3484848484848485,0.0,0.2,0.2857142857142857,0.1707317073170731,0.1836734693877551,0.0,0.0,0.0,0.0,,0.3289473684210526,0.3529411764705882,31,12.0,66.0,2.129032258064516,14.000000000000004,66.5,2.1451612903225805,10.9,1.4,-2.0,-0.9,-1.0,0.0766666666666666,0.531,0.702,0.069,0.0,-0.2,W (+16),W (+16)
9.0,9.0,2022-11-02,25-341,UTA,DAL,0.0,22.666666666666668,3.0,11.0,0.273,3.0,5.0,0.6,0.0,0.0,,4.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,9.0,7.2,1.0,6.0,0.0,0.0,42,78,54,43,22,50,13,7,3,43,36,32,40,26,41,19,52,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.875,0.0,1.0,0.0,0.0,0.8852459016393442,0.6323529411764706,1.0,0.7575757575757576,0.9285714285714286,1.0,0.4285714285714285,0.6417910447761194,0.6101694915254238,0.5423728813559322,0.7142857142857143,0.5,0.6307692307692307,0.5277777777777778,0.7027027027027027,21,30,23,25,1,15,8,23,11,16,7,9,25,24,56.0,64.0,7.0,71.0,43.0,66.0,70.0,55.0,56.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.4107142857142857,0.390625,0.1428571428571428,0.2112676056338028,0.1860465116279069,0.3484848484848485,0.0,0.2,0.2857142857142857,0.1707317073170731,0.1836734693877551,0.0,0.0,0.0,0.0,,0.3289473684210526,0.3529411764705882,31,7.0,48.0,1.5483870967741935,7.199999999999999,56.7,1.829032258064516,10.9,1.4,-2.0,-0.9,-1.0,0.0766666666666666,0.531,0.702,0.069,0.0,-0.2,L (-3),L (-3)
10.0,10.0,2022-11-04,25-343,UTA,LAL,0.0,14.966666666666669,1.0,7.0,0.143,1.0,4.0,0.25,0.0,0.0,,0.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0,3.0,1.0,-4.0,3.0,0.0,0.0,42,78,54,43,22,50,13,7,3,43,36,32,40,26,41,19,52,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.875,0.0,1.0,0.0,0.0,0.8852459016393442,0.6323529411764706,1.0,0.7575757575757576,0.9285714285714286,1.0,0.4285714285714285,0.6417910447761194,0.6101694915254238,0.5423728813559322,0.7142857142857143,0.5,0.6307692307692307,0.5277777777777778,0.7027027027027027,21,30,23,25,1,15,8,23,11,16,7,9,25,24,56.0,64.0,7.0,71.0,43.0,66.0,70.0,55.0,56.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.4107142857142857,0.390625,0.1428571428571428,0.2112676056338028,0.1860465116279069,0.3484848484848485,0.0,0.2,0.2857142857142857,0.1707317073170731,0.1836734693877551,0.0,0.0,0.0,0.0,,0.3289473684210526,0.3529411764705882,31,1.0,67.0,2.161290322580645,1.0000000000000009,65.60000000000001,2.1161290322580646,10.9,1.4,-2.0,-0.9,-1.0,0.0766666666666666,0.531,0.702,0.069,0.0,-0.2,W (+14),W (+14)
