,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2001-02,20.0,ORL,NBA,C,53.0,516.0,12.9,0.502,0.0,0.639,8.6,12.4,10.5,1.5,0.5,5.8,7.8,17.7,,0.5,0.5,1.0,0.094,,-3.7,-0.4,-4.0,-0.3
1,2002-03,21.0,ORL,NBA,C,33.0,447.0,13.4,0.531,0.0,0.427,9.5,14.5,11.9,2.2,1.0,5.9,10.9,13.7,,0.4,0.5,0.9,0.099,,-1.9,0.1,-1.8,0.0
2,2003-04,22.0,ORL,NBA,C,59.0,789.0,11.2,0.504,0.0,0.445,7.6,17.0,12.2,2.4,0.3,6.7,13.5,12.3,,0.3,0.3,0.6,0.034,,-3.1,0.0,-3.0,-0.2
3,2004-05,23.0,PHO,NBA,C,76.0,1046.0,14.7,0.596,0.005,0.741,10.5,12.6,11.6,1.7,0.2,6.4,13.1,14.0,,1.7,1.0,2.6,0.121,,-1.6,0.7,-0.9,0.3
4,2005-06,24.0,PHI,NBA,C,69.0,1312.0,13.9,0.598,0.0,0.474,9.8,14.4,12.1,2.1,0.5,4.4,15.4,14.4,,1.5,1.0,2.5,0.09,,-1.4,-0.9,-2.4,-0.1
5,2006-07,25.0,PHI,NBA,PF,70.0,1605.0,12.3,0.573,0.0,0.463,8.6,16.5,12.5,2.6,0.4,3.7,14.2,13.2,,1.3,1.5,2.8,0.085,,-1.6,-0.1,-1.8,0.1
6,2007-08,26.0,DEN,NBA,C,19.0,120.0,8.6,0.53,0.0,0.714,9.2,16.8,13.1,0.0,0.0,3.5,16.0,15.5,,0.0,0.1,0.1,0.043,,-5.5,-2.0,-7.5,-0.2
7,2009-10,28.0,MEM,NBA,C,21.0,158.0,11.6,0.45,0.0,0.837,13.3,17.8,15.5,0.0,0.3,4.8,13.3,18.8,,-0.1,0.1,0.1,0.018,,-2.5,-2.3,-4.8,-0.1
8,Career,,,NBA,,400.0,5993.0,13.0,0.558,0.001,0.545,9.3,15.0,12.1,2.1,0.4,5.1,13.3,14.1,,5.7,4.9,10.6,0.085,,-2.1,-0.2,-2.3,-0.5
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3 seasons,,ORL,NBA,,145.0,1752.0,12.2,0.51,0.0,0.511,8.4,15.0,11.6,2.1,0.6,6.2,10.8,14.3,,1.2,1.3,2.5,0.069,,-3.0,-0.1,-3.0,-0.5
11,2 seasons,,PHI,NBA,,139.0,2917.0,13.0,0.585,0.0,0.468,9.1,15.5,12.3,2.4,0.4,4.0,14.8,13.7,,2.9,2.4,5.3,0.087,,-1.6,-0.5,-2.0,0.0
12,1 season,,PHO,NBA,,76.0,1046.0,14.7,0.596,0.005,0.741,10.5,12.6,11.6,1.7,0.2,6.4,13.1,14.0,,1.7,1.0,2.6,0.121,,-1.6,0.7,-0.9,0.3
13,1 season,,MEM,NBA,,21.0,158.0,11.6,0.45,0.0,0.837,13.3,17.8,15.5,0.0,0.3,4.8,13.3,18.8,,-0.1,0.1,0.1,0.018,,-2.5,-2.3,-4.8,-0.1
14,1 season,,DEN,NBA,,19.0,120.0,8.6,0.53,0.0,0.714,9.2,16.8,13.1,0.0,0.0,3.5,16.0,15.5,,0.0,0.1,0.1,0.043,,-5.5,-2.0,-7.5,-0.2
