,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2001-02,23.0,PHI,NBA,PG,67.0,1528.0,12.6,0.469,0.073,0.301,3.5,8.4,5.9,21.9,3.4,0.3,15.7,18.2,,0.4,2.4,2.8,0.087,,-2.5,2.1,-0.4,0.6
1,2002-03,24.0,SAS,NBA,PG,30.0,471.0,15.9,0.509,0.076,0.393,5.7,8.0,6.9,26.9,2.5,1.0,17.1,20.2,,0.6,0.6,1.2,0.125,,0.1,1.1,1.2,0.4
2,2003-04,25.0,GSW,NBA,PG,60.0,1595.0,17.3,0.509,0.042,0.427,2.7,8.4,5.5,28.7,3.3,0.4,14.1,20.9,,2.6,1.6,4.2,0.127,,-0.2,1.3,1.1,1.2
3,2004-05,26.0,TOT,NBA,PG,62.0,1866.0,15.8,0.493,0.1,0.416,2.1,9.1,5.4,33.1,3.0,0.3,14.1,20.1,,1.9,1.8,3.7,0.096,,-0.9,1.0,0.2,1.0
4,2004-05,26.0,GSW,NBA,PG,46.0,1501.0,16.4,0.508,0.104,0.425,2.2,9.2,5.5,30.9,3.0,0.3,13.4,20.2,,2.1,1.5,3.5,0.113,,-0.8,1.1,0.3,0.9
5,2004-05,26.0,NOH,NBA,PG,16.0,365.0,13.4,0.422,0.082,0.373,1.6,8.8,5.0,42.3,3.3,0.4,17.4,19.7,,-0.2,0.4,0.2,0.027,,-1.3,1.0,-0.4,0.1
6,2005-06,27.0,NOK,NBA,PG,71.0,2019.0,16.1,0.497,0.086,0.435,2.2,9.3,5.7,29.8,2.9,0.2,14.9,23.8,,1.1,2.0,3.0,0.072,,-0.1,0.3,0.1,1.1
7,2006-07,28.0,ATL,NBA,PG,42.0,1054.0,7.3,0.363,0.101,0.216,1.4,8.0,4.6,28.1,3.6,0.3,19.8,16.6,,-1.8,1.0,-0.7,-0.034,,-5.4,0.9,-4.5,-0.7
8,2008-09,30.0,ATL,NBA,PG,2.0,15.0,5.7,0.317,0.0,0.286,0.0,0.0,0.0,32.4,0.0,0.0,0.0,24.6,,0.0,0.0,0.0,-0.083,,-5.1,-3.9,-9.0,0.0
9,Career,,,NBA,,334.0,8548.0,14.5,0.481,0.079,0.382,2.6,8.7,5.6,28.5,3.1,0.3,15.3,20.4,,4.7,9.5,14.2,0.08,,-1.4,1.1,-0.3,3.6
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2 seasons,,GSW,NBA,,106.0,3096.0,16.9,0.509,0.072,0.426,2.5,8.8,5.5,29.8,3.1,0.3,13.7,20.6,,4.7,3.1,7.8,0.12,,-0.5,1.2,0.7,2.1
12,2 seasons,,"NOH,NOK",NBA,,87.0,2384.0,15.7,0.487,0.085,0.427,2.1,9.2,5.6,31.7,3.0,0.3,15.3,23.2,,0.9,2.3,3.2,0.065,,-0.3,0.4,0.0,1.2
13,1 season,,PHI,NBA,,67.0,1528.0,12.6,0.469,0.073,0.301,3.5,8.4,5.9,21.9,3.4,0.3,15.7,18.2,,0.4,2.4,2.8,0.087,,-2.5,2.1,-0.4,0.6
14,2 seasons,,ATL,NBA,,44.0,1069.0,7.3,0.362,0.098,0.218,1.3,7.9,4.6,28.1,3.6,0.3,19.4,16.7,,-1.8,1.0,-0.8,-0.034,,-5.4,0.8,-4.6,-0.7
15,1 season,,SAS,NBA,,30.0,471.0,15.9,0.509,0.076,0.393,5.7,8.0,6.9,26.9,2.5,1.0,17.1,20.2,,0.6,0.6,1.2,0.125,,0.1,1.1,1.2,0.4
