,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2011-12,21.0,MIN,NBA,PG,41.0,1404.0,14.6,0.476,0.242,0.404,1.6,11.9,6.7,37.4,3.3,0.4,22.2,18.7,,0.5,1.5,2.0,0.07,,-0.4,1.4,1.0,1.1
1,2012-13,22.0,MIN,NBA,PG,57.0,1691.0,16.2,0.482,0.179,0.514,2.9,12.9,7.7,38.8,4.2,0.2,21.4,21.2,,0.4,2.6,3.0,0.085,,-0.8,1.9,1.1,1.3
2,2013-14,23.0,MIN,NBA,PG,82.0,2638.0,15.4,0.491,0.199,0.422,2.5,11.9,7.1,37.8,3.6,0.3,21.8,16.4,,2.2,3.6,5.9,0.107,,-0.6,1.7,1.2,2.1
3,2014-15,24.0,MIN,NBA,PG,22.0,692.0,15.2,0.452,0.233,0.324,3.0,18.1,10.3,43.5,2.8,0.1,20.4,20.0,,0.1,0.4,0.5,0.033,,-0.3,0.2,-0.1,0.3
4,2015-16,25.0,MIN,NBA,PG,76.0,2323.0,17.6,0.529,0.324,0.536,2.0,14.1,8.2,41.4,3.5,0.4,21.0,17.7,,3.6,2.2,5.8,0.119,,1.0,0.8,1.8,2.3
5,2016-17,26.0,MIN,NBA,PG,75.0,2469.0,16.8,0.539,0.302,0.438,3.2,11.4,7.2,38.9,2.6,0.3,20.1,17.4,,4.5,1.7,6.1,0.119,,1.2,-0.2,0.9,1.8
6,2017-18,27.0,UTA,NBA,PG,77.0,2254.0,15.4,0.537,0.33,0.307,2.2,15.3,8.8,28.4,2.7,0.4,18.1,22.9,,1.5,3.8,5.3,0.112,,-0.7,1.5,0.7,1.6
7,2018-19,28.0,UTA,NBA,PG,68.0,1899.0,14.0,0.52,0.348,0.312,1.9,11.8,6.9,32.1,2.3,0.4,17.8,22.7,,0.9,2.8,3.7,0.095,,-1.0,0.8,-0.2,0.9
8,2019-20,29.0,PHO,NBA,PG,65.0,2016.0,16.5,0.535,0.312,0.327,2.5,14.4,8.4,39.7,2.2,0.5,17.9,20.4,,2.9,2.0,4.9,0.117,,0.7,0.2,1.0,1.5
9,2020-21,30.0,MIN,NBA,PG,68.0,1772.0,13.5,0.516,0.43,0.301,1.6,12.4,6.8,33.3,2.6,0.2,16.4,16.0,,1.9,1.3,3.1,0.085,,-1.9,0.0,-1.9,0.0
10,2021-22,31.0,CLE,NBA,PG,34.0,970.0,14.0,0.488,0.423,0.251,1.7,14.1,8.0,34.6,2.5,0.6,16.5,24.9,,-0.1,1.4,1.3,0.064,,-1.0,1.2,0.2,0.5
11,2022-23,32.0,CLE,NBA,PG,33.0,566.0,10.4,0.442,0.461,0.197,1.9,12.7,7.3,27.1,2.3,1.0,13.8,17.7,,-0.2,0.9,0.7,0.062,,-3.8,1.1,-2.8,-0.1
12,Career,,,NBA,,698.0,20694.0,15.4,0.511,0.309,0.372,2.3,13.1,7.7,36.4,2.9,0.4,19.3,19.4,,18.2,24.1,42.3,0.098,,-0.3,0.9,0.5,13.3
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7 seasons,,MIN,NBA,,421.0,12989.0,15.8,0.505,0.275,0.432,2.4,12.7,7.5,38.4,3.3,0.3,20.6,17.8,,13.2,13.2,26.4,0.097,,-0.1,0.9,0.7,8.9
15,2 seasons,,UTA,NBA,,145.0,4153.0,14.7,0.529,0.338,0.31,2.1,13.7,8.0,30.1,2.5,0.4,17.9,22.8,,2.4,6.6,9.0,0.104,,-0.9,1.2,0.3,2.4
16,2 seasons,,CLE,NBA,,67.0,1536.0,12.6,0.474,0.435,0.234,1.8,13.6,7.8,31.8,2.4,0.8,15.7,22.3,,-0.3,2.3,2.0,0.063,,-2.0,1.1,-0.9,0.4
17,1 season,,PHO,NBA,,65.0,2016.0,16.5,0.535,0.312,0.327,2.5,14.4,8.4,39.7,2.2,0.5,17.9,20.4,,2.9,2.0,4.9,0.117,,0.7,0.2,1.0,1.5
