,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2009-10,21.0,POR,NBA,PG,10.0,38.0,11.9,0.48,0.167,0.292,3.2,3.3,3.3,27.1,0.0,0.0,12.9,38.9,,0.0,0.0,0.0,-0.036,,-4.6,-5.6,-10.2,-0.1
1,2010-11,22.0,POR,NBA,PG,64.0,783.0,13.0,0.506,0.405,0.143,2.8,5.2,4.0,24.3,1.9,0.1,15.1,24.5,,0.2,0.5,0.7,0.044,,-0.1,-1.4,-1.5,0.1
2,2011-12,23.0,SAS,NBA,PG,16.0,261.0,21.5,0.604,0.431,0.115,1.8,10.3,6.2,25.9,2.0,0.3,16.0,28.4,,0.6,0.3,0.9,0.161,,3.6,-1.2,2.5,0.3
3,2012-13,24.0,SAS,NBA,PG,58.0,656.0,14.1,0.59,0.539,0.079,1.7,6.8,4.4,14.9,2.0,0.4,13.5,20.2,,0.7,0.8,1.5,0.109,,0.0,0.2,0.2,0.4
4,2013-14,25.0,SAS,NBA,PG,81.0,1527.0,18.7,0.588,0.477,0.123,2.6,9.6,6.2,15.3,2.3,0.4,8.2,22.6,,3.4,2.1,5.6,0.175,,2.9,1.1,4.0,2.3
5,2014-15,26.0,SAS,NBA,PG,51.0,801.0,13.0,0.496,0.542,0.119,3.0,7.5,5.3,16.9,1.8,0.2,9.0,22.1,,0.6,0.9,1.4,0.087,,0.0,-0.2,-0.3,0.4
6,2015-16,27.0,SAS,NBA,PG,81.0,1662.0,14.6,0.541,0.523,0.095,1.9,8.7,5.4,20.1,1.8,0.3,10.7,19.7,,2.2,2.6,4.8,0.139,,0.8,0.7,1.5,1.5
7,2016-17,28.0,SAS,NBA,PG,80.0,1754.0,15.2,0.578,0.572,0.129,1.6,7.4,4.6,24.3,1.9,0.1,13.3,19.5,,2.9,2.2,5.1,0.139,,1.4,0.2,1.6,1.6
8,2017-18,29.0,SAS,NBA,PG,82.0,2107.0,11.8,0.558,0.607,0.173,1.4,6.8,4.1,16.0,1.3,0.4,12.6,17.8,,2.0,2.1,4.1,0.093,,-0.6,-0.4,-1.0,0.5
9,2018-19,30.0,SAS,NBA,PG,82.0,1908.0,13.2,0.572,0.609,0.155,1.4,8.9,5.2,17.6,1.3,0.4,11.6,18.5,,2.2,1.2,3.5,0.087,,0.4,-0.8,-0.3,0.8
10,2019-20,31.0,SAS,NBA,PG,66.0,1485.0,14.8,0.592,0.674,0.187,1.6,6.2,3.9,11.4,1.7,0.4,7.7,20.4,,2.3,0.5,2.8,0.091,,1.2,-1.2,0.0,0.8
11,2020-21,32.0,SAS,NBA,PG,68.0,1685.0,11.8,0.57,0.702,0.128,1.1,6.3,3.7,13.5,1.2,0.2,9.3,18.4,,1.3,0.8,2.2,0.062,,0.0,-1.2,-1.2,0.4
12,2021-22,33.0,BRK,NBA,SG,81.0,2346.0,10.4,0.563,0.715,0.074,0.9,6.2,3.6,10.6,1.1,0.6,8.2,16.4,,1.9,0.9,2.8,0.058,,-0.3,-1.4,-1.7,0.2
13,2022-23,34.0,BRK,NBA,PG,40.0,567.0,10.6,0.554,0.641,0.144,1.6,7.0,4.4,13.9,1.3,0.5,11.9,19.7,,0.0,0.4,0.4,0.035,,-1.4,-1.7,-3.1,-0.2
14,Career,,,NBA,,860.0,17580.0,13.5,0.564,0.591,0.13,1.6,7.4,4.5,16.5,1.6,0.4,10.7,19.6,,20.4,15.3,35.7,0.098,,0.5,-0.5,0.0,8.9
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,10 seasons,,SAS,NBA,,665.0,13846.0,14.2,0.568,0.584,0.137,1.7,7.7,4.7,17.1,1.6,0.3,10.8,19.8,,18.3,13.5,31.8,0.11,,0.8,-0.2,0.5,8.8
17,2 seasons,,BRK,NBA,,121.0,2913.0,10.4,0.561,0.7,0.089,1.0,6.4,3.8,11.3,1.1,0.6,9.0,17.0,,1.9,1.3,3.2,0.053,,-0.5,-1.5,-1.9,0.0
18,2 seasons,,POR,NBA,,74.0,821.0,12.9,0.504,0.389,0.153,2.9,5.1,3.9,24.4,1.8,0.1,14.9,25.2,,0.2,0.5,0.7,0.04,,-0.3,-1.6,-1.9,0.0
