,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2012-13,22.0,GSW,NBA,SF,79,1061,7.1,0.404,0.261,0.214,6.2,20.3,13.5,7.0,2.0,1.8,15.4,14.0,,-0.9,1.6,0.6,0.028,,-5.0,1.4,-3.6,-0.4
1,2013-14,23.0,GSW,NBA,SF,82,1797,12.7,0.498,0.359,0.268,5.3,19.3,12.4,11.9,2.8,3.0,15.1,14.8,,0.7,3.8,4.5,0.119,,-1.7,3.6,1.9,1.8
2,2014-15,24.0,GSW,NBA,PF,79,2490,16.4,0.54,0.43,0.261,5.1,22.4,14.0,16.1,2.4,2.9,13.5,17.2,,3.3,5.2,8.5,0.163,,0.7,2.8,3.5,3.5
3,2015-16,25.0,GSW,NBA,PF,81,2808,19.3,0.587,0.315,0.402,5.5,23.0,14.7,29.0,2.0,3.0,21.2,18.8,,6.0,5.1,11.1,0.19,,2.6,2.9,5.5,5.3
4,2016-17,26.0,GSW,NBA,PF,76,2471,16.5,0.522,0.405,0.328,4.7,20.9,13.3,27.6,3.0,3.4,19.8,16.2,,2.8,5.4,8.2,0.16,,1.0,3.9,4.9,4.3
5,2017-18,27.0,GSW,NBA,PF,70,2287,16.1,0.556,0.414,0.279,3.9,21.1,13.1,29.0,2.0,3.1,22.5,17.2,,2.6,3.4,6.1,0.127,,0.9,1.9,2.8,2.8
6,2018-19,28.0,GSW,NBA,PF,66,2065,12.9,0.526,0.391,0.216,3.2,20.8,12.4,26.8,2.2,2.8,26.8,13.1,,1.1,3.2,4.3,0.1,,-1.3,2.7,1.4,1.8
7,2019-20,29.0,GSW,NBA,PF,43,1222,12.5,0.489,0.408,0.263,2.0,22.3,11.8,31.2,2.3,2.4,21.8,15.7,,-0.2,1.3,1.1,0.044,,-2.1,1.9,-0.2,0.5
8,2020-21,30.0,GSW,NBA,PF,63,1982,13.3,0.53,0.332,0.232,3.0,20.9,12.1,36.4,2.5,2.3,31.0,13.1,,1.2,3.4,4.6,0.112,,-1.6,3.3,1.7,1.9
9,2021-22,31.0,GSW,NBA,PF,46,1329,14.3,0.582,0.21,0.354,3.8,23.2,13.8,32.5,2.2,3.6,31.9,14.3,,0.8,2.8,3.6,0.131,,-1.4,4.6,3.2,1.8
10,2022-23,32.0,GSW,NBA,PF,73,2297,12.2,0.592,0.276,0.228,3.2,21.6,12.6,27.8,1.5,2.3,28.1,13.2,,1.6,3.1,4.7,0.098,,-1.8,2.6,0.8,1.6
11,Career,,,NBA,,758,21809,14.6,0.539,0.359,0.287,4.2,21.5,13.2,25.5,2.3,2.8,22.0,15.5,,19.0,38.4,57.4,0.126,,-0.4,2.9,2.5,24.7
