,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2006-07,21.0,NOK,NBA,PF,43.0,534.0,8.0,0.43,0.0,0.25,9.3,13.9,11.6,3.5,0.8,3.4,13.1,14.4,,-0.3,0.5,0.3,0.025,,-4.6,0.2,-4.4,-0.3
1,2007-08,22.0,TOT,NBA,PF,14.0,87.0,0.0,0.217,0.0,0.714,7.6,16.2,11.8,0.0,1.2,4.5,24.6,12.6,,-0.4,0.1,-0.2,-0.134,,-8.5,-0.9,-9.4,-0.2
2,2007-08,22.0,CLE,NBA,PF,7.0,68.0,2.4,0.21,0.0,1.333,8.1,17.3,12.6,0.0,1.6,5.8,29.6,9.0,,-0.2,0.1,-0.1,-0.07,,-7.5,0.8,-6.7,-0.1
3,2007-08,22.0,CHI,NBA,PF,7.0,19.0,-8.7,0.225,0.0,0.25,5.7,12.3,8.9,0.0,0.0,0.0,18.4,25.3,,-0.2,0.0,-0.1,-0.362,,-12.1,-6.9,-19.1,-0.1
4,2008-09,23.0,TOT,NBA,PF,18.0,84.0,10.8,0.453,0.0,0.64,6.9,15.1,11.0,3.9,0.6,3.5,5.9,18.1,,0.0,0.1,0.0,0.022,,-2.4,-1.8,-4.1,0.0
5,2008-09,23.0,CHI,NBA,PF,11.0,61.0,18.0,0.515,0.0,0.667,7.6,14.9,11.3,5.4,0.8,4.8,0.0,19.8,,0.1,0.1,0.2,0.139,,1.3,-0.3,1.0,0.0
6,2008-09,23.0,SAC,NBA,PF,7.0,23.0,-8.3,0.102,0.0,0.5,5.0,15.3,10.2,0.0,0.0,0.0,29.1,13.4,,-0.1,0.0,-0.1,-0.288,,-12.1,-5.8,-17.9,-0.1
7,Career,,,NBA,,75.0,705.0,7.3,0.414,0.0,0.345,8.8,14.4,11.5,3.1,0.8,3.6,13.2,14.6,,-0.6,0.7,0.1,0.005,,-4.8,-0.2,-5.0,-0.5
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1 season,,NOK,NBA,,43.0,534.0,8.0,0.43,0.0,0.25,9.3,13.9,11.6,3.5,0.8,3.4,13.1,14.4,,-0.3,0.5,0.3,0.025,,-4.6,0.2,-4.4,-0.3
10,2 seasons,,CHI,NBA,,18.0,80.0,11.6,0.444,0.0,0.552,7.1,14.3,10.7,4.1,0.6,3.6,5.3,21.2,,0.0,0.1,0.0,0.02,,-1.9,-1.9,-3.7,0.0
11,1 season,,CLE,NBA,,7.0,68.0,2.4,0.21,0.0,1.333,8.1,17.3,12.6,0.0,1.6,5.8,29.6,9.0,,-0.2,0.1,-0.1,-0.07,,-7.5,0.8,-6.7,-0.1
12,1 season,,SAC,NBA,,7.0,23.0,-8.3,0.102,0.0,0.5,5.0,15.3,10.2,0.0,0.0,0.0,29.1,13.4,,-0.1,0.0,-0.1,-0.288,,-12.1,-5.8,-17.9,-0.1
