,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2001-02,23.0,DEN,NBA,C,24.0,262.0,13.8,0.417,0.054,0.378,15.8,17.4,16.5,4.2,1.4,7.9,13.1,17.0,,0.0,0.3,0.3,0.058,,-3.3,0.3,-3.0,-0.1
1,2002-03,24.0,DEN,NBA,C,59.0,907.0,14.0,0.44,0.004,0.491,13.3,22.3,17.6,6.3,1.7,5.3,14.8,19.9,,-0.5,1.7,1.1,0.059,,-2.4,0.4,-2.0,0.0
2,2003-04,25.0,DEN,NBA,PF,71.0,1029.0,14.4,0.486,0.005,0.527,9.6,23.3,16.3,5.1,1.7,7.8,16.1,12.7,,0.5,1.9,2.4,0.111,,-2.2,2.7,0.4,0.6
3,2004-05,26.0,NOH,NBA,C,67.0,1430.0,18.5,0.581,0.008,0.531,10.9,23.6,17.0,9.1,0.5,5.6,12.7,16.4,,2.7,1.8,4.5,0.152,,0.5,1.1,1.6,1.3
4,2005-06,27.0,NOK,NBA,C,32.0,570.0,14.1,0.562,0.0,1.051,12.4,20.2,16.2,1.7,0.8,5.9,15.4,13.9,,0.6,0.7,1.3,0.112,,-2.0,0.9,-1.2,0.1
5,2007-08,29.0,NOH,NBA,C,5.0,34.0,6.1,0.342,0.0,0.571,6.7,24.6,15.5,0.0,0.0,9.2,10.2,13.3,,-0.1,0.1,0.0,0.012,,-6.7,0.2,-6.5,0.0
6,2008-09,30.0,DEN,NBA,C,71.0,1460.0,18.1,0.608,0.034,0.62,13.4,21.6,17.6,3.2,1.4,9.3,15.7,13.4,,2.5,2.8,5.4,0.176,,-0.3,2.4,2.2,1.5
7,2009-10,31.0,DEN,NBA,PF,76.0,1695.0,15.8,0.631,0.012,0.94,10.1,22.7,16.4,2.8,1.3,6.3,14.3,10.8,,3.2,2.7,5.9,0.166,,-0.1,1.9,1.8,1.6
8,2010-11,32.0,DEN,NBA,C,45.0,732.0,19.0,0.636,0.007,0.985,12.2,22.1,17.3,4.0,1.6,6.0,11.3,13.5,,1.9,1.2,3.2,0.207,,1.2,1.8,3.0,0.9
9,2011-12,33.0,DEN,NBA,C,32.0,486.0,18.9,0.583,0.0,0.759,11.9,23.3,17.8,1.8,2.0,7.4,10.6,14.8,,1.0,0.8,1.9,0.183,,0.5,1.8,2.3,0.5
10,2012-13,34.0,MIA,NBA,C,42.0,624.0,17.4,0.631,0.024,0.756,11.9,21.5,17.0,4.0,1.4,5.8,12.8,14.4,,1.6,1.1,2.7,0.207,,-1.0,0.8,-0.2,0.3
11,2013-14,35.0,MIA,NBA,C,72.0,1396.0,18.5,0.683,0.044,0.615,12.1,21.7,17.1,2.1,1.2,6.1,13.2,13.8,,3.8,2.2,6.0,0.205,,0.6,0.7,1.2,1.1
12,2014-15,36.0,MIA,NBA,C,60.0,1132.0,16.1,0.622,0.063,0.551,8.2,23.2,15.9,6.1,1.2,4.6,13.5,12.3,,2.1,1.5,3.6,0.151,,0.0,1.0,1.1,0.9
13,2015-16,37.0,TOT,NBA,C,27.0,402.0,15.3,0.598,0.194,0.5,9.9,18.2,13.9,4.4,1.9,2.9,9.3,10.8,,0.8,0.4,1.3,0.149,,0.7,0.0,0.7,0.3
14,2015-16,37.0,MIA,NBA,C,7.0,36.0,17.6,0.553,0.5,0.4,9.8,18.3,14.2,12.2,1.4,6.4,14.5,17.5,,0.1,0.1,0.1,0.165,,1.2,3.3,4.5,0.1
15,2015-16,37.0,MEM,NBA,C,20.0,366.0,15.1,0.605,0.145,0.516,9.9,18.2,13.9,3.7,2.0,2.5,8.4,10.2,,0.7,0.4,1.1,0.148,,0.6,-0.3,0.4,0.2
16,2016-17,38.0,CLE,NBA,C,12.0,114.0,11.6,0.497,0.136,0.636,9.0,20.6,15.0,5.9,2.2,5.0,15.1,13.0,,0.1,0.2,0.2,0.102,,-4.7,2.2,-2.5,0.0
17,Career,,,NBA,,695.0,12273.0,16.7,0.581,0.027,0.65,11.3,22.1,16.7,4.4,1.3,6.3,13.7,13.9,,20.2,19.5,39.7,0.155,,-0.4,1.4,0.9,9.1
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,7 seasons,,DEN,NBA,,378.0,6571.0,16.4,0.554,0.015,0.673,11.8,22.2,17.0,3.8,1.5,7.2,14.3,13.8,,8.6,11.5,20.1,0.147,,-0.7,1.8,1.1,5.2
20,4 seasons,,MIA,NBA,,181.0,3188.0,17.4,0.65,0.054,0.618,10.7,22.1,16.6,4.0,1.2,5.5,13.2,13.4,,7.6,4.8,12.4,0.186,,0.1,0.8,0.9,2.4
21,3 seasons,,"NOH,NOK",NBA,,104.0,2034.0,17.0,0.573,0.006,0.641,11.3,22.6,16.7,6.8,0.6,5.8,13.3,15.7,,3.2,2.6,5.9,0.138,,-0.3,1.0,0.7,1.4
22,1 season,,MEM,NBA,,20.0,366.0,15.1,0.605,0.145,0.516,9.9,18.2,13.9,3.7,2.0,2.5,8.4,10.2,,0.7,0.4,1.1,0.148,,0.6,-0.3,0.4,0.2
23,1 season,,CLE,NBA,,12.0,114.0,11.6,0.497,0.136,0.636,9.0,20.6,15.0,5.9,2.2,5.0,15.1,13.0,,0.1,0.2,0.2,0.102,,-4.7,2.2,-2.5,0.0
