,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2000-01,19.0,LAC,NBA,SF,81.0,2133.0,14.7,0.518,0.03,0.378,7.0,18.3,12.8,8.1,1.3,4.1,16.7,19.1,,0.5,2.6,3.0,0.068,,-1.3,0.8,-0.5,0.8
1,2001-02,20.0,LAC,NBA,SF,82.0,2227.0,14.4,0.516,0.03,0.397,5.6,17.3,11.5,13.5,1.7,3.2,17.5,18.5,,0.8,2.6,3.4,0.074,,-0.7,1.3,0.6,1.5
2,2002-03,21.0,CLE,NBA,SF,67.0,2008.0,9.7,0.435,0.022,0.241,6.2,14.2,10.1,14.9,1.7,2.4,20.0,19.2,,-2.7,1.4,-1.3,-0.032,,-3.2,-0.5,-3.7,-0.9
3,2003-04,22.0,TOT,NBA,SF,79.0,2079.0,16.1,0.514,0.053,0.256,6.2,13.6,9.9,14.0,1.8,2.1,13.4,21.5,,1.9,1.7,3.6,0.083,,0.4,0.0,0.4,1.3
4,2003-04,22.0,CLE,NBA,SF,37.0,888.0,12.7,0.455,0.091,0.218,6.0,14.8,10.4,15.7,1.5,2.2,13.4,21.1,,-0.2,0.8,0.6,0.032,,-1.4,-0.2,-1.6,0.1
5,2003-04,22.0,POR,NBA,SF,42.0,1191.0,18.6,0.559,0.024,0.287,6.4,12.7,9.6,12.8,2.0,2.1,13.5,21.8,,2.1,0.9,3.0,0.121,,1.7,0.2,1.9,1.1
6,2004-05,23.0,POR,NBA,SF,63.0,1699.0,15.5,0.511,0.033,0.308,5.0,14.9,10.2,14.2,2.4,3.3,16.6,25.7,,-0.7,2.0,1.3,0.036,,-1.5,0.8,-0.6,0.6
7,2005-06,24.0,POR,NBA,SF,40.0,1286.0,12.5,0.48,0.02,0.32,2.2,15.0,8.5,10.8,1.8,2.3,14.5,25.1,,-1.6,0.6,-1.0,-0.037,,-2.5,-0.9,-3.4,-0.4
8,2008-09,27.0,MEM,NBA,SF,34.0,298.0,16.1,0.533,0.061,0.313,7.7,15.9,11.7,10.1,2.0,5.5,15.7,21.0,,0.1,0.4,0.5,0.077,,-0.7,1.6,0.9,0.2
9,Career,,,NBA,,446.0,11730.0,13.9,0.498,0.033,0.315,5.7,15.7,10.7,12.6,1.7,3.0,16.5,21.1,,-1.8,11.3,9.5,0.039,,-1.4,0.4,-1.0,3.0
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2 seasons,,LAC,NBA,,163.0,4360.0,14.5,0.517,0.03,0.388,6.3,17.8,12.1,10.9,1.5,3.6,17.1,18.8,,1.3,5.1,6.4,0.071,,-1.0,1.1,0.1,2.3
12,3 seasons,,POR,NBA,,145.0,4176.0,15.5,0.514,0.026,0.306,4.6,14.3,9.5,12.7,2.1,2.6,15.1,24.4,,-0.3,3.6,3.3,0.038,,-0.9,0.1,-0.8,1.3
13,2 seasons,,CLE,NBA,,104.0,2896.0,10.6,0.442,0.045,0.233,6.1,14.4,10.2,15.1,1.6,2.4,17.9,19.8,,-2.9,2.1,-0.7,-0.012,,-2.6,-0.4,-3.0,-0.7
14,1 season,,MEM,NBA,,34.0,298.0,16.1,0.533,0.061,0.313,7.7,15.9,11.7,10.1,2.0,5.5,15.7,21.0,,0.1,0.4,0.5,0.077,,-0.7,1.6,0.9,0.2
