,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2015-16,20.0,PHI,NBA,PF,17.0,145.0,16.4,0.49,0.208,0.396,9.4,19.4,14.3,3.5,1.7,3.7,3.1,19.4,,0.2,0.1,0.3,0.097,,0.4,-0.6,-0.2,0.1
1,2016-17,21.0,CHO,NBA,PF,13.0,107.0,15.1,0.591,0.217,0.652,14.3,15.5,14.9,2.8,1.4,4.9,19.1,15.4,,0.1,0.1,0.3,0.125,,-2.3,-0.3,-2.6,0.0
2,2018-19,23.0,TOT,NBA,PF,21.0,251.0,21.9,0.607,0.222,0.479,7.2,26.5,17.0,4.8,1.3,3.2,10.7,26.1,,0.4,0.3,0.8,0.151,,1.4,-1.0,0.4,0.1
3,2018-19,23.0,MIL,NBA,PF,13.0,62.0,17.1,0.585,0.2,0.6,7.0,24.7,16.4,4.6,0.0,0.0,8.7,23.4,,0.1,0.1,0.2,0.146,,0.3,-1.5,-1.3,0.0
4,2018-19,23.0,NOP,NBA,PF,8.0,189.0,23.4,0.613,0.228,0.446,7.2,27.0,17.3,4.9,1.7,4.3,11.3,26.9,,0.3,0.3,0.6,0.152,,1.7,-0.8,0.9,0.1
5,2019-20,24.0,DET,NBA,PF,62.0,1325.0,23.2,0.659,0.276,0.476,8.8,24.8,16.7,7.6,1.3,3.4,12.0,23.0,,3.6,1.5,5.1,0.183,,3.5,-0.3,3.1,1.7
6,2020-21,25.0,HOU,NBA,C,41.0,1326.0,20.0,0.591,0.322,0.309,5.9,26.8,15.9,9.4,1.2,3.2,9.9,25.9,,1.4,1.4,2.8,0.1,,1.7,-0.3,1.4,1.1
7,2021-22,26.0,HOU,NBA,C,68.0,2094.0,19.1,0.595,0.383,0.378,5.7,30.4,18.0,12.2,1.2,2.8,11.0,23.3,,2.9,2.0,4.9,0.112,,2.1,-0.4,1.6,1.9
8,2022-23,27.0,DAL,NBA,C,67.0,1738.0,20.6,0.624,0.363,0.365,5.8,27.4,16.4,11.7,0.9,3.7,11.9,26.4,,2.7,2.1,4.8,0.132,,1.9,-0.3,1.7,1.6
9,Career,,,NBA,,289.0,6986.0,20.4,0.611,0.336,0.383,6.6,27.3,16.8,10.1,1.2,3.3,11.1,24.4,,11.3,7.6,18.9,0.13,,2.1,-0.4,1.7,6.5
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2 seasons,,HOU,NBA,,109.0,3420.0,19.5,0.593,0.357,0.349,5.8,29.0,17.2,11.1,1.2,3.0,10.5,24.3,,4.3,3.4,7.7,0.108,,1.9,-0.4,1.5,3.0
12,1 season,,DAL,NBA,,67.0,1738.0,20.6,0.624,0.363,0.365,5.8,27.4,16.4,11.7,0.9,3.7,11.9,26.4,,2.7,2.1,4.8,0.132,,1.9,-0.3,1.7,1.6
13,1 season,,DET,NBA,,62.0,1325.0,23.2,0.659,0.276,0.476,8.8,24.8,16.7,7.6,1.3,3.4,12.0,23.0,,3.6,1.5,5.1,0.183,,3.5,-0.3,3.1,1.7
14,1 season,,PHI,NBA,,17.0,145.0,16.4,0.49,0.208,0.396,9.4,19.4,14.3,3.5,1.7,3.7,3.1,19.4,,0.2,0.1,0.3,0.097,,0.4,-0.6,-0.2,0.1
15,1 season,,CHO,NBA,,13.0,107.0,15.1,0.591,0.217,0.652,14.3,15.5,14.9,2.8,1.4,4.9,19.1,15.4,,0.1,0.1,0.3,0.125,,-2.3,-0.3,-2.6,0.0
16,1 season,,MIL,NBA,,13.0,62.0,17.1,0.585,0.2,0.6,7.0,24.7,16.4,4.6,0.0,0.0,8.7,23.4,,0.1,0.1,0.2,0.146,,0.3,-1.5,-1.3,0.0
17,1 season,,NOP,NBA,,8.0,189.0,23.4,0.613,0.228,0.446,7.2,27.0,17.3,4.9,1.7,4.3,11.3,26.9,,0.3,0.3,0.6,0.152,,1.7,-0.8,0.9,0.1
