,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2016-17,24.0,TOT,NBA,SG,82.0,1888.0,11.8,0.541,0.494,0.099,2.0,13.5,7.8,10.3,1.0,0.4,11.2,21.3,,0.0,1.3,1.3,0.032,,-0.6,-1.4,-2.0,0.0
1,2016-17,24.0,NOP,NBA,SG,57.0,1161.0,9.9,0.503,0.512,0.07,1.7,13.4,7.5,10.3,0.8,0.5,9.0,20.4,,-0.4,0.9,0.5,0.02,,-1.7,-1.1,-2.8,-0.2
2,2016-17,24.0,SAC,NBA,SG,25.0,727.0,14.9,0.6,0.466,0.145,2.6,13.7,8.2,10.3,1.4,0.3,14.4,22.9,,0.4,0.4,0.8,0.053,,1.1,-1.9,-0.8,0.2
3,2017-18,25.0,SAC,NBA,SG,80.0,2024.0,16.1,0.557,0.437,0.087,3.0,14.8,8.6,12.8,2.1,1.0,11.3,24.3,,1.3,1.5,2.8,0.067,,1.6,-0.5,1.0,1.5
4,2018-19,26.0,SAC,NBA,SG,82.0,2615.0,17.5,0.587,0.479,0.142,4.1,12.4,8.1,11.9,1.0,1.1,9.2,25.1,,4.3,1.6,5.9,0.108,,3.5,-1.4,2.1,2.7
5,2019-20,27.0,SAC,NBA,SG,72.0,2216.0,16.0,0.566,0.592,0.117,2.8,14.1,8.3,15.5,1.4,0.7,12.1,27.2,,1.4,1.5,3.0,0.064,,2.5,-1.4,1.1,1.7
6,2020-21,28.0,SAC,NBA,SG,71.0,2433.0,12.8,0.567,0.727,0.105,1.3,14.1,7.6,14.7,1.2,1.0,11.1,20.7,,1.5,0.7,2.2,0.044,,1.0,-1.6,-0.6,0.9
7,2021-22,29.0,TOT,NBA,SG,81.0,2499.0,12.9,0.548,0.652,0.116,2.9,12.8,7.8,13.8,1.4,0.9,11.7,22.4,,0.8,1.1,1.9,0.036,,0.5,-1.7,-1.2,0.5
8,2021-22,29.0,SAC,NBA,SG,55.0,1574.0,11.9,0.54,0.714,0.133,2.9,12.4,7.6,10.0,1.5,0.8,10.9,22.5,,0.0,0.8,0.7,0.023,,0.2,-1.5,-1.3,0.3
9,2021-22,29.0,IND,NBA,SG,26.0,925.0,14.5,0.563,0.546,0.086,2.7,13.4,8.0,20.3,1.3,0.9,13.0,22.4,,0.8,0.3,1.1,0.059,,1.1,-2.2,-1.1,0.2
10,2022-23,30.0,IND,NBA,SF,80.0,2482.0,15.4,0.614,0.652,0.124,3.0,14.9,8.9,13.3,1.8,0.9,11.3,20.8,,2.7,1.6,4.4,0.085,,2.5,-0.6,1.9,2.4
11,Career,,,NBA,,548.0,16157.0,14.7,0.57,0.577,0.115,2.8,13.8,8.2,13.2,1.4,0.9,11.1,23.1,,12.1,9.4,21.4,0.064,,1.6,-1.3,0.4,9.7
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6 seasons,,SAC,NBA,,385.0,11589.0,15.1,0.568,0.57,0.119,2.8,13.6,8.1,13.0,1.4,0.9,11.1,23.9,,9.0,6.5,15.5,0.064,,1.8,-1.3,0.5,7.3
14,2 seasons,,IND,NBA,,106.0,3407.0,15.2,0.6,0.622,0.114,2.9,14.5,8.7,15.2,1.6,0.9,11.8,21.3,,3.5,2.0,5.5,0.078,,2.1,-1.1,1.1,2.6
15,1 season,,NOP,NBA,,57.0,1161.0,9.9,0.503,0.512,0.07,1.7,13.4,7.5,10.3,0.8,0.5,9.0,20.4,,-0.4,0.9,0.5,0.02,,-1.7,-1.1,-2.8,-0.2
