,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2014-15,20.0,BOS,NBA,PG,67,1808,11.0,0.491,0.57,0.266,3.6,9.9,6.7,16.3,2.7,0.8,14.4,15.1,,0.7,2.2,2.9,0.077,,-1.9,1.5,-0.5,0.7
1,2015-16,21.0,BOS,NBA,PG,61,1667,11.3,0.463,0.456,0.314,4.8,11.6,8.1,15.8,2.7,0.8,11.7,17.4,,0.5,2.4,2.9,0.083,,-2.2,1.2,-1.0,0.4
2,2016-17,22.0,BOS,NBA,SG,79,2399,12.0,0.486,0.443,0.334,3.7,10.4,7.1,22.0,2.6,1.2,15.6,18.8,,0.5,2.7,3.2,0.064,,-1.9,0.6,-1.3,0.4
3,2017-18,23.0,BOS,NBA,SG,54,1614,10.8,0.479,0.483,0.258,3.0,9.8,6.4,23.7,2.2,1.2,18.4,19.4,,-0.6,2.5,1.9,0.056,,-2.1,1.0,-1.2,0.3
4,2018-19,24.0,BOS,NBA,SG,80,2200,13.1,0.568,0.61,0.228,2.8,8.6,5.7,19.1,3.1,1.1,16.5,14.6,,2.2,3.1,5.3,0.116,,-1.2,2.0,0.8,1.5
5,2019-20,25.0,BOS,NBA,SG,60,1919,13.8,0.518,0.579,0.223,2.4,10.1,6.3,21.1,2.5,1.4,12.1,18.9,,1.7,2.8,4.5,0.112,,0.0,1.4,1.4,1.6
6,2020-21,26.0,BOS,NBA,PG,48,1581,13.8,0.539,0.553,0.318,2.5,9.3,5.9,23.6,2.2,1.4,14.2,18.4,,1.8,1.5,3.3,0.1,,-0.4,0.2,-0.3,0.7
7,2021-22,27.0,BOS,NBA,PG,71,2296,13.6,0.54,0.501,0.249,2.0,10.5,6.4,25.6,2.6,0.7,16.6,18.3,,1.9,3.7,5.6,0.116,,-1.2,1.7,0.5,1.5
8,2022-23,28.0,BOS,NBA,PG,61,1957,12.1,0.538,0.568,0.196,2.6,8.0,5.3,26.4,2.3,1.0,17.9,17.8,,1.0,2.7,3.7,0.092,,-1.8,0.8,-1.0,0.5
9,Career,,,NBA,,581,17441,12.4,0.514,0.527,0.265,3.0,9.8,6.4,21.6,2.6,1.1,15.3,17.6,,9.8,23.5,33.3,0.092,,-1.4,1.2,-0.2,7.7
