,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1999-00,23.0,DAL,NBA,SG,48.0,923.0,12.1,0.527,0.112,0.27,6.6,13.7,10.1,8.6,2.1,1.5,12.1,14.2,,1.0,0.8,1.8,0.094,,-2.2,0.7,-1.5,0.1
1,2000-01,24.0,DAL,NBA,SG,37.0,820.0,12.1,0.503,0.036,0.422,8.4,12.9,10.7,8.8,2.1,0.8,10.6,14.1,,1.1,0.9,2.0,0.118,,-1.2,0.7,-0.5,0.3
2,2001-02,25.0,DAL,NBA,SG,44.0,885.0,13.3,0.566,0.081,0.293,8.6,13.1,10.9,7.9,1.8,1.5,10.8,12.8,,1.7,0.6,2.3,0.126,,-0.4,0.6,0.2,0.5
3,2002-03,26.0,PHI,NBA,SG,75.0,1514.0,11.6,0.519,0.138,0.204,5.5,11.4,8.4,10.1,2.5,0.8,12.5,14.7,,1.5,1.7,3.1,0.1,,-1.7,1.0,-0.8,0.5
4,2003-04,27.0,PHI,NBA,SG,53.0,703.0,7.4,0.439,0.251,0.154,4.7,12.4,8.6,11.0,1.6,0.4,15.4,14.8,,-0.3,0.7,0.3,0.024,,-3.8,0.3,-3.5,-0.3
5,2004-05,28.0,DEN,NBA,SG,70.0,1522.0,13.7,0.638,0.399,0.267,5.0,10.7,7.9,13.2,2.5,0.3,12.6,11.4,,3.0,1.8,4.8,0.153,,-0.2,1.7,1.4,1.3
6,2005-06,29.0,DEN,NBA,SG,73.0,1758.0,11.4,0.556,0.583,0.132,2.1,11.7,6.9,10.8,2.5,0.9,10.5,12.6,,1.7,2.0,3.8,0.103,,-1.2,1.7,0.5,1.1
7,2006-07,30.0,DAL,NBA,SG,76.0,1372.0,7.8,0.486,0.344,0.114,3.1,10.6,6.9,7.6,1.8,0.4,11.3,12.0,,0.4,1.7,2.2,0.076,,-3.1,1.3,-1.7,0.1
8,2007-08,31.0,MIN,NBA,SG,31.0,520.0,7.2,0.489,0.427,0.188,2.2,12.7,7.2,10.8,2.1,0.3,18.6,13.5,,-0.2,0.3,0.1,0.008,,-4.4,0.2,-4.1,-0.3
9,2008-09,32.0,MEM,NBA,SF,63.0,878.0,6.3,0.456,0.321,0.157,4.4,13.9,9.1,9.9,1.8,0.7,18.3,11.1,,-0.4,0.7,0.3,0.019,,-4.4,0.4,-4.0,-0.4
10,Career,,,NBA,,570.0,10895.0,10.7,0.528,0.287,0.212,4.8,12.0,8.4,10.0,2.2,0.8,12.6,13.0,,9.6,11.2,20.9,0.092,,-2.0,1.0,-0.9,3.0
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4 seasons,,DAL,NBA,,205.0,4000.0,10.9,0.518,0.165,0.256,6.2,12.3,9.3,8.2,1.9,1.0,11.2,13.1,,4.3,4.0,8.3,0.1,,-1.9,0.9,-1.0,1.0
13,2 seasons,,DEN,NBA,,143.0,3280.0,12.4,0.592,0.506,0.189,3.5,11.2,7.4,11.9,2.5,0.6,11.5,12.0,,4.8,3.8,8.6,0.126,,-0.8,1.7,1.0,2.4
14,2 seasons,,PHI,NBA,,128.0,2217.0,10.3,0.495,0.173,0.188,5.2,11.7,8.5,10.4,2.2,0.7,13.4,14.7,,1.1,2.4,3.5,0.075,,-2.4,0.7,-1.6,0.2
15,1 season,,MEM,NBA,,63.0,878.0,6.3,0.456,0.321,0.157,4.4,13.9,9.1,9.9,1.8,0.7,18.3,11.1,,-0.4,0.7,0.3,0.019,,-4.4,0.4,-4.0,-0.4
16,1 season,,MIN,NBA,,31.0,520.0,7.2,0.489,0.427,0.188,2.2,12.7,7.2,10.8,2.1,0.3,18.6,13.5,,-0.2,0.3,0.1,0.008,,-4.4,0.2,-4.1,-0.3
