,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2014-15,23.0,SAC,NBA,PF,3.0,2.0,40.8,1.0,0.0,0.0,0.0,54.8,28.4,0.0,0.0,0.0,0.0,22.0,,0.0,0.0,0.0,0.431,,8.7,8.5,17.2,0.0
1,2015-16,24.0,SAC,NBA,PF,8.0,48.0,7.4,0.515,0.0,0.667,6.8,17.9,12.4,2.7,0.0,6.7,27.9,9.5,,0.0,0.0,0.0,0.012,,-4.4,-0.1,-4.5,0.0
2,2017-18,26.0,DET,NBA,PF,67.0,805.0,13.9,0.531,0.0,0.238,10.9,27.6,19.1,13.3,1.9,5.6,23.8,9.7,,0.7,1.6,2.3,0.135,,-2.8,3.3,0.5,0.5
3,2018-19,27.0,TOT,NBA,PF,5.0,43.0,6.7,0.5,0.143,0.0,10.3,39.6,25.2,11.8,1.1,1.9,41.7,12.0,,-0.1,0.1,0.0,0.032,,-6.7,2.0,-4.7,0.0
4,2018-19,27.0,PHO,NBA,PF,1.0,5.0,3.9,,,,0.0,67.5,33.2,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.077,,-6.3,0.2,-6.1,0.0
5,2018-19,27.0,TOR,NBA,PF,4.0,38.0,7.1,0.5,0.143,0.0,11.7,35.9,24.1,13.3,1.3,2.2,41.7,13.6,,-0.1,0.1,0.0,0.026,,-6.7,2.3,-4.5,0.0
6,Career,,,NBA,,83.0,898.0,13.3,0.531,0.007,0.243,10.6,27.7,19.0,12.6,1.8,5.5,24.9,9.8,,0.6,1.7,2.3,0.124,,-3.0,3.1,0.1,0.5
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1 season,,DET,NBA,,67.0,805.0,13.9,0.531,0.0,0.238,10.9,27.6,19.1,13.3,1.9,5.6,23.8,9.7,,0.7,1.6,2.3,0.135,,-2.8,3.3,0.5,0.5
9,2 seasons,,SAC,NBA,,11.0,50.0,8.7,0.571,0.0,0.571,6.5,19.4,13.0,2.6,0.0,6.5,25.5,10.0,,0.0,0.0,0.0,0.029,,-3.9,0.3,-3.6,0.0
10,1 season,,TOR,NBA,,4.0,38.0,7.1,0.5,0.143,0.0,11.7,35.9,24.1,13.3,1.3,2.2,41.7,13.6,,-0.1,0.1,0.0,0.026,,-6.7,2.3,-4.5,0.0
11,1 season,,PHO,NBA,,1.0,5.0,3.9,,,,0.0,67.5,33.2,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.077,,-6.3,0.2,-6.1,0.0
