,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2014-15,23.0,NYK,NBA,PG,45.0,1457.0,12.3,0.489,0.344,0.153,2.9,12.5,7.5,17.6,1.9,0.7,10.1,19.2,,0.7,0.6,1.3,0.043,,-1.5,-0.9,-2.3,-0.1
1,2015-16,24.0,NYK,NBA,PG,82.0,2033.0,11.7,0.49,0.381,0.194,2.3,13.0,7.7,15.7,1.9,0.8,8.7,15.6,,1.4,1.8,3.3,0.077,,-1.7,0.7,-1.0,0.5
2,2016-17,25.0,TOT,NBA,PG,74.0,1495.0,10.4,0.51,0.565,0.117,2.0,9.3,5.6,9.4,1.5,0.3,7.4,18.4,,0.2,1.1,1.3,0.04,,-1.5,-0.7,-2.3,-0.1
3,2016-17,25.0,NOP,NBA,PG,55.0,1120.0,11.2,0.508,0.608,0.118,1.9,9.6,5.7,8.8,1.7,0.4,5.7,19.5,,0.2,1.0,1.2,0.052,,-1.2,-0.2,-1.5,0.1
4,2016-17,25.0,SAC,NBA,PG,19.0,375.0,8.0,0.522,0.385,0.115,2.2,8.5,5.4,11.2,0.8,0.2,14.1,15.4,,0.0,0.1,0.1,0.007,,-2.6,-2.1,-4.7,-0.3
5,2017-18,26.0,DET,NBA,SG,58.0,863.0,12.2,0.503,0.641,0.121,1.6,10.3,5.9,10.1,2.0,0.5,4.8,19.3,,0.5,0.9,1.4,0.08,,-0.2,0.2,0.1,0.5
6,2018-19,27.0,DET,NBA,SG,80.0,1745.0,10.7,0.534,0.647,0.164,3.0,7.9,5.4,7.3,1.0,0.4,3.7,16.1,,2.1,1.3,3.4,0.094,,-0.9,-0.6,-1.5,0.2
7,2019-20,28.0,DET,NBA,SG,66.0,1702.0,12.3,0.584,0.611,0.157,2.2,7.8,5.0,8.8,1.4,0.5,6.5,15.9,,2.4,0.7,3.1,0.087,,0.0,-0.9,-0.8,0.5
8,2020-21,29.0,PHO,NBA,SG,40.0,438.0,12.1,0.605,0.578,0.156,1.8,8.9,5.4,8.0,0.9,0.0,7.6,17.3,,0.6,0.3,0.9,0.096,,-0.1,-0.8,-0.9,0.1
9,2021-22,30.0,TOT,NBA,SG,7.0,107.0,0.7,0.269,0.615,0.0,3.1,14.7,9.0,13.7,0.4,0.0,18.8,12.8,,-0.3,0.1,-0.2,-0.1,,-8.0,-1.8,-9.8,-0.2
10,2021-22,30.0,BRK,NBA,SG,4.0,58.0,1.8,0.462,0.615,0.0,1.9,12.8,7.5,11.0,0.0,0.0,27.8,13.3,,-0.1,0.0,-0.1,-0.072,,-7.7,-2.8,-10.4,-0.1
11,2021-22,30.0,MIL,NBA,SG,3.0,49.0,-0.6,0.077,0.615,0.0,4.4,17.0,10.8,16.9,1.0,0.0,7.1,12.2,,-0.2,0.0,-0.1,-0.133,,-8.5,-0.6,-9.1,-0.1
12,Career,,,NBA,,452.0,9840.0,11.4,0.521,0.529,0.152,2.4,10.2,6.2,11.5,1.6,0.5,7.1,17.1,,7.6,6.8,14.4,0.07,,-1.1,-0.4,-1.4,1.3
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,3 seasons,,DET,NBA,,204.0,4310.0,11.6,0.545,0.632,0.151,2.4,8.4,5.3,8.4,1.4,0.5,5.0,16.7,,5.0,3.0,7.9,0.088,,-0.4,-0.6,-0.9,1.2
15,2 seasons,,NYK,NBA,,127.0,3490.0,11.9,0.489,0.364,0.175,2.6,12.8,7.6,16.5,1.9,0.8,9.3,17.1,,2.1,2.4,4.6,0.063,,-1.6,0.1,-1.5,0.4
16,1 season,,NOP,NBA,,55.0,1120.0,11.2,0.508,0.608,0.118,1.9,9.6,5.7,8.8,1.7,0.4,5.7,19.5,,0.2,1.0,1.2,0.052,,-1.2,-0.2,-1.5,0.1
17,1 season,,PHO,NBA,,40.0,438.0,12.1,0.605,0.578,0.156,1.8,8.9,5.4,8.0,0.9,0.0,7.6,17.3,,0.6,0.3,0.9,0.096,,-0.1,-0.8,-0.9,0.1
18,1 season,,SAC,NBA,,19.0,375.0,8.0,0.522,0.385,0.115,2.2,8.5,5.4,11.2,0.8,0.2,14.1,15.4,,0.0,0.1,0.1,0.007,,-2.6,-2.1,-4.7,-0.3
19,1 season,,BRK,NBA,,4.0,58.0,1.8,0.462,0.615,0.0,1.9,12.8,7.5,11.0,0.0,0.0,27.8,13.3,,-0.1,0.0,-0.1,-0.072,,-7.7,-2.8,-10.4,-0.1
20,1 season,,MIL,NBA,,3.0,49.0,-0.6,0.077,0.615,0.0,4.4,17.0,10.8,16.9,1.0,0.0,7.1,12.2,,-0.2,0.0,-0.1,-0.133,,-8.5,-0.6,-9.1,-0.1
