,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2013-14,22.0,HOU,NBA,SG,5.0,75.0,16.0,0.677,0.806,0.0,0.0,5.6,3.0,11.4,0.0,0.0,8.8,19.9,,0.2,0.0,0.2,0.15,,3.7,-3.3,0.4,0.0
1,2014-15,23.0,TOT,NBA,SG,47.0,397.0,9.6,0.515,0.715,0.079,2.2,7.2,4.7,9.2,0.8,0.2,10.5,21.3,,0.1,0.1,0.2,0.022,,-0.8,-2.4,-3.2,-0.1
2,2014-15,23.0,HOU,NBA,SG,17.0,108.0,4.5,0.472,0.915,0.085,0.0,6.1,3.1,5.9,0.0,0.0,9.3,21.6,,-0.1,0.0,0.0,-0.013,,-3.3,-3.1,-6.4,-0.1
3,2014-15,23.0,MIN,NBA,SG,19.0,154.0,7.4,0.443,0.661,0.034,4.3,10.0,7.1,13.4,1.0,0.0,11.8,19.4,,-0.1,0.0,-0.1,-0.038,,-2.6,-3.2,-5.8,-0.1
4,2014-15,23.0,CHO,NBA,SG,11.0,135.0,16.1,0.62,0.61,0.119,1.6,5.0,3.3,7.0,1.1,0.6,10.1,23.3,,0.2,0.1,0.3,0.119,,3.1,-1.0,2.2,0.1
5,2015-16,24.0,CHO,NBA,SG,43.0,476.0,14.9,0.634,0.652,0.048,1.6,11.6,6.5,7.6,1.2,0.5,11.2,20.4,,0.6,0.4,1.1,0.11,,1.8,-1.0,0.7,0.3
6,2016-17,25.0,MEM,NBA,SG,67.0,1183.0,10.4,0.531,0.717,0.109,2.1,7.8,4.8,6.6,0.9,0.3,8.0,21.7,,0.5,0.8,1.3,0.051,,0.2,-1.9,-1.8,0.0
7,2017-18,26.0,PHO,NBA,SG,79.0,1622.0,9.8,0.583,0.797,0.111,0.8,7.7,4.2,4.5,0.8,0.2,8.5,17.2,,1.4,0.0,1.4,0.042,,-0.5,-2.1,-2.6,-0.3
8,2018-19,27.0,PHO,NBA,SG,51.0,760.0,9.8,0.558,0.705,0.084,1.9,8.9,5.3,5.0,1.6,0.5,8.7,17.6,,0.2,0.1,0.3,0.02,,-1.7,-2.0,-3.7,-0.3
9,2019-20,28.0,TOT,NBA,SG,47.0,532.0,8.4,0.518,0.71,0.086,2.5,8.2,5.4,4.3,1.0,0.5,5.9,16.3,,0.1,0.5,0.6,0.056,,-1.7,-1.2,-2.9,-0.1
10,2019-20,28.0,LAL,NBA,SG,41.0,456.0,9.0,0.527,0.709,0.101,2.9,8.1,5.5,4.1,0.8,0.6,5.2,16.1,,0.2,0.4,0.7,0.069,,-1.2,-1.1,-2.2,0.0
11,2019-20,28.0,DEN,NBA,SG,6.0,76.0,5.3,0.464,0.714,0.0,0.0,8.8,4.4,5.4,2.0,0.0,9.7,17.7,,-0.1,0.1,0.0,-0.025,,-4.8,-2.4,-7.2,-0.1
12,Career,,,NBA,,339.0,5045.0,10.4,0.56,0.734,0.094,1.6,8.2,4.9,5.8,1.0,0.4,8.6,18.9,,3.2,1.9,5.1,0.049,,-0.4,-1.9,-2.3,-0.4
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2 seasons,,PHO,NBA,,130.0,2382.0,9.8,0.575,0.767,0.102,1.1,8.1,4.5,4.7,1.0,0.3,8.5,17.4,,1.6,0.1,1.7,0.035,,-0.9,-2.1,-3.0,-0.6
15,1 season,,MEM,NBA,,67.0,1183.0,10.4,0.531,0.717,0.109,2.1,7.8,4.8,6.6,0.9,0.3,8.0,21.7,,0.5,0.8,1.3,0.051,,0.2,-1.9,-1.8,0.0
16,2 seasons,,CHO,NBA,,54.0,611.0,15.2,0.63,0.642,0.065,1.6,10.1,5.8,7.5,1.2,0.5,10.9,21.0,,0.9,0.5,1.4,0.112,,2.1,-1.0,1.0,0.5
17,1 season,,LAL,NBA,,41.0,456.0,9.0,0.527,0.709,0.101,2.9,8.1,5.5,4.1,0.8,0.6,5.2,16.1,,0.2,0.4,0.7,0.069,,-1.2,-1.1,-2.2,0.0
18,2 seasons,,HOU,NBA,,22.0,183.0,9.2,0.552,0.872,0.051,0.0,5.9,3.0,8.1,0.0,0.0,9.1,20.9,,0.2,0.0,0.2,0.054,,-0.4,-3.1,-3.6,-0.1
19,1 season,,MIN,NBA,,19.0,154.0,7.4,0.443,0.661,0.034,4.3,10.0,7.1,13.4,1.0,0.0,11.8,19.4,,-0.1,0.0,-0.1,-0.038,,-2.6,-3.2,-5.8,-0.1
20,1 season,,DEN,NBA,,6.0,76.0,5.3,0.464,0.714,0.0,0.0,8.8,4.4,5.4,2.0,0.0,9.7,17.7,,-0.1,0.1,0.0,-0.025,,-4.8,-2.4,-7.2,-0.1
