,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1989-90,22.0,NJN,NBA,PG,50.0,1267.0,11.5,0.416,0.14,0.142,3.3,8.8,5.9,26.2,3.1,0.7,15.5,22.8,,-1.6,1.3,-0.3,-0.011,,-2.4,0.4,-2.0,0.0
1,1990-91,23.0,NJN,NBA,PG,72.0,2585.0,13.1,0.455,0.088,0.169,2.6,7.7,5.1,25.5,3.2,0.9,15.6,20.6,,-0.7,2.9,2.1,0.04,,-1.7,1.0,-0.7,0.9
2,1991-92,24.0,NJN,NBA,PG,72.0,2548.0,15.2,0.465,0.054,0.178,4.1,7.2,5.6,27.2,3.3,0.9,12.4,19.3,,2.3,2.6,4.9,0.092,,-0.1,1.1,1.0,1.9
3,1992-93,25.0,ATL,NBA,PG,80.0,2820.0,17.1,0.515,0.327,0.175,3.4,7.8,5.5,33.6,3.5,0.5,15.3,18.0,,4.4,2.6,7.0,0.119,,2.3,1.1,3.4,3.8
4,1993-94,26.0,ATL,NBA,PG,81.0,2915.0,19.6,0.487,0.316,0.147,4.4,11.6,8.0,40.4,3.7,1.0,14.6,19.8,,4.9,5.3,10.2,0.168,,3.4,2.3,5.7,5.7
5,1994-95,27.0,ATL,NBA,PG,80.0,3069.0,19.2,0.531,0.463,0.179,4.3,10.7,7.5,34.2,3.5,0.6,15.8,22.7,,4.6,4.8,9.4,0.147,,3.5,1.5,5.1,5.4
6,1995-96,28.0,ATL,NBA,PG,81.0,2893.0,18.9,0.529,0.555,0.151,4.3,9.5,6.8,27.6,3.9,0.5,13.6,21.5,,5.4,3.6,9.0,0.149,,3.8,1.5,5.3,5.4
7,1996-97,29.0,ATL,NBA,PG,78.0,3056.0,20.4,0.548,0.521,0.15,4.6,11.4,8.1,27.7,3.8,0.5,13.0,21.9,,7.0,5.6,12.5,0.197,,4.3,2.4,6.8,6.8
8,1997-98,30.0,ATL,NBA,PG,70.0,2700.0,16.1,0.462,0.356,0.143,3.7,10.9,7.4,29.5,3.7,0.5,15.0,20.1,,1.9,3.7,5.6,0.099,,1.2,1.5,2.6,3.2
9,1998-99,31.0,ATL,NBA,PG,48.0,1763.0,16.7,0.463,0.386,0.14,3.0,11.8,7.4,31.7,3.2,0.4,14.3,21.5,,1.5,3.2,4.7,0.127,,2.1,1.9,4.0,2.7
10,1999-00,32.0,GSW,NBA,PG,73.0,2459.0,15.1,0.468,0.36,0.114,2.2,9.8,5.8,31.8,3.0,0.6,14.0,17.5,,1.9,1.4,3.3,0.065,,0.7,0.2,0.9,1.8
11,2000-01,33.0,GSW,NBA,PG,69.0,2352.0,15.8,0.455,0.281,0.095,3.0,9.9,6.1,32.3,3.5,0.6,13.3,17.3,,1.9,1.6,3.5,0.071,,0.2,1.0,1.2,1.9
12,2001-02,34.0,GSW,NBA,PG,35.0,599.0,9.2,0.398,0.288,0.055,1.4,8.1,4.7,28.2,2.0,0.5,19.8,13.1,,-0.2,0.1,-0.1,-0.004,,-2.1,-0.7,-2.8,-0.1
13,Career,,,NBA,,889.0,31026.0,16.8,0.488,0.332,0.15,3.6,9.8,6.6,30.9,3.5,0.6,14.4,20.1,,33.3,38.5,71.8,0.111,,1.7,1.3,3.0,39.2
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,7 seasons,,ATL,NBA,,518.0,19216.0,18.4,0.509,0.425,0.156,4.0,10.5,7.2,32.1,3.6,0.6,14.5,20.8,,29.7,28.7,58.4,0.146,,3.0,1.8,4.8,32.9
16,3 seasons,,NJN,NBA,,194.0,6400.0,13.6,0.451,0.086,0.167,3.3,7.7,5.4,26.3,3.2,0.9,14.4,20.5,,0.0,6.8,6.7,0.05,,-1.2,0.9,-0.3,2.8
17,3 seasons,,GSW,NBA,,177.0,5410.0,14.7,0.457,0.318,0.1,2.4,9.6,5.8,31.6,3.1,0.6,14.2,16.9,,3.6,3.1,6.7,0.06,,0.2,0.4,0.6,3.6
