,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1979-80,19.0,NJN,NBA,PF,70.0,1661.0,17.0,0.506,0.005,0.291,10.8,20.7,15.8,9.3,1.7,1.1,12.7,25.0,,1.1,2.5,3.6,0.104,,0.2,-0.8,-0.6,0.6
1,1980-81,20.0,NJN,NBA,PF,63.0,1822.0,17.9,0.521,0.001,0.232,7.3,22.9,14.9,9.8,1.5,1.6,13.4,29.5,,0.4,2.1,2.5,0.065,,0.0,-0.9,-0.9,0.5
2,1981-82,21.0,TOT,NBA,PF,68.0,2175.0,18.3,0.491,0.003,0.274,8.6,23.5,15.8,8.5,1.9,2.7,10.4,26.9,,0.7,2.8,3.5,0.077,,0.3,-0.2,0.1,1.1
3,1981-82,21.0,KCK,NBA,PF,38.0,1229.0,18.5,0.488,0.004,0.254,7.4,22.4,14.7,9.0,1.8,2.8,9.8,29.0,,0.1,1.8,1.9,0.074,,0.2,-0.3,0.0,0.6
4,1981-82,21.0,CLE,NBA,PF,30.0,946.0,18.1,0.495,0.002,0.306,10.2,24.9,17.1,7.9,2.1,2.6,11.3,24.2,,0.5,1.0,1.6,0.08,,0.4,-0.2,0.2,0.5
5,1982-83,22.0,CLE,NBA,PF,77.0,2601.0,17.5,0.509,0.004,0.245,8.1,29.9,18.7,9.3,1.2,1.3,14.1,25.6,,1.2,3.2,4.4,0.081,,0.1,-0.4,-0.3,1.1
6,1983-84,23.0,CLE,NBA,C,73.0,2402.0,16.6,0.488,0.002,0.282,7.1,29.3,17.8,12.3,1.0,0.8,12.3,26.4,,0.2,2.9,3.1,0.062,,0.2,-0.8,-0.6,0.9
7,1984-85,24.0,WSB,NBA,PF,60.0,1870.0,16.4,0.507,0.003,0.238,8.1,24.5,16.1,12.0,1.3,1.4,14.0,25.6,,-0.3,3.2,2.9,0.075,,-0.9,0.2,-0.7,0.6
8,1985-86,25.0,WSB,NBA,SF,78.0,2563.0,18.3,0.518,0.003,0.281,7.6,21.0,14.4,12.1,1.9,1.0,12.7,26.4,,1.5,4.1,5.6,0.104,,0.6,0.1,0.7,1.7
9,1986-87,26.0,PHI,NBA,PF,55.0,1586.0,15.1,0.503,0.005,0.252,6.4,15.6,11.1,9.0,2.7,1.1,13.2,24.7,,0.1,2.0,2.1,0.064,,-1.3,-0.2,-1.5,0.2
10,1987-88,27.0,PHI,NBA,SF,62.0,2110.0,15.7,0.503,0.009,0.281,6.4,16.0,11.1,10.7,1.9,1.1,12.1,26.7,,0.7,1.8,2.6,0.059,,-0.6,-1.0,-1.7,0.2
11,1988-89,28.0,PHI,NBA,SF,14.0,416.0,14.1,0.514,0.005,0.235,5.1,15.2,10.1,11.5,2.0,0.3,14.1,24.0,,0.0,0.3,0.3,0.033,,-1.5,-1.4,-2.9,-0.1
12,1991-92,31.0,LAL,NBA,PF,9.0,78.0,14.9,0.475,0.037,0.296,10.1,17.8,13.9,17.4,3.3,0.0,18.7,21.0,,0.0,0.1,0.1,0.052,,-0.7,0.7,0.1,0.0
13,Career,,,NBA,,629.0,19284.0,17.0,0.505,0.004,0.264,7.7,22.9,15.2,10.5,1.6,1.3,12.8,26.3,,5.5,25.0,30.5,0.076,,-0.1,-0.5,-0.6,6.9
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,3 seasons,,CLE,NBA,,180.0,5949.0,17.2,0.498,0.003,0.269,8.1,28.8,18.1,10.3,1.3,1.3,12.9,25.7,,1.9,7.2,9.0,0.073,,0.2,-0.5,-0.3,2.5
16,2 seasons,,WSB,NBA,,138.0,4433.0,17.5,0.513,0.003,0.263,7.8,22.5,15.1,12.0,1.6,1.2,13.3,26.0,,1.2,7.3,8.5,0.092,,0.0,0.1,0.1,2.4
17,2 seasons,,NJN,NBA,,133.0,3483.0,17.5,0.514,0.003,0.257,9.0,21.8,15.3,9.5,1.6,1.4,13.1,27.4,,1.5,4.6,6.1,0.084,,0.1,-0.8,-0.8,1.1
18,3 seasons,,PHI,NBA,,131.0,4112.0,15.3,0.504,0.007,0.266,6.2,15.8,11.0,10.1,2.2,1.0,12.7,25.6,,0.9,4.1,5.0,0.058,,-1.0,-0.7,-1.7,0.3
19,1 season,,KCK,NBA,,38.0,1229.0,18.5,0.488,0.004,0.254,7.4,22.4,14.7,9.0,1.8,2.8,9.8,29.0,,0.1,1.8,1.9,0.074,,0.2,-0.3,0.0,0.6
20,1 season,,LAL,NBA,,9.0,78.0,14.9,0.475,0.037,0.296,10.1,17.8,13.9,17.4,3.3,0.0,18.7,21.0,,0.0,0.1,0.1,0.052,,-0.7,0.7,0.1,0.0
