,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2017-18,20.0,UTA,NBA,C,9.0,29.0,9.5,0.337,0.091,0.182,15.8,27.1,21.5,5.0,0.0,0.0,0.0,18.4,,0.0,0.0,0.0,0.033,,-3.0,-4.5,-7.5,0.0
1,2018-19,21.0,UTA,NBA,C,3.0,36.0,19.6,0.504,0.0,0.125,27.6,17.7,22.6,4.5,2.7,4.4,15.1,23.6,,0.0,0.1,0.1,0.13,,-3.6,-2.4,-6.0,0.0
2,2019-20,22.0,UTA,NBA,C,58.0,663.0,21.7,0.681,0.016,0.243,19.1,25.0,22.2,5.4,1.0,4.1,12.5,15.8,,2.2,1.1,3.3,0.236,,1.0,0.3,1.3,0.6
3,2020-21,23.0,TOT,NBA,C,42.0,684.0,20.7,0.678,0.015,0.279,13.3,24.0,18.6,8.5,1.0,3.9,13.0,15.8,,1.8,1.0,2.7,0.192,,1.2,0.1,1.3,0.6
4,2020-21,23.0,PHI,NBA,C,20.0,287.0,21.1,0.683,0.013,0.147,15.2,24.5,19.9,8.7,1.0,4.1,7.0,12.9,,1.0,0.5,1.5,0.245,,2.3,1.0,3.3,0.4
5,2020-21,23.0,OKC,NBA,C,22.0,397.0,20.4,0.676,0.016,0.361,11.9,23.6,17.7,8.3,1.1,3.8,16.0,18.0,,0.8,0.5,1.3,0.154,,0.4,-0.5,-0.2,0.2
6,2021-22,24.0,CHI,NBA,C,55.0,549.0,14.9,0.6,0.0,0.236,13.8,24.3,19.1,6.7,0.9,5.2,20.0,13.6,,0.6,0.7,1.3,0.112,,-2.0,0.2,-1.8,0.0
7,2022-23,25.0,CHI,NBA,C,12.0,33.0,21.7,0.69,0.417,0.333,3.5,33.8,18.9,4.4,1.5,2.9,6.8,19.8,,0.1,0.1,0.2,0.22,,4.4,0.5,4.9,0.1
8,Career,,,NBA,,179.0,1994.0,19.3,0.651,0.022,0.252,15.5,24.5,20.0,6.8,1.0,4.3,14.2,15.5,,4.7,2.9,7.5,0.181,,0.1,0.1,0.2,1.1
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3 seasons,,UTA,NBA,,70.0,728.0,21.1,0.651,0.019,0.231,19.4,24.7,22.2,5.3,1.1,4.0,12.2,16.3,,2.2,1.2,3.4,0.222,,0.6,0.0,0.6,0.5
11,2 seasons,,CHI,NBA,,67.0,582.0,15.3,0.609,0.037,0.244,13.2,24.8,19.1,6.6,0.9,5.1,19.0,14.0,,0.7,0.7,1.4,0.118,,-1.7,0.2,-1.5,0.1
12,1 season,,OKC,NBA,,22.0,397.0,20.4,0.676,0.016,0.361,11.9,23.6,17.7,8.3,1.1,3.8,16.0,18.0,,0.8,0.5,1.3,0.154,,0.4,-0.5,-0.2,0.2
13,1 season,,PHI,NBA,,20.0,287.0,21.1,0.683,0.013,0.147,15.2,24.5,19.9,8.7,1.0,4.1,7.0,12.9,,1.0,0.5,1.5,0.245,,2.3,1.0,3.3,0.4
