,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2005-06,20.0,SEA,NBA,C,68.0,1282.0,10.4,0.53,0.0,0.25,10.1,17.9,13.9,1.8,1.0,3.1,15.3,13.7,,0.7,0.2,1.0,0.037,,-3.2,-1.5,-4.7,-0.9
1,2006-07,21.0,SEA,NBA,C,81.0,1510.0,11.6,0.532,0.0,0.176,7.2,19.5,13.3,4.8,1.4,2.4,14.8,16.7,,0.5,1.2,1.7,0.053,,-3.4,-0.3,-3.7,-0.6
2,2007-08,22.0,SEA,NBA,C,72.0,1310.0,10.0,0.453,0.002,0.198,8.2,22.6,15.4,3.8,1.3,2.3,13.3,18.2,,-1.1,1.5,0.4,0.014,,-4.8,-0.3,-5.1,-1.0
3,2008-09,23.0,TOT,NBA,C,49.0,559.0,8.1,0.429,0.011,0.165,8.7,23.9,16.3,4.5,1.7,2.0,12.9,17.2,,-0.6,0.8,0.2,0.018,,-5.9,0.5,-5.4,-0.5
4,2008-09,23.0,OKC,NBA,C,22.0,342.0,9.3,0.426,0.009,0.133,8.9,23.3,16.0,2.8,2.4,1.1,11.1,17.4,,-0.3,0.5,0.1,0.019,,-5.0,0.4,-4.6,-0.2
5,2008-09,23.0,DEN,NBA,C,27.0,217.0,6.4,0.434,0.016,0.222,8.3,25.0,16.9,7.1,0.7,3.6,15.8,16.9,,-0.2,0.3,0.1,0.017,,-7.5,0.8,-6.7,-0.3
6,2009-10,24.0,DEN,NBA,C,36.0,436.0,10.7,0.553,0.01,0.208,8.5,25.4,17.1,4.8,1.2,2.2,17.3,13.6,,0.2,0.6,0.8,0.089,,-3.9,0.2,-3.6,-0.2
7,2010-11,25.0,NJN,NBA,C,77.0,893.0,9.9,0.452,0.014,0.097,8.0,20.4,14.0,8.4,2.0,2.9,13.2,18.1,,-0.7,1.1,0.4,0.024,,-5.5,0.9,-4.7,-0.6
8,2011-12,26.0,NJN,NBA,C,59.0,920.0,10.3,0.452,0.004,0.142,8.3,20.3,14.1,8.2,1.2,1.9,12.1,15.6,,0.1,0.6,0.7,0.034,,-3.9,-0.9,-4.7,-0.6
9,2012-13,27.0,ATL,NBA,C,31.0,352.0,11.0,0.468,0.036,0.109,10.9,25.3,18.2,7.1,1.5,2.0,17.2,18.3,,-0.2,0.6,0.4,0.048,,-4.8,-0.3,-5.0,-0.3
10,Career,,,NBA,,473.0,7262.0,10.4,0.484,0.006,0.173,8.5,21.0,14.7,5.1,1.4,2.4,14.1,16.4,,-1.0,6.5,5.5,0.037,,-4.2,-0.3,-4.6,-4.6
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4 seasons,,"SEA,OKC",NBA,,243.0,4444.0,10.6,0.495,0.002,0.197,8.5,20.2,14.3,3.5,1.3,2.5,14.1,16.3,,-0.2,3.4,3.2,0.034,,-3.9,-0.6,-4.4,-2.7
13,2 seasons,,NJN,NBA,,136.0,1813.0,10.1,0.452,0.009,0.118,8.2,20.3,14.1,8.3,1.6,2.4,12.7,16.9,,-0.6,1.7,1.1,0.029,,-4.7,0.0,-4.7,-1.2
14,2 seasons,,DEN,NBA,,63.0,653.0,9.3,0.507,0.012,0.213,8.4,25.3,17.0,5.6,1.0,2.7,16.7,14.7,,0.0,0.9,0.9,0.065,,-5.1,0.4,-4.6,-0.4
15,1 season,,ATL,NBA,,31.0,352.0,11.0,0.468,0.036,0.109,10.9,25.3,18.2,7.1,1.5,2.0,17.2,18.3,,-0.2,0.6,0.4,0.048,,-4.8,-0.3,-5.0,-0.3
