,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2014-15,19.0,MIN,NBA,SF,82.0,2969.0,13.9,0.517,0.111,0.41,5.0,9.5,7.2,9.8,1.5,1.3,11.7,22.6,,2.1,0.0,2.1,0.034,,-0.4,-2.0,-2.4,-0.3
1,2015-16,20.0,MIN,NBA,SF,81.0,2845.0,16.5,0.543,0.147,0.437,4.3,7.5,5.9,10.1,1.4,1.3,10.6,27.2,,3.4,0.7,4.1,0.069,,0.9,-2.2,-1.3,0.5
2,2016-17,21.0,MIN,NBA,SF,82.0,3048.0,16.5,0.534,0.184,0.345,3.8,8.8,6.3,10.6,1.4,0.8,9.4,29.0,,3.3,0.9,4.2,0.066,,0.7,-2.4,-1.7,0.2
3,2017-18,22.0,MIN,NBA,SF,82.0,2979.0,13.0,0.505,0.26,0.242,3.1,10.8,6.9,8.2,1.5,1.5,8.8,23.4,,0.5,1.6,2.1,0.034,,-0.8,-1.7,-2.4,-0.3
4,2018-19,23.0,MIN,NBA,SF,73.0,2543.0,12.4,0.493,0.288,0.245,3.5,11.4,7.4,10.9,1.3,1.6,9.3,24.4,,-0.6,1.3,0.6,0.012,,-1.2,-1.8,-3.0,-0.6
5,2019-20,24.0,TOT,NBA,SF,54.0,1858.0,16.4,0.536,0.342,0.274,3.6,12.3,7.8,18.1,1.1,2.4,10.7,27.4,,0.8,1.1,1.9,0.05,,1.1,-1.4,-0.3,0.8
6,2019-20,24.0,MIN,NBA,SF,42.0,1455.0,16.1,0.535,0.348,0.262,3.4,12.9,7.9,18.1,0.9,2.1,10.8,28.0,,0.6,0.8,1.4,0.046,,1.1,-1.5,-0.4,0.6
7,2019-20,24.0,GSW,NBA,SF,12.0,403.0,17.5,0.542,0.314,0.324,4.7,10.3,7.4,18.2,1.9,3.8,10.4,25.4,,0.2,0.3,0.5,0.064,,1.0,-1.1,-0.1,0.2
8,2020-21,25.0,GSW,NBA,PF,71.0,2364.0,15.0,0.568,0.348,0.225,3.7,11.8,7.8,10.9,1.3,2.6,9.8,23.3,,1.2,2.7,3.9,0.08,,0.0,-0.4,-0.4,1.0
9,2021-22,26.0,GSW,NBA,SF,73.0,2330.0,15.0,0.56,0.392,0.231,4.1,10.9,7.6,10.8,1.6,2.1,9.0,23.1,,1.8,3.4,5.1,0.105,,0.3,0.1,0.4,1.4
10,2022-23,27.0,GSW,NBA,SF,37.0,1190.0,14.7,0.564,0.425,0.136,5.7,11.3,8.6,10.5,1.8,2.1,7.9,21.5,,1.0,1.3,2.3,0.091,,-0.1,-0.4,-0.5,0.5
11,Career,,,NBA,,635.0,22126.0,14.8,0.532,0.259,0.297,4.0,10.3,7.1,10.8,1.4,1.7,9.8,24.9,,13.4,12.8,26.3,0.057,,0.0,-1.5,-1.5,3.0
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6 seasons,,MIN,NBA,,442.0,15839.0,14.7,0.521,0.215,0.327,3.9,9.9,6.8,10.6,1.4,1.4,10.0,25.6,,9.2,5.2,14.4,0.044,,0.0,-2.0,-2.0,0.0
14,4 seasons,,GSW,NBA,,193.0,6287.0,15.1,0.562,0.376,0.217,4.3,11.3,7.9,11.3,1.6,2.4,9.2,23.0,,4.2,7.7,11.8,0.09,,0.2,-0.3,-0.1,3.0
