,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2008-09,20.0,LAC,NBA,SG,78.0,2677.0,14.9,0.593,0.374,0.388,1.9,6.9,4.3,13.6,1.5,1.0,13.5,20.7,,3.9,0.7,4.6,0.082,,0.6,-1.0,-0.4,1.0
1,2009-10,21.0,LAC,NBA,SG,62.0,2229.0,14.1,0.571,0.409,0.381,1.3,7.1,4.2,13.8,1.6,0.5,13.6,21.5,,2.3,0.9,3.2,0.069,,0.1,-1.0,-0.9,0.6
2,2010-11,22.0,LAC,NBA,SG,56.0,2112.0,18.5,0.566,0.307,0.367,2.5,6.6,4.5,20.7,1.7,0.7,12.0,26.5,,4.2,1.1,5.3,0.12,,3.0,-1.0,2.0,2.2
3,2011-12,23.0,NOH,NBA,SG,9.0,310.0,19.2,0.549,0.286,0.464,0.8,8.7,4.8,19.3,2.3,1.1,12.5,29.4,,0.5,0.3,0.7,0.115,,2.2,-0.3,1.9,0.3
4,2012-13,24.0,NOH,NBA,SG,42.0,1264.0,15.4,0.523,0.296,0.38,0.9,6.4,3.6,19.3,1.9,0.5,14.6,29.4,,0.8,0.3,1.1,0.042,,0.6,-1.9,-1.3,0.2
5,2013-14,25.0,NOP,NBA,SG,64.0,2057.0,14.9,0.54,0.316,0.273,1.7,7.7,4.7,16.6,1.9,0.5,12.8,23.2,,2.0,0.5,2.5,0.058,,1.0,-1.4,-0.5,0.8
6,2014-15,26.0,NOP,NBA,SG,61.0,2018.0,12.7,0.544,0.454,0.192,1.6,7.4,4.5,17.6,1.3,0.5,14.0,19.8,,2.2,0.7,2.9,0.069,,0.2,-1.2,-1.0,0.5
7,2015-16,27.0,NOP,NBA,SG,45.0,1481.0,13.5,0.565,0.533,0.226,0.7,6.9,3.7,12.7,1.4,0.8,10.7,20.3,,1.7,0.4,2.1,0.069,,0.9,-1.0,-0.1,0.7
8,2016-17,28.0,HOU,NBA,SG,75.0,2323.0,13.2,0.557,0.651,0.172,1.4,8.1,4.7,12.3,1.0,1.4,10.0,22.1,,2.5,1.4,3.8,0.079,,1.3,-1.4,-0.1,1.1
9,2017-18,29.0,HOU,NBA,SG,69.0,2154.0,15.2,0.578,0.627,0.248,1.3,7.5,4.4,11.7,1.0,1.1,10.8,24.7,,2.9,1.8,4.7,0.105,,2.0,-1.6,0.4,1.3
10,2018-19,30.0,HOU,NBA,SG,68.0,2158.0,12.2,0.549,0.64,0.162,0.9,6.9,3.8,9.4,0.9,1.1,8.2,22.0,,1.7,1.0,2.6,0.059,,0.5,-1.8,-1.3,0.4
11,2019-20,31.0,HOU,NBA,SF,36.0,1016.0,10.3,0.51,0.654,0.231,0.9,6.5,3.7,7.9,1.0,1.1,7.8,22.5,,-0.1,0.6,0.5,0.024,,-1.8,-2.1,-3.9,-0.5
12,2020-21,32.0,HOU,NBA,SG,27.0,789.0,14.4,0.577,0.572,0.311,1.0,7.1,3.9,14.6,0.8,1.5,10.9,25.2,,0.6,0.2,0.8,0.048,,0.7,-1.7,-1.1,0.2
13,2021-22,33.0,HOU,NBA,SG,57.0,1670.0,12.1,0.614,0.534,0.239,1.0,6.5,3.7,14.1,0.8,1.0,14.6,18.6,,1.5,-0.1,1.4,0.04,,-0.1,-2.2,-2.3,-0.1
14,2022-23,34.0,TOT,NBA,SG,69.0,1965.0,11.8,0.587,0.545,0.265,0.9,6.7,3.8,13.4,1.1,1.2,12.5,17.8,,1.8,0.5,2.3,0.056,,-0.5,-1.4,-1.9,0.1
15,2022-23,34.0,HOU,NBA,SG,47.0,1418.0,11.4,0.572,0.513,0.282,0.9,6.7,3.8,13.8,1.0,1.2,13.4,18.1,,1.0,0.1,1.1,0.037,,-0.9,-1.7,-2.6,-0.2
16,2022-23,34.0,LAC,NBA,SG,22.0,547.0,13.1,0.629,0.634,0.217,0.8,6.7,3.8,12.2,1.2,1.3,9.9,17.0,,0.8,0.4,1.2,0.105,,0.5,-0.5,0.0,0.3
17,Career,,,NBA,,818.0,26223.0,14.0,0.563,0.488,0.275,1.3,7.1,4.2,14.2,1.3,0.9,11.9,22.3,,28.3,10.3,38.6,0.071,,0.7,-1.4,-0.7,8.8
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,7 seasons,,HOU,NBA,,379.0,11528.0,12.8,0.565,0.611,0.221,1.1,7.1,4.1,11.9,1.0,1.2,10.6,21.8,,9.9,5.0,14.9,0.062,,0.5,-1.7,-1.3,2.2
20,5 seasons,,"NOH,NOP",NBA,,221.0,7130.0,14.2,0.542,0.388,0.276,1.3,7.3,4.2,16.7,1.6,0.6,13.1,23.0,,7.1,2.2,9.4,0.063,,0.7,-1.3,-0.6,2.5
21,4 seasons,,LAC,NBA,,218.0,7565.0,15.5,0.58,0.377,0.368,1.8,6.8,4.3,15.6,1.6,0.8,12.8,22.3,,11.2,3.0,14.3,0.091,,1.1,-1.0,0.2,4.1
