,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2012-13,22.0,POR,NBA,SG,73.0,894.0,9.1,0.437,0.21,0.21,4.6,14.3,9.4,10.4,2.0,0.8,15.1,20.4,,-1.1,0.6,-0.5,-0.028,,-4.0,-0.6,-4.6,-0.6
1,2013-14,23.0,POR,NBA,SG,41.0,387.0,13.5,0.488,0.212,0.205,4.5,16.0,10.3,13.3,1.2,1.3,9.6,21.2,,0.3,0.4,0.6,0.078,,-1.2,-0.1,-1.3,0.1
2,2014-15,24.0,TOT,NBA,SG,58.0,983.0,13.6,0.503,0.241,0.266,2.8,15.3,8.9,13.0,2.5,1.5,13.4,20.2,,0.2,1.1,1.3,0.063,,-1.2,1.1,-0.2,0.4
3,2014-15,24.0,POR,NBA,SG,30.0,300.0,8.3,0.422,0.18,0.15,1.1,10.8,6.1,13.4,2.4,1.0,13.8,18.5,,-0.4,0.4,0.0,0.002,,-4.7,1.4,-3.3,-0.1
4,2014-15,24.0,DEN,NBA,SG,28.0,683.0,15.9,0.533,0.265,0.312,3.5,17.2,10.1,12.8,2.5,1.7,13.3,21.0,,0.6,0.7,1.3,0.089,,0.3,0.9,1.2,0.5
5,2015-16,25.0,DEN,NBA,SG,82.0,2353.0,16.0,0.535,0.331,0.273,2.7,20.0,11.2,14.4,1.5,1.3,11.2,23.0,,2.4,1.9,4.3,0.088,,1.2,-0.4,0.8,1.7
6,2016-17,26.0,DEN,NBA,SG,60.0,1705.0,15.5,0.547,0.353,0.285,3.8,12.9,8.4,17.7,1.4,1.3,11.5,21.1,,2.5,0.8,3.3,0.093,,1.2,-1.0,0.2,1.0
7,2017-18,27.0,DEN,NBA,SG,81.0,2683.0,16.2,0.562,0.411,0.22,3.0,14.2,8.6,18.5,1.5,1.6,11.7,20.7,,4.4,1.8,6.2,0.111,,1.6,-0.4,1.1,2.1
8,2018-19,28.0,DEN,NBA,SF,43.0,1189.0,11.0,0.501,0.426,0.161,2.9,15.3,9.1,14.6,0.7,1.6,11.7,20.0,,0.1,1.1,1.2,0.049,,-1.1,-0.8,-1.8,0.0
9,2019-20,29.0,DEN,NBA,SF,58.0,1916.0,15.6,0.549,0.39,0.18,4.5,16.9,10.7,16.0,1.6,1.4,9.9,20.1,,2.4,1.8,4.2,0.106,,1.2,-0.2,1.1,1.5
10,2020-21,30.0,DEN,NBA,SF,56.0,1736.0,11.8,0.538,0.423,0.199,2.6,12.2,7.4,14.1,1.4,1.3,12.7,19.0,,0.7,1.5,2.2,0.061,,-1.0,-0.8,-1.9,0.1
11,2021-22,31.0,DEN,NBA,SG,71.0,2277.0,13.4,0.548,0.48,0.142,2.2,14.1,8.3,17.6,1.2,1.2,11.8,20.8,,1.2,1.9,3.2,0.067,,0.4,-0.9,-0.5,0.9
12,2022-23,32.0,TOT,NBA,SG,56.0,993.0,10.0,0.493,0.495,0.129,1.7,13.5,7.7,15.4,1.4,1.1,11.1,18.9,,-0.4,0.8,0.4,0.021,,-2.0,-0.6,-2.6,-0.2
13,2022-23,32.0,WAS,NBA,SG,40.0,782.0,10.0,0.504,0.484,0.158,1.5,13.8,7.9,16.5,1.1,1.1,12.9,19.4,,-0.4,0.6,0.2,0.013,,-1.7,-0.9,-2.7,-0.1
14,2022-23,32.0,TOR,NBA,SG,16.0,211.0,9.9,0.451,0.532,0.025,2.5,12.2,7.0,11.0,2.6,1.4,3.6,16.7,,0.0,0.2,0.2,0.051,,-2.9,0.5,-2.5,0.0
15,Career,,,NBA,,679.0,17116.0,13.9,0.532,0.383,0.21,3.1,15.1,9.1,15.7,1.5,1.4,11.7,20.6,,12.7,13.8,26.5,0.074,,0.1,-0.5,-0.4,6.9
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,8 seasons,,DEN,NBA,,479.0,14542.0,14.6,0.543,0.394,0.216,3.1,15.3,9.2,16.2,1.4,1.4,11.5,20.8,,14.3,11.6,25.9,0.086,,0.6,-0.5,0.1,7.7
18,3 seasons,,POR,NBA,,144.0,1581.0,10.0,0.448,0.205,0.198,3.9,14.1,9.0,11.7,1.9,0.9,13.4,20.2,,-1.3,1.4,0.1,0.003,,-3.5,-0.1,-3.6,-0.6
19,1 season,,WAS,NBA,,40.0,782.0,10.0,0.504,0.484,0.158,1.5,13.8,7.9,16.5,1.1,1.1,12.9,19.4,,-0.4,0.6,0.2,0.013,,-1.7,-0.9,-2.7,-0.1
20,1 season,,TOR,NBA,,16.0,211.0,9.9,0.451,0.532,0.025,2.5,12.2,7.0,11.0,2.6,1.4,3.6,16.7,,0.0,0.2,0.2,0.051,,-2.9,0.5,-2.5,0.0
