,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2018-19,21.0,TOT,NBA,SF,42.0,440.0,6.0,0.447,0.636,0.143,2.2,6.2,4.2,10.9,1.5,0.2,12.4,16.0,,-0.4,0.3,-0.1,-0.012,,-3.9,-1.1,-5.0,-0.3
1,2018-19,21.0,LAL,NBA,SF,39.0,420.0,5.8,0.451,0.644,0.152,2.0,6.3,4.2,10.1,1.4,0.2,12.4,15.9,,-0.4,0.3,-0.1,-0.013,,-4.1,-1.1,-5.2,-0.3
2,2018-19,21.0,DET,NBA,SF,3.0,20.0,9.8,0.375,0.5,0.0,5.3,5.7,5.5,28.5,2.5,0.0,11.1,19.4,,0.0,0.0,0.0,0.016,,0.6,-1.1,-0.5,0.0
3,2019-20,22.0,DET,NBA,SF,56.0,1265.0,11.2,0.578,0.704,0.173,1.5,7.9,4.7,12.3,1.6,0.3,12.3,17.1,,1.0,0.6,1.6,0.06,,-0.7,-1.2,-1.9,0.0
4,2020-21,23.0,TOT,NBA,SF,66.0,1324.0,10.4,0.529,0.621,0.099,1.9,11.4,6.6,12.9,1.9,0.8,14.3,20.0,,-0.8,1.1,0.3,0.01,,-1.9,-0.7,-2.6,-0.2
5,2020-21,23.0,DET,NBA,SF,36.0,634.0,10.2,0.527,0.767,0.135,1.9,11.2,6.5,13.5,2.1,0.8,14.2,19.0,,-0.3,0.6,0.3,0.025,,-1.5,-0.2,-1.8,0.0
6,2020-21,23.0,OKC,NBA,SF,30.0,690.0,10.6,0.531,0.505,0.071,1.9,11.6,6.7,12.3,1.7,0.8,14.4,21.0,,-0.5,0.5,-0.1,-0.004,,-2.3,-1.1,-3.3,-0.2
7,2021-22,24.0,TOR,NBA,SF,56.0,716.0,9.6,0.509,0.573,0.158,2.9,11.5,7.0,8.8,1.8,0.5,11.3,16.9,,0.1,0.7,0.8,0.052,,-2.7,-0.2,-2.9,-0.2
8,2022-23,25.0,TOT,NBA,SF,32.0,468.0,14.0,0.584,0.572,0.225,3.4,8.9,6.1,16.5,1.5,0.7,11.2,19.3,,0.5,0.3,0.8,0.081,,0.5,-0.7,-0.1,0.2
9,2022-23,25.0,NYK,NBA,SF,13.0,40.0,15.8,0.739,0.833,0.417,0.0,19.3,9.6,3.5,1.2,0.0,12.3,17.4,,0.1,0.0,0.1,0.141,,3.6,0.5,4.1,0.1
10,2022-23,25.0,CHO,NBA,SF,19.0,428.0,13.8,0.571,0.553,0.211,3.7,7.9,5.7,17.7,1.6,0.8,11.1,19.5,,0.4,0.3,0.7,0.076,,0.3,-0.8,-0.5,0.2
11,Career,,,NBA,,252.0,4213.0,10.4,0.539,0.632,0.148,2.1,9.5,5.8,12.2,1.7,0.5,12.7,18.1,,0.4,3.0,3.3,0.038,,-1.6,-0.8,-2.4,-0.4
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,3 seasons,,DET,NBA,,95.0,1919.0,10.8,0.558,0.723,0.157,1.7,9.0,5.3,12.9,1.8,0.4,12.9,17.8,,0.7,1.2,1.9,0.048,,-1.0,-0.9,-1.8,0.1
14,1 season,,TOR,NBA,,56.0,716.0,9.6,0.509,0.573,0.158,2.9,11.5,7.0,8.8,1.8,0.5,11.3,16.9,,0.1,0.7,0.8,0.052,,-2.7,-0.2,-2.9,-0.2
15,1 season,,LAL,NBA,,39.0,420.0,5.8,0.451,0.644,0.152,2.0,6.3,4.2,10.1,1.4,0.2,12.4,15.9,,-0.4,0.3,-0.1,-0.013,,-4.1,-1.1,-5.2,-0.3
16,1 season,,OKC,NBA,,30.0,690.0,10.6,0.531,0.505,0.071,1.9,11.6,6.7,12.3,1.7,0.8,14.4,21.0,,-0.5,0.5,-0.1,-0.004,,-2.3,-1.1,-3.3,-0.2
17,1 season,,CHO,NBA,,19.0,428.0,13.8,0.571,0.553,0.211,3.7,7.9,5.7,17.7,1.6,0.8,11.1,19.5,,0.4,0.3,0.7,0.076,,0.3,-0.8,-0.5,0.2
18,1 season,,NYK,NBA,,13.0,40.0,15.8,0.739,0.833,0.417,0.0,19.3,9.6,3.5,1.2,0.0,12.3,17.4,,0.1,0.0,0.1,0.141,,3.6,0.5,4.1,0.1
