,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2006-07,23.0,HOU,NBA,SF,35.0,191.0,7.7,0.501,0.78,0.04,2.4,13.2,7.8,4.9,1.4,0.0,7.3,13.4,,0.1,0.3,0.4,0.091,,-2.5,1.0,-1.5,0.0
1,2007-08,24.0,HOU,NBA,SF,35.0,264.0,17.3,0.651,0.696,0.039,1.7,13.0,7.5,3.9,0.4,0.8,3.7,18.7,,0.7,0.3,1.1,0.196,,4.3,-0.1,4.2,0.4
2,2008-09,25.0,LAC,NBA,PF,71.0,1161.0,13.5,0.606,0.722,0.058,1.8,10.9,6.2,5.8,0.9,0.3,5.4,16.8,,2.0,0.2,2.2,0.092,,1.7,-2.1,-0.4,0.5
3,2009-10,26.0,LAC,NBA,SF,54.0,362.0,8.3,0.505,0.657,0.083,0.3,10.3,5.3,2.6,1.0,0.4,1.8,14.2,,0.2,0.1,0.3,0.043,,-2.4,-1.3,-3.7,-0.2
4,2010-11,27.0,TOT,NBA,SF,30.0,215.0,17.8,0.737,0.687,0.119,2.2,12.6,7.6,2.2,0.2,1.7,5.4,16.0,,0.7,0.2,0.9,0.196,,5.1,-0.4,4.8,0.4
5,2010-11,27.0,DAL,NBA,SF,7.0,18.0,19.6,0.688,0.5,0.0,0.0,31.3,16.2,0.0,0.0,0.0,0.0,20.8,,0.1,0.0,0.1,0.205,,5.1,0.7,5.8,0.0
6,2010-11,27.0,SAS,NBA,SF,23.0,197.0,17.7,0.744,0.712,0.136,2.4,10.9,6.8,2.4,0.3,1.8,6.0,15.5,,0.6,0.2,0.8,0.195,,5.1,-0.5,4.7,0.3
7,2011-12,28.0,NYK,NBA,PF,54.0,1020.0,15.9,0.684,0.837,0.077,1.0,10.9,5.9,2.0,0.8,0.7,5.7,16.2,,2.9,0.9,3.9,0.181,,4.6,-0.5,4.1,1.6
8,2012-13,29.0,NYK,NBA,SF,81.0,1641.0,11.3,0.602,0.816,0.077,1.2,10.0,5.4,3.3,0.9,0.4,2.6,13.0,,3.2,0.8,4.0,0.116,,1.0,-1.0,0.1,0.9
9,2013-14,30.0,TOR,NBA,PF,54.0,540.0,11.1,0.599,0.836,0.041,1.7,10.8,6.3,3.8,1.2,0.6,3.3,12.9,,1.0,0.5,1.4,0.127,,1.5,-0.1,1.5,0.5
10,2014-15,31.0,TOT,NBA,"PF,SF",35.0,197.0,8.6,0.554,0.857,0.036,1.1,11.4,6.3,8.6,0.0,0.8,8.1,14.1,,0.2,0.1,0.3,0.075,,-0.1,-1.8,-1.9,0.0
11,2014-15,31.0,UTA,NBA,SF,22.0,109.0,14.5,0.669,0.943,0.057,1.1,15.8,8.5,9.3,0.0,0.7,7.7,16.4,,0.3,0.1,0.4,0.162,,3.6,-1.2,2.4,0.1
12,2014-15,31.0,OKC,NBA,PF,13.0,88.0,1.3,0.357,0.714,0.0,1.2,6.0,3.7,7.7,0.0,0.9,8.7,11.3,,-0.1,0.0,-0.1,-0.032,,-4.7,-2.5,-7.2,-0.1
13,2015-16,32.0,TOT,NBA,PF,10.0,44.0,14.4,0.651,0.833,0.056,0.0,12.0,6.2,0.0,0.0,0.0,5.1,19.2,,0.1,0.0,0.1,0.121,,3.5,-2.4,1.2,0.0
14,2015-16,32.0,OKC,NBA,PF,7.0,24.0,20.8,0.708,0.75,0.0,0.0,17.2,9.1,0.0,0.0,0.0,7.7,23.1,,0.1,0.0,0.1,0.181,,6.6,-1.4,5.2,0.0
15,2015-16,32.0,MIL,NBA,PF,3.0,20.0,6.7,0.543,1.0,0.167,0.0,5.7,2.9,0.0,0.0,0.0,0.0,14.5,,0.0,0.0,0.0,0.05,,-0.2,-3.5,-3.6,0.0
16,2016-17,33.0,MIL,NBA,PF,8.0,22.0,1.3,0.357,0.857,0.0,0.0,15.7,7.9,0.0,0.0,0.0,0.0,14.5,,0.0,0.0,0.0,-0.075,,-6.3,-4.9,-11.2,-0.1
17,Career,,,NBA,,467.0,5657.0,12.7,0.616,0.779,0.066,1.4,10.9,6.0,3.8,0.8,0.5,4.4,14.9,,11.1,3.4,14.5,0.123,,1.8,-1.0,0.8,4.0
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2 seasons,,NYK,NBA,,135.0,2661.0,13.1,0.638,0.825,0.077,1.1,10.3,5.6,2.8,0.9,0.5,4.0,14.2,,6.1,1.7,7.8,0.141,,2.4,-0.8,1.6,2.5
20,2 seasons,,LAC,NBA,,125.0,1523.0,12.2,0.584,0.708,0.063,1.5,10.7,6.0,5.0,0.9,0.3,4.6,16.2,,2.2,0.3,2.6,0.081,,0.7,-1.9,-1.2,0.3
21,2 seasons,,HOU,NBA,,70.0,455.0,13.3,0.601,0.724,0.039,2.0,13.1,7.6,4.4,0.8,0.5,4.9,16.4,,0.8,0.6,1.4,0.152,,1.4,0.4,1.8,0.4
22,1 season,,TOR,NBA,,54.0,540.0,11.1,0.599,0.836,0.041,1.7,10.8,6.3,3.8,1.2,0.6,3.3,12.9,,1.0,0.5,1.4,0.127,,1.5,-0.1,1.5,0.5
23,1 season,,SAS,NBA,,23.0,197.0,17.7,0.744,0.712,0.136,2.4,10.9,6.8,2.4,0.3,1.8,6.0,15.5,,0.6,0.2,0.8,0.195,,5.1,-0.5,4.7,0.3
24,1 season,,UTA,NBA,,22.0,109.0,14.5,0.669,0.943,0.057,1.1,15.8,8.5,9.3,0.0,0.7,7.7,16.4,,0.3,0.1,0.4,0.162,,3.6,-1.2,2.4,0.1
25,2 seasons,,OKC,NBA,,20.0,112.0,5.5,0.485,0.727,0.0,1.0,8.4,4.8,6.1,0.0,0.7,8.3,13.8,,0.0,0.0,0.0,0.014,,-2.2,-2.3,-4.6,-0.1
26,2 seasons,,MIL,NBA,,11.0,42.0,3.9,0.446,0.923,0.077,0.0,10.9,5.5,0.0,0.0,0.0,0.0,14.5,,0.0,0.0,0.0,-0.015,,-3.4,-4.2,-7.6,-0.1
27,1 season,,DAL,NBA,,7.0,18.0,19.6,0.688,0.5,0.0,0.0,31.3,16.2,0.0,0.0,0.0,0.0,20.8,,0.1,0.0,0.1,0.205,,5.1,0.7,5.8,0.0
