Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Blake Griffin,Shared Games with Derrick White,Shared Games with Grant Williams,Shared Games with Jaylen Brown,Shared Games with Jayson Tatum,Shared Games with JD Davison,Shared Games with Justin Jackson,Shared Games with Luke Kornet,Shared Games with Malcolm Brogdon,Shared Games with Marcus Smart,Shared Games with Mfiondu Kabengele,Shared Games with Noah Vonleh,Shared Games with Payton Pritchard,Shared Games with Robert Williams,Shared Games with Sam Hauser,Blake Griffin,Danilo Gallinari,Derrick White,Grant Williams,Jaylen Brown,Jayson Tatum,JD Davison,Justin Jackson,Luke Kornet,Malcolm Brogdon,Marcus Smart,Mfiondu Kabengele,Noah Vonleh,Payton Pritchard,Robert Williams,Sam Hauser,co_inf with Blake Griffin,co_inf with Danilo Gallinari,co_inf with Derrick White,co_inf with Grant Williams,co_inf with Jaylen Brown,co_inf with Jayson Tatum,co_inf with JD Davison,co_inf with Justin Jackson,co_inf with Luke Kornet,co_inf with Malcolm Brogdon,co_inf with Marcus Smart,co_inf with Mfiondu Kabengele,co_inf with Noah Vonleh,co_inf with Payton Pritchard,co_inf with Robert Williams,co_inf with Sam Hauser,Shared Games with Justin Champagnie,Shared Games with Mike Muscala,AJ Griffin,Justin Champagnie,Mike Muscala,co_inf with AJ Griffin,co_inf with Justin Champagnie,co_inf with Mike Muscala,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022/10/18,36-137,BOS,PHI,1,23.1,2.0,7.0,0.286,2.0,5.0,0.4,0,0.0,,1.0,4.0,5.0,1.0,0.0,0.0,0.0,4.0,6.0,2.9,8,2.0,0.0,0.0,23,63,60,55,59,11,18,51,52,49,2,16,35,30,61,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.5609756097560976,,0.7682926829268293,0.759493670886076,0.8208955223880597,0.7972972972972973,0.9166666666666666,0.782608695652174,0.7391304347826086,0.7761194029850746,0.8032786885245902,0.5,0.6956521739130435,0.7291666666666666,0.8571428571428571,0.7625,2,14,72.0,5.0,63.0,0.0,0.4,0.2222222222222222,17,5.0,73.0,4.294117647058823,2.899999999999999,93.6,5.505882352941176,13.8,6.3,3.3,1.6,1.7,0.0636955847378761,0.631,0.678,0.044,2.5,3.6,W (+9),W (+9)
2.0,2.0,2022/10/21,36-140,BOS,MIA,1,33.5,3.0,5.0,0.6,3.0,5.0,0.6,0,0.0,,1.0,4.0,5.0,1.0,0.0,0.0,3.0,2.0,9.0,5.5,-3,0.0,0.0,,23,63,60,55,59,11,18,51,52,49,2,16,35,30,61,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.5609756097560976,,0.7682926829268293,0.759493670886076,0.8208955223880597,0.7972972972972973,0.9166666666666666,0.782608695652174,0.7391304347826086,0.7761194029850746,0.8032786885245902,0.5,0.6956521739130435,0.7291666666666666,0.8571428571428571,0.7625,2,14,72.0,5.0,63.0,0.0,0.4,0.2222222222222222,17,7.0,79.0,4.647058823529412,5.4999999999999964,87.6,5.152941176470588,13.8,6.3,3.3,1.6,1.7,0.0636955847378761,0.631,0.678,0.044,2.5,3.6,W (+7),W (+7)
3.0,,2022/10/22,36-141,BOS,ORL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,23,63,60,55,59,11,18,51,52,49,2,16,35,30,61,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.5609756097560976,,0.7682926829268293,0.759493670886076,0.8208955223880597,0.7972972972972973,0.9166666666666666,0.782608695652174,0.7391304347826086,0.7761194029850746,0.8032786885245902,0.5,0.6956521739130435,0.7291666666666666,0.8571428571428571,0.7625,2,14,72.0,5.0,63.0,0.0,0.4,0.2222222222222222,17,,94.0,5.529411764705882,0.0,113.6,6.68235294117647,13.8,6.3,3.3,1.6,1.7,0.0636955847378761,0.631,0.678,0.044,2.5,3.6,W (+6),W (+6)
4.0,3.0,2022/10/24,36-143,BOS,CHI,1,25.433333333333334,3.0,7.0,0.429,2.0,6.0,0.333,0,0.0,,1.0,4.0,5.0,2.0,0.0,1.0,0.0,1.0,8.0,7.9,-1,1.0,1.0,1.0,23,63,60,55,59,11,18,51,52,49,2,16,35,30,61,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.5609756097560976,,0.7682926829268293,0.759493670886076,0.8208955223880597,0.7972972972972973,0.9166666666666666,0.782608695652174,0.7391304347826086,0.7761194029850746,0.8032786885245902,0.5,0.6956521739130435,0.7291666666666666,0.8571428571428571,0.7625,2,14,72.0,5.0,63.0,0.0,0.4,0.2222222222222222,17,9.0,70.0,4.117647058823529,7.899999999999997,74.1,4.358823529411764,13.8,6.3,3.3,1.6,1.7,0.0636955847378761,0.631,0.678,0.044,2.5,3.6,L (-18),L (-18)
5.0,4.0,2022/10/28,36-147,BOS,CLE,1,41.41666666666666,5.0,7.0,0.714,2.0,4.0,0.5,0,0.0,,1.0,1.0,2.0,4.0,0.0,1.0,1.0,3.0,12.0,11.4,-20,3.0,3.0,1.0,23,63,60,55,59,11,18,51,52,49,2,16,35,30,61,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.5609756097560976,,0.7682926829268293,0.759493670886076,0.8208955223880597,0.7972972972972973,0.9166666666666666,0.782608695652174,0.7391304347826086,0.7761194029850746,0.8032786885245902,0.5,0.6956521739130435,0.7291666666666666,0.8571428571428571,0.7625,2,14,72.0,5.0,63.0,0.0,0.4,0.2222222222222222,17,11.0,56.0,3.294117647058824,11.400000000000002,79.89999999999998,4.699999999999998,13.8,6.3,3.3,1.6,1.7,0.0636955847378761,0.631,0.678,0.044,2.5,3.6,L (-9),L (-9)
6.0,5.0,2022/10/30,36-149,BOS,WAS,1,23.53333333333333,2.0,7.0,0.286,1.0,5.0,0.2,0,0.0,,2.0,6.0,8.0,1.0,0.0,1.0,1.0,2.0,5.0,3.7,9,2.0,1.0,0.5,23,63,60,55,59,11,18,51,52,49,2,16,35,30,61,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.5609756097560976,,0.7682926829268293,0.759493670886076,0.8208955223880597,0.7972972972972973,0.9166666666666666,0.782608695652174,0.7391304347826086,0.7761194029850746,0.8032786885245902,0.5,0.6956521739130435,0.7291666666666666,0.8571428571428571,0.7625,2,14,72.0,5.0,63.0,0.0,0.4,0.2222222222222222,17,7.0,77.0,4.529411764705882,3.6999999999999993,83.20000000000002,4.894117647058825,13.8,6.3,3.3,1.6,1.7,0.0636955847378761,0.631,0.678,0.044,2.5,3.6,W (+18),W (+18)
7.0,6.0,2022/11/2,36-152,BOS,CLE,1,39.98333333333333,5.0,11.0,0.455,1.0,4.0,0.25,1,1.0,1,1.0,11.0,12.0,1.0,1.0,1.0,1.0,2.0,12.0,10.9,11,7.0,4.0,0.571428571,23,63,60,55,59,11,18,51,52,49,2,16,35,30,61,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.5609756097560976,,0.7682926829268293,0.759493670886076,0.8208955223880597,0.7972972972972973,0.9166666666666666,0.782608695652174,0.7391304347826086,0.7761194029850746,0.8032786885245902,0.5,0.6956521739130435,0.7291666666666666,0.8571428571428571,0.7625,2,14,72.0,5.0,63.0,0.0,0.4,0.2222222222222222,17,14.0,63.0,3.7058823529411766,10.499999999999998,71.29999999999998,4.194117647058823,13.8,6.3,3.3,1.6,1.7,0.0636955847378761,0.631,0.678,0.044,2.5,3.6,L (-1),L (-1)
8.0,7.0,2022/11/4,36-154,BOS,CHI,1,33.4,4.0,8.0,0.5,1.0,5.0,0.2,2,3.0,0.667,1.0,4.0,5.0,5.0,0.0,1.0,1.0,3.0,11.0,10.5,-13,3.0,3.0,1.0,23,63,60,55,59,11,18,51,52,49,2,16,35,30,61,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.5609756097560976,,0.7682926829268293,0.759493670886076,0.8208955223880597,0.7972972972972973,0.9166666666666666,0.782608695652174,0.7391304347826086,0.7761194029850746,0.8032786885245902,0.5,0.6956521739130435,0.7291666666666666,0.8571428571428571,0.7625,2,14,72.0,5.0,63.0,0.0,0.4,0.2222222222222222,17,10.0,55.0,3.235294117647059,9.7,75.7,4.452941176470588,13.8,6.3,3.3,1.6,1.7,0.0636955847378761,0.631,0.678,0.044,2.5,3.6,W (+4),W (+4)
9.0,,2022/11/5,36-155,BOS,NYK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,23,63,60,55,59,11,18,51,52,49,2,16,35,30,61,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.5609756097560976,,0.7682926829268293,0.759493670886076,0.8208955223880597,0.7972972972972973,0.9166666666666666,0.782608695652174,0.7391304347826086,0.7761194029850746,0.8032786885245902,0.5,0.6956521739130435,0.7291666666666666,0.8571428571428571,0.7625,2,14,72.0,5.0,63.0,0.0,0.4,0.2222222222222222,17,,93.0,5.470588235294118,0.0,110.5,6.5,13.8,6.3,3.3,1.6,1.7,0.0636955847378761,0.631,0.678,0.044,2.5,3.6,W (+15),W (+15)
10.0,8.0,2022/11/7,36-157,BOS,MEM,1,32.46666666666667,6.0,7.0,0.857,3.0,3.0,1,0,0.0,,0.0,6.0,6.0,2.0,1.0,2.0,0.0,1.0,15.0,17.7,-7,4.0,3.0,0.75,23,63,60,55,59,11,18,51,52,49,2,16,35,30,61,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.5609756097560976,,0.7682926829268293,0.759493670886076,0.8208955223880597,0.7972972972972973,0.9166666666666666,0.782608695652174,0.7391304347826086,0.7761194029850746,0.8032786885245902,0.5,0.6956521739130435,0.7291666666666666,0.8571428571428571,0.7625,2,14,72.0,5.0,63.0,0.0,0.4,0.2222222222222222,17,19.0,69.0,4.0588235294117645,17.7,86.89999999999999,5.1117647058823525,13.8,6.3,3.3,1.6,1.7,0.0636955847378761,0.631,0.678,0.044,2.5,3.6,W (+3),W (+3)
