Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Blake Wesley,Shared Games with Charles Bassey,Shared Games with Devin Vassell,Shared Games with Dominick Barlow,Shared Games with Doug McDermott,Shared Games with Gorgui Dieng,Shared Games with Isaiah Roby,Shared Games with Jakob Poeltl,Shared Games with Jeremy Sochan,Shared Games with Josh Richardson,Shared Games with Keita Bates-Diop,Shared Games with Keldon Johnson,Shared Games with Malaki Branham,Shared Games with Romeo Langford,Shared Games with Tre Jones,Shared Games with Zach Collins,Alize Johnson,Blake Wesley,Charles Bassey,Devin Vassell,Dominick Barlow,Doug McDermott,Gorgui Dieng,Isaiah Roby,Jakob Poeltl,Jeremy Sochan,Jordan Hall,Josh Richardson,Joshua Primo,Keita Bates-Diop,Keldon Johnson,Malaki Branham,Romeo Langford,Tre Jones,Zach Collins,co_inf with Alize Johnson,co_inf with Blake Wesley,co_inf with Charles Bassey,co_inf with Devin Vassell,co_inf with Dominick Barlow,co_inf with Doug McDermott,co_inf with Gorgui Dieng,co_inf with Isaiah Roby,co_inf with Jakob Poeltl,co_inf with Jeremy Sochan,co_inf with Jordan Hall,co_inf with Josh Richardson,co_inf with Joshua Primo,co_inf with Keita Bates-Diop,co_inf with Keldon Johnson,co_inf with Malaki Branham,co_inf with Romeo Langford,co_inf with Tre Jones,co_inf with Zach Collins,Devonte' Graham,Julian Champagnie,Justin Jackson,Khem Birch,Sandro Mamukelashvili,co_inf with Devonte' Graham,co_inf with Julian Champagnie,co_inf with Justin Jackson,co_inf with Khem Birch,co_inf with Sandro Mamukelashvili,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1,2022-12-14,26-199,SAS,POR,0,4.033333333333333,1.0,2.0,0.5,0.0,1.0,0.0,0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.7,1,1.0,1.0,1.0,2,22,24,4,26,12,25,22,24,21,25,27,16,17,29,19,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,68.0,63.0,0.0,0.054054054054054,0.6285714285714286,0.631578947368421,0.1428571428571428,0.40625,0.3870967741935484,0.5952380952380952,0.3055555555555556,0.4285714285714285,0.0,0.3230769230769231,0.0,0.373134328358209,0.4285714285714285,0.2424242424242424,0.3953488372093023,0.4264705882352941,0.3015873015873015,73.0,17.0,23.0,20.0,43.0,0.0,0.0,0.0,0.0,0.0,16,3.0,39.0,2.4375,2.7,49.59999999999999,3.099999999999999,13.5,0.7,-1.0,-0.8,-0.2,0.0187722515913259,0.625,0.328,0.32,0.1,0.5,L (-16),L (-16)
2.0,2,2022-12-17,26-202,SAS,MIA,0,2.8,0.0,1.0,0.0,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.7,1,1.0,0.0,0.0,2,22,24,4,26,12,25,22,24,21,25,27,16,17,29,19,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,68.0,63.0,0.0,0.054054054054054,0.6285714285714286,0.631578947368421,0.1428571428571428,0.40625,0.3870967741935484,0.5952380952380952,0.3055555555555556,0.4285714285714285,0.0,0.3230769230769231,0.0,0.373134328358209,0.4285714285714285,0.2424242424242424,0.3953488372093023,0.4264705882352941,0.3015873015873015,73.0,17.0,23.0,20.0,43.0,0.0,0.0,0.0,0.0,0.0,16,-2.0,63.0,3.9375,-1.7,66.3,4.14375,13.5,0.7,-1.0,-0.8,-0.2,0.0187722515913259,0.625,0.328,0.32,0.1,0.5,L (-10),L (-10)
3.0,3,2022-12-19,26-204,SAS,HOU,0,19.4,4.0,6.0,0.667,2.0,3.0,0.667,0,0.0,,0.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,10.0,9.7,5,3.0,2.0,0.6666666666666666,2,22,24,4,26,12,25,22,24,21,25,27,16,17,29,19,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,68.0,63.0,0.0,0.054054054054054,0.6285714285714286,0.631578947368421,0.1428571428571428,0.40625,0.3870967741935484,0.5952380952380952,0.3055555555555556,0.4285714285714285,0.0,0.3230769230769231,0.0,0.373134328358209,0.4285714285714285,0.2424242424242424,0.3953488372093023,0.4264705882352941,0.3015873015873015,73.0,17.0,23.0,20.0,43.0,0.0,0.0,0.0,0.0,0.0,16,10.0,53.0,3.3125,9.7,57.3,3.58125,13.5,0.7,-1.0,-0.8,-0.2,0.0187722515913259,0.625,0.328,0.32,0.1,0.5,W (+19),W (+19)
4.0,4,2022-12-22,26-207,SAS,NOP,0,12.616666666666667,4.0,5.0,0.8,1.0,2.0,0.5,3,4.0,0.75,0.0,4.0,4.0,2.0,1.0,2.0,1.0,1.0,12.0,13.3,13,3.0,3.0,1.0,2,22,24,4,26,12,25,22,24,21,25,27,16,17,29,19,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,68.0,63.0,0.0,0.054054054054054,0.6285714285714286,0.631578947368421,0.1428571428571428,0.40625,0.3870967741935484,0.5952380952380952,0.3055555555555556,0.4285714285714285,0.0,0.3230769230769231,0.0,0.373134328358209,0.4285714285714285,0.2424242424242424,0.3953488372093023,0.4264705882352941,0.3015873015873015,73.0,17.0,23.0,20.0,43.0,0.0,0.0,0.0,0.0,0.0,16,11.0,61.0,3.8125,12.099999999999998,55.89999999999999,3.4937499999999995,13.5,0.7,-1.0,-0.8,-0.2,0.0187722515913259,0.625,0.328,0.32,0.1,0.5,L (-9),L (-9)
5.0,5,2022-12-23,26-208,SAS,ORL,0,22.616666666666667,3.0,5.0,0.6,1.0,3.0,0.333,0,0.0,,2.0,2.0,4.0,3.0,1.0,0.0,0.0,1.0,7.0,9.4,-18,2.0,2.0,1.0,2,22,24,4,26,12,25,22,24,21,25,27,16,17,29,19,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,68.0,63.0,0.0,0.054054054054054,0.6285714285714286,0.631578947368421,0.1428571428571428,0.40625,0.3870967741935484,0.5952380952380952,0.3055555555555556,0.4285714285714285,0.0,0.3230769230769231,0.0,0.373134328358209,0.4285714285714285,0.2424242424242424,0.3953488372093023,0.4264705882352941,0.3015873015873015,73.0,17.0,23.0,20.0,43.0,0.0,0.0,0.0,0.0,0.0,16,10.0,58.0,3.625,9.4,69.1,4.31875,13.5,0.7,-1.0,-0.8,-0.2,0.0187722515913259,0.625,0.328,0.32,0.1,0.5,L (-20),L (-20)
6.0,6,2022-12-26,26-211,SAS,UTA,0,14.166666666666666,1.0,2.0,0.5,0.0,0.0,,1,1.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,2.2,3,2.0,1.0,0.5,2,22,24,4,26,12,25,22,24,21,25,27,16,17,29,19,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,68.0,63.0,0.0,0.054054054054054,0.6285714285714286,0.631578947368421,0.1428571428571428,0.40625,0.3870967741935484,0.5952380952380952,0.3055555555555556,0.4285714285714285,0.0,0.3230769230769231,0.0,0.373134328358209,0.4285714285714285,0.2424242424242424,0.3953488372093023,0.4264705882352941,0.3015873015873015,73.0,17.0,23.0,20.0,43.0,0.0,0.0,0.0,0.0,0.0,16,3.0,64.0,4.0,1.7999999999999998,67.1,4.19375,13.5,0.7,-1.0,-0.8,-0.2,0.0187722515913259,0.625,0.328,0.32,0.1,0.5,W (+4),W (+4)
7.0,7,2022-12-27,26-212,SAS,OKC,0,13.783333333333331,3.0,6.0,0.5,0.0,0.0,,0,0.0,,0.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,6.0,4.5,-12,6.0,3.0,0.5,2,22,24,4,26,12,25,22,24,21,25,27,16,17,29,19,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,68.0,63.0,0.0,0.054054054054054,0.6285714285714286,0.631578947368421,0.1428571428571428,0.40625,0.3870967741935484,0.5952380952380952,0.3055555555555556,0.4285714285714285,0.0,0.3230769230769231,0.0,0.373134328358209,0.4285714285714285,0.2424242424242424,0.3953488372093023,0.4264705882352941,0.3015873015873015,73.0,17.0,23.0,20.0,43.0,0.0,0.0,0.0,0.0,0.0,16,4.0,53.0,3.3125,4.500000000000001,64.1,4.00625,13.5,0.7,-1.0,-0.8,-0.2,0.0187722515913259,0.625,0.328,0.32,0.1,0.5,L (-16),L (-16)
8.0,8,2022-12-29,26-214,SAS,NYK,0,16.6,3.0,5.0,0.6,2.0,3.0,0.667,1,2.0,0.5,1.0,5.0,6.0,2.0,0.0,0.0,0.0,5.0,9.0,7.9,10,2.0,1.0,0.5,2,22,24,4,26,12,25,22,24,21,25,27,16,17,29,19,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,68.0,63.0,0.0,0.054054054054054,0.6285714285714286,0.631578947368421,0.1428571428571428,0.40625,0.3870967741935484,0.5952380952380952,0.3055555555555556,0.4285714285714285,0.0,0.3230769230769231,0.0,0.373134328358209,0.4285714285714285,0.2424242424242424,0.3953488372093023,0.4264705882352941,0.3015873015873015,73.0,17.0,23.0,20.0,43.0,0.0,0.0,0.0,0.0,0.0,16,10.0,53.0,3.3125,7.499999999999998,47.59999999999999,2.974999999999999,13.5,0.7,-1.0,-0.8,-0.2,0.0187722515913259,0.625,0.328,0.32,0.1,0.5,W (+7),W (+7)
9.0,9,2022-12-31,26-216,SAS,DAL,0,17.116666666666667,2.0,4.0,0.5,0.0,2.0,0.0,2,4.0,0.5,0.0,3.0,3.0,2.0,0.0,0.0,2.0,1.0,6.0,3.1,-5,2.0,2.0,1.0,2,22,24,4,26,12,25,22,24,21,25,27,16,17,29,19,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,68.0,63.0,0.0,0.054054054054054,0.6285714285714286,0.631578947368421,0.1428571428571428,0.40625,0.3870967741935484,0.5952380952380952,0.3055555555555556,0.4285714285714285,0.0,0.3230769230769231,0.0,0.373134328358209,0.4285714285714285,0.2424242424242424,0.3953488372093023,0.4264705882352941,0.3015873015873015,73.0,17.0,23.0,20.0,43.0,0.0,0.0,0.0,0.0,0.0,16,1.0,64.0,4.0,2.299999999999999,79.69999999999999,4.981249999999999,13.5,0.7,-1.0,-0.8,-0.2,0.0187722515913259,0.625,0.328,0.32,0.1,0.5,L (-1),L (-1)
10.0,10,2023-01-02,26-218,SAS,BRK,0,8.6,1.0,1.0,1.0,0.0,0.0,,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.4,-7,1.0,1.0,1.0,2,22,24,4,26,12,25,22,24,21,25,27,16,17,29,19,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,68.0,63.0,0.0,0.054054054054054,0.6285714285714286,0.631578947368421,0.1428571428571428,0.40625,0.3870967741935484,0.5952380952380952,0.3055555555555556,0.4285714285714285,0.0,0.3230769230769231,0.0,0.373134328358209,0.4285714285714285,0.2424242424242424,0.3953488372093023,0.4264705882352941,0.3015873015873015,73.0,17.0,23.0,20.0,43.0,0.0,0.0,0.0,0.0,0.0,16,1.0,65.0,4.0625,1.3999999999999997,64.5,4.03125,13.5,0.7,-1.0,-0.8,-0.2,0.0187722515913259,0.625,0.328,0.32,0.1,0.5,L (-36),L (-36)
