Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Blake Wesley,Shared Games with Charles Bassey,Shared Games with Devin Vassell,Shared Games with Dominick Barlow,Shared Games with Doug McDermott,Shared Games with Gorgui Dieng,Shared Games with Isaiah Roby,Shared Games with Jakob Poeltl,Shared Games with Jeremy Sochan,Shared Games with Josh Richardson,Shared Games with Keita Bates-Diop,Shared Games with Keldon Johnson,Shared Games with Malaki Branham,Shared Games with Romeo Langford,Shared Games with Stanley Johnson,Shared Games with Zach Collins,Alize Johnson,Blake Wesley,Charles Bassey,Devin Vassell,Dominick Barlow,Doug McDermott,Gorgui Dieng,Isaiah Roby,Jakob Poeltl,Jeremy Sochan,Jordan Hall,Josh Richardson,Joshua Primo,Keita Bates-Diop,Keldon Johnson,Malaki Branham,Romeo Langford,Stanley Johnson,Zach Collins,co_inf with Alize Johnson,co_inf with Blake Wesley,co_inf with Charles Bassey,co_inf with Devin Vassell,co_inf with Dominick Barlow,co_inf with Doug McDermott,co_inf with Gorgui Dieng,co_inf with Isaiah Roby,co_inf with Jakob Poeltl,co_inf with Jeremy Sochan,co_inf with Jordan Hall,co_inf with Josh Richardson,co_inf with Joshua Primo,co_inf with Keita Bates-Diop,co_inf with Keldon Johnson,co_inf with Malaki Branham,co_inf with Romeo Langford,co_inf with Stanley Johnson,co_inf with Zach Collins,Shared Games with Devonte' Graham,Shared Games with Julian Champagnie,Shared Games with Sandro Mamukelashvili,Devonte' Graham,Julian Champagnie,Justin Jackson,Khem Birch,Sandro Mamukelashvili,co_inf with Devonte' Graham,co_inf with Julian Champagnie,co_inf with Justin Jackson,co_inf with Khem Birch,co_inf with Sandro Mamukelashvili,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,1.0,2022-10-19,22-284,SAS,CHO,1,24.366666666666667,5.0,8.0,.625,1.0,2.0,.500,3,3.0,1.000,2.0,1.0,3.0,2.0,1.0,2.0,0.0,3.0,14.0,14.7,-11,6.0,4.0,0.6666666666666666,24,26,33,19,53,24,36,42,49,38,53,53,54,42,29,51,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,63.0,0.0,0.6486486486486487,0.7428571428571429,0.868421052631579,0.6785714285714286,0.828125,0.7741935483870968,0.8571428571428571,0.5833333333333334,0.875,0.0,0.5846153846153846,0.0,0.7910447761194029,0.8412698412698413,0.8181818181818182,0.9767441860465116,0.9666666666666668,0.8095238095238095,12,10,14,73.0,17.0,23.0,20.0,43.0,0.1643835616438356,0.5882352941176471,0.0,0.0,0.3255813953488372,19,11.0,31.0,1.631578947368421,13.499999999999996,38.09999999999999,2.005263157894736,0.0944006904736217,L (-27),L (-27)
2.0,2.0,2022-10-21,22-286,SAS,IND,1,35.03333333333333,6.0,12.0,.500,1.0,3.0,.333,5,6.0,.833,1.0,3.0,4.0,4.0,2.0,0.0,3.0,4.0,18.0,13.4,-10,9.0,5.0,0.5555555555555556,24,26,33,19,53,24,36,42,49,38,53,53,54,42,29,51,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,63.0,0.0,0.6486486486486487,0.7428571428571429,0.868421052631579,0.6785714285714286,0.828125,0.7741935483870968,0.8571428571428571,0.5833333333333334,0.875,0.0,0.5846153846153846,0.0,0.7910447761194029,0.8412698412698413,0.8181818181818182,0.9767441860465116,0.9666666666666668,0.8095238095238095,12,10,14,73.0,17.0,23.0,20.0,43.0,0.1643835616438356,0.5882352941176471,0.0,0.0,0.3255813953488372,19,7.0,54.0,2.8421052631578947,11.4,54.0,2.8421052631578947,0.0944006904736217,W (+3),W (+3)
3.0,3.0,2022-10-22,22-287,SAS,PHI,1,30.433333333333334,6.0,12.0,.500,0.0,0.0,,5,5.0,1.000,0.0,1.0,1.0,4.0,1.0,0.0,4.0,1.0,17.0,10.7,-1,12.0,6.0,0.5,24,26,33,19,53,24,36,42,49,38,53,53,54,42,29,51,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,63.0,0.0,0.6486486486486487,0.7428571428571429,0.868421052631579,0.6785714285714286,0.828125,0.7741935483870968,0.8571428571428571,0.5833333333333334,0.875,0.0,0.5846153846153846,0.0,0.7910447761194029,0.8412698412698413,0.8181818181818182,0.9767441860465116,0.9666666666666668,0.8095238095238095,12,10,14,73.0,17.0,23.0,20.0,43.0,0.1643835616438356,0.5882352941176471,0.0,0.0,0.3255813953488372,19,2.0,61.0,3.210526315789474,8.700000000000001,62.3,3.2789473684210524,0.0944006904736217,W (+9),W (+9)
4.0,4.0,2022-10-24,22-289,SAS,MIN,1,29.75,3.0,10.0,.300,1.0,4.0,.250,1,1.0,1.000,0.0,7.0,7.0,8.0,3.0,0.0,1.0,3.0,8.0,10.7,+10,6.0,2.0,0.3333333333333333,24,26,33,19,53,24,36,42,49,38,53,53,54,42,29,51,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,63.0,0.0,0.6486486486486487,0.7428571428571429,0.868421052631579,0.6785714285714286,0.828125,0.7741935483870968,0.8571428571428571,0.5833333333333334,0.875,0.0,0.5846153846153846,0.0,0.7910447761194029,0.8412698412698413,0.8181818181818182,0.9767441860465116,0.9666666666666668,0.8095238095238095,12,10,14,73.0,17.0,23.0,20.0,43.0,0.1643835616438356,0.5882352941176471,0.0,0.0,0.3255813953488372,19,14.0,58.0,3.0526315789473686,10.299999999999995,66.29999999999998,3.4894736842105254,0.0944006904736217,W (+9),W (+9)
5.0,5.0,2022-10-26,22-291,SAS,MIN,1,32.81666666666667,3.0,12.0,.250,1.0,3.0,.333,6,6.0,1.000,2.0,5.0,7.0,3.0,1.0,0.0,1.0,2.0,13.0,10.0,-11,9.0,2.0,0.2222222222222222,24,26,33,19,53,24,36,42,49,38,53,53,54,42,29,51,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,63.0,0.0,0.6486486486486487,0.7428571428571429,0.868421052631579,0.6785714285714286,0.828125,0.7741935483870968,0.8571428571428571,0.5833333333333334,0.875,0.0,0.5846153846153846,0.0,0.7910447761194029,0.8412698412698413,0.8181818181818182,0.9767441860465116,0.9666666666666668,0.8095238095238095,12,10,14,73.0,17.0,23.0,20.0,43.0,0.1643835616438356,0.5882352941176471,0.0,0.0,0.3255813953488372,19,5.0,63.0,3.3157894736842106,7.600000000000003,79.89999999999999,4.205263157894737,0.0944006904736217,L (-12),L (-12)
6.0,6.0,2022-10-28,22-293,SAS,CHI,1,32.75,3.0,8.0,.375,1.0,2.0,.500,4,4.0,1.000,2.0,2.0,4.0,8.0,1.0,0.0,5.0,0.0,11.0,10.2,+23,6.0,2.0,0.3333333333333333,24,26,33,19,53,24,36,42,49,38,53,53,54,42,29,51,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,63.0,0.0,0.6486486486486487,0.7428571428571429,0.868421052631579,0.6785714285714286,0.828125,0.7741935483870968,0.8571428571428571,0.5833333333333334,0.875,0.0,0.5846153846153846,0.0,0.7910447761194029,0.8412698412698413,0.8181818181818182,0.9767441860465116,0.9666666666666668,0.8095238095238095,12,10,14,73.0,17.0,23.0,20.0,43.0,0.1643835616438356,0.5882352941176471,0.0,0.0,0.3255813953488372,19,7.0,60.0,3.1578947368421053,8.599999999999998,72.7,3.826315789473684,0.0944006904736217,W (+5),W (+5)
7.0,7.0,2022-10-30,22-295,SAS,MIN,1,31.5,2.0,12.0,.167,1.0,2.0,.500,5,7.0,.714,1.0,1.0,2.0,8.0,0.0,0.0,2.0,3.0,10.0,5.0,+6,10.0,1.0,0.1,24,26,33,19,53,24,36,42,49,38,53,53,54,42,29,51,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,63.0,0.0,0.6486486486486487,0.7428571428571429,0.868421052631579,0.6785714285714286,0.828125,0.7741935483870968,0.8571428571428571,0.5833333333333334,0.875,0.0,0.5846153846153846,0.0,0.7910447761194029,0.8412698412698413,0.8181818181818182,0.9767441860465116,0.9666666666666668,0.8095238095238095,12,10,14,73.0,17.0,23.0,20.0,43.0,0.1643835616438356,0.5882352941176471,0.0,0.0,0.3255813953488372,19,-1.0,58.0,3.0526315789473686,2.999999999999999,66.6,3.5052631578947366,0.0944006904736217,W (+9),W (+9)
8.0,8.0,2022-11-02,22-298,SAS,TOR,1,21.666666666666668,3.0,9.0,.333,1.0,2.0,.500,0,0.0,,0.0,8.0,8.0,7.0,1.0,0.0,2.0,1.0,7.0,7.8,-23,7.0,2.0,0.2857142857142857,24,26,33,19,53,24,36,42,49,38,53,53,54,42,29,51,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,63.0,0.0,0.6486486486486487,0.7428571428571429,0.868421052631579,0.6785714285714286,0.828125,0.7741935483870968,0.8571428571428571,0.5833333333333334,0.875,0.0,0.5846153846153846,0.0,0.7910447761194029,0.8412698412698413,0.8181818181818182,0.9767441860465116,0.9666666666666668,0.8095238095238095,12,10,14,73.0,17.0,23.0,20.0,43.0,0.1643835616438356,0.5882352941176471,0.0,0.0,0.3255813953488372,19,12.0,51.0,2.6842105263157894,7.799999999999999,49.29999999999999,2.5947368421052626,0.0944006904736217,L (-43),L (-43)
9.0,9.0,2022-11-04,22-300,SAS,LAC,1,33.0,7.0,15.0,.467,3.0,5.0,.600,1,1.0,1.000,0.0,2.0,2.0,6.0,2.0,0.0,1.0,3.0,18.0,14.9,-4,10.0,4.0,0.4,24,26,33,19,53,24,36,42,49,38,53,53,54,42,29,51,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,63.0,0.0,0.6486486486486487,0.7428571428571429,0.868421052631579,0.6785714285714286,0.828125,0.7741935483870968,0.8571428571428571,0.5833333333333334,0.875,0.0,0.5846153846153846,0.0,0.7910447761194029,0.8412698412698413,0.8181818181818182,0.9767441860465116,0.9666666666666668,0.8095238095238095,12,10,14,73.0,17.0,23.0,20.0,43.0,0.1643835616438356,0.5882352941176471,0.0,0.0,0.3255813953488372,19,11.0,54.0,2.8421052631578947,14.500000000000004,65.69999999999999,3.4578947368421047,0.0944006904736217,L (-7),L (-7)
10.0,10.0,2022-11-05,22-301,SAS,DEN,1,24.166666666666668,2.0,7.0,.286,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,7.0,1.0,0.0,1.0,1.0,4.0,4.4,-17,6.0,2.0,0.3333333333333333,24,26,33,19,53,24,36,42,49,38,53,53,54,42,29,51,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,63.0,0.0,0.6486486486486487,0.7428571428571429,0.868421052631579,0.6785714285714286,0.828125,0.7741935483870968,0.8571428571428571,0.5833333333333334,0.875,0.0,0.5846153846153846,0.0,0.7910447761194029,0.8412698412698413,0.8181818181818182,0.9767441860465116,0.9666666666666668,0.8095238095238095,12,10,14,73.0,17.0,23.0,20.0,43.0,0.1643835616438356,0.5882352941176471,0.0,0.0,0.3255813953488372,19,4.0,62.0,3.263157894736842,4.4,70.3,3.7,0.0944006904736217,L (-25),L (-25)
