,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
0,1967-68,23.0,LAL,NBA,SG,18.0,,5.2,0.4,1.6,0.24100000000000002,,,,0.4,1.6,0.24100000000000002,0.24100000000000002,0.7,1.6,0.429,,,0.6,0.9,,1.0,1.4
1,1968-69,24.0,LAL,NBA,SG,35.0,,8.3,1.3,3.1,0.40700000000000003,,,,1.3,3.1,0.40700000000000003,0.40700000000000003,1.3,2.3,0.573,,,1.3,0.9,,1.7,3.9
2,1969-70,25.0,DNR,ABA,SG,3.0,,7.3,0.7,1.3,0.5,0.0,0.0,,0.7,1.3,0.5,0.5,0.7,2.0,0.33299999999999996,0.3,1.0,1.3,1.3,1.0,1.0,2.0
3,1970-71,26.0,TOT,NBA,SG,28.0,,7.1,0.7,2.3,0.308,,,,0.7,2.3,0.308,0.308,1.6,2.4,0.687,,,1.7,0.7,,1.0,3.1
4,1970-71,26.0,CLE,NBA,SG,23.0,,7.4,0.8,2.6,0.322,,,,0.8,2.6,0.322,0.322,1.8,2.6,0.6829999999999999,,,1.6,0.7,,1.0,3.4
5,1970-71,26.0,PHI,NBA,SG,5.0,,5.4,0.2,1.2,0.16699999999999998,,,,0.2,1.2,0.16699999999999998,0.16699999999999998,1.0,1.4,0.7140000000000001,,,2.2,0.8,,1.4,1.4
6,Career,,,TOT,,84.0,,7.2,0.9,2.5,0.354,0.0,0.0,,0.9,2.5,0.354,0.354,1.3,2.2,0.585,0.3,1.0,1.3,0.9,1.0,1.3,3.0
7,,,,NBA,,81.0,,7.2,0.9,2.5,0.35100000000000003,,,,0.9,2.5,0.35100000000000003,0.35100000000000003,1.3,2.2,0.593,,,1.3,0.8,,1.3,3.0
8,,,,ABA,,3.0,,7.3,0.7,1.3,0.5,0.0,0.0,,0.7,1.3,0.5,0.5,0.7,2.0,0.33299999999999996,0.3,1.0,1.3,1.3,1.0,1.0,2.0
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2 seasons,,LAL,NBA,,53.0,,7.2,1.0,2.6,0.37200000000000005,,,,1.0,2.6,0.37200000000000005,0.37200000000000005,1.1,2.1,0.536,,,1.0,0.9,,1.4,3.0
11,1 season,,CLE,NBA,,23.0,,7.4,0.8,2.6,0.322,,,,0.8,2.6,0.322,0.322,1.8,2.6,0.6829999999999999,,,1.6,0.7,,1.0,3.4
12,1 season,,PHI,NBA,,5.0,,5.4,0.2,1.2,0.16699999999999998,,,,0.2,1.2,0.16699999999999998,0.16699999999999998,1.0,1.4,0.7140000000000001,,,2.2,0.8,,1.4,1.4
13,1 season,,DNR,ABA,,3.0,,7.3,0.7,1.3,0.5,0.0,0.0,,0.7,1.3,0.5,0.5,0.7,2.0,0.33299999999999996,0.3,1.0,1.3,1.3,1.0,1.0,2.0
