,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
0,1946-47,27.0,STB,BAA,,60.0,,,3.2,12.8,0.253,2.2,3.4,0.65,,0.4,2.8,8.7
1,1947-48,28.0,STB,BAA,,42.0,,,4.1,15.7,0.264,2.3,3.5,0.662,,0.6,2.5,10.6
2,1948-49,29.0,BOS,BAA,,47.0,,,3.1,9.3,0.331,1.7,2.5,0.684,,2.5,2.5,7.9
3,1949-50,30.0,BOS,NBA,,47.0,,,2.6,7.4,0.34600000000000003,1.6,2.4,0.6579999999999999,,2.3,2.5,6.7
4,Career,,,TOT,,196.0,,,3.2,11.3,0.28600000000000003,2.0,3.0,0.662,,1.4,2.6,8.4
5,,,,BAA,,149.0,,,3.4,12.5,0.275,2.1,3.2,0.662,,1.1,2.6,9.0
6,,,,NBA,,47.0,,,2.6,7.4,0.34600000000000003,1.6,2.4,0.6579999999999999,,2.3,2.5,6.7
7,,,,,,,,,,,,,,,,,,
8,2 seasons,,STB,BAA,,102.0,,,3.6,14.0,0.258,2.3,3.5,0.655,,0.5,2.7,9.5
9,2 seasons,,BOS,BAA,,94.0,,,2.8,8.4,0.33799999999999997,1.6,2.5,0.6709999999999999,,2.4,2.5,7.3
