Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Christian Wood,Shared Games with Dorian Finney-Smith,Shared Games with Dwight Powell,Shared Games with Frank Ntilikina,Shared Games with Jaden Hardy,Shared Games with JaVale McGee,Shared Games with Josh Green,Shared Games with Luka Dončić,Shared Games with Maxi Kleber,Shared Games with McKinley Wright IV,Shared Games with Reggie Bullock,Shared Games with Spencer Dinwiddie,Shared Games with Theo Pinson,Shared Games with Tim Hardaway Jr.,Shared Games with Tyler Dorsey,Chris Silva,Christian Wood,Dorian Finney-Smith,Dwight Powell,Facundo Campazzo,Frank Ntilikina,Jaden Hardy,JaVale McGee,Josh Green,Kemba Walker,Luka Dončić,Maxi Kleber,McKinley Wright IV,Reggie Bullock,Spencer Dinwiddie,Theo Pinson,Tim Hardaway Jr.,Tyler Dorsey,co_inf with Chris Silva,co_inf with Christian Wood,co_inf with Dorian Finney-Smith,co_inf with Dwight Powell,co_inf with Facundo Campazzo,co_inf with Frank Ntilikina,co_inf with Jaden Hardy,co_inf with JaVale McGee,co_inf with Josh Green,co_inf with Kemba Walker,co_inf with Luka Dončić,co_inf with Maxi Kleber,co_inf with McKinley Wright IV,co_inf with Reggie Bullock,co_inf with Spencer Dinwiddie,co_inf with Theo Pinson,co_inf with Tim Hardaway Jr.,co_inf with Tyler Dorsey,Shared Games with Justin Holiday,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with A.J. Lawson,A.J. Lawson,Derrick Favors,Justin Holiday,Kyrie Irving,Markieff Morris,co_inf with Justin Holiday,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with A.J. Lawson,co_inf with Derrick Favors,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,,2022-10-19,29-341,DAL,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,33,20,43,33,30,21,26,34,12,21,41,34,27,38,2,1.0,67.0,66.0,76.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.303030303030303,0.5657894736842105,0.0,0.7021276595744681,0.625,0.5,0.4333333333333333,0.0,0.5151515151515151,0.3243243243243243,0.7777777777777778,0.5256410256410257,0.430379746835443,0.675,0.5352112676056338,0.6666666666666666,7,5,2,8,15.0,,46.0,60.0,35.0,0.1521739130434782,0.0833333333333333,0.0571428571428571,0.5333333333333333,,19,,45.0,2.3684210526315788,0.0,65.50000000000001,3.4473684210526323,0.0219944480034166,L (-2),L (-2)
2.0,,2022-10-22,29-344,DAL,MEM,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,33,20,43,33,30,21,26,34,12,21,41,34,27,38,2,1.0,67.0,66.0,76.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.303030303030303,0.5657894736842105,0.0,0.7021276595744681,0.625,0.5,0.4333333333333333,0.0,0.5151515151515151,0.3243243243243243,0.7777777777777778,0.5256410256410257,0.430379746835443,0.675,0.5352112676056338,0.6666666666666666,7,5,2,8,15.0,,46.0,60.0,35.0,0.1521739130434782,0.0833333333333333,0.0571428571428571,0.5333333333333333,,19,,93.0,4.894736842105263,0.0,115.5,6.078947368421052,0.0219944480034166,W (+41),W (+41)
3.0,,2022-10-25,29-347,DAL,NOP,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,33,20,43,33,30,21,26,34,12,21,41,34,27,38,2,1.0,67.0,66.0,76.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.303030303030303,0.5657894736842105,0.0,0.7021276595744681,0.625,0.5,0.4333333333333333,0.0,0.5151515151515151,0.3243243243243243,0.7777777777777778,0.5256410256410257,0.430379746835443,0.675,0.5352112676056338,0.6666666666666666,7,5,2,8,15.0,,46.0,60.0,35.0,0.1521739130434782,0.0833333333333333,0.0571428571428571,0.5333333333333333,,19,,64.0,3.3684210526315788,0.0,90.2,4.747368421052632,0.0219944480034166,L (-2),L (-2)
4.0,,2022-10-27,29-349,DAL,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,33,20,43,33,30,21,26,34,12,21,41,34,27,38,2,1.0,67.0,66.0,76.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.303030303030303,0.5657894736842105,0.0,0.7021276595744681,0.625,0.5,0.4333333333333333,0.0,0.5151515151515151,0.3243243243243243,0.7777777777777778,0.5256410256410257,0.430379746835443,0.675,0.5352112676056338,0.6666666666666666,7,5,2,8,15.0,,46.0,60.0,35.0,0.1521739130434782,0.0833333333333333,0.0571428571428571,0.5333333333333333,,19,,70.0,3.684210526315789,0.0,96.6,5.084210526315789,0.0219944480034166,W (+4),W (+4)
5.0,,2022-10-29,29-351,DAL,OKC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,33,20,43,33,30,21,26,34,12,21,41,34,27,38,2,1.0,67.0,66.0,76.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.303030303030303,0.5657894736842105,0.0,0.7021276595744681,0.625,0.5,0.4333333333333333,0.0,0.5151515151515151,0.3243243243243243,0.7777777777777778,0.5256410256410257,0.430379746835443,0.675,0.5352112676056338,0.6666666666666666,7,5,2,8,15.0,,46.0,60.0,35.0,0.1521739130434782,0.0833333333333333,0.0571428571428571,0.5333333333333333,,19,,49.0,2.5789473684210527,0.0,68.29999999999998,3.594736842105262,0.0219944480034166,L (-6),L (-6)
6.0,,2022-10-30,29-352,DAL,ORL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,33,20,43,33,30,21,26,34,12,21,41,34,27,38,2,1.0,67.0,66.0,76.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.303030303030303,0.5657894736842105,0.0,0.7021276595744681,0.625,0.5,0.4333333333333333,0.0,0.5151515151515151,0.3243243243243243,0.7777777777777778,0.5256410256410257,0.430379746835443,0.675,0.5352112676056338,0.6666666666666666,7,5,2,8,15.0,,46.0,60.0,35.0,0.1521739130434782,0.0833333333333333,0.0571428571428571,0.5333333333333333,,19,,60.0,3.1578947368421053,0.0,93.2,4.905263157894737,0.0219944480034166,W (+9),W (+9)
7.0,,2022-11-02,29-355,DAL,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,33,20,43,33,30,21,26,34,12,21,41,34,27,38,2,1.0,67.0,66.0,76.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.303030303030303,0.5657894736842105,0.0,0.7021276595744681,0.625,0.5,0.4333333333333333,0.0,0.5151515151515151,0.3243243243243243,0.7777777777777778,0.5256410256410257,0.430379746835443,0.675,0.5352112676056338,0.6666666666666666,7,5,2,8,15.0,,46.0,60.0,35.0,0.1521739130434782,0.0833333333333333,0.0571428571428571,0.5333333333333333,,19,,79.0,4.157894736842105,0.0,97.7,5.142105263157895,0.0219944480034166,W (+3),W (+3)
8.0,,2022-11-04,29-357,DAL,TOR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,33,20,43,33,30,21,26,34,12,21,41,34,27,38,2,1.0,67.0,66.0,76.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.303030303030303,0.5657894736842105,0.0,0.7021276595744681,0.625,0.5,0.4333333333333333,0.0,0.5151515151515151,0.3243243243243243,0.7777777777777778,0.5256410256410257,0.430379746835443,0.675,0.5352112676056338,0.6666666666666666,7,5,2,8,15.0,,46.0,60.0,35.0,0.1521739130434782,0.0833333333333333,0.0571428571428571,0.5333333333333333,,19,,51.0,2.6842105263157894,0.0,57.7,3.0368421052631582,0.0219944480034166,W (+1),W (+1)
9.0,,2022-11-07,29-360,DAL,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,33,20,43,33,30,21,26,34,12,21,41,34,27,38,2,1.0,67.0,66.0,76.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.303030303030303,0.5657894736842105,0.0,0.7021276595744681,0.625,0.5,0.4333333333333333,0.0,0.5151515151515151,0.3243243243243243,0.7777777777777778,0.5256410256410257,0.430379746835443,0.675,0.5352112676056338,0.6666666666666666,7,5,2,8,15.0,,46.0,60.0,35.0,0.1521739130434782,0.0833333333333333,0.0571428571428571,0.5333333333333333,,19,,46.0,2.421052631578948,0.0,54.99999999999999,2.894736842105263,0.0219944480034166,W (+2),W (+2)
10.0,,2022-11-09,29-362,DAL,ORL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,33,20,43,33,30,21,26,34,12,21,41,34,27,38,2,1.0,67.0,66.0,76.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.303030303030303,0.5657894736842105,0.0,0.7021276595744681,0.625,0.5,0.4333333333333333,0.0,0.5151515151515151,0.3243243243243243,0.7777777777777778,0.5256410256410257,0.430379746835443,0.675,0.5352112676056338,0.6666666666666666,7,5,2,8,15.0,,46.0,60.0,35.0,0.1521739130434782,0.0833333333333333,0.0571428571428571,0.5333333333333333,,19,,33.0,1.736842105263158,0.0,42.900000000000006,2.2578947368421054,0.0219944480034166,L (-7),L (-7)
