Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Dorian Finney-Smith,Shared Games with Dwight Powell,Shared Games with Dāvis Bertāns,Shared Games with Frank Ntilikina,Shared Games with Jaden Hardy,Shared Games with JaVale McGee,Shared Games with Josh Green,Shared Games with Luka Dončić,Shared Games with Maxi Kleber,Shared Games with McKinley Wright IV,Shared Games with Reggie Bullock,Shared Games with Spencer Dinwiddie,Shared Games with Theo Pinson,Shared Games with Tim Hardaway Jr.,Shared Games with Tyler Dorsey,Chris Silva,Dorian Finney-Smith,Dwight Powell,Dāvis Bertāns,Facundo Campazzo,Frank Ntilikina,Jaden Hardy,JaVale McGee,Josh Green,Kemba Walker,Luka Dončić,Maxi Kleber,McKinley Wright IV,Reggie Bullock,Spencer Dinwiddie,Theo Pinson,Tim Hardaway Jr.,Tyler Dorsey,co_inf with Chris Silva,co_inf with Dorian Finney-Smith,co_inf with Dwight Powell,co_inf with Dāvis Bertāns,co_inf with Facundo Campazzo,co_inf with Frank Ntilikina,co_inf with Jaden Hardy,co_inf with JaVale McGee,co_inf with Josh Green,co_inf with Kemba Walker,co_inf with Luka Dončić,co_inf with Maxi Kleber,co_inf with McKinley Wright IV,co_inf with Reggie Bullock,co_inf with Spencer Dinwiddie,co_inf with Theo Pinson,co_inf with Tim Hardaway Jr.,co_inf with Tyler Dorsey,Shared Games with Justin Holiday,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with A.J. Lawson,A.J. Lawson,Derrick Favors,Justin Holiday,Kyrie Irving,Markieff Morris,co_inf with Justin Holiday,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with A.J. Lawson,co_inf with Derrick Favors,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,27-022,DAL,PHO,0,24.266666666666666,9.0,15.0,.600,4.0,7.0,.571,3,10.0,.300,1.0,7.0,8.0,2.0,0.0,1.0,1.0,2.0,25.0,18.4,+9,8.0,5.0,0.625,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,10.0,35.0,1.8421052631578947,17.200000000000006,48.30000000000001,2.542105263157896,20.6,4.8,1.7,1.9,-0.3,0.1189408498825539,0.624,0.363,0.365,1.6,2.7,L (-2),L (-2)
2.0,2.0,2022-10-22,27-025,DAL,MEM,0,25.1,6.0,12.0,.500,1.0,3.0,.333,12,14.0,.857,4.0,8.0,12.0,3.0,0.0,1.0,2.0,4.0,25.0,22.6,+22,9.0,5.0,0.5555555555555556,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,13.0,80.0,4.2105263157894735,17.800000000000004,97.7,5.142105263157895,20.6,4.8,1.7,1.9,-0.3,0.1189408498825539,0.624,0.363,0.365,1.6,2.7,W (+41),W (+41)
3.0,3.0,2022-10-25,27-028,DAL,NOP,0,29.48333333333333,8.0,10.0,.800,3.0,3.0,1.000,4,6.0,.667,2.0,4.0,6.0,0.0,1.0,0.0,3.0,1.0,23.0,18.6,+8,7.0,5.0,0.7142857142857143,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,11.0,53.0,2.789473684210526,17.0,73.19999999999999,3.852631578947368,20.6,4.8,1.7,1.9,-0.3,0.1189408498825539,0.624,0.363,0.365,1.6,2.7,L (-2),L (-2)
4.0,4.0,2022-10-27,27-030,DAL,BRK,0,24.383333333333333,3.0,5.0,.600,2.0,2.0,1.000,3,4.0,.750,0.0,6.0,6.0,0.0,0.0,1.0,3.0,5.0,11.0,5.8,+2,3.0,1.0,0.3333333333333333,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,6.0,64.0,3.3684210526315788,4.6,92.0,4.842105263157895,20.6,4.8,1.7,1.9,-0.3,0.1189408498825539,0.624,0.363,0.365,1.6,2.7,W (+4),W (+4)
5.0,5.0,2022-10-29,27-032,DAL,OKC,0,28.75,5.0,10.0,.500,0.0,2.0,.000,1,2.0,.500,1.0,6.0,7.0,0.0,0.0,1.0,3.0,5.0,11.0,3.8,-7,8.0,5.0,0.625,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,4.0,45.0,2.3684210526315788,3.3999999999999986,64.89999999999999,3.4157894736842103,20.6,4.8,1.7,1.9,-0.3,0.1189408498825539,0.624,0.363,0.365,1.6,2.7,L (-6),L (-6)
6.0,6.0,2022-10-30,27-033,DAL,ORL,0,23.5,2.0,6.0,.333,0.0,1.0,.000,1,1.0,1.000,1.0,9.0,10.0,0.0,0.0,0.0,2.0,2.0,5.0,2.2,+7,5.0,2.0,0.4,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,6.0,54.0,2.8421052631578947,1.7999999999999998,91.4,4.810526315789474,20.6,4.8,1.7,1.9,-0.3,0.1189408498825539,0.624,0.363,0.365,1.6,2.7,W (+9),W (+9)
7.0,7.0,2022-11-02,27-036,DAL,UTA,0,23.166666666666668,10.0,15.0,.667,1.0,5.0,.200,0,0.0,,2.0,8.0,10.0,0.0,0.0,0.0,3.0,0.0,21.0,15.3,-7,10.0,9.0,0.9,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,13.0,66.0,3.473684210526316,15.299999999999995,82.4,4.336842105263158,20.6,4.8,1.7,1.9,-0.3,0.1189408498825539,0.624,0.363,0.365,1.6,2.7,W (+3),W (+3)
8.0,8.0,2022-11-04,27-038,DAL,TOR,0,22.75,5.0,8.0,.625,1.0,2.0,.500,2,2.0,1.000,0.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,13.0,11.9,-6,6.0,4.0,0.6666666666666666,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,10.0,41.0,2.1578947368421053,11.099999999999998,46.6,2.4526315789473685,20.6,4.8,1.7,1.9,-0.3,0.1189408498825539,0.624,0.363,0.365,1.6,2.7,W (+1),W (+1)
9.0,9.0,2022-11-07,27-041,DAL,BRK,0,20.566666666666663,3.0,9.0,.333,0.0,1.0,.000,0,0.0,,2.0,4.0,6.0,1.0,1.0,0.0,4.0,2.0,6.0,0.4,-1,8.0,3.0,0.375,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,1.0,45.0,2.3684210526315788,0.3999999999999986,54.6,2.873684210526316,20.6,4.8,1.7,1.9,-0.3,0.1189408498825539,0.624,0.363,0.365,1.6,2.7,W (+2),W (+2)
10.0,,2022-11-09,27-043,DAL,ORL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,,33.0,1.736842105263158,0.0,42.900000000000006,2.2578947368421054,20.6,4.8,1.7,1.9,-0.3,0.1189408498825539,0.624,0.363,0.365,1.6,2.7,L (-7),L (-7)
