Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Len,Shared Games with Chima Moneke,Shared Games with Chimezie Metu,Shared Games with Davion Mitchell,Shared Games with De'Aaron Fox,Shared Games with Domantas Sabonis,Shared Games with Harrison Barnes,Shared Games with Keegan Murray,Shared Games with Keon Ellis,Shared Games with Kevin Huerter,Shared Games with KZ Okpala,Shared Games with Malik Monk,Shared Games with Matthew Dellavedova,Shared Games with Neemias Queta,Shared Games with PJ Dozier,Shared Games with Richaun Holmes,Shared Games with Terence Davis,Alex Len,Chima Moneke,Chimezie Metu,Davion Mitchell,De'Aaron Fox,Deonte Burton,Domantas Sabonis,Harrison Barnes,Keegan Murray,Keon Ellis,Kevin Huerter,KZ Okpala,Malik Monk,Matthew Dellavedova,Neemias Queta,PJ Dozier,Richaun Holmes,Terence Davis,co_inf with Alex Len,co_inf with Chima Moneke,co_inf with Chimezie Metu,co_inf with Davion Mitchell,co_inf with De'Aaron Fox,co_inf with Deonte Burton,co_inf with Domantas Sabonis,co_inf with Harrison Barnes,co_inf with Keegan Murray,co_inf with Keon Ellis,co_inf with Kevin Huerter,co_inf with KZ Okpala,co_inf with Malik Monk,co_inf with Matthew Dellavedova,co_inf with Neemias Queta,co_inf with PJ Dozier,co_inf with Richaun Holmes,co_inf with Terence Davis,Shared Games with Kessler Edwards,JD Davison,Kessler Edwards,co_inf with Kessler Edwards,co_inf with JD Davison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
11.0,9.0,2022-11-11,27-006,SAC,LAL,0,14.5,0.0,4.0,.000,0.0,4.0,.000,0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.1,-7,0.0,0.0,,22,1,58,73,65,71,74,72,15,68,30,69,28,5,14,38,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,0.8461538461538461,0.5,0.8787878787878788,0.9125,0.8904109589041096,0.0,0.8987341772151899,0.902439024390244,0.9,0.9375,0.9066666666666666,0.8571428571428571,0.8961038961038961,0.875,1.0,0.875,0.9047619047619048,0.890625,19,12.0,36.0,0.5277777777777778,0.0,18,-1.0,79.0,4.388888888888889,-1.1,95.70000000000002,5.316666666666667,0.0567791473024853,W (+6),W (+6)
12.0,10.0,2022-11-13,27-008,SAC,GSW,0,5.433333333333334,0.0,2.0,.000,0.0,2.0,.000,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.1,-9,0.0,0.0,,22,1,58,73,65,71,74,72,15,68,30,69,28,5,14,38,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,0.8461538461538461,0.5,0.8787878787878788,0.9125,0.8904109589041096,0.0,0.8987341772151899,0.902439024390244,0.9,0.9375,0.9066666666666666,0.8571428571428571,0.8961038961038961,0.875,1.0,0.875,0.9047619047619048,0.890625,19,12.0,36.0,0.5277777777777778,0.0,18,-1.0,84.0,4.666666666666667,-1.1,95.6,5.311111111111111,0.0567791473024853,W (+7),W (+7)
13.0,11.0,2022-11-15,27-010,SAC,BRK,0,17.916666666666668,4.0,13.0,.308,3.0,8.0,.375,1,2.0,.500,4.0,1.0,5.0,0.0,0.0,0.0,2.0,1.0,12.0,4.8,-3,5.0,1.0,0.2,22,1,58,73,65,71,74,72,15,68,30,69,28,5,14,38,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,0.8461538461538461,0.5,0.8787878787878788,0.9125,0.8904109589041096,0.0,0.8987341772151899,0.902439024390244,0.9,0.9375,0.9066666666666666,0.8571428571428571,0.8961038961038961,0.875,1.0,0.875,0.9047619047619048,0.890625,19,12.0,36.0,0.5277777777777778,0.0,18,0.0,112.0,6.222222222222222,4.4,124.5,6.916666666666667,0.0567791473024853,W (+32),W (+32)
14.0,12.0,2022-11-17,27-012,SAC,SAS,0,19.683333333333334,5.0,8.0,.625,1.0,4.0,.250,3,4.0,.750,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,14.0,12.7,+7,4.0,4.0,1.0,22,1,58,73,65,71,74,72,15,68,30,69,28,5,14,38,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,0.8461538461538461,0.5,0.8787878787878788,0.9125,0.8904109589041096,0.0,0.8987341772151899,0.902439024390244,0.9,0.9375,0.9066666666666666,0.8571428571428571,0.8961038961038961,0.875,1.0,0.875,0.9047619047619048,0.890625,19,12.0,36.0,0.5277777777777778,0.0,18,6.0,77.0,4.277777777777778,11.5,91.3,5.072222222222222,0.0567791473024853,W (+18),W (+18)
15.0,13.0,2022-11-20,27-015,SAC,DET,0,10.183333333333334,1.0,4.0,.250,1.0,4.0,.250,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.6,-4,0.0,0.0,,22,1,58,73,65,71,74,72,15,68,30,69,28,5,14,38,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,0.8461538461538461,0.5,0.8787878787878788,0.9125,0.8904109589041096,0.0,0.8987341772151899,0.902439024390244,0.9,0.9375,0.9066666666666666,0.8571428571428571,0.8961038961038961,0.875,1.0,0.875,0.9047619047619048,0.890625,19,12.0,36.0,0.5277777777777778,0.0,18,-1.0,83.0,4.611111111111111,0.6000000000000001,109.50000000000004,6.083333333333336,0.0567791473024853,W (+8),W (+8)
16.0,14.0,2022-11-22,27-017,SAC,MEM,0,15.016666666666667,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,1.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,-0.1,+8,0.0,0.0,,22,1,58,73,65,71,74,72,15,68,30,69,28,5,14,38,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,0.8461538461538461,0.5,0.8787878787878788,0.9125,0.8904109589041096,0.0,0.8987341772151899,0.902439024390244,0.9,0.9375,0.9066666666666666,0.8571428571428571,0.8961038961038961,0.875,1.0,0.875,0.9047619047619048,0.890625,19,12.0,36.0,0.5277777777777778,0.0,18,2.0,61.0,3.388888888888889,-0.1000000000000002,75.3,4.183333333333334,0.0567791473024853,W (+4),W (+4)
17.0,15.0,2022-11-23,27-018,SAC,ATL,0,20.45,4.0,7.0,.571,1.0,3.0,.333,3,3.0,1.000,5.0,2.0,7.0,2.0,1.0,1.0,2.0,4.0,12.0,12.3,-6,4.0,3.0,0.75,22,1,58,73,65,71,74,72,15,68,30,69,28,5,14,38,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,0.8461538461538461,0.5,0.8787878787878788,0.9125,0.8904109589041096,0.0,0.8987341772151899,0.902439024390244,0.9,0.9375,0.9066666666666666,0.8571428571428571,0.8961038961038961,0.875,1.0,0.875,0.9047619047619048,0.890625,19,12.0,36.0,0.5277777777777778,0.0,18,11.0,49.0,2.7222222222222223,11.100000000000003,57.09999999999999,3.1722222222222216,0.0567791473024853,L (-9),L (-9)
18.0,16.0,2022-11-25,27-020,SAC,BOS,0,8.483333333333333,1.0,1.0,1.000,1.0,1.0,1.000,3,4.0,.750,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,6.0,4.3,+4,0.0,0.0,,22,1,58,73,65,71,74,72,15,68,30,69,28,5,14,38,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,0.8461538461538461,0.5,0.8787878787878788,0.9125,0.8904109589041096,0.0,0.8987341772151899,0.902439024390244,0.9,0.9375,0.9066666666666666,0.8571428571428571,0.8961038961038961,0.875,1.0,0.875,0.9047619047619048,0.890625,19,12.0,36.0,0.5277777777777778,0.0,18,1.0,43.0,2.388888888888889,3.1,54.19999999999998,3.01111111111111,0.0567791473024853,L (-18),L (-18)
19.0,,2022-11-28,27-023,SAC,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,22,1,58,73,65,71,74,72,15,68,30,69,28,5,14,38,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,0.8461538461538461,0.5,0.8787878787878788,0.9125,0.8904109589041096,0.0,0.8987341772151899,0.902439024390244,0.9,0.9375,0.9066666666666666,0.8571428571428571,0.8961038961038961,0.875,1.0,0.875,0.9047619047619048,0.890625,19,12.0,36.0,0.5277777777777778,0.0,18,,81.0,4.5,0.0,95.5,5.305555555555555,0.0567791473024853,L (-5),L (-5)
20.0,,2022-11-30,27-025,SAC,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,22,1,58,73,65,71,74,72,15,68,30,69,28,5,14,38,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,0.8461538461538461,0.5,0.8787878787878788,0.9125,0.8904109589041096,0.0,0.8987341772151899,0.902439024390244,0.9,0.9375,0.9066666666666666,0.8571428571428571,0.8961038961038961,0.875,1.0,0.875,0.9047619047619048,0.890625,19,12.0,36.0,0.5277777777777778,0.0,18,,93.0,5.166666666666667,0.0,102.3,5.683333333333334,0.0567791473024853,W (+23),W (+23)
21.0,17.0,2022-12-03,27-028,SAC,LAC,0,7.65,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,-2,0.0,0.0,,22,1,58,73,65,71,74,72,15,68,30,69,28,5,14,38,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,0.8461538461538461,0.5,0.8787878787878788,0.9125,0.8904109589041096,0.0,0.8987341772151899,0.902439024390244,0.9,0.9375,0.9066666666666666,0.8571428571428571,0.8961038961038961,0.875,1.0,0.875,0.9047619047619048,0.890625,19,12.0,36.0,0.5277777777777778,0.0,18,3.0,83.0,4.611111111111111,0.0999999999999998,99.29999999999998,5.516666666666666,0.0567791473024853,,
22.0,,2022-12-04,27-029,SAC,CHI,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,22,1,58,73,65,71,74,72,15,68,30,69,28,5,14,38,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,0.8461538461538461,0.5,0.8787878787878788,0.9125,0.8904109589041096,0.0,0.8987341772151899,0.902439024390244,0.9,0.9375,0.9066666666666666,0.8571428571428571,0.8961038961038961,0.875,1.0,0.875,0.9047619047619048,0.890625,19,12.0,36.0,0.5277777777777778,0.0,18,,75.0,4.166666666666667,0.0,81.60000000000001,4.533333333333334,0.0567791473024853,W (+27),W (+27)
23.0,18.0,2022-12-07,27-032,SAC,MIL,0,6.583333333333333,0.0,3.0,.000,0.0,1.0,.000,0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,0,2.0,0.0,0.0,22,1,58,73,65,71,74,72,15,68,30,69,28,5,14,38,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,0.8461538461538461,0.5,0.8787878787878788,0.9125,0.8904109589041096,0.0,0.8987341772151899,0.902439024390244,0.9,0.9375,0.9066666666666666,0.8571428571428571,0.8961038961038961,0.875,1.0,0.875,0.9047619047619048,0.890625,19,12.0,36.0,0.5277777777777778,0.0,18,-2.0,64.0,3.555555555555556,-1.3999999999999997,78.59999999999998,4.366666666666665,0.0567791473024853,W (+9),W (+9)
24.0,19.0,2022-12-09,27-034,SAC,CLE,0,17.083333333333332,2.0,5.0,.400,1.0,3.0,.333,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,5.0,1.8,-3,2.0,1.0,0.5,22,1,58,73,65,71,74,72,15,68,30,69,28,5,14,38,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,0.8461538461538461,0.5,0.8787878787878788,0.9125,0.8904109589041096,0.0,0.8987341772151899,0.902439024390244,0.9,0.9375,0.9066666666666666,0.8571428571428571,0.8961038961038961,0.875,1.0,0.875,0.9047619047619048,0.890625,19,12.0,36.0,0.5277777777777778,0.0,18,2.0,64.0,3.555555555555556,1.7999999999999998,75.99999999999997,4.2222222222222205,0.0567791473024853,L (-13),L (-13)
25.0,20.0,2022-12-11,27-036,SAC,NYK,0,8.716666666666667,3.0,6.0,.500,1.0,2.0,.500,1,1.0,1.000,2.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,8.0,5.3,-5,4.0,2.0,0.5,22,1,58,73,65,71,74,72,15,68,30,69,28,5,14,38,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,0.8461538461538461,0.5,0.8787878787878788,0.9125,0.8904109589041096,0.0,0.8987341772151899,0.902439024390244,0.9,0.9375,0.9066666666666666,0.8571428571428571,0.8961038961038961,0.875,1.0,0.875,0.9047619047619048,0.890625,19,12.0,36.0,0.5277777777777778,0.0,18,3.0,29.0,1.6111111111111112,4.9,47.79999999999999,2.655555555555555,0.0567791473024853,W (+11),W (+11)
26.0,21.0,2022-12-13,27-038,SAC,PHI,0,17.416666666666668,1.0,4.0,.250,0.0,2.0,.000,0,0.0,,1.0,5.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,1.4,0,2.0,1.0,0.5,22,1,58,73,65,71,74,72,15,68,30,69,28,5,14,38,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,0.8461538461538461,0.5,0.8787878787878788,0.9125,0.8904109589041096,0.0,0.8987341772151899,0.902439024390244,0.9,0.9375,0.9066666666666666,0.8571428571428571,0.8961038961038961,0.875,1.0,0.875,0.9047619047619048,0.890625,19,12.0,36.0,0.5277777777777778,0.0,18,4.0,48.0,2.6666666666666665,1.4,60.69999999999999,3.372222222222222,0.0567791473024853,L (-13),L (-13)
27.0,22.0,2022-12-14,27-039,SAC,TOR,0,12.166666666666666,2.0,4.0,.500,1.0,2.0,.500,0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,5.3,-9,2.0,1.0,0.5,22,1,58,73,65,71,74,72,15,68,30,69,28,5,14,38,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,0.8461538461538461,0.5,0.8787878787878788,0.9125,0.8904109589041096,0.0,0.8987341772151899,0.902439024390244,0.9,0.9375,0.9066666666666666,0.8571428571428571,0.8961038961038961,0.875,1.0,0.875,0.9047619047619048,0.890625,19,12.0,36.0,0.5277777777777778,0.0,18,6.0,75.0,4.166666666666667,5.3,88.39999999999999,4.911111111111111,0.0567791473024853,L (-20),L (-20)
28.0,,2022-12-16,27-041,SAC,DET,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,22,1,58,73,65,71,74,72,15,68,30,69,28,5,14,38,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,0.8461538461538461,0.5,0.8787878787878788,0.9125,0.8904109589041096,0.0,0.8987341772151899,0.902439024390244,0.9,0.9375,0.9066666666666666,0.8571428571428571,0.8961038961038961,0.875,1.0,0.875,0.9047619047619048,0.890625,19,12.0,36.0,0.5277777777777778,0.0,18,,74.0,4.111111111111111,0.0,90.8,5.044444444444444,0.0567791473024853,W (+1),W (+1)
