Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Len,Shared Games with Chimezie Metu,Shared Games with Davion Mitchell,Shared Games with De'Aaron Fox,Shared Games with Domantas Sabonis,Shared Games with Harrison Barnes,Shared Games with Keegan Murray,Shared Games with Keon Ellis,Shared Games with Kevin Huerter,Shared Games with KZ Okpala,Shared Games with Malik Monk,Shared Games with Matthew Dellavedova,Shared Games with PJ Dozier,Shared Games with Richaun Holmes,Shared Games with Terence Davis,Shared Games with Trey Lyles,Alex Len,Chimezie Metu,Davion Mitchell,De'Aaron Fox,Deonte Burton,Domantas Sabonis,Harrison Barnes,Keegan Murray,Keon Ellis,Kevin Huerter,KZ Okpala,Malik Monk,Matthew Dellavedova,Neemias Queta,PJ Dozier,Richaun Holmes,Terence Davis,Trey Lyles,co_inf with Alex Len,co_inf with Chimezie Metu,co_inf with Davion Mitchell,co_inf with De'Aaron Fox,co_inf with Deonte Burton,co_inf with Domantas Sabonis,co_inf with Harrison Barnes,co_inf with Keegan Murray,co_inf with Keon Ellis,co_inf with Kevin Huerter,co_inf with KZ Okpala,co_inf with Malik Monk,co_inf with Matthew Dellavedova,co_inf with Neemias Queta,co_inf with PJ Dozier,co_inf with Richaun Holmes,co_inf with Terence Davis,co_inf with Trey Lyles,JD Davison,Kessler Edwards,co_inf with Kessler Edwards,co_inf with JD Davison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-19,26-299,SAC,POR,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,26.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.0769230769230769,0.0303030303030303,0.025,0.0273972602739726,0.0,0.0253164556962025,0.024390243902439,0.0125,0.0625,0.0266666666666666,0.0571428571428571,0.0259740259740259,0.0625,0.0,0.0625,0.0238095238095238,0.03125,0.0135135135135135,12.0,36.0,0.0,0.0,16,,75.0,4.6875,0.0,75.39999999999999,4.7125,-3.5,0.0,-20.7,-12.7,-8.0,0.0002020610224287,0.347,0.0,1.0,0.0,0.0,L (-7),L (-7)
2.0,,2022-10-22,26-302,SAC,LAC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,26.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.0769230769230769,0.0303030303030303,0.025,0.0273972602739726,0.0,0.0253164556962025,0.024390243902439,0.0125,0.0625,0.0266666666666666,0.0571428571428571,0.0259740259740259,0.0625,0.0,0.0625,0.0238095238095238,0.03125,0.0135135135135135,12.0,36.0,0.0,0.0,16,,62.0,3.875,0.0,79.00000000000001,4.937500000000001,-3.5,0.0,-20.7,-12.7,-8.0,0.0002020610224287,0.347,0.0,1.0,0.0,0.0,L (-2),L (-2)
3.0,,2022-10-23,26-303,SAC,GSW,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,26.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.0769230769230769,0.0303030303030303,0.025,0.0273972602739726,0.0,0.0253164556962025,0.024390243902439,0.0125,0.0625,0.0266666666666666,0.0571428571428571,0.0259740259740259,0.0625,0.0,0.0625,0.0238095238095238,0.03125,0.0135135135135135,12.0,36.0,0.0,0.0,16,,78.0,4.875,0.0,89.8,5.6125,-3.5,0.0,-20.7,-12.7,-8.0,0.0002020610224287,0.347,0.0,1.0,0.0,0.0,L (-5),L (-5)
4.0,1.0,2022-10-27,26-307,SAC,MEM,0,6.3,0.0,1.0,.000,0.0,0.0,,0,2.0,.000,2.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,-0.2,-9,1.0,0.0,0.0,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,26.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.0769230769230769,0.0303030303030303,0.025,0.0273972602739726,0.0,0.0253164556962025,0.024390243902439,0.0125,0.0625,0.0266666666666666,0.0571428571428571,0.0259740259740259,0.0625,0.0,0.0625,0.0238095238095238,0.03125,0.0135135135135135,12.0,36.0,0.0,0.0,16,0.0,66.0,4.125,-0.2000000000000004,79.89999999999999,4.99375,-3.5,0.0,-20.7,-12.7,-8.0,0.0002020610224287,0.347,0.0,1.0,0.0,0.0,L (-15),L (-15)
5.0,,2022-10-29,26-309,SAC,MIA,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,26.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.0769230769230769,0.0303030303030303,0.025,0.0273972602739726,0.0,0.0253164556962025,0.024390243902439,0.0125,0.0625,0.0266666666666666,0.0571428571428571,0.0259740259740259,0.0625,0.0,0.0625,0.0238095238095238,0.03125,0.0135135135135135,12.0,36.0,0.0,0.0,16,,70.0,4.375,0.0,78.79999999999997,4.924999999999998,-3.5,0.0,-20.7,-12.7,-8.0,0.0002020610224287,0.347,0.0,1.0,0.0,0.0,W (+6),W (+6)
6.0,,2022-10-31,26-311,SAC,CHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,26.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.0769230769230769,0.0303030303030303,0.025,0.0273972602739726,0.0,0.0253164556962025,0.024390243902439,0.0125,0.0625,0.0266666666666666,0.0571428571428571,0.0259740259740259,0.0625,0.0,0.0625,0.0238095238095238,0.03125,0.0135135135135135,12.0,36.0,0.0,0.0,16,,63.0,3.9375,0.0,78.1,4.88125,-3.5,0.0,-20.7,-12.7,-8.0,0.0002020610224287,0.347,0.0,1.0,0.0,0.0,W (+7),W (+7)
7.0,,2022-11-02,26-313,SAC,MIA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,26.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.0769230769230769,0.0303030303030303,0.025,0.0273972602739726,0.0,0.0253164556962025,0.024390243902439,0.0125,0.0625,0.0266666666666666,0.0571428571428571,0.0259740259740259,0.0625,0.0,0.0625,0.0238095238095238,0.03125,0.0135135135135135,12.0,36.0,0.0,0.0,16,,70.0,4.375,0.0,78.1,4.88125,-3.5,0.0,-20.7,-12.7,-8.0,0.0002020610224287,0.347,0.0,1.0,0.0,0.0,L (-3),L (-3)
8.0,,2022-11-05,26-316,SAC,ORL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,26.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.0769230769230769,0.0303030303030303,0.025,0.0273972602739726,0.0,0.0253164556962025,0.024390243902439,0.0125,0.0625,0.0266666666666666,0.0571428571428571,0.0259740259740259,0.0625,0.0,0.0625,0.0238095238095238,0.03125,0.0135135135135135,12.0,36.0,0.0,0.0,16,,66.0,4.125,0.0,89.10000000000001,5.5687500000000005,-3.5,0.0,-20.7,-12.7,-8.0,0.0002020610224287,0.347,0.0,1.0,0.0,0.0,W (+3),W (+3)
9.0,,2022-11-07,26-318,SAC,GSW,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,26.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.0769230769230769,0.0303030303030303,0.025,0.0273972602739726,0.0,0.0253164556962025,0.024390243902439,0.0125,0.0625,0.0266666666666666,0.0571428571428571,0.0259740259740259,0.0625,0.0,0.0625,0.0238095238095238,0.03125,0.0135135135135135,12.0,36.0,0.0,0.0,16,,59.0,3.6875,0.0,76.79999999999997,4.799999999999998,-3.5,0.0,-20.7,-12.7,-8.0,0.0002020610224287,0.347,0.0,1.0,0.0,0.0,L (-3),L (-3)
10.0,,2022-11-09,26-320,SAC,CLE,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,26.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.0769230769230769,0.0303030303030303,0.025,0.0273972602739726,0.0,0.0253164556962025,0.024390243902439,0.0125,0.0625,0.0266666666666666,0.0571428571428571,0.0259740259740259,0.0625,0.0,0.0625,0.0238095238095238,0.03125,0.0135135135135135,12.0,36.0,0.0,0.0,16,,77.0,4.8125,0.0,102.6,6.4125,-3.5,0.0,-20.7,-12.7,-8.0,0.0002020610224287,0.347,0.0,1.0,0.0,0.0,W (+7),W (+7)
