Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Len,Shared Games with Chima Moneke,Shared Games with Chimezie Metu,Shared Games with De'Aaron Fox,Shared Games with Domantas Sabonis,Shared Games with Harrison Barnes,Shared Games with Keegan Murray,Shared Games with Keon Ellis,Shared Games with Kevin Huerter,Shared Games with KZ Okpala,Shared Games with Malik Monk,Shared Games with Matthew Dellavedova,Shared Games with Neemias Queta,Shared Games with PJ Dozier,Shared Games with Richaun Holmes,Shared Games with Terence Davis,Shared Games with Trey Lyles,Alex Len,Chima Moneke,Chimezie Metu,De'Aaron Fox,Deonte Burton,Domantas Sabonis,Harrison Barnes,Keegan Murray,Keon Ellis,Kevin Huerter,KZ Okpala,Malik Monk,Matthew Dellavedova,Neemias Queta,PJ Dozier,Richaun Holmes,Terence Davis,Trey Lyles,co_inf with Alex Len,co_inf with Chima Moneke,co_inf with Chimezie Metu,co_inf with De'Aaron Fox,co_inf with Deonte Burton,co_inf with Domantas Sabonis,co_inf with Harrison Barnes,co_inf with Keegan Murray,co_inf with Keon Ellis,co_inf with Kevin Huerter,co_inf with KZ Okpala,co_inf with Malik Monk,co_inf with Matthew Dellavedova,co_inf with Neemias Queta,co_inf with PJ Dozier,co_inf with Richaun Holmes,co_inf with Terence Davis,co_inf with Trey Lyles,Shared Games with Kessler Edwards,JD Davison,Kessler Edwards,co_inf with Kessler Edwards,co_inf with JD Davison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,24-044,SAC,POR,0,25.83333333333333,1.0,8.0,.125,0.0,5.0,.000,0,0.0,,0.0,3.0,3.0,4.0,0.0,0.0,0.0,1.0,2.0,0.1,-7,3.0,1.0,0.3333333333333333,25,2,64,71,77,80,78,15,73,35,75,31,4,15,40,62,73,26.0,2.0,66.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9615384615384616,1.0,0.9696969696969696,0.9726027397260274,0.0,0.9746835443037974,0.975609756097561,0.975,0.9375,0.9733333333333334,1.0,0.974025974025974,0.96875,0.8,0.9375,0.9523809523809524,0.96875,0.9864864864864864,20,12.0,36.0,0.5555555555555556,0.0,18,1.0,74.0,4.111111111111111,0.0999999999999999,79.59999999999998,4.422222222222221,9.4,1.5,-2.8,-2.4,-0.4,0.045463730046474,0.545,0.494,0.078,-0.3,0.7,L (-7),L (-7)
2.0,2.0,2022-10-22,24-047,SAC,LAC,0,16.1,2.0,7.0,.286,0.0,2.0,.000,0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,4.0,-0.5,-10,5.0,2.0,0.4,25,2,64,71,77,80,78,15,73,35,75,31,4,15,40,62,73,26.0,2.0,66.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9615384615384616,1.0,0.9696969696969696,0.9726027397260274,0.0,0.9746835443037974,0.975609756097561,0.975,0.9375,0.9733333333333334,1.0,0.974025974025974,0.96875,0.8,0.9375,0.9523809523809524,0.96875,0.9864864864864864,20,12.0,36.0,0.5555555555555556,0.0,18,-2.0,64.0,3.555555555555556,-0.5000000000000002,79.50000000000001,4.416666666666668,9.4,1.5,-2.8,-2.4,-0.4,0.045463730046474,0.545,0.494,0.078,-0.3,0.7,L (-2),L (-2)
3.0,3.0,2022-10-23,24-048,SAC,GSW,0,11.766666666666667,3.0,5.0,.600,1.0,2.0,.500,0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,1.0,4.0,7.0,4.5,+2,3.0,2.0,0.6666666666666666,25,2,64,71,77,80,78,15,73,35,75,31,4,15,40,62,73,26.0,2.0,66.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9615384615384616,1.0,0.9696969696969696,0.9726027397260274,0.0,0.9746835443037974,0.975609756097561,0.975,0.9375,0.9733333333333334,1.0,0.974025974025974,0.96875,0.8,0.9375,0.9523809523809524,0.96875,0.9864864864864864,20,12.0,36.0,0.5555555555555556,0.0,18,5.0,73.0,4.055555555555555,4.5,85.3,4.738888888888889,9.4,1.5,-2.8,-2.4,-0.4,0.045463730046474,0.545,0.494,0.078,-0.3,0.7,L (-5),L (-5)
4.0,4.0,2022-10-27,24-052,SAC,MEM,0,12.016666666666667,2.0,4.0,.500,1.0,2.0,.500,2,2.0,1.000,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,7.0,-13,2.0,1.0,0.5,25,2,64,71,77,80,78,15,73,35,75,31,4,15,40,62,73,26.0,2.0,66.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9615384615384616,1.0,0.9696969696969696,0.9726027397260274,0.0,0.9746835443037974,0.975609756097561,0.975,0.9375,0.9733333333333334,1.0,0.974025974025974,0.96875,0.8,0.9375,0.9523809523809524,0.96875,0.9864864864864864,20,12.0,36.0,0.5555555555555556,0.0,18,4.0,62.0,3.4444444444444446,6.199999999999999,73.49999999999999,4.083333333333332,9.4,1.5,-2.8,-2.4,-0.4,0.045463730046474,0.545,0.494,0.078,-0.3,0.7,L (-15),L (-15)
5.0,5.0,2022-10-29,24-054,SAC,MIA,0,11.783333333333331,1.0,2.0,.500,0.0,1.0,.000,0,1.0,.000,0.0,3.0,3.0,1.0,0.0,0.0,4.0,2.0,2.0,-2.6,+2,1.0,1.0,1.0,25,2,64,71,77,80,78,15,73,35,75,31,4,15,40,62,73,26.0,2.0,66.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9615384615384616,1.0,0.9696969696969696,0.9726027397260274,0.0,0.9746835443037974,0.975609756097561,0.975,0.9375,0.9733333333333334,1.0,0.974025974025974,0.96875,0.8,0.9375,0.9523809523809524,0.96875,0.9864864864864864,20,12.0,36.0,0.5555555555555556,0.0,18,-1.0,71.0,3.9444444444444446,-2.6,81.39999999999996,4.52222222222222,9.4,1.5,-2.8,-2.4,-0.4,0.045463730046474,0.545,0.494,0.078,-0.3,0.7,W (+6),W (+6)
6.0,6.0,2022-10-31,24-056,SAC,CHO,0,31.28333333333333,9.0,11.0,.818,5.0,6.0,.833,0,0.0,,0.0,4.0,4.0,0.0,3.0,0.0,5.0,2.0,23.0,17.3,+5,5.0,4.0,0.8,25,2,64,71,77,80,78,15,73,35,75,31,4,15,40,62,73,26.0,2.0,66.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9615384615384616,1.0,0.9696969696969696,0.9726027397260274,0.0,0.9746835443037974,0.975609756097561,0.975,0.9375,0.9733333333333334,1.0,0.974025974025974,0.96875,0.8,0.9375,0.9523809523809524,0.96875,0.9864864864864864,20,12.0,36.0,0.5555555555555556,0.0,18,14.0,49.0,2.7222222222222223,17.3,60.8,3.3777777777777778,9.4,1.5,-2.8,-2.4,-0.4,0.045463730046474,0.545,0.494,0.078,-0.3,0.7,W (+7),W (+7)
7.0,7.0,2022-11-02,24-058,SAC,MIA,1,29.23333333333333,4.0,9.0,.444,1.0,4.0,.250,0,0.0,,0.0,1.0,1.0,4.0,0.0,0.0,1.0,2.0,9.0,5.6,-11,5.0,3.0,0.6,25,2,64,71,77,80,78,15,73,35,75,31,4,15,40,62,73,26.0,2.0,66.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9615384615384616,1.0,0.9696969696969696,0.9726027397260274,0.0,0.9746835443037974,0.975609756097561,0.975,0.9375,0.9733333333333334,1.0,0.974025974025974,0.96875,0.8,0.9375,0.9523809523809524,0.96875,0.9864864864864864,20,12.0,36.0,0.5555555555555556,0.0,18,4.0,66.0,3.6666666666666665,5.6,72.5,4.027777777777778,9.4,1.5,-2.8,-2.4,-0.4,0.045463730046474,0.545,0.494,0.078,-0.3,0.7,L (-3),L (-3)
8.0,8.0,2022-11-05,24-061,SAC,ORL,0,12.716666666666669,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,-3.2,+15,1.0,0.0,0.0,25,2,64,71,77,80,78,15,73,35,75,31,4,15,40,62,73,26.0,2.0,66.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9615384615384616,1.0,0.9696969696969696,0.9726027397260274,0.0,0.9746835443037974,0.975609756097561,0.975,0.9375,0.9733333333333334,1.0,0.974025974025974,0.96875,0.8,0.9375,0.9523809523809524,0.96875,0.9864864864864864,20,12.0,36.0,0.5555555555555556,0.0,18,-2.0,68.0,3.7777777777777777,-3.2,92.3,5.127777777777777,9.4,1.5,-2.8,-2.4,-0.4,0.045463730046474,0.545,0.494,0.078,-0.3,0.7,W (+3),W (+3)
9.0,9.0,2022-11-07,24-063,SAC,GSW,0,21.4,5.0,11.0,.455,2.0,5.0,.400,0,0.0,,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,12.0,7.2,-2,6.0,3.0,0.5,25,2,64,71,77,80,78,15,73,35,75,31,4,15,40,62,73,26.0,2.0,66.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9615384615384616,1.0,0.9696969696969696,0.9726027397260274,0.0,0.9746835443037974,0.975609756097561,0.975,0.9375,0.9733333333333334,1.0,0.974025974025974,0.96875,0.8,0.9375,0.9523809523809524,0.96875,0.9864864864864864,20,12.0,36.0,0.5555555555555556,0.0,18,3.0,56.0,3.111111111111111,7.199999999999999,69.59999999999998,3.866666666666666,9.4,1.5,-2.8,-2.4,-0.4,0.045463730046474,0.545,0.494,0.078,-0.3,0.7,L (-3),L (-3)
10.0,10.0,2022-11-09,24-065,SAC,CLE,0,19.7,3.0,6.0,.500,1.0,4.0,.250,0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,7.0,5.0,-2,2.0,2.0,1.0,25,2,64,71,77,80,78,15,73,35,75,31,4,15,40,62,73,26.0,2.0,66.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9615384615384616,1.0,0.9696969696969696,0.9726027397260274,0.0,0.9746835443037974,0.975609756097561,0.975,0.9375,0.9733333333333334,1.0,0.974025974025974,0.96875,0.8,0.9375,0.9523809523809524,0.96875,0.9864864864864864,20,12.0,36.0,0.5555555555555556,0.0,18,4.0,73.0,4.055555555555555,5.0,97.6,5.422222222222222,9.4,1.5,-2.8,-2.4,-0.4,0.045463730046474,0.545,0.494,0.078,-0.3,0.7,W (+7),W (+7)
