Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Len,Shared Games with Chima Moneke,Shared Games with Chimezie Metu,Shared Games with Davion Mitchell,Shared Games with De'Aaron Fox,Shared Games with Domantas Sabonis,Shared Games with Harrison Barnes,Shared Games with Keegan Murray,Shared Games with Keon Ellis,Shared Games with Kevin Huerter,Shared Games with Malik Monk,Shared Games with Matthew Dellavedova,Shared Games with Neemias Queta,Shared Games with PJ Dozier,Shared Games with Richaun Holmes,Shared Games with Terence Davis,Shared Games with Trey Lyles,Alex Len,Chima Moneke,Chimezie Metu,Davion Mitchell,De'Aaron Fox,Deonte Burton,Domantas Sabonis,Harrison Barnes,Keegan Murray,Keon Ellis,Kevin Huerter,Malik Monk,Matthew Dellavedova,Neemias Queta,PJ Dozier,Richaun Holmes,Terence Davis,Trey Lyles,co_inf with Alex Len,co_inf with Chima Moneke,co_inf with Chimezie Metu,co_inf with Davion Mitchell,co_inf with De'Aaron Fox,co_inf with Deonte Burton,co_inf with Domantas Sabonis,co_inf with Harrison Barnes,co_inf with Keegan Murray,co_inf with Keon Ellis,co_inf with Kevin Huerter,co_inf with Malik Monk,co_inf with Matthew Dellavedova,co_inf with Neemias Queta,co_inf with PJ Dozier,co_inf with Richaun Holmes,co_inf with Terence Davis,co_inf with Trey Lyles,JD Davison,Kessler Edwards,co_inf with Kessler Edwards,co_inf with JD Davison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,23-174,SAC,POR,1,15.95,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,-0.6,-4,0.0,0.0,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,2.0,73.0,4.294117647058823,-0.6000000000000003,75.99999999999999,4.470588235294117,6.2,0.3,-3.2,-4.3,1.1,0.0046474035158617,0.554,0.553,0.211,-0.1,0.1,L (-7),L (-7)
2.0,2.0,2022-10-22,23-177,SAC,LAC,1,18.33333333333333,1.0,3.0,.333,1.0,2.0,.500,0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,2.9,+2,1.0,0.0,0.0,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,4.0,58.0,3.411764705882353,2.9,76.10000000000001,4.476470588235294,6.2,0.3,-3.2,-4.3,1.1,0.0046474035158617,0.554,0.553,0.211,-0.1,0.1,L (-2),L (-2)
3.0,3.0,2022-10-23,23-178,SAC,GSW,1,3.5666666666666664,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10,0.0,0.0,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,0.0,78.0,4.588235294117647,0.0,89.8,5.282352941176471,6.2,0.3,-3.2,-4.3,1.1,0.0046474035158617,0.554,0.553,0.211,-0.1,0.1,L (-5),L (-5)
4.0,4.0,2022-10-27,23-182,SAC,MEM,0,0.5666666666666667,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,0.0,66.0,3.882352941176471,0.0,79.69999999999999,4.688235294117646,6.2,0.3,-3.2,-4.3,1.1,0.0046474035158617,0.554,0.553,0.211,-0.1,0.1,L (-15),L (-15)
5.0,5.0,2022-10-29,23-184,SAC,MIA,0,0.05,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,0.0,70.0,4.117647058823529,0.0,78.79999999999997,4.635294117647057,6.2,0.3,-3.2,-4.3,1.1,0.0046474035158617,0.554,0.553,0.211,-0.1,0.1,W (+6),W (+6)
6.0,6.0,2022-10-31,23-186,SAC,CHO,0,0.0666666666666666,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,0.0,63.0,3.7058823529411766,0.0,78.1,4.594117647058823,6.2,0.3,-3.2,-4.3,1.1,0.0046474035158617,0.554,0.553,0.211,-0.1,0.1,W (+7),W (+7)
7.0,,2022-11-02,23-188,SAC,MIA,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,,70.0,4.117647058823529,0.0,78.1,4.594117647058823,6.2,0.3,-3.2,-4.3,1.1,0.0046474035158617,0.554,0.553,0.211,-0.1,0.1,L (-3),L (-3)
8.0,,2022-11-05,23-191,SAC,ORL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,,66.0,3.882352941176471,0.0,89.10000000000001,5.241176470588236,6.2,0.3,-3.2,-4.3,1.1,0.0046474035158617,0.554,0.553,0.211,-0.1,0.1,W (+3),W (+3)
9.0,,2022-11-07,23-193,SAC,GSW,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,,59.0,3.4705882352941178,0.0,76.79999999999997,4.517647058823528,6.2,0.3,-3.2,-4.3,1.1,0.0046474035158617,0.554,0.553,0.211,-0.1,0.1,L (-3),L (-3)
10.0,,2022-11-09,23-195,SAC,CLE,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,,77.0,4.529411764705882,0.0,102.6,6.035294117647059,6.2,0.3,-3.2,-4.3,1.1,0.0046474035158617,0.554,0.553,0.211,-0.1,0.1,W (+7),W (+7)
