Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Admiral Schofield,Shared Games with Bol Bol,Shared Games with Caleb Houstan,Shared Games with Cole Anthony,Shared Games with Franz Wagner,Shared Games with Gary Harris,Shared Games with Jalen Suggs,Shared Games with Kevon Harris,Shared Games with Markelle Fultz,Shared Games with Mo Bamba,Shared Games with Moritz Wagner,Shared Games with Paolo Banchero,Shared Games with Wendell Carter Jr.,Admiral Schofield,Bol Bol,Caleb Houstan,Chuma Okeke,Cole Anthony,Franz Wagner,Gary Harris,Jalen Suggs,Jay Scrubb,Kevon Harris,Markelle Fultz,Michael Carter-Williams,Mo Bamba,Moritz Wagner,Paolo Banchero,R.J. Hampton,Terrence Ross,Wendell Carter Jr.,co_inf with Admiral Schofield,co_inf with Bol Bol,co_inf with Caleb Houstan,co_inf with Chuma Okeke,co_inf with Cole Anthony,co_inf with Franz Wagner,co_inf with Gary Harris,co_inf with Jalen Suggs,co_inf with Jay Scrubb,co_inf with Kevon Harris,co_inf with Markelle Fultz,co_inf with Michael Carter-Williams,co_inf with Mo Bamba,co_inf with Moritz Wagner,co_inf with Paolo Banchero,co_inf with R.J. Hampton,co_inf with Terrence Ross,co_inf with Wendell Carter Jr.,Shared Games with Goga Bitadze,Derrick White,Goga Bitadze,co_inf with Goga Bitadze,co_inf with Derrick White,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,,2022-10-19,25-016,ORL,DET,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,63.0,4.5,0.0,58.29999999999998,4.164285714285713,0.0060201401050788,L (-4),L (-4)
2.0,,2022-10-21,25-018,ORL,ATL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,45.0,3.2142857142857144,0.0,48.19999999999999,3.442857142857142,0.0060201401050788,L (-10),L (-10)
3.0,,2022-10-22,25-019,ORL,BOS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,94.0,6.714285714285714,0.0,71.89999999999999,5.135714285714285,0.0060201401050788,L (-6),L (-6)
4.0,,2022-10-24,25-021,ORL,NYK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,44.0,3.142857142857143,0.0,62.69999999999999,4.478571428571428,0.0060201401050788,L (-13),L (-13)
5.0,,2022-10-26,25-023,ORL,CLE,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,47.0,3.357142857142857,0.0,47.7,3.407142857142857,0.0060201401050788,L (-11),L (-11)
6.0,,2022-10-28,25-025,ORL,CHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,71.0,5.071428571428571,0.0,53.99999999999999,3.8571428571428568,0.0060201401050788,W (+20),W (+20)
7.0,,2022-10-30,25-027,ORL,DAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,47.0,3.357142857142857,0.0,42.4,3.0285714285714285,0.0060201401050788,L (-9),L (-9)
8.0,,2022-11-01,25-029,ORL,OKC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,68.0,4.857142857142857,0.0,63.49999999999999,4.535714285714286,0.0060201401050788,L (-8),L (-8)
9.0,,2022-11-03,25-031,ORL,GSW,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,66.0,4.714285714285714,0.0,66.39999999999999,4.742857142857142,0.0060201401050788,W (+1),W (+1)
10.0,,2022-11-05,25-033,ORL,SAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,86.0,6.142857142857143,0.0,85.2,6.085714285714286,0.0060201401050788,L (-3),L (-3)
