Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Admiral Schofield,Shared Games with Bol Bol,Shared Games with Caleb Houstan,Shared Games with Chuma Okeke,Shared Games with Cole Anthony,Shared Games with Franz Wagner,Shared Games with Gary Harris,Shared Games with Jalen Suggs,Shared Games with Jonathan Isaac,Shared Games with Markelle Fultz,Shared Games with Michael Carter-Williams,Shared Games with Mo Bamba,Shared Games with Moritz Wagner,Shared Games with Paolo Banchero,Shared Games with R.J. Hampton,Shared Games with Terrence Ross,Shared Games with Wendell Carter Jr.,Admiral Schofield,Bol Bol,Caleb Houstan,Chuma Okeke,Cole Anthony,Franz Wagner,Gary Harris,Jalen Suggs,Jay Scrubb,Jonathan Isaac,Markelle Fultz,Michael Carter-Williams,Mo Bamba,Moritz Wagner,Paolo Banchero,R.J. Hampton,Terrence Ross,Wendell Carter Jr.,co_inf with Admiral Schofield,co_inf with Bol Bol,co_inf with Caleb Houstan,co_inf with Chuma Okeke,co_inf with Cole Anthony,co_inf with Franz Wagner,co_inf with Gary Harris,co_inf with Jalen Suggs,co_inf with Jay Scrubb,co_inf with Jonathan Isaac,co_inf with Markelle Fultz,co_inf with Michael Carter-Williams,co_inf with Mo Bamba,co_inf with Moritz Wagner,co_inf with Paolo Banchero,co_inf with R.J. Hampton,co_inf with Terrence Ross,co_inf with Wendell Carter Jr.,Shared Games with Goga Bitadze,Derrick White,Goga Bitadze,co_inf with Goga Bitadze,co_inf with Derrick White,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,,2022-10-19,25-117,ORL,DET,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,21,33,22,16,20,33,8,14,1,19,2,21,16,27,17,24,15,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.5675675675675675,0.4714285714285714,0.4313725490196078,0.5925925925925926,0.3333333333333333,0.4125,0.1666666666666666,0.2641509433962264,0.0,0.0909090909090909,0.3166666666666666,0.5,0.4285714285714285,0.2807017543859649,0.375,0.3617021276595745,0.3809523809523809,0.2631578947368421,5,82.0,38.0,0.131578947368421,0.0,18,,63.0,3.5,0.0,58.89999999999999,3.2722222222222217,0.0154334500875656,L (-4),L (-4)
2.0,1.0,2022-10-21,25-119,ORL,ATL,0,0.6166666666666667,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,+2,0.0,0.0,,21,33,22,16,20,33,8,14,1,19,2,21,16,27,17,24,15,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.5675675675675675,0.4714285714285714,0.4313725490196078,0.5925925925925926,0.3333333333333333,0.4125,0.1666666666666666,0.2641509433962264,0.0,0.0909090909090909,0.3166666666666666,0.5,0.4285714285714285,0.2807017543859649,0.375,0.3617021276595745,0.3809523809523809,0.2631578947368421,5,82.0,38.0,0.131578947368421,0.0,18,1.0,44.0,2.4444444444444446,0.3,50.19999999999999,2.7888888888888883,0.0154334500875656,L (-10),L (-10)
3.0,2.0,2022-10-22,25-120,ORL,BOS,0,18.75,1.0,4.0,.250,0.0,1.0,.000,1,2.0,.500,0.0,3.0,3.0,1.0,1.0,0.0,1.0,2.0,3.0,1.0,+2,3.0,1.0,0.3333333333333333,21,33,22,16,20,33,8,14,1,19,2,21,16,27,17,24,15,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.5675675675675675,0.4714285714285714,0.4313725490196078,0.5925925925925926,0.3333333333333333,0.4125,0.1666666666666666,0.2641509433962264,0.0,0.0909090909090909,0.3166666666666666,0.5,0.4285714285714285,0.2807017543859649,0.375,0.3617021276595745,0.3809523809523809,0.2631578947368421,5,82.0,38.0,0.131578947368421,0.0,18,1.0,93.0,5.166666666666667,0.6000000000000003,80.6,4.477777777777778,0.0154334500875656,L (-6),L (-6)
4.0,,2022-10-24,25-122,ORL,NYK,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,21,33,22,16,20,33,8,14,1,19,2,21,16,27,17,24,15,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.5675675675675675,0.4714285714285714,0.4313725490196078,0.5925925925925926,0.3333333333333333,0.4125,0.1666666666666666,0.2641509433962264,0.0,0.0909090909090909,0.3166666666666666,0.5,0.4285714285714285,0.2807017543859649,0.375,0.3617021276595745,0.3809523809523809,0.2631578947368421,5,82.0,38.0,0.131578947368421,0.0,18,,44.0,2.4444444444444446,0.0,59.8,3.322222222222222,0.0154334500875656,L (-13),L (-13)
5.0,3.0,2022-10-26,25-124,ORL,CLE,0,22.23333333333333,0.0,3.0,.000,0.0,1.0,.000,0,0.0,,0.0,3.0,3.0,0.0,1.0,0.0,2.0,3.0,0.0,-3.4,-4,2.0,0.0,0.0,21,33,22,16,20,33,8,14,1,19,2,21,16,27,17,24,15,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.5675675675675675,0.4714285714285714,0.4313725490196078,0.5925925925925926,0.3333333333333333,0.4125,0.1666666666666666,0.2641509433962264,0.0,0.0909090909090909,0.3166666666666666,0.5,0.4285714285714285,0.2807017543859649,0.375,0.3617021276595745,0.3809523809523809,0.2631578947368421,5,82.0,38.0,0.131578947368421,0.0,18,-1.0,48.0,2.6666666666666665,-3.4,51.1,2.838888888888889,0.0154334500875656,L (-11),L (-11)
6.0,4.0,2022-10-28,25-126,ORL,CHO,0,5.516666666666667,1.0,2.0,.500,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.4,-9,1.0,1.0,1.0,21,33,22,16,20,33,8,14,1,19,2,21,16,27,17,24,15,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.5675675675675675,0.4714285714285714,0.4313725490196078,0.5925925925925926,0.3333333333333333,0.4125,0.1666666666666666,0.2641509433962264,0.0,0.0909090909090909,0.3166666666666666,0.5,0.4285714285714285,0.2807017543859649,0.375,0.3617021276595745,0.3809523809523809,0.2631578947368421,5,82.0,38.0,0.131578947368421,0.0,18,1.0,70.0,3.888888888888889,1.4,61.1,3.3944444444444444,0.0154334500875656,W (+20),W (+20)
7.0,5.0,2022-10-30,25-128,ORL,DAL,0,17.066666666666666,3.0,4.0,.750,2.0,3.0,.667,4,5.0,.800,1.0,2.0,3.0,1.0,0.0,0.0,2.0,3.0,12.0,8.8,-9,1.0,1.0,1.0,21,33,22,16,20,33,8,14,1,19,2,21,16,27,17,24,15,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.5675675675675675,0.4714285714285714,0.4313725490196078,0.5925925925925926,0.3333333333333333,0.4125,0.1666666666666666,0.2641509433962264,0.0,0.0909090909090909,0.3166666666666666,0.5,0.4285714285714285,0.2807017543859649,0.375,0.3617021276595745,0.3809523809523809,0.2631578947368421,5,82.0,38.0,0.131578947368421,0.0,18,5.0,42.0,2.333333333333333,7.199999999999999,42.0,2.333333333333333,0.0154334500875656,L (-9),L (-9)
8.0,6.0,2022-11-01,25-130,ORL,OKC,0,6.233333333333333,0.0,2.0,.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.5,-13,2.0,0.0,0.0,21,33,22,16,20,33,8,14,1,19,2,21,16,27,17,24,15,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.5675675675675675,0.4714285714285714,0.4313725490196078,0.5925925925925926,0.3333333333333333,0.4125,0.1666666666666666,0.2641509433962264,0.0,0.0909090909090909,0.3166666666666666,0.5,0.4285714285714285,0.2807017543859649,0.375,0.3617021276595745,0.3809523809523809,0.2631578947368421,5,82.0,38.0,0.131578947368421,0.0,18,-1.0,69.0,3.8333333333333335,-1.5,70.29999999999998,3.9055555555555546,0.0154334500875656,L (-8),L (-8)
9.0,7.0,2022-11-03,25-132,ORL,GSW,0,20.83333333333333,4.0,7.0,.571,2.0,3.0,.667,2,3.0,.667,4.0,1.0,5.0,0.0,1.0,0.0,1.0,2.0,12.0,10.6,+12,4.0,2.0,0.5,21,33,22,16,20,33,8,14,1,19,2,21,16,27,17,24,15,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.5675675675675675,0.4714285714285714,0.4313725490196078,0.5925925925925926,0.3333333333333333,0.4125,0.1666666666666666,0.2641509433962264,0.0,0.0909090909090909,0.3166666666666666,0.5,0.4285714285714285,0.2807017543859649,0.375,0.3617021276595745,0.3809523809523809,0.2631578947368421,5,82.0,38.0,0.131578947368421,0.0,18,7.0,59.0,3.2777777777777777,9.8,73.1,4.061111111111111,0.0154334500875656,W (+1),W (+1)
10.0,8.0,2022-11-05,25-134,ORL,SAC,0,16.066666666666666,1.0,4.0,.250,0.0,2.0,.000,2,2.0,1.000,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,2.5,-13,2.0,1.0,0.5,21,33,22,16,20,33,8,14,1,19,2,21,16,27,17,24,15,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.5675675675675675,0.4714285714285714,0.4313725490196078,0.5925925925925926,0.3333333333333333,0.4125,0.1666666666666666,0.2641509433962264,0.0,0.0909090909090909,0.3166666666666666,0.5,0.4285714285714285,0.2807017543859649,0.375,0.3617021276595745,0.3809523809523809,0.2631578947368421,5,82.0,38.0,0.131578947368421,0.0,18,1.0,85.0,4.722222222222222,1.7000000000000006,88.69999999999999,4.927777777777777,0.0154334500875656,L (-3),L (-3)
