Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Admiral Schofield,Shared Games with Bol Bol,Shared Games with Caleb Houstan,Shared Games with Chuma Okeke,Shared Games with Cole Anthony,Shared Games with Franz Wagner,Shared Games with Jalen Suggs,Shared Games with Jonathan Isaac,Shared Games with Kevon Harris,Shared Games with Markelle Fultz,Shared Games with Michael Carter-Williams,Shared Games with Mo Bamba,Shared Games with Moritz Wagner,Shared Games with Paolo Banchero,Shared Games with R.J. Hampton,Shared Games with Terrence Ross,Shared Games with Wendell Carter Jr.,Admiral Schofield,Bol Bol,Caleb Houstan,Chuma Okeke,Cole Anthony,Franz Wagner,Jalen Suggs,Jay Scrubb,Jonathan Isaac,Kevon Harris,Markelle Fultz,Michael Carter-Williams,Mo Bamba,Moritz Wagner,Paolo Banchero,R.J. Hampton,Terrence Ross,Wendell Carter Jr.,co_inf with Admiral Schofield,co_inf with Bol Bol,co_inf with Caleb Houstan,co_inf with Chuma Okeke,co_inf with Cole Anthony,co_inf with Franz Wagner,co_inf with Jalen Suggs,co_inf with Jay Scrubb,co_inf with Jonathan Isaac,co_inf with Kevon Harris,co_inf with Markelle Fultz,co_inf with Michael Carter-Williams,co_inf with Mo Bamba,co_inf with Moritz Wagner,co_inf with Paolo Banchero,co_inf with R.J. Hampton,co_inf with Terrence Ross,co_inf with Wendell Carter Jr.,Shared Games with Goga Bitadze,Derrick White,Goga Bitadze,co_inf with Goga Bitadze,co_inf with Derrick White,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,,2022-10-19,28-035,ORL,DET,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,36,28,7,41,47,36,10,8,43,3,17,42,46,7,15,41,37.0,70.0,51.0,27.0,60.0,80.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.5142857142857142,0.5490196078431373,0.2592592592592592,0.6833333333333333,0.5875,0.6792452830188679,0.0,0.9090909090909092,0.2352941176470588,0.7166666666666667,0.75,0.3469387755102041,0.7368421052631579,0.6388888888888888,0.1489361702127659,0.238095238095238,0.7192982456140351,13,82.0,38.0,0.3421052631578947,0.0,18,,63.0,3.5,0.0,58.89999999999999,3.2722222222222217,0.043454465849387,L (-4),L (-4)
2.0,,2022-10-21,28-037,ORL,ATL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,36,28,7,41,47,36,10,8,43,3,17,42,46,7,15,41,37.0,70.0,51.0,27.0,60.0,80.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.5142857142857142,0.5490196078431373,0.2592592592592592,0.6833333333333333,0.5875,0.6792452830188679,0.0,0.9090909090909092,0.2352941176470588,0.7166666666666667,0.75,0.3469387755102041,0.7368421052631579,0.6388888888888888,0.1489361702127659,0.238095238095238,0.7192982456140351,13,82.0,38.0,0.3421052631578947,0.0,18,,45.0,2.5,0.0,50.49999999999999,2.805555555555556,0.043454465849387,L (-10),L (-10)
3.0,,2022-10-22,28-038,ORL,BOS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,36,28,7,41,47,36,10,8,43,3,17,42,46,7,15,41,37.0,70.0,51.0,27.0,60.0,80.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.5142857142857142,0.5490196078431373,0.2592592592592592,0.6833333333333333,0.5875,0.6792452830188679,0.0,0.9090909090909092,0.2352941176470588,0.7166666666666667,0.75,0.3469387755102041,0.7368421052631579,0.6388888888888888,0.1489361702127659,0.238095238095238,0.7192982456140351,13,82.0,38.0,0.3421052631578947,0.0,18,,94.0,5.222222222222222,0.0,81.2,4.511111111111111,0.043454465849387,L (-6),L (-6)
4.0,,2022-10-24,28-040,ORL,NYK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,36,28,7,41,47,36,10,8,43,3,17,42,46,7,15,41,37.0,70.0,51.0,27.0,60.0,80.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.5142857142857142,0.5490196078431373,0.2592592592592592,0.6833333333333333,0.5875,0.6792452830188679,0.0,0.9090909090909092,0.2352941176470588,0.7166666666666667,0.75,0.3469387755102041,0.7368421052631579,0.6388888888888888,0.1489361702127659,0.238095238095238,0.7192982456140351,13,82.0,38.0,0.3421052631578947,0.0,18,,44.0,2.4444444444444446,0.0,59.8,3.322222222222222,0.043454465849387,L (-13),L (-13)
5.0,,2022-10-26,28-042,ORL,CLE,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,36,28,7,41,47,36,10,8,43,3,17,42,46,7,15,41,37.0,70.0,51.0,27.0,60.0,80.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.5142857142857142,0.5490196078431373,0.2592592592592592,0.6833333333333333,0.5875,0.6792452830188679,0.0,0.9090909090909092,0.2352941176470588,0.7166666666666667,0.75,0.3469387755102041,0.7368421052631579,0.6388888888888888,0.1489361702127659,0.238095238095238,0.7192982456140351,13,82.0,38.0,0.3421052631578947,0.0,18,,47.0,2.611111111111111,0.0,47.7,2.6500000000000004,0.043454465849387,L (-11),L (-11)
6.0,,2022-10-28,28-044,ORL,CHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,36,28,7,41,47,36,10,8,43,3,17,42,46,7,15,41,37.0,70.0,51.0,27.0,60.0,80.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.5142857142857142,0.5490196078431373,0.2592592592592592,0.6833333333333333,0.5875,0.6792452830188679,0.0,0.9090909090909092,0.2352941176470588,0.7166666666666667,0.75,0.3469387755102041,0.7368421052631579,0.6388888888888888,0.1489361702127659,0.238095238095238,0.7192982456140351,13,82.0,38.0,0.3421052631578947,0.0,18,,71.0,3.9444444444444446,0.0,62.49999999999999,3.472222222222222,0.043454465849387,W (+20),W (+20)
7.0,,2022-10-30,28-046,ORL,DAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,36,28,7,41,47,36,10,8,43,3,17,42,46,7,15,41,37.0,70.0,51.0,27.0,60.0,80.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.5142857142857142,0.5490196078431373,0.2592592592592592,0.6833333333333333,0.5875,0.6792452830188679,0.0,0.9090909090909092,0.2352941176470588,0.7166666666666667,0.75,0.3469387755102041,0.7368421052631579,0.6388888888888888,0.1489361702127659,0.238095238095238,0.7192982456140351,13,82.0,38.0,0.3421052631578947,0.0,18,,47.0,2.611111111111111,0.0,49.2,2.7333333333333334,0.043454465849387,L (-9),L (-9)
8.0,,2022-11-01,28-048,ORL,OKC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,36,28,7,41,47,36,10,8,43,3,17,42,46,7,15,41,37.0,70.0,51.0,27.0,60.0,80.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.5142857142857142,0.5490196078431373,0.2592592592592592,0.6833333333333333,0.5875,0.6792452830188679,0.0,0.9090909090909092,0.2352941176470588,0.7166666666666667,0.75,0.3469387755102041,0.7368421052631579,0.6388888888888888,0.1489361702127659,0.238095238095238,0.7192982456140351,13,82.0,38.0,0.3421052631578947,0.0,18,,68.0,3.7777777777777777,0.0,68.79999999999998,3.822222222222221,0.043454465849387,L (-8),L (-8)
9.0,,2022-11-03,28-050,ORL,GSW,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,36,28,7,41,47,36,10,8,43,3,17,42,46,7,15,41,37.0,70.0,51.0,27.0,60.0,80.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.5142857142857142,0.5490196078431373,0.2592592592592592,0.6833333333333333,0.5875,0.6792452830188679,0.0,0.9090909090909092,0.2352941176470588,0.7166666666666667,0.75,0.3469387755102041,0.7368421052631579,0.6388888888888888,0.1489361702127659,0.238095238095238,0.7192982456140351,13,82.0,38.0,0.3421052631578947,0.0,18,,66.0,3.6666666666666665,0.0,82.89999999999999,4.605555555555555,0.043454465849387,W (+1),W (+1)
10.0,,2022-11-05,28-052,ORL,SAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,36,28,7,41,47,36,10,8,43,3,17,42,46,7,15,41,37.0,70.0,51.0,27.0,60.0,80.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.5142857142857142,0.5490196078431373,0.2592592592592592,0.6833333333333333,0.5875,0.6792452830188679,0.0,0.9090909090909092,0.2352941176470588,0.7166666666666667,0.75,0.3469387755102041,0.7368421052631579,0.6388888888888888,0.1489361702127659,0.238095238095238,0.7192982456140351,13,82.0,38.0,0.3421052631578947,0.0,18,,86.0,4.777777777777778,0.0,90.4,5.022222222222222,0.043454465849387,L (-3),L (-3)
