Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Holiday,Shared Games with AJ Griffin,Shared Games with Bogdan Bogdanović,Shared Games with Clint Capela,Shared Games with De'Andre Hunter,Shared Games with Dejounte Murray,Shared Games with Donovan Williams,Shared Games with Frank Kaminsky,Shared Games with Jalen Johnson,Shared Games with Jarrett Culver,Shared Games with John Collins,Shared Games with Justin Holiday,Shared Games with Onyeka Okongwu,Shared Games with Trae Young,Shared Games with Trent Forrest,Shared Games with Vit Krejci,Aaron Holiday,AJ Griffin,Bogdan Bogdanović,Clint Capela,De'Andre Hunter,Dejounte Murray,Derrick Favors,Donovan Williams,Frank Kaminsky,Jalen Johnson,Jarrett Culver,John Collins,Justin Holiday,Onyeka Okongwu,Trae Young,Trent Forrest,Vit Krejci,co_inf with Aaron Holiday,co_inf with AJ Griffin,co_inf with Bogdan Bogdanović,co_inf with Clint Capela,co_inf with De'Andre Hunter,co_inf with Dejounte Murray,co_inf with Derrick Favors,co_inf with Donovan Williams,co_inf with Frank Kaminsky,co_inf with Jalen Johnson,co_inf with Jarrett Culver,co_inf with John Collins,co_inf with Justin Holiday,co_inf with Onyeka Okongwu,co_inf with Trae Young,co_inf with Trent Forrest,co_inf with Vit Krejci,Shared Games with Saddiq Bey,Shared Games with Bruno Fernando,Shared Games with Garrison Mathews,Bruno Fernando,Garrison Mathews,Saddiq Bey,co_inf with Saddiq Bey,co_inf with Bruno Fernando,co_inf with Garrison Mathews,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-19,23-226,ATL,,HOU,W (+10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,103.0,5.421052631578948,0.0,115.2,6.063157894736842
1,2,,2022-10-21,23-228,ATL,,ORL,W (+10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,88.0,4.631578947368421,0.0,96.10000000000002,5.0578947368421066
2,3,1,2022-10-23,23-230,ATL,,CHO,L (-17),0,1:40,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7,+1,1.0,1.0,1.0,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,1.0,69.0,3.631578947368421,1.7,89.00000000000001,4.68421052631579
3,4,,2022-10-26,23-233,ATL,@,DET,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,76.0,4.0,0.0,92.3,4.8578947368421055
4,5,2,2022-10-28,23-235,ATL,@,DET,W (+24),0,2:54,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.7,+2,1.0,1.0,1.0,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,2.0,108.0,5.684210526315789,2.7,130.7,6.878947368421052
5,6,,2022-10-29,23-236,ATL,@,MIL,L (-8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,56.0,2.9473684210526314,0.0,72.30000000000001,3.8052631578947373
6,7,3,2022-10-31,23-238,ATL,@,TOR,L (-30),0,6:20,1.0,2.0,.500,1.0,1.0,1.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,-6,1.0,0.0,0.0,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,1.0,56.0,2.9473684210526314,2.0,71.60000000000001,3.7684210526315796
7,8,4,2022-11-02,23-240,ATL,@,NYK,W (+13),0,1:07,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-2,0.0,0.0,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,0.0,82.0,4.315789473684211,-0.4,96.9,5.1000000000000005
8,9,,2022-11-05,23-243,ATL,,NOP,W (+3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,84.0,4.421052631578948,0.0,105.4,5.5473684210526315
9,10,5,2022-11-07,23-245,ATL,,MIL,W (+19),0,2:32,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,0.0,0.0,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,0.0,83.0,4.368421052631579,0.0,100.4,5.28421052631579
