Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Holiday,Shared Games with AJ Griffin,Shared Games with Bogdan Bogdanović,Shared Games with Clint Capela,Shared Games with De'Andre Hunter,Shared Games with Dejounte Murray,Shared Games with Frank Kaminsky,Shared Games with Jalen Johnson,Shared Games with Jarrett Culver,Shared Games with John Collins,Shared Games with Justin Holiday,Shared Games with Onyeka Okongwu,Shared Games with Trae Young,Shared Games with Trent Forrest,Shared Games with Tyrese Martin,Shared Games with Vit Krejci,Aaron Holiday,AJ Griffin,Bogdan Bogdanović,Clint Capela,De'Andre Hunter,Dejounte Murray,Derrick Favors,Frank Kaminsky,Jalen Johnson,Jarrett Culver,John Collins,Justin Holiday,Onyeka Okongwu,Trae Young,Trent Forrest,Tyrese Martin,Vit Krejci,co_inf with Aaron Holiday,co_inf with AJ Griffin,co_inf with Bogdan Bogdanović,co_inf with Clint Capela,co_inf with De'Andre Hunter,co_inf with Dejounte Murray,co_inf with Derrick Favors,co_inf with Frank Kaminsky,co_inf with Jalen Johnson,co_inf with Jarrett Culver,co_inf with John Collins,co_inf with Justin Holiday,co_inf with Onyeka Okongwu,co_inf with Trae Young,co_inf with Trent Forrest,co_inf with Tyrese Martin,co_inf with Vit Krejci,Shared Games with Donovan Williams,Bruno Fernando,Garrison Mathews,Saddiq Bey,co_inf with Bruno Fernando,co_inf with Garrison Mathews,co_inf with Saddiq Bey,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2023-01-28,21-144,ATL,,LAC,L (-7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,2,2,2,1,2,1,2,2,1,1,1,2,2,1,2,2,63.0,72.0,54.0,65.0,67.0,74.0,,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.0317460317460317,0.0277777777777777,0.037037037037037,0.0153846153846153,0.0298507462686567,0.0135135135135135,,0.0555555555555555,0.0285714285714285,0.1,0.0140845070422535,0.0217391304347826,0.025,0.0273972602739726,0.0434782608695652,0.125,0.0689655172413793,2,39.0,54.0,77.0,0.0,0.0,0.0,17,,103.0,6.0588235294117645,0.0,115.2,6.776470588235294
1,2,,2023-01-30,21-146,ATL,@,POR,L (-4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,2,1,2,1,2,2,1,1,1,2,2,1,2,2,63.0,72.0,54.0,65.0,67.0,74.0,,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.0317460317460317,0.0277777777777777,0.037037037037037,0.0153846153846153,0.0298507462686567,0.0135135135135135,,0.0555555555555555,0.0285714285714285,0.1,0.0140845070422535,0.0217391304347826,0.025,0.0273972602739726,0.0434782608695652,0.125,0.0689655172413793,2,39.0,54.0,77.0,0.0,0.0,0.0,17,,88.0,5.176470588235294,0.0,96.10000000000002,5.6529411764705895
2,3,,2023-02-01,21-148,ATL,@,PHO,W (+32),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,2,1,2,1,2,2,1,1,1,2,2,1,2,2,63.0,72.0,54.0,65.0,67.0,74.0,,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.0317460317460317,0.0277777777777777,0.037037037037037,0.0153846153846153,0.0298507462686567,0.0135135135135135,,0.0555555555555555,0.0285714285714285,0.1,0.0140845070422535,0.0217391304347826,0.025,0.0273972602739726,0.0434782608695652,0.125,0.0689655172413793,2,39.0,54.0,77.0,0.0,0.0,0.0,17,,70.0,4.117647058823529,0.0,90.70000000000002,5.335294117647059
3,4,,2023-02-03,21-150,ATL,@,UTA,W (+7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,2,1,2,1,2,2,1,1,1,2,2,1,2,2,63.0,72.0,54.0,65.0,67.0,74.0,,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.0317460317460317,0.0277777777777777,0.037037037037037,0.0153846153846153,0.0298507462686567,0.0135135135135135,,0.0555555555555555,0.0285714285714285,0.1,0.0140845070422535,0.0217391304347826,0.025,0.0273972602739726,0.0434782608695652,0.125,0.0689655172413793,2,39.0,54.0,77.0,0.0,0.0,0.0,17,,76.0,4.470588235294118,0.0,92.3,5.429411764705883
4,5,,2023-02-04,21-151,ATL,@,DEN,L (-20),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,2,1,2,1,2,2,1,1,1,2,2,1,2,2,63.0,72.0,54.0,65.0,67.0,74.0,,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.0317460317460317,0.0277777777777777,0.037037037037037,0.0153846153846153,0.0298507462686567,0.0135135135135135,,0.0555555555555555,0.0285714285714285,0.1,0.0140845070422535,0.0217391304347826,0.025,0.0273972602739726,0.0434782608695652,0.125,0.0689655172413793,2,39.0,54.0,77.0,0.0,0.0,0.0,17,,110.0,6.470588235294118,0.0,133.4,7.847058823529412
5,6,,2023-02-07,21-154,ATL,@,NOP,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,2,1,2,1,2,2,1,1,1,2,2,1,2,2,63.0,72.0,54.0,65.0,67.0,74.0,,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.0317460317460317,0.0277777777777777,0.037037037037037,0.0153846153846153,0.0298507462686567,0.0135135135135135,,0.0555555555555555,0.0285714285714285,0.1,0.0140845070422535,0.0217391304347826,0.025,0.0273972602739726,0.0434782608695652,0.125,0.0689655172413793,2,39.0,54.0,77.0,0.0,0.0,0.0,17,,56.0,3.294117647058824,0.0,72.30000000000001,4.252941176470589
6,7,,2023-02-09,21-156,ATL,,PHO,W (+9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,2,1,2,1,2,2,1,1,1,2,2,1,2,2,63.0,72.0,54.0,65.0,67.0,74.0,,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.0317460317460317,0.0277777777777777,0.037037037037037,0.0153846153846153,0.0298507462686567,0.0135135135135135,,0.0555555555555555,0.0285714285714285,0.1,0.0140845070422535,0.0217391304347826,0.025,0.0273972602739726,0.0434782608695652,0.125,0.0689655172413793,2,39.0,54.0,77.0,0.0,0.0,0.0,17,,57.0,3.3529411764705883,0.0,73.60000000000001,4.329411764705883
7,8,,2023-02-11,21-158,ATL,,SAS,W (+19),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,2,1,2,1,2,2,1,1,1,2,2,1,2,2,63.0,72.0,54.0,65.0,67.0,74.0,,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.0317460317460317,0.0277777777777777,0.037037037037037,0.0153846153846153,0.0298507462686567,0.0135135135135135,,0.0555555555555555,0.0285714285714285,0.1,0.0140845070422535,0.0217391304347826,0.025,0.0273972602739726,0.0434782608695652,0.125,0.0689655172413793,2,39.0,54.0,77.0,0.0,0.0,0.0,17,,82.0,4.823529411764706,0.0,96.5,5.676470588235294
8,9,,2023-02-13,21-160,ATL,@,CHO,L (-6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,2,1,2,1,2,2,1,1,1,2,2,1,2,2,63.0,72.0,54.0,65.0,67.0,74.0,,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.0317460317460317,0.0277777777777777,0.037037037037037,0.0153846153846153,0.0298507462686567,0.0135135135135135,,0.0555555555555555,0.0285714285714285,0.1,0.0140845070422535,0.0217391304347826,0.025,0.0273972602739726,0.0434782608695652,0.125,0.0689655172413793,2,39.0,54.0,77.0,0.0,0.0,0.0,17,,84.0,4.941176470588236,0.0,105.4,6.2
9,10,,2023-02-15,21-162,ATL,,NYK,L (-21),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,2,1,2,1,2,2,1,1,1,2,2,1,2,2,63.0,72.0,54.0,65.0,67.0,74.0,,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.0317460317460317,0.0277777777777777,0.037037037037037,0.0153846153846153,0.0298507462686567,0.0135135135135135,,0.0555555555555555,0.0285714285714285,0.1,0.0140845070422535,0.0217391304347826,0.025,0.0273972602739726,0.0434782608695652,0.125,0.0689655172413793,2,39.0,54.0,77.0,0.0,0.0,0.0,17,,83.0,4.882352941176471,0.0,100.4,5.905882352941177
