Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Admiral Schofield,Shared Games with Bol Bol,Shared Games with Caleb Houstan,Shared Games with Chuma Okeke,Shared Games with Franz Wagner,Shared Games with Gary Harris,Shared Games with Jalen Suggs,Shared Games with Kevon Harris,Shared Games with Mo Bamba,Shared Games with Moritz Wagner,Shared Games with Paolo Banchero,Shared Games with R.J. Hampton,Shared Games with Terrence Ross,Admiral Schofield,Bol Bol,Caleb Houstan,Chuma Okeke,Cole Anthony,Franz Wagner,Gary Harris,Jalen Suggs,Jay Scrubb,Jonathan Isaac,Kevon Harris,Markelle Fultz,Mo Bamba,Moritz Wagner,Paolo Banchero,R.J. Hampton,Terrence Ross,Wendell Carter Jr.,co_inf with Admiral Schofield,co_inf with Bol Bol,co_inf with Caleb Houstan,co_inf with Chuma Okeke,co_inf with Cole Anthony,co_inf with Franz Wagner,co_inf with Gary Harris,co_inf with Jalen Suggs,co_inf with Jay Scrubb,co_inf with Jonathan Isaac,co_inf with Kevon Harris,co_inf with Markelle Fultz,co_inf with Mo Bamba,co_inf with Moritz Wagner,co_inf with Paolo Banchero,co_inf with R.J. Hampton,co_inf with Terrence Ross,co_inf with Wendell Carter Jr.,Derrick White,Goga Bitadze,co_inf with Derrick White,co_inf with Goga Bitadze,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2023-02-27,31-140,ORL,@,NOP,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,3,4,4,1,4,3,2,2,3,3,3,4,2,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,49.0,57.0,72.0,47.0,63.0,57.0,0.081081081081081,0.0571428571428571,0.0784313725490196,0.037037037037037,0.0,0.05,0.0625,0.0377358490566037,0.0,0.0,0.0588235294117647,0.0,0.0612244897959183,0.0526315789473684,0.0416666666666666,0.0851063829787234,0.0317460317460317,0.0,82.0,38.0,0.0,0.0,13,,63.0,4.846153846153846,0.0,48.79999999999999,3.753846153846153
1,2,,2023-03-01,31-142,ORL,@,MIL,L (-22),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,3,4,4,1,4,3,2,2,3,3,3,4,2,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,49.0,57.0,72.0,47.0,63.0,57.0,0.081081081081081,0.0571428571428571,0.0784313725490196,0.037037037037037,0.0,0.05,0.0625,0.0377358490566037,0.0,0.0,0.0588235294117647,0.0,0.0612244897959183,0.0526315789473684,0.0416666666666666,0.0851063829787234,0.0317460317460317,0.0,82.0,38.0,0.0,0.0,13,,45.0,3.4615384615384617,0.0,25.7,1.9769230769230768
2,3,,2023-03-03,31-144,ORL,@,CHO,W (+11),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,3,4,4,1,4,3,2,2,3,3,3,4,2,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,49.0,57.0,72.0,47.0,63.0,57.0,0.081081081081081,0.0571428571428571,0.0784313725490196,0.037037037037037,0.0,0.05,0.0625,0.0377358490566037,0.0,0.0,0.0588235294117647,0.0,0.0612244897959183,0.0526315789473684,0.0416666666666666,0.0851063829787234,0.0317460317460317,0.0,82.0,38.0,0.0,0.0,13,,94.0,7.230769230769231,0.0,38.6,2.9692307692307693
3,4,,2023-03-05,31-146,ORL,,POR,L (-3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,3,4,4,1,4,3,2,2,3,3,3,4,2,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,49.0,57.0,72.0,47.0,63.0,57.0,0.081081081081081,0.0571428571428571,0.0784313725490196,0.037037037037037,0.0,0.05,0.0625,0.0377358490566037,0.0,0.0,0.0588235294117647,0.0,0.0612244897959183,0.0526315789473684,0.0416666666666666,0.0851063829787234,0.0317460317460317,0.0,82.0,38.0,0.0,0.0,13,,44.0,3.3846153846153846,0.0,37.79999999999999,2.907692307692307
4,5,,2023-03-07,31-148,ORL,,MIL,L (-11),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,3,4,4,1,4,3,2,2,3,3,3,4,2,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,49.0,57.0,72.0,47.0,63.0,57.0,0.081081081081081,0.0571428571428571,0.0784313725490196,0.037037037037037,0.0,0.05,0.0625,0.0377358490566037,0.0,0.0,0.0588235294117647,0.0,0.0612244897959183,0.0526315789473684,0.0416666666666666,0.0851063829787234,0.0317460317460317,0.0,82.0,38.0,0.0,0.0,13,,47.0,3.615384615384616,0.0,40.900000000000006,3.1461538461538465
5,6,,2023-03-09,31-150,ORL,,UTA,L (-7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,3,4,4,1,4,3,2,2,3,3,3,4,2,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,49.0,57.0,72.0,47.0,63.0,57.0,0.081081081081081,0.0571428571428571,0.0784313725490196,0.037037037037037,0.0,0.05,0.0625,0.0377358490566037,0.0,0.0,0.0588235294117647,0.0,0.0612244897959183,0.0526315789473684,0.0416666666666666,0.0851063829787234,0.0317460317460317,0.0,82.0,38.0,0.0,0.0,13,,71.0,5.461538461538462,0.0,49.39999999999999,3.7999999999999994
6,7,,2023-03-11,31-152,ORL,,MIA,W (+12),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,3,4,4,1,4,3,2,2,3,3,3,4,2,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,49.0,57.0,72.0,47.0,63.0,57.0,0.081081081081081,0.0571428571428571,0.0784313725490196,0.037037037037037,0.0,0.05,0.0625,0.0377358490566037,0.0,0.0,0.0588235294117647,0.0,0.0612244897959183,0.0526315789473684,0.0416666666666666,0.0851063829787234,0.0317460317460317,0.0,82.0,38.0,0.0,0.0,13,,47.0,3.615384615384616,0.0,32.2,2.476923076923077
7,8,,2023-03-14,31-155,ORL,@,SAS,L (-18),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,3,4,4,1,4,3,2,2,3,3,3,4,2,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,49.0,57.0,72.0,47.0,63.0,57.0,0.081081081081081,0.0571428571428571,0.0784313725490196,0.037037037037037,0.0,0.05,0.0625,0.0377358490566037,0.0,0.0,0.0588235294117647,0.0,0.0612244897959183,0.0526315789473684,0.0416666666666666,0.0851063829787234,0.0317460317460317,0.0,82.0,38.0,0.0,0.0,13,,68.0,5.230769230769231,0.0,38.39999999999998,2.9538461538461522
8,9,,2023-03-16,31-157,ORL,@,PHO,L (-3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,3,4,4,1,4,3,2,2,3,3,3,4,2,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,49.0,57.0,72.0,47.0,63.0,57.0,0.081081081081081,0.0571428571428571,0.0784313725490196,0.037037037037037,0.0,0.05,0.0625,0.0377358490566037,0.0,0.0,0.0588235294117647,0.0,0.0612244897959183,0.0526315789473684,0.0416666666666666,0.0851063829787234,0.0317460317460317,0.0,82.0,38.0,0.0,0.0,13,,66.0,5.076923076923077,0.0,72.6,5.584615384615384
9,10,,2023-03-18,31-159,ORL,@,LAC,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,3,4,4,1,4,3,2,2,3,3,3,4,2,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,49.0,57.0,72.0,47.0,63.0,57.0,0.081081081081081,0.0571428571428571,0.0784313725490196,0.037037037037037,0.0,0.05,0.0625,0.0377358490566037,0.0,0.0,0.0588235294117647,0.0,0.0612244897959183,0.0526315789473684,0.0416666666666666,0.0851063829787234,0.0317460317460317,0.0,82.0,38.0,0.0,0.0,13,,86.0,6.615384615384615,0.0,77.4,5.953846153846154
