Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bryce McGowens,Shared Games with Cody Martin,Shared Games with Dennis Smith Jr.,Shared Games with Gordon Hayward,Shared Games with Jalen McDaniels,Shared Games with James Bouknight,Shared Games with JT Thor,Shared Games with Kai Jones,Shared Games with Kelly Oubre Jr.,Shared Games with Kobi Simmons,Shared Games with LaMelo Ball,Shared Games with Mason Plumlee,Shared Games with Nick Richards,Shared Games with P.J. Washington,Shared Games with Terry Rozier,Shared Games with Théo Maledon,Bryce McGowens,Cody Martin,Dennis Smith Jr.,Gordon Hayward,Jalen McDaniels,James Bouknight,JT Thor,Kai Jones,Kelly Oubre Jr.,Kobi Simmons,LaMelo Ball,Mason Plumlee,Nick Richards,P.J. Washington,Terry Rozier,Théo Maledon,Xavier Sneed,co_inf with Bryce McGowens,co_inf with Cody Martin,co_inf with Dennis Smith Jr.,co_inf with Gordon Hayward,co_inf with Jalen McDaniels,co_inf with James Bouknight,co_inf with JT Thor,co_inf with Kai Jones,co_inf with Kelly Oubre Jr.,co_inf with Kobi Simmons,co_inf with LaMelo Ball,co_inf with Mason Plumlee,co_inf with Nick Richards,co_inf with P.J. Washington,co_inf with Terry Rozier,co_inf with Théo Maledon,co_inf with Xavier Sneed,Shared Games with Reggie Jackson,Shared Games with Svi Mykhailiuk,De'Andre Hunter,Svi Mykhailiuk,co_inf with De'Andre Hunter,co_inf with Svi Mykhailiuk,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,20-307,CHO,@,SAS,W (+27),0,4:20,0.0,0.0,,0.0,0.0,,2,2.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,-0.9,-7,0.0,0.0,,27,6,35,31,25,12,42,19,13,3,26,25,26,36,34,14,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5869565217391305,0.8571428571428571,0.6481481481481481,0.62,0.3125,0.3529411764705882,0.6086956521739131,0.4130434782608695,0.2708333333333333,0.6,0.7222222222222222,0.3164556962025316,0.4,0.4931506849315068,0.5396825396825397,0.3181818181818182,0.0,19,11,67.0,32.0,0.0,0.34375,18,-1.0,82.0,4.555555555555555,-1.7000000000000004,103.0,5.722222222222222
1,2,,2022-10-21,20-309,CHO,,NOP,L (-12),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,27,6,35,31,25,12,42,19,13,3,26,25,26,36,34,14,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5869565217391305,0.8571428571428571,0.6481481481481481,0.62,0.3125,0.3529411764705882,0.6086956521739131,0.4130434782608695,0.2708333333333333,0.6,0.7222222222222222,0.3164556962025316,0.4,0.4931506849315068,0.5396825396825397,0.3181818181818182,0.0,19,11,67.0,32.0,0.0,0.34375,18,,52.0,2.888888888888889,0.0,70.7,3.927777777777778
2,3,2,2022-10-23,20-311,CHO,@,ATL,W (+17),0,1:26,1.0,2.0,.500,0.0,0.0,,0,0.0,,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.7,-1,2.0,1.0,0.5,27,6,35,31,25,12,42,19,13,3,26,25,26,36,34,14,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5869565217391305,0.8571428571428571,0.6481481481481481,0.62,0.3125,0.3529411764705882,0.6086956521739131,0.4130434782608695,0.2708333333333333,0.6,0.7222222222222222,0.3164556962025316,0.4,0.4931506849315068,0.5396825396825397,0.3181818181818182,0.0,19,11,67.0,32.0,0.0,0.34375,18,3.0,81.0,4.5,2.7,99.4,5.522222222222222
3,4,,2022-10-26,20-314,CHO,@,NYK,L (-3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,27,6,35,31,25,12,42,19,13,3,26,25,26,36,34,14,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5869565217391305,0.8571428571428571,0.6481481481481481,0.62,0.3125,0.3529411764705882,0.6086956521739131,0.4130434782608695,0.2708333333333333,0.6,0.7222222222222222,0.3164556962025316,0.4,0.4931506849315068,0.5396825396825397,0.3181818181818182,0.0,19,11,67.0,32.0,0.0,0.34375,18,,59.0,3.2777777777777777,0.0,83.19999999999999,4.622222222222222
4,5,3,2022-10-28,20-316,CHO,@,ORL,L (-20),0,7:06,3.0,5.0,.600,0.0,0.0,,1,1.0,1.000,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,6.7,+12,5.0,3.0,0.6,27,6,35,31,25,12,42,19,13,3,26,25,26,36,34,14,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5869565217391305,0.8571428571428571,0.6481481481481481,0.62,0.3125,0.3529411764705882,0.6086956521739131,0.4130434782608695,0.2708333333333333,0.6,0.7222222222222222,0.3164556962025316,0.4,0.4931506849315068,0.5396825396825397,0.3181818181818182,0.0,19,11,67.0,32.0,0.0,0.34375,18,5.0,38.0,2.111111111111111,6.299999999999999,51.3,2.8499999999999996
5,6,,2022-10-29,20-317,CHO,,GSW,W (+7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,27,6,35,31,25,12,42,19,13,3,26,25,26,36,34,14,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5869565217391305,0.8571428571428571,0.6481481481481481,0.62,0.3125,0.3529411764705882,0.6086956521739131,0.4130434782608695,0.2708333333333333,0.6,0.7222222222222222,0.3164556962025316,0.4,0.4931506849315068,0.5396825396825397,0.3181818181818182,0.0,19,11,67.0,32.0,0.0,0.34375,18,,49.0,2.7222222222222223,0.0,74.3,4.127777777777777
6,7,,2022-10-31,20-319,CHO,,SAC,L (-7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,27,6,35,31,25,12,42,19,13,3,26,25,26,36,34,14,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5869565217391305,0.8571428571428571,0.6481481481481481,0.62,0.3125,0.3529411764705882,0.6086956521739131,0.4130434782608695,0.2708333333333333,0.6,0.7222222222222222,0.3164556962025316,0.4,0.4931506849315068,0.5396825396825397,0.3181818181818182,0.0,19,11,67.0,32.0,0.0,0.34375,18,,59.0,3.2777777777777777,0.0,65.8,3.6555555555555554
7,8,,2022-11-02,20-321,CHO,@,CHI,L (-18),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,27,6,35,31,25,12,42,19,13,3,26,25,26,36,34,14,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5869565217391305,0.8571428571428571,0.6481481481481481,0.62,0.3125,0.3529411764705882,0.6086956521739131,0.4130434782608695,0.2708333333333333,0.6,0.7222222222222222,0.3164556962025316,0.4,0.4931506849315068,0.5396825396825397,0.3181818181818182,0.0,19,11,67.0,32.0,0.0,0.34375,18,,41.0,2.2777777777777777,0.0,57.10000000000001,3.1722222222222225
8,9,,2022-11-04,20-323,CHO,@,MEM,L (-31),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,27,6,35,31,25,12,42,19,13,3,26,25,26,36,34,14,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5869565217391305,0.8571428571428571,0.6481481481481481,0.62,0.3125,0.3529411764705882,0.6086956521739131,0.4130434782608695,0.2708333333333333,0.6,0.7222222222222222,0.3164556962025316,0.4,0.4931506849315068,0.5396825396825397,0.3181818181818182,0.0,19,11,67.0,32.0,0.0,0.34375,18,,42.0,2.333333333333333,0.0,62.6,3.477777777777778
9,10,,2022-11-05,20-324,CHO,,BRK,L (-4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,27,6,35,31,25,12,42,19,13,3,26,25,26,36,34,14,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5869565217391305,0.8571428571428571,0.6481481481481481,0.62,0.3125,0.3529411764705882,0.6086956521739131,0.4130434782608695,0.2708333333333333,0.6,0.7222222222222222,0.3164556962025316,0.4,0.4931506849315068,0.5396825396825397,0.3181818181818182,0.0,19,11,67.0,32.0,0.0,0.34375,18,,30.0,1.6666666666666667,0.0,44.000000000000014,2.444444444444445
