Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bryce McGowens,Shared Games with Cody Martin,Shared Games with Gordon Hayward,Shared Games with Jalen McDaniels,Shared Games with James Bouknight,Shared Games with JT Thor,Shared Games with Kai Jones,Shared Games with Kelly Oubre Jr.,Shared Games with Kobi Simmons,Shared Games with LaMelo Ball,Shared Games with Mark Williams,Shared Games with Mason Plumlee,Shared Games with Nick Richards,Shared Games with P.J. Washington,Shared Games with Terry Rozier,Shared Games with Théo Maledon,Bryce McGowens,Cody Martin,Gordon Hayward,Jalen McDaniels,James Bouknight,JT Thor,Kai Jones,Kelly Oubre Jr.,Kobi Simmons,LaMelo Ball,Mark Williams,Mason Plumlee,Nick Richards,P.J. Washington,Terry Rozier,Théo Maledon,Xavier Sneed,co_inf with Bryce McGowens,co_inf with Cody Martin,co_inf with Gordon Hayward,co_inf with Jalen McDaniels,co_inf with James Bouknight,co_inf with JT Thor,co_inf with Kai Jones,co_inf with Kelly Oubre Jr.,co_inf with Kobi Simmons,co_inf with LaMelo Ball,co_inf with Mark Williams,co_inf with Mason Plumlee,co_inf with Nick Richards,co_inf with P.J. Washington,co_inf with Terry Rozier,co_inf with Théo Maledon,co_inf with Xavier Sneed,Shared Games with Reggie Jackson,Shared Games with Svi Mykhailiuk,De'Andre Hunter,Svi Mykhailiuk,co_inf with De'Andre Hunter,co_inf with Svi Mykhailiuk,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
11.0,11.0,2022-11-07,24-347,CHO,WAS,1.0,34.2,1.0,11.0,0.091,0.0,2.0,0.0,1.0,2.0,0.5,2.0,3.0,5.0,10.0,0.0,3.0,1.0,2.0,3.0,4.9,-5.0,9.0,1.0,0.1111111111111111,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,7.0,41.0,2.2777777777777777,4.5,68.60000000000001,3.811111111111112,0.0520993624972521,L (-8),L (-8)
12.0,12.0,2022-11-09,24-349,CHO,POR,1.0,32.78333333333333,6.0,12.0,0.5,1.0,2.0,0.5,0.0,0.0,,1.0,1.0,2.0,4.0,4.0,0.0,1.0,5.0,13.0,11.8,1.0,10.0,5.0,0.5,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,10.0,14.0,0.7777777777777778,11.800000000000004,33.8,1.877777777777777,0.0520993624972521,L (-10),L (-10)
13.0,13.0,2022-11-10,24-350,CHO,MIA,1.0,33.55,6.0,9.0,0.667,0.0,3.0,0.0,0.0,0.0,,0.0,2.0,2.0,8.0,1.0,0.0,2.0,4.0,12.0,11.7,10.0,6.0,6.0,1.0,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,12.0,21.0,1.1666666666666667,11.7,36.0,2.0,0.0520993624972521,L (-5),L (-5)
14.0,,2022-11-12,24-352,CHO,MIA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,,52.0,2.888888888888889,0.0,76.89999999999999,4.272222222222222,0.0520993624972521,L (-17),L (-17)
15.0,,2022-11-14,24-354,CHO,ORL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,,42.0,2.333333333333333,0.0,65.59999999999998,3.644444444444444,0.0520993624972521,W (+7),W (+7)
16.0,,2022-11-16,24-356,CHO,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,,47.0,2.611111111111111,0.0,75.3,4.183333333333334,0.0520993624972521,L (-12),L (-12)
17.0,,2022-11-18,24-358,CHO,CLE,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,,63.0,3.5,0.0,81.5,4.527777777777778,0.0520993624972521,L (-10),L (-10)
18.0,14.0,2022-11-20,24-360,CHO,WAS,0.0,24.883333333333333,3.0,6.0,0.5,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,6.0,7.7,15.0,4.0,3.0,0.75,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,8.0,42.0,2.333333333333333,7.700000000000001,56.39999999999999,3.133333333333333,0.0520993624972521,L (-4),L (-4)
19.0,15.0,2022-11-23,24-363,CHO,PHI,0.0,11.266666666666667,1.0,3.0,0.333,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,-0.1,-8.0,3.0,1.0,0.3333333333333333,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,-1.0,34.0,1.8888888888888888,-0.0999999999999997,52.5,2.9166666666666665,0.0520993624972521,W (+6),W (+6)
20.0,,2022-11-25,25-000,CHO,MIN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,,52.0,2.888888888888889,0.0,76.4,4.2444444444444445,0.0520993624972521,W (+2),W (+2)
21.0,,2022-11-28,25-003,CHO,BOS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,,51.0,2.833333333333333,0.0,66.19999999999999,3.677777777777777,0.0520993624972521,,
22.0,,2022-12-02,25-007,CHO,WAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,,53.0,2.9444444444444446,0.0,72.2,4.011111111111111,0.0520993624972521,L (-35),L (-35)
23.0,,2022-12-03,25-008,CHO,MIL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,,16.0,0.8888888888888888,0.0,30.300000000000004,1.6833333333333336,0.0520993624972521,W (+1),W (+1)
24.0,,2022-12-05,25-010,CHO,LAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,,54.0,3.0,0.0,73.39999999999999,4.0777777777777775,0.0520993624972521,L (-9),L (-9)
25.0,,2022-12-07,25-012,CHO,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,,43.0,2.388888888888889,0.0,61.400000000000006,3.4111111111111114,0.0520993624972521,L (-2),L (-2)
26.0,,2022-12-09,25-014,CHO,NYK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,,36.0,2.0,0.0,50.7,2.816666666666667,0.0520993624972521,L (-6),L (-6)
27.0,,2022-12-11,25-016,CHO,PHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,,39.0,2.1666666666666665,0.0,64.39999999999999,3.577777777777777,0.0520993624972521,L (-19),L (-19)
28.0,,2022-12-14,25-019,CHO,DET,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,,34.0,1.8888888888888888,0.0,64.20000000000002,3.566666666666668,0.0520993624972521,L (-18),L (-18)
29.0,,2022-12-16,25-021,CHO,ATL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,,53.0,2.9444444444444446,0.0,74.1,4.116666666666666,0.0520993624972521,L (-7),L (-7)
30.0,,2022-12-18,25-023,CHO,DEN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,,50.0,2.7777777777777777,0.0,65.49999999999999,3.638888888888888,0.0520993624972521,L (-19),L (-19)
