Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Caruso,Shared Games with Andre Drummond,Shared Games with Ayo Dosunmu,Shared Games with Carlik Jones,Shared Games with Coby White,Shared Games with DeMar DeRozan,Shared Games with Derrick Jones Jr.,Shared Games with Goran Dragić,Shared Games with Javonte Green,Shared Games with Malcolm Hill,Shared Games with Marko Simonovic,Shared Games with Nikola Vučević,Shared Games with Patrick Williams,Shared Games with Tony Bradley,Shared Games with Zach LaVine,Alex Caruso,Andre Drummond,Ayo Dosunmu,Carlik Jones,Coby White,DeMar DeRozan,Derrick Jones Jr.,Goran Dragić,Javonte Green,Kostas Antetokounmpo,Lonzo Ball,Malcolm Hill,Marko Simonovic,Nikola Vučević,Patrick Williams,Tony Bradley,Zach LaVine,co_inf with Alex Caruso,co_inf with Andre Drummond,co_inf with Ayo Dosunmu,co_inf with Carlik Jones,co_inf with Coby White,co_inf with DeMar DeRozan,co_inf with Derrick Jones Jr.,co_inf with Goran Dragić,co_inf with Javonte Green,co_inf with Kostas Antetokounmpo,co_inf with Lonzo Ball,co_inf with Malcolm Hill,co_inf with Marko Simonovic,co_inf with Nikola Vučević,co_inf with Patrick Williams,co_inf with Tony Bradley,co_inf with Zach LaVine,Shared Games with Terry Taylor,Shared Games with Patrick Beverley,Clint Capela,Patrick Beverley,Robert Williams,Terry Taylor,co_inf with Terry Taylor,co_inf with Clint Capela,co_inf with Patrick Beverley,co_inf with Robert Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-19,20-099,CHI,@,MIA,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,28,28,37,1,33,32,31,19,14,5,7,38,38,10,36,67.0,67.0,80.0,7.0,74.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.417910447761194,0.417910447761194,0.4625,0.1428571428571428,0.4459459459459459,0.4324324324324324,0.484375,0.3275862068965517,0.4375,,,1.0,1.0,0.4634146341463415,0.4634146341463415,0.8333333333333334,0.4675324675324675,4,14,65.0,67.0,35.0,31.0,0.1290322580645161,0.0,0.208955223880597,0.0,17,,81.0,4.764705882352941,0.0,84.19999999999999,4.9529411764705875
1,2,,2022-10-21,20-101,CHI,@,WAS,L (-2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,28,28,37,1,33,32,31,19,14,5,7,38,38,10,36,67.0,67.0,80.0,7.0,74.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.417910447761194,0.417910447761194,0.4625,0.1428571428571428,0.4459459459459459,0.4324324324324324,0.484375,0.3275862068965517,0.4375,,,1.0,1.0,0.4634146341463415,0.4634146341463415,0.8333333333333334,0.4675324675324675,4,14,65.0,67.0,35.0,31.0,0.1290322580645161,0.0,0.208955223880597,0.0,17,,61.0,3.588235294117647,0.0,68.8,4.047058823529412
2,3,1,2022-10-22,20-102,CHI,,CLE,L (-32),0,4:07,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.7,-6,1.0,0.0,0.0,28,28,37,1,33,32,31,19,14,5,7,38,38,10,36,67.0,67.0,80.0,7.0,74.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.417910447761194,0.417910447761194,0.4625,0.1428571428571428,0.4459459459459459,0.4324324324324324,0.484375,0.3275862068965517,0.4375,,,1.0,1.0,0.4634146341463415,0.4634146341463415,0.8333333333333334,0.4675324675324675,4,14,65.0,67.0,35.0,31.0,0.1290322580645161,0.0,0.208955223880597,0.0,17,-2.0,74.0,4.352941176470588,-1.7,84.4,4.964705882352941
3,4,2,2022-10-24,20-104,CHI,,BOS,W (+18),0,2:06,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,+1,0.0,0.0,,28,28,37,1,33,32,31,19,14,5,7,38,38,10,36,67.0,67.0,80.0,7.0,74.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.417910447761194,0.417910447761194,0.4625,0.1428571428571428,0.4459459459459459,0.4324324324324324,0.484375,0.3275862068965517,0.4375,,,1.0,1.0,0.4634146341463415,0.4634146341463415,0.8333333333333334,0.4675324675324675,4,14,65.0,67.0,35.0,31.0,0.1290322580645161,0.0,0.208955223880597,0.0,17,-1.0,112.0,6.588235294117647,-0.7,106.0,6.235294117647059
4,5,3,2022-10-26,20-106,CHI,,IND,W (+15),0,0:59,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-0.7,+1,0.0,0.0,,28,28,37,1,33,32,31,19,14,5,7,38,38,10,36,67.0,67.0,80.0,7.0,74.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.417910447761194,0.417910447761194,0.4625,0.1428571428571428,0.4459459459459459,0.4324324324324324,0.484375,0.3275862068965517,0.4375,,,1.0,1.0,0.4634146341463415,0.4634146341463415,0.8333333333333334,0.4675324675324675,4,14,65.0,67.0,35.0,31.0,0.1290322580645161,0.0,0.208955223880597,0.0,17,0.0,99.0,5.823529411764706,-0.7000000000000001,90.29999999999998,5.311764705882352
5,6,,2022-10-28,20-108,CHI,@,SAS,L (-5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,28,28,37,1,33,32,31,19,14,5,7,38,38,10,36,67.0,67.0,80.0,7.0,74.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.417910447761194,0.417910447761194,0.4625,0.1428571428571428,0.4459459459459459,0.4324324324324324,0.484375,0.3275862068965517,0.4375,,,1.0,1.0,0.4634146341463415,0.4634146341463415,0.8333333333333334,0.4675324675324675,4,14,65.0,67.0,35.0,31.0,0.1290322580645161,0.0,0.208955223880597,0.0,17,,80.0,4.705882352941177,0.0,82.60000000000001,4.858823529411765
6,7,4,2022-10-29,20-109,CHI,,PHI,L (-5),0,2:55,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.7,-1,1.0,0.0,0.0,28,28,37,1,33,32,31,19,14,5,7,38,38,10,36,67.0,67.0,80.0,7.0,74.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.417910447761194,0.417910447761194,0.4625,0.1428571428571428,0.4459459459459459,0.4324324324324324,0.484375,0.3275862068965517,0.4375,,,1.0,1.0,0.4634146341463415,0.4634146341463415,0.8333333333333334,0.4675324675324675,4,14,65.0,67.0,35.0,31.0,0.1290322580645161,0.0,0.208955223880597,0.0,17,-1.0,67.0,3.941176470588236,-0.7,82.89999999999998,4.876470588235293
7,8,,2022-11-01,20-112,CHI,@,BRK,W (+9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,28,28,37,1,33,32,31,19,14,5,7,38,38,10,36,67.0,67.0,80.0,7.0,74.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.417910447761194,0.417910447761194,0.4625,0.1428571428571428,0.4459459459459459,0.4324324324324324,0.484375,0.3275862068965517,0.4375,,,1.0,1.0,0.4634146341463415,0.4634146341463415,0.8333333333333334,0.4675324675324675,4,14,65.0,67.0,35.0,31.0,0.1290322580645161,0.0,0.208955223880597,0.0,17,,77.0,4.529411764705882,0.0,84.9,4.9941176470588236
8,9,5,2022-11-02,20-113,CHI,,CHO,W (+18),0,1:51,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0,1.0,0.0,0.0,28,28,37,1,33,32,31,19,14,5,7,38,38,10,36,67.0,67.0,80.0,7.0,74.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.417910447761194,0.417910447761194,0.4625,0.1428571428571428,0.4459459459459459,0.4324324324324324,0.484375,0.3275862068965517,0.4375,,,1.0,1.0,0.4634146341463415,0.4634146341463415,0.8333333333333334,0.4675324675324675,4,14,65.0,67.0,35.0,31.0,0.1290322580645161,0.0,0.208955223880597,0.0,17,0.0,94.0,5.529411764705882,-0.3999999999999999,90.3,5.311764705882353
9,10,,2022-11-04,20-115,CHI,@,BOS,L (-4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,28,28,37,1,33,32,31,19,14,5,7,38,38,10,36,67.0,67.0,80.0,7.0,74.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.417910447761194,0.417910447761194,0.4625,0.1428571428571428,0.4459459459459459,0.4324324324324324,0.484375,0.3275862068965517,0.4375,,,1.0,1.0,0.4634146341463415,0.4634146341463415,0.8333333333333334,0.4675324675324675,4,14,65.0,67.0,35.0,31.0,0.1290322580645161,0.0,0.208955223880597,0.0,17,,75.0,4.411764705882353,0.0,81.99999999999999,4.823529411764705
