Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Gordon,Shared Games with Bones Hyland,Shared Games with Bruce Brown,Shared Games with Christian Braun,Shared Games with Davon Reed,Shared Games with DeAndre Jordan,Shared Games with Ish Smith,Shared Games with Jack White,Shared Games with Jamal Murray,Shared Games with Jeff Green,Shared Games with Kentavious Caldwell-Pope,Shared Games with Michael Porter Jr.,Shared Games with Nikola Jokić,Shared Games with Peyton Watson,Shared Games with Zeke Nnaji,Aaron Gordon,Bones Hyland,Bruce Brown,Christian Braun,Collin Gillespie,Davon Reed,DeAndre Jordan,Ish Smith,Jack White,Jamal Murray,Jeff Green,Kentavious Caldwell-Pope,Michael Porter Jr.,Nikola Jokić,Peyton Watson,Zeke Nnaji,co_inf with Aaron Gordon,co_inf with Bones Hyland,co_inf with Bruce Brown,co_inf with Christian Braun,co_inf with Collin Gillespie,co_inf with Davon Reed,co_inf with DeAndre Jordan,co_inf with Ish Smith,co_inf with Jack White,co_inf with Jamal Murray,co_inf with Jeff Green,co_inf with Kentavious Caldwell-Pope,co_inf with Michael Porter Jr.,co_inf with Nikola Jokić,co_inf with Peyton Watson,co_inf with Zeke Nnaji,Shared Games with Reggie Jackson,Shared Games with Thomas Bryant,Donovan Williams,Reggie Jackson,Thomas Bryant,co_inf with Reggie Jackson,co_inf with Donovan Williams,co_inf with Thomas Bryant,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,25-192,DEN,UTA,0,1.4666666666666668,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-4,1.0,0.0,0.0,46,29,58,58,29,29,38,16,44,37,54,41,48,22,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,53.0,0.6764705882352942,0.5178571428571429,0.725,0.7631578947368421,,0.6744186046511628,0.7435897435897436,0.8837209302325582,0.9411764705882352,0.676923076923077,0.6607142857142857,0.7105263157894737,0.6612903225806451,0.6956521739130435,0.9565217391304348,0.7735849056603774,10,13,2.0,68.0,59.0,0.1470588235294117,0.0,0.2203389830508474,17,-1.0,52.0,3.0588235294117645,-0.7,66.7,3.923529411764706,11.0,1.7,-1.8,-1.7,-0.1,0.0312796208530805,0.606,0.507,0.181,0.0,0.9,L (-21),L (-21)
2.0,,2022-10-21,25-194,DEN,GSW,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,46,29,58,58,29,29,38,16,44,37,54,41,48,22,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,53.0,0.6764705882352942,0.5178571428571429,0.725,0.7631578947368421,,0.6744186046511628,0.7435897435897436,0.8837209302325582,0.9411764705882352,0.676923076923077,0.6607142857142857,0.7105263157894737,0.6612903225806451,0.6956521739130435,0.9565217391304348,0.7735849056603774,10,13,2.0,68.0,59.0,0.1470588235294117,0.0,0.2203389830508474,17,,88.0,5.176470588235294,0.0,101.2,5.952941176470588,11.0,1.7,-1.8,-1.7,-0.1,0.0312796208530805,0.606,0.507,0.181,0.0,0.9,W (+5),W (+5)
3.0,,2022-10-22,25-195,DEN,OKC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,46,29,58,58,29,29,38,16,44,37,54,41,48,22,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,53.0,0.6764705882352942,0.5178571428571429,0.725,0.7631578947368421,,0.6744186046511628,0.7435897435897436,0.8837209302325582,0.9411764705882352,0.676923076923077,0.6607142857142857,0.7105263157894737,0.6612903225806451,0.6956521739130435,0.9565217391304348,0.7735849056603774,10,13,2.0,68.0,59.0,0.1470588235294117,0.0,0.2203389830508474,17,,81.0,4.764705882352941,0.0,92.39999999999998,5.435294117647057,11.0,1.7,-1.8,-1.7,-0.1,0.0312796208530805,0.606,0.507,0.181,0.0,0.9,W (+5),W (+5)
4.0,,2022-10-24,25-197,DEN,POR,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,46,29,58,58,29,29,38,16,44,37,54,41,48,22,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,53.0,0.6764705882352942,0.5178571428571429,0.725,0.7631578947368421,,0.6744186046511628,0.7435897435897436,0.8837209302325582,0.9411764705882352,0.676923076923077,0.6607142857142857,0.7105263157894737,0.6612903225806451,0.6956521739130435,0.9565217391304348,0.7735849056603774,10,13,2.0,68.0,59.0,0.1470588235294117,0.0,0.2203389830508474,17,,62.0,3.647058823529412,0.0,69.80000000000001,4.105882352941177,11.0,1.7,-1.8,-1.7,-0.1,0.0312796208530805,0.606,0.507,0.181,0.0,0.9,L (-25),L (-25)
5.0,2.0,2022-10-26,25-199,DEN,LAL,0,2.7666666666666666,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-7,0.0,0.0,,46,29,58,58,29,29,38,16,44,37,54,41,48,22,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,53.0,0.6764705882352942,0.5178571428571429,0.725,0.7631578947368421,,0.6744186046511628,0.7435897435897436,0.8837209302325582,0.9411764705882352,0.676923076923077,0.6607142857142857,0.7105263157894737,0.6612903225806451,0.6956521739130435,0.9565217391304348,0.7735849056603774,10,13,2.0,68.0,59.0,0.1470588235294117,0.0,0.2203389830508474,17,-1.0,105.0,6.176470588235294,-1.0,112.6,6.623529411764705,11.0,1.7,-1.8,-1.7,-0.1,0.0312796208530805,0.606,0.507,0.181,0.0,0.9,W (+11),W (+11)
6.0,3.0,2022-10-28,25-201,DEN,UTA,0,2.0,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,0.0,0.0,,46,29,58,58,29,29,38,16,44,37,54,41,48,22,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,53.0,0.6764705882352942,0.5178571428571429,0.725,0.7631578947368421,,0.6744186046511628,0.7435897435897436,0.8837209302325582,0.9411764705882352,0.676923076923077,0.6607142857142857,0.7105263157894737,0.6612903225806451,0.6956521739130435,0.9565217391304348,0.7735849056603774,10,13,2.0,68.0,59.0,0.1470588235294117,0.0,0.2203389830508474,17,0.0,63.0,3.7058823529411766,0.0,69.9,4.111764705882353,11.0,1.7,-1.8,-1.7,-0.1,0.0312796208530805,0.606,0.507,0.181,0.0,0.9,W (+16),W (+16)
7.0,,2022-10-30,25-203,DEN,LAL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,46,29,58,58,29,29,38,16,44,37,54,41,48,22,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,53.0,0.6764705882352942,0.5178571428571429,0.725,0.7631578947368421,,0.6744186046511628,0.7435897435897436,0.8837209302325582,0.9411764705882352,0.676923076923077,0.6607142857142857,0.7105263157894737,0.6612903225806451,0.6956521739130435,0.9565217391304348,0.7735849056603774,10,13,2.0,68.0,59.0,0.1470588235294117,0.0,0.2203389830508474,17,,70.0,4.117647058823529,0.0,84.1,4.947058823529411,11.0,1.7,-1.8,-1.7,-0.1,0.0312796208530805,0.606,0.507,0.181,0.0,0.9,L (-11),L (-11)
8.0,,2022-11-03,25-207,DEN,OKC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,46,29,58,58,29,29,38,16,44,37,54,41,48,22,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,53.0,0.6764705882352942,0.5178571428571429,0.725,0.7631578947368421,,0.6744186046511628,0.7435897435897436,0.8837209302325582,0.9411764705882352,0.676923076923077,0.6607142857142857,0.7105263157894737,0.6612903225806451,0.6956521739130435,0.9565217391304348,0.7735849056603774,10,13,2.0,68.0,59.0,0.1470588235294117,0.0,0.2203389830508474,17,,92.0,5.411764705882353,0.0,103.29999999999998,6.076470588235293,11.0,1.7,-1.8,-1.7,-0.1,0.0312796208530805,0.606,0.507,0.181,0.0,0.9,W (+12),W (+12)
9.0,4.0,2022-11-05,25-209,DEN,SAS,0,4.816666666666666,1.0,1.0,1.000,1.0,1.0,1.000,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.3,0,0.0,0.0,,46,29,58,58,29,29,38,16,44,37,54,41,48,22,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,53.0,0.6764705882352942,0.5178571428571429,0.725,0.7631578947368421,,0.6744186046511628,0.7435897435897436,0.8837209302325582,0.9411764705882352,0.676923076923077,0.6607142857142857,0.7105263157894737,0.6612903225806451,0.6956521739130435,0.9565217391304348,0.7735849056603774,10,13,2.0,68.0,59.0,0.1470588235294117,0.0,0.2203389830508474,17,4.0,91.0,5.352941176470588,3.3,98.0,5.764705882352941,11.0,1.7,-1.8,-1.7,-0.1,0.0312796208530805,0.606,0.507,0.181,0.0,0.9,W (+25),W (+25)
10.0,,2022-11-07,25-211,DEN,SAS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,46,29,58,58,29,29,38,16,44,37,54,41,48,22,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,53.0,0.6764705882352942,0.5178571428571429,0.725,0.7631578947368421,,0.6744186046511628,0.7435897435897436,0.8837209302325582,0.9411764705882352,0.676923076923077,0.6607142857142857,0.7105263157894737,0.6612903225806451,0.6956521739130435,0.9565217391304348,0.7735849056603774,10,13,2.0,68.0,59.0,0.1470588235294117,0.0,0.2203389830508474,17,,80.0,4.705882352941177,0.0,91.7,5.394117647058824,11.0,1.7,-1.8,-1.7,-0.1,0.0312796208530805,0.606,0.507,0.181,0.0,0.9,W (+6),W (+6)
