Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Gordon,Shared Games with Bones Hyland,Shared Games with Bruce Brown,Shared Games with Christian Braun,Shared Games with Davon Reed,Shared Games with DeAndre Jordan,Shared Games with Ish Smith,Shared Games with Jack White,Shared Games with Jeff Green,Shared Games with Kentavious Caldwell-Pope,Shared Games with Michael Porter Jr.,Shared Games with Nikola Jokić,Shared Games with Peyton Watson,Shared Games with Vlatko Čančar,Shared Games with Zeke Nnaji,Aaron Gordon,Bones Hyland,Bruce Brown,Christian Braun,Collin Gillespie,Davon Reed,DeAndre Jordan,Ish Smith,Jack White,Jeff Green,Kentavious Caldwell-Pope,Michael Porter Jr.,Nikola Jokić,Peyton Watson,Vlatko Čančar,Zeke Nnaji,co_inf with Aaron Gordon,co_inf with Bones Hyland,co_inf with Bruce Brown,co_inf with Christian Braun,co_inf with Collin Gillespie,co_inf with Davon Reed,co_inf with DeAndre Jordan,co_inf with Ish Smith,co_inf with Jack White,co_inf with Jeff Green,co_inf with Kentavious Caldwell-Pope,co_inf with Michael Porter Jr.,co_inf with Nikola Jokić,co_inf with Peyton Watson,co_inf with Vlatko Čančar,co_inf with Zeke Nnaji,Shared Games with Reggie Jackson,Shared Games with Thomas Bryant,Donovan Williams,Reggie Jackson,Thomas Bryant,co_inf with Reggie Jackson,co_inf with Donovan Williams,co_inf with Thomas Bryant,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,25-238,DEN,UTA,1.0,25.916666666666668,5.0,13.0,0.385,1.0,4.0,0.25,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,3.0,0.0,12.0,5.6,-19.0,9.0,4.0,0.4444444444444444,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,0.0,51.0,3.0,5.199999999999999,60.8,3.576470588235294,18.0,5.1,1.3,2.6,-1.3,0.1367035281727225,0.571,0.415,0.207,1.8,3.3,L (-21),L (-21)
2.0,,2022-10-21,25-240,DEN,GSW,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,,88.0,5.176470588235294,0.0,101.2,5.952941176470588,18.0,5.1,1.3,2.6,-1.3,0.1367035281727225,0.571,0.415,0.207,1.8,3.3,W (+5),W (+5)
3.0,2.0,2022-10-22,25-241,DEN,OKC,1.0,27.5,6.0,12.0,0.5,1.0,4.0,0.25,3.0,4.0,0.75,0.0,4.0,4.0,5.0,2.0,0.0,5.0,0.0,16.0,11.3,10.0,8.0,5.0,0.625,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,6.0,75.0,4.411764705882353,10.1,82.29999999999998,4.841176470588234,18.0,5.1,1.3,2.6,-1.3,0.1367035281727225,0.571,0.415,0.207,1.8,3.3,W (+5),W (+5)
4.0,3.0,2022-10-24,25-243,DEN,POR,1.0,26.616666666666667,3.0,12.0,0.25,2.0,4.0,0.5,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,8.0,0.5,-15.0,8.0,1.0,0.125,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,-3.0,65.0,3.823529411764706,0.4999999999999995,69.30000000000001,4.076470588235295,18.0,5.1,1.3,2.6,-1.3,0.1367035281727225,0.571,0.415,0.207,1.8,3.3,L (-25),L (-25)
5.0,4.0,2022-10-26,25-245,DEN,LAL,1.0,27.716666666666665,6.0,15.0,0.4,1.0,7.0,0.143,0.0,0.0,,0.0,4.0,4.0,6.0,2.0,0.0,4.0,1.0,13.0,7.9,17.0,8.0,5.0,0.625,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,6.0,98.0,5.764705882352941,7.9,103.7,6.1000000000000005,18.0,5.1,1.3,2.6,-1.3,0.1367035281727225,0.571,0.415,0.207,1.8,3.3,W (+11),W (+11)
6.0,5.0,2022-10-28,25-247,DEN,UTA,1.0,20.55,5.0,9.0,0.556,2.0,4.0,0.5,1.0,2.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,9.3,0.0,5.0,3.0,0.6,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,4.0,59.0,3.4705882352941178,8.899999999999999,60.99999999999999,3.5882352941176467,18.0,5.1,1.3,2.6,-1.3,0.1367035281727225,0.571,0.415,0.207,1.8,3.3,W (+16),W (+16)
7.0,6.0,2022-10-30,25-249,DEN,LAL,1.0,31.516666666666666,9.0,21.0,0.429,3.0,7.0,0.429,0.0,0.0,,0.0,4.0,4.0,5.0,0.0,0.0,1.0,1.0,21.0,13.2,13.0,14.0,6.0,0.4285714285714285,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,8.0,62.0,3.647058823529412,13.2,70.89999999999998,4.170588235294116,18.0,5.1,1.3,2.6,-1.3,0.1367035281727225,0.571,0.415,0.207,1.8,3.3,L (-11),L (-11)
8.0,7.0,2022-11-03,25-253,DEN,OKC,1.0,32.95,8.0,19.0,0.421,4.0,6.0,0.667,4.0,4.0,1.0,1.0,4.0,5.0,2.0,0.0,0.0,2.0,0.0,24.0,15.2,2.0,13.0,4.0,0.3076923076923077,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,6.0,86.0,5.0588235294117645,13.599999999999996,89.69999999999999,5.276470588235293,18.0,5.1,1.3,2.6,-1.3,0.1367035281727225,0.571,0.415,0.207,1.8,3.3,W (+12),W (+12)
9.0,8.0,2022-11-05,25-255,DEN,SAS,1.0,23.03333333333333,6.0,10.0,0.6,1.0,3.0,0.333,0.0,0.0,,1.0,0.0,1.0,9.0,0.0,0.0,1.0,0.0,13.0,14.4,17.0,7.0,5.0,0.7142857142857143,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,12.0,83.0,4.882352941176471,14.400000000000002,86.89999999999999,5.1117647058823525,18.0,5.1,1.3,2.6,-1.3,0.1367035281727225,0.571,0.415,0.207,1.8,3.3,W (+25),W (+25)
10.0,9.0,2022-11-07,25-257,DEN,SAS,1.0,31.633333333333333,9.0,17.0,0.529,0.0,3.0,0.0,1.0,3.0,0.333,1.0,4.0,5.0,6.0,1.0,0.0,4.0,1.0,19.0,12.6,10.0,14.0,9.0,0.6428571428571429,60,35,64,59,25,29,30,10,44,64,51,59,15,44,42,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.8823529411764706,0.625,0.8,0.7763157894736842,,0.5813953488372093,0.7435897435897436,0.6976744186046512,0.5882352941176471,0.7857142857142857,0.8421052631578947,0.8225806451612904,0.855072463768116,0.6521739130434783,0.7333333333333333,0.7924528301886793,12,14,2.0,68.0,59.0,0.1764705882352941,0.0,0.2372881355932203,17,7.0,73.0,4.294117647058823,12.200000000000005,79.5,4.676470588235294,18.0,5.1,1.3,2.6,-1.3,0.1367035281727225,0.571,0.415,0.207,1.8,3.3,W (+6),W (+6)
