Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,+/-,GmSc,Aaron Gordon,Bones Hyland,Bruce Brown,Christian Braun,Davon Reed,DeAndre Jordan,Ish Smith,Jack White,Jamal Murray,Jeff Green,Kentavious Caldwell-Pope,Michael Porter Jr.,Nikola Jokić,Peyton Watson,Vlatko Čančar,Zeke Nnaji,co_inf with Aaron Gordon,co_inf with Bones Hyland,co_inf with Bruce Brown,co_inf with Christian Braun,co_inf with Davon Reed,co_inf with DeAndre Jordan,co_inf with Ish Smith,co_inf with Jack White,co_inf with Jamal Murray,co_inf with Jeff Green,co_inf with Kentavious Caldwell-Pope,co_inf with Michael Porter Jr.,co_inf with Nikola Jokić,co_inf with Peyton Watson,co_inf with Vlatko Čančar,co_inf with Zeke Nnaji,Donovan Williams,Reggie Jackson,Thomas Bryant,co_inf with Donovan Williams,co_inf with Reggie Jackson,co_inf with Thomas Bryant,Total Shared Players,STL,BLK,TOV,CO_EFF,EFF,avg_EFF,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,,2022-10-19,23-116,DEN,UTA,,0.0,,,,,,,,,,,,,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,51.0,0.0,66.0,0.0,,L (-21),L (-21)
2.0,,2022-10-21,23-118,DEN,GSW,,0.0,,,,,,,,,,,,,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,88.0,0.0,101.2,0.0,,W (+5),W (+5)
3.0,,2022-10-22,23-119,DEN,OKC,,0.0,,,,,,,,,,,,,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,81.0,0.0,92.39999999999998,0.0,,W (+5),W (+5)
4.0,,2022-10-24,23-121,DEN,POR,,0.0,,,,,,,,,,,,,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,62.0,0.0,69.80000000000001,0.0,,L (-25),L (-25)
5.0,,2022-10-26,23-123,DEN,LAL,,0.0,,,,,,,,,,,,,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,104.0,0.0,111.6,0.0,,W (+11),W (+11)
6.0,,2022-10-28,23-125,DEN,UTA,,0.0,,,,,,,,,,,,,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,63.0,0.0,69.9,0.0,,W (+16),W (+16)
7.0,,2022-10-30,23-127,DEN,LAL,,0.0,,,,,,,,,,,,,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,70.0,0.0,84.1,0.0,,L (-11),L (-11)
8.0,,2022-11-03,23-131,DEN,OKC,,0.0,,,,,,,,,,,,,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,92.0,0.0,103.29999999999998,0.0,,W (+12),W (+12)
9.0,,2022-11-05,23-133,DEN,SAS,,0.0,,,,,,,,,,,,,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,95.0,0.0,101.3,0.0,,W (+25),W (+25)
10.0,,2022-11-07,23-135,DEN,SAS,,0.0,,,,,,,,,,,,,68.0,56.0,80.0,76.0,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,59.0,0.0,0.0,0.0,0,0,0,0,,80.0,0.0,91.7,0.0,,W (+6),W (+6)
