Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alondes Williams,Shared Games with Ben Simmons,Shared Games with Cam Thomas,Shared Games with David Duke Jr.,Shared Games with Day'Ron Sharpe,Shared Games with Joe Harris,Shared Games with Kessler Edwards,Shared Games with Kevin Durant,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with Nic Claxton,Shared Games with Patty Mills,Shared Games with RaiQuan Gray,Shared Games with Royce O'Neale,Shared Games with Seth Curry,Shared Games with T.J. Warren,Shared Games with Yuta Watanabe,Alondes Williams,Ben Simmons,Cam Thomas,David Duke Jr.,Day'Ron Sharpe,Joe Harris,Kessler Edwards,Kevin Durant,Kyrie Irving,Markieff Morris,Nic Claxton,Patty Mills,RaiQuan Gray,Royce O'Neale,Seth Curry,T.J. Warren,Yuta Watanabe,co_inf with Alondes Williams,co_inf with Ben Simmons,co_inf with Cam Thomas,co_inf with David Duke Jr.,co_inf with Day'Ron Sharpe,co_inf with Joe Harris,co_inf with Kessler Edwards,co_inf with Kevin Durant,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with Nic Claxton,co_inf with Patty Mills,co_inf with RaiQuan Gray,co_inf with Royce O'Neale,co_inf with Seth Curry,co_inf with T.J. Warren,co_inf with Yuta Watanabe,Shared Games with Dorian Finney-Smith,Shared Games with Spencer Dinwiddie,Shared Games with Nerlens Noel,Shared Games with Cameron Johnson,Shared Games with Dru Smith,Shared Games with Mikal Bridges,Bogdan Bogdanović,Cameron Johnson,Dorian Finney-Smith,Dru Smith,Mikal Bridges,Moses Brown,Nerlens Noel,Payton Pritchard,Spencer Dinwiddie,co_inf with Dorian Finney-Smith,co_inf with Spencer Dinwiddie,co_inf with Nerlens Noel,co_inf with Moses Brown,co_inf with Bogdan Bogdanović,co_inf with Cameron Johnson,co_inf with Dru Smith,co_inf with Mikal Bridges,co_inf with Payton Pritchard,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,26-292,BRK,NOP,0,18.9,2.0,5.0,.400,0.0,3.0,.000,2,2.0,1.000,0.0,1.0,1.0,3.0,0.0,0.0,3.0,1.0,6.0,2.3,+2,2.0,2.0,1.0,1,31,37,17,31,46,11,32,32,22,50,31,1,49,38,22,42,1.0,42.0,57.0,23.0,48.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.7380952380952381,0.6491228070175439,0.7391304347826086,0.6458333333333334,0.6216216216216216,0.3055555555555556,0.6808510638297872,0.5333333333333333,0.6285714285714286,0.6578947368421053,0.775,1.0,0.6447368421052632,0.6229508196721312,0.5238095238095238,0.7241379310344828,7,7,1,7,6,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.0886075949367088,0.0588235294117647,0.0,0.0,0.1666666666666666,0.4,0.0843373493975903,0.0,23,0.0,91.0,3.9565217391304346,1.4999999999999991,86.69999999999999,3.769565217391304,14.0,1.3,-2.6,-2.4,-0.2,0.0406670252824099,0.597,0.323,0.401,-0.1,0.6,L (-22),L (-22)
2.0,,2022-10-21,26-294,BRK,TOR,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,31,37,17,31,46,11,32,32,22,50,31,1,49,38,22,42,1.0,42.0,57.0,23.0,48.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.7380952380952381,0.6491228070175439,0.7391304347826086,0.6458333333333334,0.6216216216216216,0.3055555555555556,0.6808510638297872,0.5333333333333333,0.6285714285714286,0.6578947368421053,0.775,1.0,0.6447368421052632,0.6229508196721312,0.5238095238095238,0.7241379310344828,7,7,1,7,6,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.0886075949367088,0.0588235294117647,0.0,0.0,0.1666666666666666,0.4,0.0843373493975903,0.0,23,,76.0,3.3043478260869565,0.0,75.89999999999999,3.3,14.0,1.3,-2.6,-2.4,-0.2,0.0406670252824099,0.597,0.323,0.401,-0.1,0.6,W (+4),W (+4)
3.0,2.0,2022-10-24,26-297,BRK,MEM,0,2.95,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.3,-1,0.0,0.0,,1,31,37,17,31,46,11,32,32,22,50,31,1,49,38,22,42,1.0,42.0,57.0,23.0,48.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.7380952380952381,0.6491228070175439,0.7391304347826086,0.6458333333333334,0.6216216216216216,0.3055555555555556,0.6808510638297872,0.5333333333333333,0.6285714285714286,0.6578947368421053,0.775,1.0,0.6447368421052632,0.6229508196721312,0.5238095238095238,0.7241379310344828,7,7,1,7,6,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.0886075949367088,0.0588235294117647,0.0,0.0,0.1666666666666666,0.4,0.0843373493975903,0.0,23,0.0,73.0,3.1739130434782608,-0.3,73.49999999999999,3.195652173913043,14.0,1.3,-2.6,-2.4,-0.2,0.0406670252824099,0.597,0.323,0.401,-0.1,0.6,L (-10),L (-10)
4.0,3.0,2022-10-26,26-299,BRK,MIL,0,6.183333333333334,4.0,6.0,.667,0.0,1.0,.000,1,1.0,1.000,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,8.1,-7,5.0,4.0,0.8,1,31,37,17,31,46,11,32,32,22,50,31,1,49,38,22,42,1.0,42.0,57.0,23.0,48.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.7380952380952381,0.6491228070175439,0.7391304347826086,0.6458333333333334,0.6216216216216216,0.3055555555555556,0.6808510638297872,0.5333333333333333,0.6285714285714286,0.6578947368421053,0.775,1.0,0.6447368421052632,0.6229508196721312,0.5238095238095238,0.7241379310344828,7,7,1,7,6,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.0886075949367088,0.0588235294117647,0.0,0.0,0.1666666666666666,0.4,0.0843373493975903,0.0,23,4.0,60.0,2.608695652173913,7.699999999999999,56.99999999999999,2.4782608695652173,14.0,1.3,-2.6,-2.4,-0.2,0.0406670252824099,0.597,0.323,0.401,-0.1,0.6,L (-11),L (-11)
5.0,4.0,2022-10-27,26-300,BRK,DAL,0,15.266666666666667,0.0,4.0,.000,0.0,2.0,.000,6,6.0,1.000,0.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,6.0,3.7,-7,2.0,0.0,0.0,1,31,37,17,31,46,11,32,32,22,50,31,1,49,38,22,42,1.0,42.0,57.0,23.0,48.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.7380952380952381,0.6491228070175439,0.7391304347826086,0.6458333333333334,0.6216216216216216,0.3055555555555556,0.6808510638297872,0.5333333333333333,0.6285714285714286,0.6578947368421053,0.775,1.0,0.6447368421052632,0.6229508196721312,0.5238095238095238,0.7241379310344828,7,7,1,7,6,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.0886075949367088,0.0588235294117647,0.0,0.0,0.1666666666666666,0.4,0.0843373493975903,0.0,23,-1.0,83.0,3.608695652173913,1.3000000000000005,94.6,4.113043478260869,14.0,1.3,-2.6,-2.4,-0.2,0.0406670252824099,0.597,0.323,0.401,-0.1,0.6,L (-4),L (-4)
6.0,,2022-10-29,26-302,BRK,IND,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,31,37,17,31,46,11,32,32,22,50,31,1,49,38,22,42,1.0,42.0,57.0,23.0,48.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.7380952380952381,0.6491228070175439,0.7391304347826086,0.6458333333333334,0.6216216216216216,0.3055555555555556,0.6808510638297872,0.5333333333333333,0.6285714285714286,0.6578947368421053,0.775,1.0,0.6447368421052632,0.6229508196721312,0.5238095238095238,0.7241379310344828,7,7,1,7,6,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.0886075949367088,0.0588235294117647,0.0,0.0,0.1666666666666666,0.4,0.0843373493975903,0.0,23,,97.0,4.217391304347826,0.0,95.0,4.130434782608695,14.0,1.3,-2.6,-2.4,-0.2,0.0406670252824099,0.597,0.323,0.401,-0.1,0.6,L (-9),L (-9)
7.0,5.0,2022-10-31,26-304,BRK,IND,0,11.883333333333333,1.0,4.0,.250,0.0,1.0,.000,4,4.0,1.000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,4.3,-1,3.0,1.0,0.3333333333333333,1,31,37,17,31,46,11,32,32,22,50,31,1,49,38,22,42,1.0,42.0,57.0,23.0,48.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.7380952380952381,0.6491228070175439,0.7391304347826086,0.6458333333333334,0.6216216216216216,0.3055555555555556,0.6808510638297872,0.5333333333333333,0.6285714285714286,0.6578947368421053,0.775,1.0,0.6447368421052632,0.6229508196721312,0.5238095238095238,0.7241379310344828,7,7,1,7,6,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.0886075949367088,0.0588235294117647,0.0,0.0,0.1666666666666666,0.4,0.0843373493975903,0.0,23,-1.0,89.0,3.869565217391304,2.7000000000000006,102.4,4.452173913043478,14.0,1.3,-2.6,-2.4,-0.2,0.0406670252824099,0.597,0.323,0.401,-0.1,0.6,W (+7),W (+7)
8.0,6.0,2022-11-01,26-305,BRK,CHI,0,21.966666666666665,2.0,6.0,.333,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,5.0,0.0,1.0,1.0,2.0,4.0,3.3,+1,5.0,2.0,0.4,1,31,37,17,31,46,11,32,32,22,50,31,1,49,38,22,42,1.0,42.0,57.0,23.0,48.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.7380952380952381,0.6491228070175439,0.7391304347826086,0.6458333333333334,0.6216216216216216,0.3055555555555556,0.6808510638297872,0.5333333333333333,0.6285714285714286,0.6578947368421053,0.775,1.0,0.6447368421052632,0.6229508196721312,0.5238095238095238,0.7241379310344828,7,7,1,7,6,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.0886075949367088,0.0588235294117647,0.0,0.0,0.1666666666666666,0.4,0.0843373493975903,0.0,23,4.0,79.0,3.4347826086956523,3.3,90.9,3.9521739130434783,14.0,1.3,-2.6,-2.4,-0.2,0.0406670252824099,0.597,0.323,0.401,-0.1,0.6,L (-9),L (-9)
9.0,7.0,2022-11-04,26-308,BRK,WAS,1,25.133333333333333,3.0,7.0,.429,1.0,2.0,.500,4,4.0,1.000,1.0,3.0,4.0,0.0,2.0,0.0,2.0,1.0,11.0,8.5,+16,5.0,2.0,0.4,1,31,37,17,31,46,11,32,32,22,50,31,1,49,38,22,42,1.0,42.0,57.0,23.0,48.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.7380952380952381,0.6491228070175439,0.7391304347826086,0.6458333333333334,0.6216216216216216,0.3055555555555556,0.6808510638297872,0.5333333333333333,0.6285714285714286,0.6578947368421053,0.775,1.0,0.6447368421052632,0.6229508196721312,0.5238095238095238,0.7241379310344828,7,7,1,7,6,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.0886075949367088,0.0588235294117647,0.0,0.0,0.1666666666666666,0.4,0.0843373493975903,0.0,23,4.0,98.0,4.260869565217392,6.899999999999999,103.7,4.508695652173913,14.0,1.3,-2.6,-2.4,-0.2,0.0406670252824099,0.597,0.323,0.401,-0.1,0.6,W (+42),W (+42)
10.0,8.0,2022-11-05,26-309,BRK,CHO,1,17.833333333333332,2.0,6.0,.333,2.0,3.0,.667,0,0.0,,1.0,3.0,4.0,1.0,1.0,1.0,2.0,2.0,6.0,3.8,-9,3.0,0.0,0.0,1,31,37,17,31,46,11,32,32,22,50,31,1,49,38,22,42,1.0,42.0,57.0,23.0,48.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.7380952380952381,0.6491228070175439,0.7391304347826086,0.6458333333333334,0.6216216216216216,0.3055555555555556,0.6808510638297872,0.5333333333333333,0.6285714285714286,0.6578947368421053,0.775,1.0,0.6447368421052632,0.6229508196721312,0.5238095238095238,0.7241379310344828,7,7,1,7,6,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.0886075949367088,0.0588235294117647,0.0,0.0,0.1666666666666666,0.4,0.0843373493975903,0.0,23,5.0,77.0,3.347826086956522,3.8,91.70000000000002,3.986956521739131,14.0,1.3,-2.6,-2.4,-0.2,0.0406670252824099,0.597,0.323,0.401,-0.1,0.6,W (+4),W (+4)
