Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bismack Biyombo,Shared Games with Cameron Johnson,Shared Games with Cameron Payne,Shared Games with Chris Paul,Shared Games with Damion Lee,Shared Games with Dario ?ari?,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Duane Washington Jr.,Shared Games with Ish Wainright,Shared Games with Jock Landale,Shared Games with Josh Okogie,Shared Games with Landry Shamet,Shared Games with Torrey Craig,Bismack Biyombo,Cameron Johnson,Cameron Payne,Chris Paul,Damion Lee,Dario ?ari?,Deandre Ayton,Devin Booker,Duane Washington Jr.,Ish Wainright,Jae Crowder,Jock Landale,Josh Okogie,Landry Shamet,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Cameron Johnson,co_inf with Cameron Payne,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Duane Washington Jr.,co_inf with Ish Wainright,co_inf with Jae Crowder,co_inf with Jock Landale,co_inf with Josh Okogie,co_inf with Landry Shamet,co_inf with Torrey Craig,Shared Games with Ben Simmons,Shared Games with Cam Thomas,Shared Games with David Duke Jr.,Shared Games with Day'Ron Sharpe,Shared Games with Dorian Finney-Smith,Shared Games with Dru Smith,Shared Games with Edmond Sumner,Shared Games with Joe Harris,Shared Games with Moses Brown,Shared Games with Nerlens Noel,Shared Games with Nic Claxton,Shared Games with Patty Mills,Shared Games with Royce O'Neale,Shared Games with Seth Curry,Shared Games with Spencer Dinwiddie,Shared Games with Yuta Watanabe,Alondes Williams,Ben Simmons,Bogdan Bogdanović,Cam Thomas,David Duke Jr.,Day'Ron Sharpe,Dorian Finney-Smith,Dru Smith,Edmond Sumner,Joe Harris,Moses Brown,Nerlens Noel,Nic Claxton,Patty Mills,Payton Pritchard,RaiQuan Gray,Royce O'Neale,Seth Curry,Spencer Dinwiddie,Yuta Watanabe,co_inf with Alondes Williams,co_inf with Ben Simmons,co_inf with Bogdan Bogdanović,co_inf with Cam Thomas,co_inf with David Duke Jr.,co_inf with Day'Ron Sharpe,co_inf with Dorian Finney-Smith,co_inf with Dru Smith,co_inf with Edmond Sumner,co_inf with Joe Harris,co_inf with Moses Brown,co_inf with Nerlens Noel,co_inf with Nic Claxton,co_inf with Patty Mills,co_inf with Payton Pritchard,co_inf with RaiQuan Gray,co_inf with Royce O'Neale,co_inf with Seth Curry,co_inf with Spencer Dinwiddie,co_inf with Yuta Watanabe,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,1.0,2022/10/19,26-050,PHO,DAL,1.0,41.083333333333336,5.0,10.0,0.5,0.0,2.0,0.0,3.0,4.0,0.75,3.0,8.0,11.0,1.0,0.0,1.0,2.0,4.0,13.0,9.9,15.0,8.0,5.0,0.625,43,42,28,35,56,37,47,30,31,38,47,46,30,53,61,42.0,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671,1,17,7,16,25,3,7,24,2,3,23,4,22,22,25,15,1.0,42.0,54.0,57.0,23.0,48.0,66.0,15.0,53.0,74.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0238095238095238,0.0,0.2982456140350877,0.3043478260869565,0.3333333333333333,0.3787878787878788,0.2,0.1320754716981132,0.3243243243243243,0.0555555555555555,0.1764705882352941,0.3026315789473684,0.1,0.0,0.0,0.2894736842105263,0.360655737704918,0.3164556962025316,0.2586206896551724,30,10.0,81.0,2.7,8.7,79.49999999999999,2.6499999999999995,0.1035518832492756,W (+2),W (+2)
2.0,2.0,2022/10/21,26-052,PHO,POR,1.0,37.68333333333333,6.0,10.0,0.6,0.0,0.0,,1.0,2.0,0.5,2.0,5.0,7.0,6.0,1.0,0.0,3.0,4.0,13.0,11.5,6.0,10.0,6.0,0.6,43,42,28,35,56,37,47,30,31,38,47,46,30,53,61,42.0,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671,1,17,7,16,25,3,7,24,2,3,23,4,22,22,25,15,1.0,42.0,54.0,57.0,23.0,48.0,66.0,15.0,53.0,74.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0238095238095238,0.0,0.2982456140350877,0.3043478260869565,0.3333333333333333,0.3787878787878788,0.2,0.1320754716981132,0.3243243243243243,0.0555555555555555,0.1764705882352941,0.3026315789473684,0.1,0.0,0.0,0.2894736842105263,0.360655737704918,0.3164556962025316,0.2586206896551724,30,12.0,64.0,2.1333333333333333,11.1,64.8,2.16,0.1035518832492756,L (-2),L (-2)
3.0,3.0,2022/10/23,26-054,PHO,LAC,1.0,36.48333333333333,3.0,9.0,0.333,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,4.0,4.0,0.0,1.0,1.0,3.0,7.0,4.8,9.0,6.0,2.0,0.333333333,43,42,28,35,56,37,47,30,31,38,47,46,30,53,61,42.0,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671,1,17,7,16,25,3,7,24,2,3,23,4,22,22,25,15,1.0,42.0,54.0,57.0,23.0,48.0,66.0,15.0,53.0,74.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0238095238095238,0.0,0.2982456140350877,0.3043478260869565,0.3333333333333333,0.3787878787878788,0.2,0.1320754716981132,0.3243243243243243,0.0555555555555555,0.1764705882352941,0.3026315789473684,0.1,0.0,0.0,0.2894736842105263,0.360655737704918,0.3164556962025316,0.2586206896551724,30,6.0,67.0,2.2333333333333334,4.799999999999997,68.4,2.28,0.1035518832492756,W (+17),W (+17)
4.0,4.0,2022/10/25,26-056,PHO,GSW,1.0,32.9,7.0,8.0,0.875,0.0,0.0,,3.0,3.0,1.0,3.0,3.0,6.0,2.0,1.0,2.0,1.0,3.0,17.0,18.8,21.0,8.0,7.0,0.875,43,42,28,35,56,37,47,30,31,38,47,46,30,53,61,42.0,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671,1,17,7,16,25,3,7,24,2,3,23,4,22,22,25,15,1.0,42.0,54.0,57.0,23.0,48.0,66.0,15.0,53.0,74.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0238095238095238,0.0,0.2982456140350877,0.3043478260869565,0.3333333333333333,0.3787878787878788,0.2,0.1320754716981132,0.3243243243243243,0.0555555555555555,0.1764705882352941,0.3026315789473684,0.1,0.0,0.0,0.2894736842105263,0.360655737704918,0.3164556962025316,0.2586206896551724,30,16.0,48.0,1.6,17.599999999999994,47.10000000000001,1.5700000000000005,0.1035518832492756,W (+29),W (+29)
5.0,5.0,2022/10/28,26-059,PHO,NOP,1.0,31.133333333333333,10.0,13.0,0.769,3.0,5.0,0.6,4.0,4.0,1.0,0.0,2.0,2.0,4.0,1.0,3.0,1.0,1.0,27.0,27.0,-1.0,8.0,7.0,0.875,43,42,28,35,56,37,47,30,31,38,47,46,30,53,61,42.0,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671,1,17,7,16,25,3,7,24,2,3,23,4,22,22,25,15,1.0,42.0,54.0,57.0,23.0,48.0,66.0,15.0,53.0,74.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0238095238095238,0.0,0.2982456140350877,0.3043478260869565,0.3333333333333333,0.3787878787878788,0.2,0.1320754716981132,0.3243243243243243,0.0555555555555555,0.1764705882352941,0.3026315789473684,0.1,0.0,0.0,0.2894736842105263,0.360655737704918,0.3164556962025316,0.2586206896551724,30,19.0,63.0,2.1,25.4,70.5,2.35,0.1035518832492756,W (+13),W (+13)
6.0,6.0,2022/10/30,26-061,PHO,HOU,1.0,32.8,5.0,7.0,0.714,2.0,3.0,0.667,3.0,4.0,0.75,1.0,4.0,5.0,1.0,0.0,1.0,1.0,3.0,15.0,12.8,12.0,4.0,3.0,0.75,43,42,28,35,56,37,47,30,31,38,47,46,30,53,61,42.0,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671,1,17,7,16,25,3,7,24,2,3,23,4,22,22,25,15,1.0,42.0,54.0,57.0,23.0,48.0,66.0,15.0,53.0,74.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0238095238095238,0.0,0.2982456140350877,0.3043478260869565,0.3333333333333333,0.3787878787878788,0.2,0.1320754716981132,0.3243243243243243,0.0555555555555555,0.1764705882352941,0.3026315789473684,0.1,0.0,0.0,0.2894736842105263,0.360655737704918,0.3164556962025316,0.2586206896551724,30,10.0,87.0,2.9,11.599999999999998,83.4,2.78,0.1035518832492756,W (+15),W (+15)
7.0,7.0,2022/11/1,26-063,PHO,MIN,1.0,38.2,7.0,10.0,0.7,1.0,2.0,0.5,4.0,4.0,1.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,19.0,19.6,20.0,8.0,6.0,0.75,43,42,28,35,56,37,47,30,31,38,47,46,30,53,61,42.0,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671,1,17,7,16,25,3,7,24,2,3,23,4,22,22,25,15,1.0,42.0,54.0,57.0,23.0,48.0,66.0,15.0,53.0,74.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0238095238095238,0.0,0.2982456140350877,0.3043478260869565,0.3333333333333333,0.3787878787878788,0.2,0.1320754716981132,0.3243243243243243,0.0555555555555555,0.1764705882352941,0.3026315789473684,0.1,0.0,0.0,0.2894736842105263,0.360655737704918,0.3164556962025316,0.2586206896551724,30,13.0,75.0,2.5,18.0,87.10000000000001,2.9033333333333338,0.1035518832492756,W (+9),W (+9)
8.0,8.0,2022/11/4,26-066,PHO,POR,1.0,37.71666666666667,4.0,9.0,0.444,2.0,3.0,0.667,2.0,2.0,1.0,0.0,5.0,5.0,2.0,2.0,0.0,1.0,2.0,12.0,10.4,7.0,6.0,2.0,0.333333333,43,42,28,35,56,37,47,30,31,38,47,46,30,53,61,42.0,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671,1,17,7,16,25,3,7,24,2,3,23,4,22,22,25,15,1.0,42.0,54.0,57.0,23.0,48.0,66.0,15.0,53.0,74.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0238095238095238,0.0,0.2982456140350877,0.3043478260869565,0.3333333333333333,0.3787878787878788,0.2,0.1320754716981132,0.3243243243243243,0.0555555555555555,0.1764705882352941,0.3026315789473684,0.1,0.0,0.0,0.2894736842105263,0.360655737704918,0.3164556962025316,0.2586206896551724,30,9.0,74.0,2.466666666666667,9.599999999999998,84.59999999999998,2.8199999999999994,0.1035518832492756,L (-2),L (-2)
9.0,9.0,2022/11/5,26-067,PHO,POR,1.0,27.0,3.0,7.0,0.429,1.0,2.0,0.5,4.0,5.0,0.8,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,11.0,11.3,18.0,5.0,2.0,0.4,43,42,28,35,56,37,47,30,31,38,47,46,30,53,61,42.0,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671,1,17,7,16,25,3,7,24,2,3,23,4,22,22,25,15,1.0,42.0,54.0,57.0,23.0,48.0,66.0,15.0,53.0,74.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0238095238095238,0.0,0.2982456140350877,0.3043478260869565,0.3333333333333333,0.3787878787878788,0.2,0.1320754716981132,0.3243243243243243,0.0555555555555555,0.1764705882352941,0.3026315789473684,0.1,0.0,0.0,0.2894736842105263,0.360655737704918,0.3164556962025316,0.2586206896551724,30,5.0,97.0,3.2333333333333334,9.700000000000005,100.9,3.3633333333333337,0.1035518832492756,W (+20),W (+20)
10.0,10.0,2022/11/7,26-069,PHO,PHI,1.0,43.516666666666666,6.0,12.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,0.0,5.0,5.0,1.0,0.0,1.0,0.0,1.0,15.0,11.5,-14.0,10.0,5.0,0.5,43,42,28,35,56,37,47,30,31,38,47,46,30,53,61,42.0,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671,1,17,7,16,25,3,7,24,2,3,23,4,22,22,25,15,1.0,42.0,54.0,57.0,23.0,48.0,66.0,15.0,53.0,74.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0238095238095238,0.0,0.2982456140350877,0.3043478260869565,0.3333333333333333,0.3787878787878788,0.2,0.1320754716981132,0.3243243243243243,0.0555555555555555,0.1764705882352941,0.3026315789473684,0.1,0.0,0.0,0.2894736842105263,0.360655737704918,0.3164556962025316,0.2586206896551724,30,8.0,74.0,2.466666666666667,10.699999999999998,84.80000000000001,2.826666666666667,0.1035518832492756,L (-12),L (-12)
11.0,11.0,2022/11/9,26-071,PHO,MIN,1.0,42.31666666666667,12.0,20.0,0.6,2.0,6.0,0.333,5.0,5.0,1.0,2.0,7.0,9.0,5.0,4.0,1.0,2.0,1.0,31.0,31.1,12.0,14.0,10.0,0.714285714,43,42,28,35,56,37,47,30,31,38,47,46,30,53,61,42.0,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671,1,17,7,16,25,3,7,24,2,3,23,4,22,22,25,15,1.0,42.0,54.0,57.0,23.0,48.0,66.0,15.0,53.0,74.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0238095238095238,0.0,0.2982456140350877,0.3043478260869565,0.3333333333333333,0.3787878787878788,0.2,0.1320754716981132,0.3243243243243243,0.0555555555555555,0.1764705882352941,0.3026315789473684,0.1,0.0,0.0,0.2894736842105263,0.360655737704918,0.3164556962025316,0.2586206896551724,30,23.0,75.0,2.5,29.1,83.29999999999998,2.776666666666666,0.1035518832492756,W (+12),W (+12)
12.0,12.0,2022/11/11,26-073,PHO,ORL,1.0,37.63333333333333,3.0,13.0,0.231,2.0,6.0,0.333,0.0,0.0,,1.0,3.0,4.0,6.0,0.0,0.0,1.0,2.0,8.0,4.1,-16.0,7.0,1.0,0.142857143,43,42,28,35,56,37,47,30,31,38,47,46,30,53,61,42.0,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671,1,17,7,16,25,3,7,24,2,3,23,4,22,22,25,15,1.0,42.0,54.0,57.0,23.0,48.0,66.0,15.0,53.0,74.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0238095238095238,0.0,0.2982456140350877,0.3043478260869565,0.3333333333333333,0.3787878787878788,0.2,0.1320754716981132,0.3243243243243243,0.0555555555555555,0.1764705882352941,0.3026315789473684,0.1,0.0,0.0,0.2894736842105263,0.360655737704918,0.3164556962025316,0.2586206896551724,30,4.0,103.0,3.433333333333333,4.099999999999999,101.29999999999998,3.376666666666666,0.1035518832492756,L (-17),L (-17)
13.0,13.0,2022/11/14,26-076,PHO,MIA,1.0,40.86666666666667,7.0,14.0,0.5,1.0,3.0,0.333,0.0,0.0,,1.0,4.0,5.0,2.0,1.0,1.0,1.0,1.0,15.0,11.6,-1.0,11.0,6.0,0.545454545,43,42,28,35,56,37,47,30,31,38,47,46,30,53,61,42.0,48,59,74,57,67,53,31,60,18,69,72,40,79,0.7049180327868853,1.0,0.5833333333333334,0.5932203389830508,0.7567567567567568,0.7014925373134329,0.5660377358490566,1.0,0.6333333333333333,0.0,0.6811594202898551,0.6388888888888888,0.75,0.6708860759493671,1,17,7,16,25,3,7,24,2,3,23,4,22,22,25,15,1.0,42.0,54.0,57.0,23.0,48.0,66.0,15.0,53.0,74.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,79.0,58.0,0.0,0.0238095238095238,0.0,0.2982456140350877,0.3043478260869565,0.3333333333333333,0.3787878787878788,0.2,0.1320754716981132,0.3243243243243243,0.0555555555555555,0.1764705882352941,0.3026315789473684,0.1,0.0,0.0,0.2894736842105263,0.360655737704918,0.3164556962025316,0.2586206896551724,30,9.0,81.0,2.7,11.599999999999998,97.1,3.2366666666666664,0.1035518832492756,L (-1),L (-1)
