Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alondes Williams,Shared Games with Ben Simmons,Shared Games with Cam Thomas,Shared Games with Day'Ron Sharpe,Shared Games with Edmond Sumner,Shared Games with Joe Harris,Shared Games with Kessler Edwards,Shared Games with Kevin Durant,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with Nic Claxton,Shared Games with Patty Mills,Shared Games with Royce O'Neale,Shared Games with Seth Curry,Shared Games with T.J. Warren,Shared Games with Yuta Watanabe,Alondes Williams,Ben Simmons,Cam Thomas,Day'Ron Sharpe,Edmond Sumner,Joe Harris,Kessler Edwards,Kevin Durant,Kyrie Irving,Markieff Morris,Nic Claxton,Patty Mills,RaiQuan Gray,Royce O'Neale,Seth Curry,T.J. Warren,Yuta Watanabe,co_inf with Alondes Williams,co_inf with Ben Simmons,co_inf with Cam Thomas,co_inf with Day'Ron Sharpe,co_inf with Edmond Sumner,co_inf with Joe Harris,co_inf with Kessler Edwards,co_inf with Kevin Durant,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with Nic Claxton,co_inf with Patty Mills,co_inf with RaiQuan Gray,co_inf with Royce O'Neale,co_inf with Seth Curry,co_inf with T.J. Warren,co_inf with Yuta Watanabe,Shared Games with Dorian Finney-Smith,Shared Games with Spencer Dinwiddie,Shared Games with Nerlens Noel,Shared Games with Cameron Johnson,Shared Games with Dru Smith,Shared Games with Mikal Bridges,Bogdan Bogdanović,Cameron Johnson,Dorian Finney-Smith,Dru Smith,Mikal Bridges,Moses Brown,Nerlens Noel,Payton Pritchard,Spencer Dinwiddie,co_inf with Dorian Finney-Smith,co_inf with Spencer Dinwiddie,co_inf with Nerlens Noel,co_inf with Moses Brown,co_inf with Bogdan Bogdanović,co_inf with Cameron Johnson,co_inf with Dru Smith,co_inf with Mikal Bridges,co_inf with Payton Pritchard,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,,2022-10-19,23-006,BRK,NOP,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,,91.0,4.136363636363637,0.0,88.19999999999999,4.009090909090909,0.0091447014523937,L (-22),L (-22)
2.0,,2022-10-21,23-008,BRK,TOR,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,,76.0,3.4545454545454546,0.0,75.89999999999999,3.45,0.0091447014523937,W (+4),W (+4)
3.0,,2022-10-24,23-011,BRK,MEM,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,,73.0,3.3181818181818183,0.0,73.19999999999999,3.3272727272727267,0.0091447014523937,L (-10),L (-10)
4.0,,2022-10-26,23-013,BRK,MIL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,,64.0,2.909090909090909,0.0,64.69999999999999,2.9409090909090905,0.0091447014523937,L (-11),L (-11)
5.0,1.0,2022-10-27,23-014,BRK,DAL,0,20.7,4.0,6.0,.667,0.0,1.0,.000,2,2.0,1.000,2.0,3.0,5.0,1.0,0.0,0.0,1.0,6.0,10.0,7.0,-23,5.0,4.0,0.8,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,7.0,75.0,3.409090909090909,6.199999999999999,89.70000000000002,4.077272727272728,0.0091447014523937,L (-4),L (-4)
6.0,,2022-10-29,23-016,BRK,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,,97.0,4.409090909090909,0.0,95.0,4.318181818181818,0.0091447014523937,L (-9),L (-9)
7.0,,2022-10-31,23-018,BRK,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,,88.0,4.0,0.0,105.1,4.777272727272727,0.0091447014523937,W (+7),W (+7)
8.0,2.0,2022-11-01,23-019,BRK,CHI,0,18.7,1.0,4.0,.250,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.2,+6,3.0,1.0,0.3333333333333333,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,0.0,83.0,3.772727272727273,0.200000000000001,94.0,4.2727272727272725,0.0091447014523937,L (-9),L (-9)
9.0,3.0,2022-11-04,23-022,BRK,WAS,0,12.75,5.0,8.0,.625,0.0,0.0,,1,1.0,1.000,0.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,11.0,6.5,+3,8.0,5.0,0.625,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,4.0,98.0,4.454545454545454,6.1000000000000005,104.5,4.75,0.0091447014523937,W (+42),W (+42)
10.0,4.0,2022-11-05,23-023,BRK,CHO,0,4.116666666666666,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.8,0,1.0,0.0,0.0,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,-1.0,83.0,3.772727272727273,-0.7999999999999999,96.3,4.377272727272727,0.0091447014523937,W (+4),W (+4)
11.0,5.0,2022-11-07,23-025,BRK,DAL,0,4.05,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.4,-7,0.0,0.0,,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,-1.0,99.0,4.5,-1.4,113.8,5.172727272727273,0.0091447014523937,L (-2),L (-2)
12.0,6.0,2022-11-09,23-027,BRK,NYK,0,8.983333333333333,1.0,2.0,.500,0.0,0.0,,0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,0.5,-14,2.0,1.0,0.5,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,1.0,106.0,4.818181818181818,0.4999999999999995,104.89999999999998,4.768181818181817,0.0091447014523937,W (+27),W (+27)
13.0,7.0,2022-11-12,23-030,BRK,LAC,0,1.9166666666666663,1.0,1.0,1.000,0.0,0.0,,0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.1,+2,1.0,1.0,1.0,1,11,18,19,17,20,10,13,6,9,19,18,19,12,1,16,1.0,42.0,57.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2619047619047619,0.3157894736842105,0.3958333333333333,0.320754716981132,0.2702702702702703,0.2777777777777778,0.2765957446808511,0.1,0.2571428571428571,0.25,0.45,0.0,0.25,0.1967213114754098,0.0238095238095238,0.2758620689655172,7,8,1,7,2,7,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.106060606060606,0.1012658227848101,0.0588235294117647,0.0,0.0,0.1666666666666666,0.1333333333333333,0.0843373493975903,0.0,22,3.0,87.0,3.954545454545455,3.1,105.6,4.8,0.0091447014523937,W (+15),W (+15)
