Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Christian Wood,Shared Games with Dorian Finney-Smith,Shared Games with Dwight Powell,Shared Games with Dāvis Bertāns,Shared Games with Frank Ntilikina,Shared Games with Jaden Hardy,Shared Games with JaVale McGee,Shared Games with Josh Green,Shared Games with Luka Dončić,Shared Games with Maxi Kleber,Shared Games with McKinley Wright IV,Shared Games with Reggie Bullock,Shared Games with Theo Pinson,Shared Games with Tim Hardaway Jr.,Shared Games with Tyler Dorsey,Chris Silva,Christian Wood,Dorian Finney-Smith,Dwight Powell,Dāvis Bertāns,Facundo Campazzo,Frank Ntilikina,Jaden Hardy,JaVale McGee,Josh Green,Kemba Walker,Luka Dončić,Maxi Kleber,McKinley Wright IV,Reggie Bullock,Theo Pinson,Tim Hardaway Jr.,Tyler Dorsey,co_inf with Chris Silva,co_inf with Christian Wood,co_inf with Dorian Finney-Smith,co_inf with Dwight Powell,co_inf with Dāvis Bertāns,co_inf with Facundo Campazzo,co_inf with Frank Ntilikina,co_inf with Jaden Hardy,co_inf with JaVale McGee,co_inf with Josh Green,co_inf with Kemba Walker,co_inf with Luka Dončić,co_inf with Maxi Kleber,co_inf with McKinley Wright IV,co_inf with Reggie Bullock,co_inf with Theo Pinson,co_inf with Tim Hardaway Jr.,co_inf with Tyler Dorsey,Shared Games with Ben Simmons,Shared Games with Cam Thomas,Shared Games with David Duke Jr.,Shared Games with Day'Ron Sharpe,Shared Games with Edmond Sumner,Shared Games with Joe Harris,Shared Games with Kessler Edwards,Shared Games with Kevin Durant,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with Nic Claxton,Shared Games with Patty Mills,Shared Games with Royce O'Neale,Shared Games with Seth Curry,Shared Games with T.J. Warren,Shared Games with Yuta Watanabe,Shared Games with Justin Holiday,Shared Games with Cameron Johnson,Shared Games with Dru Smith,Shared Games with Mikal Bridges,Shared Games with Moses Brown,Shared Games with Nerlens Noel,Alondes Williams,Ben Simmons,Bogdan Bogdanović,Cam Thomas,Cameron Johnson,David Duke Jr.,Day'Ron Sharpe,Dru Smith,Edmond Sumner,Joe Harris,Mikal Bridges,Moses Brown,Nerlens Noel,Nic Claxton,Patty Mills,Payton Pritchard,RaiQuan Gray,Royce O'Neale,Seth Curry,Yuta Watanabe,co_inf with Ben Simmons,co_inf with Bogdan Bogdanović,co_inf with Cam Thomas,co_inf with David Duke Jr.,co_inf with Day'Ron Sharpe,co_inf with Edmond Sumner,co_inf with Joe Harris,co_inf with Nic Claxton,co_inf with Patty Mills,co_inf with Payton Pritchard,co_inf with Royce O'Neale,co_inf with Seth Curry,co_inf with Yuta Watanabe,co_inf with Alondes Williams,co_inf with Cameron Johnson,co_inf with Dru Smith,co_inf with Mikal Bridges,co_inf with Moses Brown,co_inf with Nerlens Noel,co_inf with RaiQuan Gray,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,29-196,DAL,PHO,1.0,27.516666666666666,6.0,11.0,0.545,3.0,5.0,0.6,0.0,2.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,4.0,15.0,10.3,2.0,6.0,3.0,0.5,41,64,49,34,31,24,29,34,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0,2,18,8,17,7,24,19,23,26,19,23,4,22,21,23,16,21,25,3,25,2,3,1.0,42.0,54.0,57.0,42.0,23.0,48.0,15.0,53.0,74.0,83.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,58.0,0.0476190476190476,0.0,0.3157894736842105,0.3478260869565217,0.3541666666666667,0.1320754716981132,0.3243243243243243,0.3026315789473684,0.1,0.0,0.2894736842105263,0.3442622950819672,0.2758620689655172,0.0,0.5952380952380952,0.2,0.3012048192771084,0.0555555555555555,0.1764705882352941,0.0,37,8.0,83.0,2.2432432432432434,10.3,77.89999999999999,2.105405405405405,16.0,6.3,0.7,1.6,-0.9,0.1003630151612214,0.573,0.467,0.314,1.8,4.5,L (-2),L (-2)
2.0,2.0,2022-10-22,29-199,DAL,MEM,1.0,28.366666666666667,6.0,13.0,0.462,3.0,5.0,0.6,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,3.0,2.0,15.0,6.5,23.0,8.0,3.0,0.375,41,64,49,34,31,24,29,34,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0,2,18,8,17,7,24,19,23,26,19,23,4,22,21,23,16,21,25,3,25,2,3,1.0,42.0,54.0,57.0,42.0,23.0,48.0,15.0,53.0,74.0,83.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,58.0,0.0476190476190476,0.0,0.3157894736842105,0.3478260869565217,0.3541666666666667,0.1320754716981132,0.3243243243243243,0.3026315789473684,0.1,0.0,0.2894736842105263,0.3442622950819672,0.2758620689655172,0.0,0.5952380952380952,0.2,0.3012048192771084,0.0555555555555555,0.1764705882352941,0.0,37,3.0,73.0,1.972972972972973,6.499999999999998,69.39999999999999,1.875675675675676,16.0,6.3,0.7,1.6,-0.9,0.1003630151612214,0.573,0.467,0.314,1.8,4.5,W (+41),W (+41)
3.0,3.0,2022-10-25,29-202,DAL,NOP,1.0,37.98333333333333,8.0,15.0,0.533,4.0,8.0,0.5,4.0,5.0,0.8,0.0,2.0,2.0,5.0,0.0,0.0,2.0,2.0,24.0,17.6,-15.0,7.0,4.0,0.5714285714285714,41,64,49,34,31,24,29,34,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0,2,18,8,17,7,24,19,23,26,19,23,4,22,21,23,16,21,25,3,25,2,3,1.0,42.0,54.0,57.0,42.0,23.0,48.0,15.0,53.0,74.0,83.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,58.0,0.0476190476190476,0.0,0.3157894736842105,0.3478260869565217,0.3541666666666667,0.1320754716981132,0.3243243243243243,0.3026315789473684,0.1,0.0,0.2894736842105263,0.3442622950819672,0.2758620689655172,0.0,0.5952380952380952,0.2,0.3012048192771084,0.0555555555555555,0.1764705882352941,0.0,37,9.0,64.0,1.7297297297297298,16.0,57.2,1.545945945945946,16.0,6.3,0.7,1.6,-0.9,0.1003630151612214,0.573,0.467,0.314,1.8,4.5,L (-2),L (-2)
4.0,4.0,2022-10-27,29-204,DAL,BRK,1.0,27.633333333333333,4.0,8.0,0.5,3.0,5.0,0.6,0.0,0.0,,0.0,3.0,3.0,5.0,1.0,0.0,2.0,3.0,11.0,9.2,-20.0,3.0,1.0,0.3333333333333333,41,64,49,34,31,24,29,34,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0,2,18,8,17,7,24,19,23,26,19,23,4,22,21,23,16,21,25,3,25,2,3,1.0,42.0,54.0,57.0,42.0,23.0,48.0,15.0,53.0,74.0,83.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,58.0,0.0476190476190476,0.0,0.3157894736842105,0.3478260869565217,0.3541666666666667,0.1320754716981132,0.3243243243243243,0.3026315789473684,0.1,0.0,0.2894736842105263,0.3442622950819672,0.2758620689655172,0.0,0.5952380952380952,0.2,0.3012048192771084,0.0555555555555555,0.1764705882352941,0.0,37,10.0,54.0,1.4594594594594594,9.2,55.49999999999999,1.4999999999999998,16.0,6.3,0.7,1.6,-0.9,0.1003630151612214,0.573,0.467,0.314,1.8,4.5,W (+4),W (+4)
5.0,5.0,2022-10-29,29-206,DAL,OKC,1.0,35.45,8.0,13.0,0.615,2.0,6.0,0.333,2.0,3.0,0.667,0.0,2.0,2.0,2.0,1.0,0.0,2.0,3.0,20.0,13.5,2.0,7.0,6.0,0.8571428571428571,41,64,49,34,31,24,29,34,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0,2,18,8,17,7,24,19,23,26,19,23,4,22,21,23,16,21,25,3,25,2,3,1.0,42.0,54.0,57.0,42.0,23.0,48.0,15.0,53.0,74.0,83.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,58.0,0.0476190476190476,0.0,0.3157894736842105,0.3478260869565217,0.3541666666666667,0.1320754716981132,0.3243243243243243,0.3026315789473684,0.1,0.0,0.2894736842105263,0.3442622950819672,0.2758620689655172,0.0,0.5952380952380952,0.2,0.3012048192771084,0.0555555555555555,0.1764705882352941,0.0,37,7.0,75.0,2.027027027027027,12.700000000000005,83.2,2.2486486486486488,16.0,6.3,0.7,1.6,-0.9,0.1003630151612214,0.573,0.467,0.314,1.8,4.5,L (-6),L (-6)
6.0,6.0,2022-10-30,29-207,DAL,ORL,1.0,31.516666666666666,5.0,13.0,0.385,0.0,4.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,5.0,3.0,0.0,1.0,3.0,12.0,10.4,-9.0,9.0,5.0,0.5555555555555556,41,64,49,34,31,24,29,34,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0,2,18,8,17,7,24,19,23,26,19,23,4,22,21,23,16,21,25,3,25,2,3,1.0,42.0,54.0,57.0,42.0,23.0,48.0,15.0,53.0,74.0,83.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,58.0,0.0476190476190476,0.0,0.3157894736842105,0.3478260869565217,0.3541666666666667,0.1320754716981132,0.3243243243243243,0.3026315789473684,0.1,0.0,0.2894736842105263,0.3442622950819672,0.2758620689655172,0.0,0.5952380952380952,0.2,0.3012048192771084,0.0555555555555555,0.1764705882352941,0.0,37,8.0,89.0,2.4054054054054053,9.599999999999998,85.39999999999999,2.308108108108108,16.0,6.3,0.7,1.6,-0.9,0.1003630151612214,0.573,0.467,0.314,1.8,4.5,W (+9),W (+9)
7.0,7.0,2022-11-02,29-210,DAL,UTA,1.0,35.166666666666664,8.0,20.0,0.4,4.0,11.0,0.364,0.0,0.0,,1.0,3.0,4.0,5.0,4.0,0.0,1.0,1.0,20.0,16.9,9.0,9.0,4.0,0.4444444444444444,41,64,49,34,31,24,29,34,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0,2,18,8,17,7,24,19,23,26,19,23,4,22,21,23,16,21,25,3,25,2,3,1.0,42.0,54.0,57.0,42.0,23.0,48.0,15.0,53.0,74.0,83.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,58.0,0.0476190476190476,0.0,0.3157894736842105,0.3478260869565217,0.3541666666666667,0.1320754716981132,0.3243243243243243,0.3026315789473684,0.1,0.0,0.2894736842105263,0.3442622950819672,0.2758620689655172,0.0,0.5952380952380952,0.2,0.3012048192771084,0.0555555555555555,0.1764705882352941,0.0,37,12.0,76.0,2.054054054054054,16.9,88.2,2.383783783783784,16.0,6.3,0.7,1.6,-0.9,0.1003630151612214,0.573,0.467,0.314,1.8,4.5,W (+3),W (+3)
8.0,8.0,2022-11-04,29-212,DAL,TOR,1.0,37.98333333333333,8.0,17.0,0.471,3.0,8.0,0.375,2.0,2.0,1.0,0.0,1.0,1.0,7.0,2.0,0.0,2.0,4.0,21.0,15.9,0.0,9.0,5.0,0.5555555555555556,41,64,49,34,31,24,29,34,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0,2,18,8,17,7,24,19,23,26,19,23,4,22,21,23,16,21,25,3,25,2,3,1.0,42.0,54.0,57.0,42.0,23.0,48.0,15.0,53.0,74.0,83.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,58.0,0.0476190476190476,0.0,0.3157894736842105,0.3478260869565217,0.3541666666666667,0.1320754716981132,0.3243243243243243,0.3026315789473684,0.1,0.0,0.2894736842105263,0.3442622950819672,0.2758620689655172,0.0,0.5952380952380952,0.2,0.3012048192771084,0.0555555555555555,0.1764705882352941,0.0,37,10.0,73.0,1.972972972972973,15.099999999999998,79.1,2.137837837837837,16.0,6.3,0.7,1.6,-0.9,0.1003630151612214,0.573,0.467,0.314,1.8,4.5,W (+1),W (+1)
9.0,9.0,2022-11-07,29-215,DAL,BRK,1.0,27.883333333333333,1.0,8.0,0.125,0.0,3.0,0.0,0.0,0.0,,2.0,4.0,6.0,5.0,0.0,0.0,4.0,3.0,2.0,-2.3,-3.0,5.0,1.0,0.2,41,64,49,34,31,24,29,34,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0,2,18,8,17,7,24,19,23,26,19,23,4,22,21,23,16,21,25,3,25,2,3,1.0,42.0,54.0,57.0,42.0,23.0,48.0,15.0,53.0,74.0,83.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,58.0,0.0476190476190476,0.0,0.3157894736842105,0.3478260869565217,0.3541666666666667,0.1320754716981132,0.3243243243243243,0.3026315789473684,0.1,0.0,0.2894736842105263,0.3442622950819672,0.2758620689655172,0.0,0.5952380952380952,0.2,0.3012048192771084,0.0555555555555555,0.1764705882352941,0.0,37,1.0,101.0,2.72972972972973,-2.3,112.9,3.0513513513513515,16.0,6.3,0.7,1.6,-0.9,0.1003630151612214,0.573,0.467,0.314,1.8,4.5,W (+2),W (+2)
10.0,10.0,2022-11-09,29-217,DAL,ORL,1.0,37.5,9.0,19.0,0.474,4.0,10.0,0.4,7.0,8.0,0.875,0.0,4.0,4.0,5.0,2.0,1.0,1.0,2.0,29.0,24.5,-5.0,9.0,5.0,0.5555555555555556,41,64,49,34,31,24,29,34,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0,2,18,8,17,7,24,19,23,26,19,23,4,22,21,23,16,21,25,3,25,2,3,1.0,42.0,54.0,57.0,42.0,23.0,48.0,15.0,53.0,74.0,83.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,58.0,0.0476190476190476,0.0,0.3157894736842105,0.3478260869565217,0.3541666666666667,0.1320754716981132,0.3243243243243243,0.3026315789473684,0.1,0.0,0.2894736842105263,0.3442622950819672,0.2758620689655172,0.0,0.5952380952380952,0.2,0.3012048192771084,0.0555555555555555,0.1764705882352941,0.0,37,13.0,69.0,1.864864864864865,21.70000000000001,73.8,1.9945945945945944,16.0,6.3,0.7,1.6,-0.9,0.1003630151612214,0.573,0.467,0.314,1.8,4.5,L (-7),L (-7)
11.0,11.0,2022-11-10,29-218,DAL,WAS,1.0,37.55,11.0,17.0,0.647,7.0,12.0,0.583,4.0,4.0,1.0,0.0,4.0,4.0,6.0,1.0,0.0,1.0,2.0,33.0,30.1,3.0,5.0,4.0,0.8,41,64,49,34,31,24,29,34,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0,2,18,8,17,7,24,19,23,26,19,23,4,22,21,23,16,21,25,3,25,2,3,1.0,42.0,54.0,57.0,42.0,23.0,48.0,15.0,53.0,74.0,83.0,36.0,17.0,76.0,40.0,48.0,1,76.0,61.0,58.0,0.0476190476190476,0.0,0.3157894736842105,0.3478260869565217,0.3541666666666667,0.1320754716981132,0.3243243243243243,0.3026315789473684,0.1,0.0,0.2894736842105263,0.3442622950819672,0.2758620689655172,0.0,0.5952380952380952,0.2,0.3012048192771084,0.0555555555555555,0.1764705882352941,0.0,37,22.0,76.0,2.054054054054054,28.5,83.89999999999998,2.267567567567567,16.0,6.3,0.7,1.6,-0.9,0.1003630151612214,0.573,0.467,0.314,1.8,4.5,L (-8),L (-8)
