Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alondes Williams,Shared Games with Ben Simmons,Shared Games with David Duke Jr.,Shared Games with Day'Ron Sharpe,Shared Games with Edmond Sumner,Shared Games with Joe Harris,Shared Games with Kessler Edwards,Shared Games with Kevin Durant,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with Nic Claxton,Shared Games with Patty Mills,Shared Games with RaiQuan Gray,Shared Games with Royce O'Neale,Shared Games with Seth Curry,Shared Games with T.J. Warren,Shared Games with Yuta Watanabe,Alondes Williams,Ben Simmons,David Duke Jr.,Day'Ron Sharpe,Edmond Sumner,Joe Harris,Kessler Edwards,Kevin Durant,Kyrie Irving,Markieff Morris,Nic Claxton,Patty Mills,RaiQuan Gray,Royce O'Neale,Seth Curry,T.J. Warren,Yuta Watanabe,co_inf with Alondes Williams,co_inf with Ben Simmons,co_inf with David Duke Jr.,co_inf with Day'Ron Sharpe,co_inf with Edmond Sumner,co_inf with Joe Harris,co_inf with Kessler Edwards,co_inf with Kevin Durant,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with Nic Claxton,co_inf with Patty Mills,co_inf with RaiQuan Gray,co_inf with Royce O'Neale,co_inf with Seth Curry,co_inf with T.J. Warren,co_inf with Yuta Watanabe,Shared Games with Dorian Finney-Smith,Shared Games with Spencer Dinwiddie,Shared Games with Nerlens Noel,Shared Games with Moses Brown,Shared Games with Cameron Johnson,Shared Games with Dru Smith,Shared Games with Mikal Bridges,Bogdan Bogdanović,Cameron Johnson,Dorian Finney-Smith,Dru Smith,Mikal Bridges,Moses Brown,Nerlens Noel,Payton Pritchard,Spencer Dinwiddie,co_inf with Dorian Finney-Smith,co_inf with Spencer Dinwiddie,co_inf with Nerlens Noel,co_inf with Moses Brown,co_inf with Bogdan Bogdanović,co_inf with Cameron Johnson,co_inf with Dru Smith,co_inf with Mikal Bridges,co_inf with Payton Pritchard,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,1.0,2022-10-19,21-006,BRK,NOP,0,12.7,1.0,4.0,.250,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.3,+3,3.0,1.0,0.3333333333333333,1,27,18,37,37,52,13,26,23,20,52,31,1,51,42,15,38,1.0,42.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.6428571428571429,0.782608695652174,0.7708333333333334,0.6981132075471698,0.7027027027027027,0.3611111111111111,0.5531914893617021,0.3833333333333333,0.5714285714285714,0.6842105263157895,0.775,1.0,0.6710526315789473,0.6885245901639344,0.3571428571428571,0.6551724137931034,17,18,3,2,17,7,17,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2575757575757575,0.2278481012658227,0.1764705882352941,0.0555555555555555,0.0,0.4047619047619047,0.4666666666666667,0.2048192771084337,0.0,24,-1.0,92.0,3.8333333333333335,0.2999999999999998,87.89999999999999,3.6625,0.0649811726734803,L (-22),L (-22)
2.0,,2022-10-21,21-008,BRK,TOR,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,27,18,37,37,52,13,26,23,20,52,31,1,51,42,15,38,1.0,42.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.6428571428571429,0.782608695652174,0.7708333333333334,0.6981132075471698,0.7027027027027027,0.3611111111111111,0.5531914893617021,0.3833333333333333,0.5714285714285714,0.6842105263157895,0.775,1.0,0.6710526315789473,0.6885245901639344,0.3571428571428571,0.6551724137931034,17,18,3,2,17,7,17,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2575757575757575,0.2278481012658227,0.1764705882352941,0.0555555555555555,0.0,0.4047619047619047,0.4666666666666667,0.2048192771084337,0.0,24,,76.0,3.1666666666666665,0.0,75.89999999999999,3.1625,0.0649811726734803,W (+4),W (+4)
3.0,,2022-10-24,21-011,BRK,MEM,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,27,18,37,37,52,13,26,23,20,52,31,1,51,42,15,38,1.0,42.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.6428571428571429,0.782608695652174,0.7708333333333334,0.6981132075471698,0.7027027027027027,0.3611111111111111,0.5531914893617021,0.3833333333333333,0.5714285714285714,0.6842105263157895,0.775,1.0,0.6710526315789473,0.6885245901639344,0.3571428571428571,0.6551724137931034,17,18,3,2,17,7,17,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2575757575757575,0.2278481012658227,0.1764705882352941,0.0555555555555555,0.0,0.4047619047619047,0.4666666666666667,0.2048192771084337,0.0,24,,73.0,3.0416666666666665,0.0,73.19999999999999,3.0499999999999994,0.0649811726734803,L (-10),L (-10)
4.0,2.0,2022-10-26,21-013,BRK,MIL,0,0.9666666666666668,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+1,0.0,0.0,,1,27,18,37,37,52,13,26,23,20,52,31,1,51,42,15,38,1.0,42.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.6428571428571429,0.782608695652174,0.7708333333333334,0.6981132075471698,0.7027027027027027,0.3611111111111111,0.5531914893617021,0.3833333333333333,0.5714285714285714,0.6842105263157895,0.775,1.0,0.6710526315789473,0.6885245901639344,0.3571428571428571,0.6551724137931034,17,18,3,2,17,7,17,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2575757575757575,0.2278481012658227,0.1764705882352941,0.0555555555555555,0.0,0.4047619047619047,0.4666666666666667,0.2048192771084337,0.0,24,0.0,64.0,2.6666666666666665,0.0,64.69999999999999,2.695833333333333,0.0649811726734803,L (-11),L (-11)
5.0,,2022-10-27,21-014,BRK,DAL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,27,18,37,37,52,13,26,23,20,52,31,1,51,42,15,38,1.0,42.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.6428571428571429,0.782608695652174,0.7708333333333334,0.6981132075471698,0.7027027027027027,0.3611111111111111,0.5531914893617021,0.3833333333333333,0.5714285714285714,0.6842105263157895,0.775,1.0,0.6710526315789473,0.6885245901639344,0.3571428571428571,0.6551724137931034,17,18,3,2,17,7,17,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2575757575757575,0.2278481012658227,0.1764705882352941,0.0555555555555555,0.0,0.4047619047619047,0.4666666666666667,0.2048192771084337,0.0,24,,82.0,3.4166666666666665,0.0,95.9,3.9958333333333336,0.0649811726734803,L (-4),L (-4)
6.0,,2022-10-29,21-016,BRK,IND,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,27,18,37,37,52,13,26,23,20,52,31,1,51,42,15,38,1.0,42.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.6428571428571429,0.782608695652174,0.7708333333333334,0.6981132075471698,0.7027027027027027,0.3611111111111111,0.5531914893617021,0.3833333333333333,0.5714285714285714,0.6842105263157895,0.775,1.0,0.6710526315789473,0.6885245901639344,0.3571428571428571,0.6551724137931034,17,18,3,2,17,7,17,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2575757575757575,0.2278481012658227,0.1764705882352941,0.0555555555555555,0.0,0.4047619047619047,0.4666666666666667,0.2048192771084337,0.0,24,,97.0,4.041666666666667,0.0,95.0,3.9583333333333335,0.0649811726734803,L (-9),L (-9)
7.0,,2022-10-31,21-018,BRK,IND,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,27,18,37,37,52,13,26,23,20,52,31,1,51,42,15,38,1.0,42.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.6428571428571429,0.782608695652174,0.7708333333333334,0.6981132075471698,0.7027027027027027,0.3611111111111111,0.5531914893617021,0.3833333333333333,0.5714285714285714,0.6842105263157895,0.775,1.0,0.6710526315789473,0.6885245901639344,0.3571428571428571,0.6551724137931034,17,18,3,2,17,7,17,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2575757575757575,0.2278481012658227,0.1764705882352941,0.0555555555555555,0.0,0.4047619047619047,0.4666666666666667,0.2048192771084337,0.0,24,,88.0,3.6666666666666665,0.0,105.1,4.379166666666666,0.0649811726734803,W (+7),W (+7)
8.0,3.0,2022-11-01,21-019,BRK,CHI,0,0.8166666666666667,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+2,0.0,0.0,,1,27,18,37,37,52,13,26,23,20,52,31,1,51,42,15,38,1.0,42.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.6428571428571429,0.782608695652174,0.7708333333333334,0.6981132075471698,0.7027027027027027,0.3611111111111111,0.5531914893617021,0.3833333333333333,0.5714285714285714,0.6842105263157895,0.775,1.0,0.6710526315789473,0.6885245901639344,0.3571428571428571,0.6551724137931034,17,18,3,2,17,7,17,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2575757575757575,0.2278481012658227,0.1764705882352941,0.0555555555555555,0.0,0.4047619047619047,0.4666666666666667,0.2048192771084337,0.0,24,0.0,83.0,3.458333333333333,0.0,94.2,3.925,0.0649811726734803,L (-9),L (-9)
9.0,4.0,2022-11-04,21-022,BRK,WAS,0,31.83333333333333,6.0,13.0,.462,2.0,4.0,.500,3,3.0,1.000,0.0,4.0,4.0,6.0,1.0,0.0,0.0,2.0,17.0,15.9,+36,9.0,4.0,0.4444444444444444,1,27,18,37,37,52,13,26,23,20,52,31,1,51,42,15,38,1.0,42.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.6428571428571429,0.782608695652174,0.7708333333333334,0.6981132075471698,0.7027027027027027,0.3611111111111111,0.5531914893617021,0.3833333333333333,0.5714285714285714,0.6842105263157895,0.775,1.0,0.6710526315789473,0.6885245901639344,0.3571428571428571,0.6551724137931034,17,18,3,2,17,7,17,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2575757575757575,0.2278481012658227,0.1764705882352941,0.0555555555555555,0.0,0.4047619047619047,0.4666666666666667,0.2048192771084337,0.0,24,12.0,90.0,3.75,14.699999999999996,95.9,3.9958333333333336,0.0649811726734803,W (+42),W (+42)
10.0,5.0,2022-11-05,21-023,BRK,CHO,0,28.78333333333333,5.0,11.0,.455,1.0,2.0,.500,10,11.0,.909,0.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,21.0,18.8,+13,9.0,4.0,0.4444444444444444,1,27,18,37,37,52,13,26,23,20,52,31,1,51,42,15,38,1.0,42.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.6428571428571429,0.782608695652174,0.7708333333333334,0.6981132075471698,0.7027027027027027,0.3611111111111111,0.5531914893617021,0.3833333333333333,0.5714285714285714,0.6842105263157895,0.775,1.0,0.6710526315789473,0.6885245901639344,0.3571428571428571,0.6551724137931034,17,18,3,2,17,7,17,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2575757575757575,0.2278481012658227,0.1764705882352941,0.0555555555555555,0.0,0.4047619047619047,0.4666666666666667,0.2048192771084337,0.0,24,8.0,74.0,3.083333333333333,14.8,80.70000000000002,3.3625000000000007,0.0649811726734803,W (+4),W (+4)
